name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Johan Havermans,Retired,https://www.transfermarkt.us/johan-havermans/profil/spieler/243458,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Havermans,Unknown,Netherlands,nl,Willem II Tilburg,Unknown,Unknown,Defender - Left-Back,Unknown,27.09.1950,382,50,16,2,13,0,0,15,24,32.851
Cor Stolzenbach,Retired,https://www.transfermarkt.us/cor-stolzenbach/profil/spieler/304894,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Stolzenbach,Unknown,Netherlands,nl,Willem II Tilburg,Unknown,Unknown,Defender - Left-Back,Unknown,03.09.1944,369,2,4,1,2,0,0,4,23,31.939
Johan Huijbregts,Retired,https://www.transfermarkt.us/johan-huijbregts/profil/spieler/243465,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Huijbregts,Unknown,Netherlands,nl,Willem II Tilburg,Unknown,Unknown,Defender - Centre-Back,Unknown,28.12.1954,345,17,6,1,11,0,0,9,14,30.233
John Feskens,Retired,https://www.transfermarkt.us/john-feskens/profil/spieler/197342,https://img.a.transfermarkt.technology/portrait/small/s_197342_123_2013_09_17_1.jpg?lm=1,Feskens,Unknown,Netherlands,nl,Willem II Tilburg,Nijmegen,Unknown,Midfield,Unknown,03.11.1965,307,28,10,1,31,0,0,4,39,26.531
Piet Timmermans,---,https://www.transfermarkt.us/piet-timmermans/profil/spieler/244081,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Timmermans,Unknown,Netherlands,nl,Willem II Tilburg,Oss,Unknown,Midfield - Left Midfield,Unknown,03.01.1939,289,78,14,0,0,0,0,0,4,25.815
Bud Brocken,Retired,https://www.transfermarkt.us/bud-brocken/profil/spieler/151820,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Brocken,-,Netherlands,nl,Willem II Tilburg,Tilburg,Budde Jan Peter Maria Brocken,Attack - Right Winger,Unknown,12.09.1957,279,38,27,0,6,0,0,9,21,23.907
Frans Roemgens,---,https://www.transfermarkt.us/frans-roemgens/profil/spieler/243491,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Roemgens,Unknown,Netherlands,nl,Willem II Tilburg,Unknown,Unknown,Defender - Sweeper,Unknown,14.06.1944,270,9,4,2,4,0,0,1,11,23.651
Don van Riel,Retired,https://www.transfermarkt.us/don-van-riel/profil/spieler/382983,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,van Riel,Unknown,Netherlands,nl,Willem II Tilburg,Unknown,Unknown,Defender - Centre-Back,Unknown,14.03.1946,259,13,5,0,0,0,0,9,14,22.286
Jatto Ceesay,Retired,https://www.transfermarkt.us/jatto-ceesay/profil/spieler/4575,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Ceesay,3,The Gambia,unknown,Willem II Tilburg,Serekunda,Unknown,Attack - Right Winger,"1,74 m",16.11.1974,256,38,32,0,25,0,4,56,77,17.379
Jordens Peters,Retired,https://www.transfermarkt.us/jordens-peters/profil/spieler/31880,https://img.a.transfermarkt.technology/portrait/small/31880-1418922298.jpg?lm=1,Peters,-,Netherlands,nl,Willem II Tilburg,Nijmegen,Unknown,Defender - Centre-Back,"1,83 m",03.05.1987,250,7,3,1,31,2,2,8,18,21.255
Freek Heerkens,Retired,https://www.transfermarkt.us/freek-heerkens/profil/spieler/88074,https://img.a.transfermarkt.technology/portrait/small/88074-1629791631.jpg?lm=1,Heerkens,-,Netherlands,nl,Willem II Tilburg,Heeswijk-Dinther,Unknown,Defender - Centre-Back,"1,85 m",13.09.1989,247,9,10,3,34,0,2,40,26,19.015
Roland Jansen,Retired,https://www.transfermarkt.us/roland-jansen/profil/spieler/6771,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Jansen,Unknown,Netherlands,nl,Willem II Tilburg,Unknown,Unknown,Goalkeeper,"1,94 m",24.09.1967,221,0,0,0,5,0,2,1,0,19.850
Raymond Victoria,Retired,https://www.transfermarkt.us/raymond-victoria/profil/spieler/4574,https://img.a.transfermarkt.technology/portrait/small/4574-1549888439.jpg?lm=1,Victoria,6,Curacao,unknown,Willem II Tilburg,Utrecht,Unknown,Midfield - Central Midfield,N/A,10.10.1972,218,6,6,3,34,0,1,13,33,17.854
Jan Brooijmans,---,https://www.transfermarkt.us/jan-brooijmans/profil/spieler/151823,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Brooijmans,-,Netherlands,nl,Willem II Tilburg,Molenschot,Unknown,Defender,Unknown,03.11.1929,216,13,0,3,0,0,0,1,4,19.298
