rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Johan Cruyff,Hendrik Johannes Cruyff,351,254,202,30.514,N/A,Cruyff,14,7,1,Ajax Amsterdam,Midfield - Attacking Midfield,,Netherlands,nl,https://www.transfermarkt.us/johan-cruyff/profil/spieler/8021,https://img.a.transfermarkt.technology/portrait/small/8021-1458823519.jpg?lm=1,N/A,25.04.1947,Amsterdam,---
2,Piet Keizer,Petrus Johannes Keizer,464,176,157,39.890,N/A,Keizer,-,9,1,Ajax Amsterdam,Attack - Left Winger,"1,75 m",Netherlands,nl,https://www.transfermarkt.us/piet-keizer/profil/spieler/142888,https://img.a.transfermarkt.technology/portrait/small/s_142888_123_2012_1.jpg?lm=1,N/A,14.06.1943,Amsterdam,---
3,Sjaak Swart,Jesaia Swart,570,213,145,49.394,N/A,Swart,-,1,0,Ajax Amsterdam,Attack - Right Winger,"1,80 m",Netherlands,nl,https://www.transfermarkt.us/sjaak-swart/profil/spieler/152407,https://img.a.transfermarkt.technology/portrait/small/152407-1694425919.jpg?lm=1,N/A,03.07.1938,Muiderberg,Retired
4,Dušan Tadić,Душан Тадић,241,105,112,20.522,N/A,Tadić,-,19,0,Ajax Amsterdam,Attack - Right Winger,"1,81 m",Serbia,rs,https://www.transfermarkt.us/dusan-tadic/profil/spieler/36139,https://img.a.transfermarkt.technology/portrait/small/36139-1728391824.JPG?lm=1,N/A,20.11.1988,Bačka Topola,Fenerbahce
5,Frank Arnesen,Unknown,213,75,82,17.924,N/A,Arnesen,15,6,0,Ajax Amsterdam,Midfield - Attacking Midfield,"1,81 m",Denmark,dk,https://www.transfermarkt.us/frank-arnesen/profil/spieler/116128,https://img.a.transfermarkt.technology/portrait/small/116128-1672936660.jpg?lm=1,N/A,30.09.1956,Kopenhagen,Retired
6,Hakim Ziyech,حكيم زياش,165,49,75,13.799,N/A,Ziyech,15,16,0,Ajax Amsterdam,Attack - Right Winger,"1,80 m",Morocco,ma,https://www.transfermarkt.us/hakim-ziyech/profil/spieler/217111,https://img.a.transfermarkt.technology/portrait/small/217111-1701255091.png?lm=1,N/A,19.03.1993,Dronten,Al-Duhail SC
7,Sören Lerby,Søren Lerby,269,92,69,22.583,N/A,Lerby,6,12,0,Ajax Amsterdam,Midfield - Central Midfield,,Denmark,dk,https://www.transfermarkt.us/soren-lerby/profil/spieler/95374,https://img.a.transfermarkt.technology/portrait/small/95374-1446129621.jpg?lm=1,N/A,01.02.1958,Kopenhagen,Retired
8,Luis Suárez,Luis Alberto Suárez Díaz,159,111,68,13.347,N/A,Suárez,9,42,1,Ajax Amsterdam,Attack - Centre-Forward,"1,82 m",Uruguay,uy,https://www.transfermarkt.us/luis-suarez/profil/spieler/44352,https://img.a.transfermarkt.technology/portrait/small/44352-1740775519.jpg?lm=1,N/A,24.01.1987,Salto,Inter Miami CF
9,Christian Eriksen,Christian Dannemann Eriksen,163,32,65,12.042,N/A,Eriksen,-,7,0,Ajax Amsterdam,Midfield - Central Midfield,"1,82 m",Denmark,dk,https://www.transfermarkt.us/christian-eriksen/profil/spieler/69633,https://img.a.transfermarkt.technology/portrait/small/69633-1718628122.jpg?lm=1,N/A,14.02.1992,Middelfart,Manchester United
10,Tscheu La Ling,林球立,223,66,64,17.300,N/A,Ling,-,4,0,Ajax Amsterdam,Attack - Right Winger,"1,88 m",Netherlands,nl,https://www.transfermarkt.us/tscheu-la-ling/profil/spieler/149002,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.01.1956,Den Haag,Retired
