rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Leo van Veen,Unknown,427,169,62,37.739,N/A,van Veen,Unknown,3,1,FC Utrecht,Attack - Centre-Forward,Unknown,Netherlands,nl,https://www.transfermarkt.us/leo-van-veen/profil/spieler/149036,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.06.1946,Utrecht,Retired
2,André Hulshorst,Unknown,174,24,40,13.918,N/A,Hulshorst,Unknown,0,1,FC Utrecht,Attack - Left Winger,Unknown,Netherlands,nl,https://www.transfermarkt.us/andre-hulshorst/profil/spieler/327856,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.08.1946,Unknown,Retired
3,Gyrano Kerk,Unknown,175,42,37,13.881,N/A,Unknown,Unknown,19,0,FC Utrecht,Unknown,Unknown,Suriname,sr,https://www.transfermarkt.us/gyrano-kerk/profil/spieler/268112,https://img.a.transfermarkt.technology/portrait/small/268112-1658227780.png?lm=1,N/A,02.12.1995,Unknown,Royal Antwerp FC
4,Dries Mertens,Unknown,86,21,34,7.331,N/A,Mertens,14,8,0,FC Utrecht,Attack - Second Striker,"1,69 m",Belgium,be,https://www.transfermarkt.us/dries-mertens/profil/spieler/56416,https://img.a.transfermarkt.technology/portrait/small/56416-1671109411.png?lm=1,N/A,06.05.1987,Leuven,Galatasaray
5,Dave van den Bergh,Unknown,207,34,32,16.504,N/A,van den Bergh,11,20,1,FC Utrecht,Midfield - Left Midfield,"1,90 m",Netherlands,nl,https://www.transfermarkt.us/dave-van-den-bergh/profil/spieler/4479,https://img.a.transfermarkt.technology/portrait/small/4479-1599841072.jpg?lm=1,N/A,07.05.1976,Amsterdam,Retired
6,Yassin Ayoub,ياسين أيوب,172,23,29,14.179,N/A,Ayoub,-,22,0,FC Utrecht,Midfield - Central Midfield,"1,74 m",Morocco,ma,https://www.transfermarkt.us/yassin-ayoub/profil/spieler/182573,https://img.a.transfermarkt.technology/portrait/small/182573-1523371925.jpg?lm=1,N/A,06.03.1994,Al Hoceima,Without Club
7,Jan van Staa,Unknown,192,28,29,13.648,N/A,van Staa,Unknown,1,0,FC Utrecht,Midfield,Unknown,Netherlands,nl,https://www.transfermarkt.us/jan-van-staa/profil/spieler/243511,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.05.1955,Utrecht,Retired
8,Sean Klaiber,Sean Desmond Klaiber,188,11,26,15.646,N/A,Klaiber,3,30,0,FC Utrecht,Defender - Right-Back,"1,84 m",Suriname,sr,https://www.transfermarkt.us/sean-klaiber/profil/spieler/268113,https://img.a.transfermarkt.technology/portrait/small/268113-1601549160.jpg?lm=1,N/A,31.07.1994,Nieuwegein,Bröndby IF
9,Jens Toornstra,Unknown,153,30,26,11.426,N/A,Toornstra,8,17,0,FC Utrecht,Midfield - Attacking Midfield,"1,78 m",Netherlands,nl,https://www.transfermarkt.us/jens-toornstra/profil/spieler/134999,https://img.a.transfermarkt.technology/portrait/small/134999-1723461038.jpg?lm=1,N/A,04.04.1989,Alphen aan den Rijn,FC Utrecht
10,Dirk Kuyt,Dirk Kuijt,176,58,24,12.235,N/A,Kuyt,7,11,0,FC Utrecht,Attack - Right Winger,"1,84 m",Netherlands,nl,https://www.transfermarkt.us/dirk-kuyt/profil/spieler/4010,https://img.a.transfermarkt.technology/portrait/small/4010-1719542679.jpg?lm=1,N/A,22.07.1980,Katwijk,Retired
11,Willy Carbo,Unknown,124,54,24,9.755,N/A,Carbo,-,8,0,FC Utrecht,Attack - Centre-Forward,Unknown,Netherlands,nl,https://www.transfermarkt.us/willy-carbo/profil/spieler/243437,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.08.1959,Utrecht,Retired
12,Tommy Oar,Thomas Michael Oar,117,5,23,8.035,N/A,Oar,11,11,0,FC Utrecht,Attack - Left Winger,"1,69 m",Australia,au,https://www.transfermarkt.us/tommy-oar/profil/spieler/80708,https://img.a.transfermarkt.technology/portrait/small/s_80708_200_2012_2.jpg?lm=1,N/A,10.12.1991,Southport,Retired
13,Sander van de Streek,Alexander Gerard van de Streek,212,57,23,15.857,N/A,van de Streek,Unknown,19,0,FC Utrecht,Midfield - Attacking Midfield,"1,80 m",Netherlands,nl,https://www.transfermarkt.us/sander-van-de-streek/profil/spieler/190222,https://img.a.transfermarkt.technology/portrait/small/190222-1726737081.jpg?lm=1,N/A,24.03.1993,Barneveld,Antalyaspor
14,Simon Gustafson,Unknown,112,27,21,9.162,N/A,Gustafson,7,15,1,FC Utrecht,Midfield - Central Midfield,"1,85 m",Sweden,se,https://www.transfermarkt.us/simon-gustafson/profil/spieler/255474,https://img.a.transfermarkt.technology/portrait/small/255474-1629451854.jpg?lm=1,N/A,11.01.1995,Mölndal,BK Häcken
15,John Steen Olsen,Unknown,151,30,19,13.319,N/A,Olsen,-,1,0,FC Utrecht,Attack,Unknown,Denmark,dk,https://www.transfermarkt.us/john-steen-olsen/profil/spieler/241538,https://img.a.transfermarkt.technology/portrait/small/s_241538_123_2012_1.jpg?lm=1,N/A,04.01.1943,København,Retired
16,Nana Asare,Nana Akwasi Asare,122,15,19,10.013,N/A,Asare,-,24,0,FC Utrecht,Defender - Left-Back,"1,75 m",Ghana,gh,https://www.transfermarkt.us/nana-asare/profil/spieler/18759,https://img.a.transfermarkt.technology/portrait/small/18759-1681326663.jpg?lm=1,N/A,11.07.1986,Kumasi,Retired
