rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Lasse Schöne,Lasse Schøne,238,37,31,18.382,N/A,Schöne,19,23,1,NEC Nijmegen,Midfield - Defensive Midfield,"1,78 m",Denmark,dk,https://www.transfermarkt.us/lasse-schone/profil/spieler/34784,https://img.a.transfermarkt.technology/portrait/small/34784-1704798405.jpg?lm=1,N/A,27.05.1986,Taastrup,NEC Nijmegen
2,Jonathan Okita,Jonathan Yula Okita,136,36,31,10.519,N/A,Okita,11,15,0,NEC Nijmegen,Attack - Left Winger,"1,81 m",DR Congo,unknown,https://www.transfermarkt.us/jonathan-okita/profil/spieler/289404,https://img.a.transfermarkt.technology/portrait/small/289404-1720594129.jpg?lm=1,N/A,05.10.1996,Köln,Bodrum FK
3,Navarone Foor,Navarone Chesney Kai Foor,167,17,27,11.021,N/A,Foor,-,11,0,NEC Nijmegen,Midfield - Attacking Midfield,"1,75 m",Netherlands,nl,https://www.transfermarkt.us/navarone-foor/profil/spieler/61612,https://img.a.transfermarkt.technology/portrait/small/61612-1675085837.jpg?lm=1,N/A,04.02.1992,Opheusden,VVV-Venlo
4,Wim Meijers,Unknown,116,14,25,9.176,N/A,Meijers,Unknown,2,0,NEC Nijmegen,Attack - Left Winger,Unknown,Netherlands,nl,https://www.transfermarkt.us/wim-meijers/profil/spieler/243478,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,28.07.1948,Nijmegen,Retired
5,Tini van Reeken,Martines Willem van Reeken,100,19,24,8.623,N/A,van Reeken,Unknown,0,0,NEC Nijmegen,Attack - Left Winger,Unknown,Netherlands,nl,https://www.transfermarkt.us/tini-van-reeken/profil/spieler/621189,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.09.1938,Nijmegen,---
6,Alireza Jahanbakhsh,علیرضا جهانبخش,64,19,22,4.371,N/A,Jahanbakhsh,19,11,1,NEC Nijmegen,Attack - Right Winger,"1,81 m",Iran,ir,https://www.transfermarkt.us/alireza-jahanbakhsh/profil/spieler/213268,https://img.a.transfermarkt.technology/portrait/small/213268-1660812135.jpg?lm=1,N/A,11.08.1993,"Jirandeh, Gilan",SC Heerenveen
7,Anton Janssen,Unknown,237,25,19,19.366,N/A,Janssen,Unknown,15,0,NEC Nijmegen,Midfield - Left Midfield,"1,86 m",Netherlands,nl,https://www.transfermarkt.us/anton-janssen/profil/spieler/151180,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.08.1963,Tiel,Retired
8,Eugène Marijnissen,Unknown,222,37,18,19.779,N/A,Marijnissen,Unknown,2,0,NEC Nijmegen,Midfield - Right Midfield,Unknown,Netherlands,nl,https://www.transfermarkt.us/eugene-marijnissen/profil/spieler/242697,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,28.02.1955,Uden,Retired
9,Anthony Limbombe,Anthony Limbombe Ekango,70,23,18,5.988,N/A,Limbombe,26,4,0,NEC Nijmegen,Attack - Left Winger,"1,77 m",Belgium,be,https://www.transfermarkt.us/anthony-limbombe/profil/spieler/140803,https://img.a.transfermarkt.technology/portrait/small/140803-1714738362.png?lm=1,N/A,15.07.1994,Mechelen,SK Beveren
10,Jan Peters,Johannes Wilhelmus Peters,172,18,18,14.978,N/A,Peters,-,1,0,NEC Nijmegen,Midfield - Central Midfield,"1,72 m",Netherlands,nl,https://www.transfermarkt.us/jan-peters/profil/spieler/150625,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,18.08.1954,Groesbeek,Retired
11,Ryan Koolwijk,Unknown,99,6,18,8.275,N/A,Koolwijk,6,13,2,NEC Nijmegen,Midfield - Central Midfield,"1,93 m",Suriname,sr,https://www.transfermarkt.us/ryan-koolwijk/profil/spieler/65256,https://img.a.transfermarkt.technology/portrait/small/65256-1581583803.png?lm=1,N/A,08.08.1985,Rotterdam,Retired
12,Elayis Tavsan,Elayis Tavşan,118,25,17,8.736,N/A,Tavsan,22,5,0,NEC Nijmegen,Attack - Right Winger,"1,83 m",Netherlands,nl,https://www.transfermarkt.us/elayis-tavsan/profil/spieler/462086,https://img.a.transfermarkt.technology/portrait/small/462086-1704798303.jpg?lm=1,N/A,30.04.2001,Rotterdam,Cesena FC
13,Arnaut Danjuma,Arnaut Danjuma Adam Groeneveld,46,14,17,3.461,N/A,Danjuma,9,4,0,NEC Nijmegen,Attack - Left Winger,"1,78 m",Netherlands,nl,https://www.transfermarkt.us/arnaut-danjuma/profil/spieler/355861,https://img.a.transfermarkt.technology/portrait/small/355861-1674657323.jpg?lm=1,N/A,31.01.1997,Lagos,Girona FC
14,Gerard Weber,Unknown,74,12,16,6.435,N/A,Weber,Unknown,0,0,NEC Nijmegen,Midfield,Unknown,Netherlands,nl,https://www.transfermarkt.us/gerard-weber/profil/spieler/188769,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,22.08.1941,Den Bosch,Retired
15,Frans Janssen,Unknown,288,64,16,23.290,N/A,Janssen,Unknown,12,1,NEC Nijmegen,Attack - Centre-Forward,Unknown,Netherlands,nl,https://www.transfermarkt.us/frans-janssen/profil/spieler/240991,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,03.01.1955,Groesbeek,Retired
16,Ferdi Kadıoğlu,Ferdi Erenay Kadıoğlu,70,12,16,4.436,N/A,Kadıoğlu,6,5,0,NEC Nijmegen,Defender - Left-Back,"1,74 m",Türkiye,tr,https://www.transfermarkt.us/ferdi-kadioglu/profil/spieler/369316,https://img.a.transfermarkt.technology/portrait/small/369316-1724792538.jpg?lm=1,N/A,07.10.1999,Arnhem,Brighton & Hove Albion
17,Gregor Breinburg,Gregor Flanegin Breinburg,144,8,16,12.483,N/A,Breinburg,6,14,0,NEC Nijmegen,Midfield - Central Midfield,"1,75 m",Aruba,aw,https://www.transfermarkt.us/gregor-breinburg/profil/spieler/133372,https://img.a.transfermarkt.technology/portrait/small/133372-1447761981.jpg?lm=1,N/A,16.09.1991,Arnhem,Elsweide
18,Jürgen Jendrossek,Unknown,73,27,15,6.525,N/A,Jendrossek,Unknown,0,0,NEC Nijmegen,Attack - Right Winger,Unknown,Germany,de,https://www.transfermarkt.us/jurgen-jendrossek/profil/spieler/96036,https://img.a.transfermarkt.technology/portrait/small/96036-1434439493.jpg?lm=1,N/A,24.02.1948,Berlin,Retired
19,Jordy Bruijn,Unknown,107,25,15,7.184,N/A,Bruijn,-,11,0,NEC Nijmegen,Midfield - Attacking Midfield,"1,71 m",Netherlands,nl,https://www.transfermarkt.us/jordy-bruijn/profil/spieler/241378,https://img.a.transfermarkt.technology/portrait/small/241378-1724753111.jpg?lm=1,N/A,23.07.1996,Amsterdam,Heracles Almelo
20,Édgar Barreto,Édgar Osvaldo Barreto Cáceres,154,14,15,11.864,N/A,Barreto,-,20,0,NEC Nijmegen,Midfield - Central Midfield,"1,80 m",Paraguay,py,https://www.transfermarkt.us/edgar-barreto/profil/spieler/16120,https://img.a.transfermarkt.technology/portrait/small/16120-1448965155.jpg?lm=1,N/A,15.07.1984,Asunción,Retired
21,Sije Visser,Unknown,407,14,15,35.727,N/A,Visser,-,25,0,NEC Nijmegen,Defender - Left-Back,Unknown,Netherlands,nl,https://www.transfermarkt.us/sije-visser/profil/spieler/241004,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.08.1950,Menaldum,Retired
22,Andrzej Niedzielan,Unknown,89,20,15,6.444,N/A,Niedzielan,17,19,1,NEC Nijmegen,Attack - Centre-Forward,"1,80 m",Poland,pl,https://www.transfermarkt.us/andrzej-niedzielan/profil/spieler/14217,https://img.a.transfermarkt.technology/portrait/small/s_14217_318_2012_1.jpg?lm=1,N/A,27.02.1979,Żary,Retired
23,Bart van Rooij,Unknown,170,7,15,15.019,N/A,van Rooij,12,12,0,NEC Nijmegen,Defender - Right-Back,"1,74 m",Netherlands,nl,https://www.transfermarkt.us/bart-van-rooij/profil/spieler/547499,https://img.a.transfermarkt.technology/portrait/small/547499-1723716528.jpg?lm=1,N/A,26.05.2001,Escharen,Twente Enschede FC
24,Patrick Pothuizen,Unknown,319,25,14,24.112,N/A,Pothuizen,Unknown,56,2,NEC Nijmegen,Defender - Centre-Back,"1,86 m",Netherlands,nl,https://www.transfermarkt.us/patrick-pothuizen/profil/spieler/4589,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.05.1972,Culemborg,Retired
25,Peter Ressel,Peter Helmut Ressel,38,8,14,3.430,N/A,Ressel,-,0,0,NEC Nijmegen,Attack - Right Winger,Unknown,Netherlands,nl,https://www.transfermarkt.us/peter-ressel/profil/spieler/153941,https://img.a.transfermarkt.technology/portrait/small/s_153941_123_2012_1.jpg?lm=1,N/A,04.12.1945,Krommenie,Retired
26,Youssef El Akchaoui,يوسف العكشاوي,132,17,14,11.799,N/A,El Akchaoui,-,12,1,NEC Nijmegen,Defender - Left-Back,,Morocco,ma,https://www.transfermarkt.us/youssef-el-akchaoui/profil/spieler/1560,https://img.a.transfermarkt.technology/portrait/small/1560-1649145914.jpg?lm=1,N/A,18.02.1981,Dordrecht,Retired
27,Guus Hiddink,Unknown,107,2,13,9.526,N/A,Hiddink,Unknown,3,0,NEC Nijmegen,Midfield - Central Midfield,Unknown,Netherlands,nl,https://www.transfermarkt.us/guus-hiddink/profil/spieler/188763,https://img.a.transfermarkt.technology/portrait/small/s_188763_123_2012_1.jpg?lm=1,N/A,08.11.1946,Varsseveld,Retired
28,Bennie Werts,Unknown,136,18,13,11.846,N/A,Werts,Unknown,0,0,NEC Nijmegen,Midfield - Left Midfield,Unknown,Netherlands,nl,https://www.transfermarkt.us/bennie-werts/profil/spieler/621192,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,16.11.1940,Nijmegen,Retired
29,Theo de Jong,Unknown,64,22,13,5.695,N/A,de Jong,-,0,0,NEC Nijmegen,Midfield - Central Midfield,Unknown,Netherlands,nl,https://www.transfermarkt.us/theo-de-jong/profil/spieler/142887,https://img.a.transfermarkt.technology/portrait/small/s_142887_123_2012_1.jpg?lm=1,N/A,11.08.1947,Leeuwarden,Retired
30,Leroy George,Leroy Martin Giovanni George,85,12,13,5.200,N/A,George,18,9,1,NEC Nijmegen,Attack - Left Winger,"1,75 m",Netherlands,nl,https://www.transfermarkt.us/leroy-george/profil/spieler/49591,https://img.a.transfermarkt.technology/portrait/small/49591-1520425288.jpg?lm=1,N/A,21.04.1987,Paramaribo,Real Sranang
31,Kevin Conboy,Unknown,130,9,13,11.163,N/A,Conboy,-,23,4,NEC Nijmegen,Defender - Left-Back,"1,85 m",Denmark,dk,https://www.transfermarkt.us/kevin-conboy/profil/spieler/72943,https://img.a.transfermarkt.technology/portrait/small/72943-1610461150.jpg?lm=1,N/A,15.10.1987,Esbjerg,Retired
32,Cas Janssens,Franciscus Janssens,106,37,12,9.496,N/A,Janssens,Unknown,3,0,NEC Nijmegen,Attack - Centre-Forward,"1,79 m",Netherlands,nl,https://www.transfermarkt.us/cas-janssens/profil/spieler/154352,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,03.08.1944,Tilburg,---
33,Christian Santos,Christian Robert Santos Kwasniewski,70,41,12,5.671,N/A,Santos,-,12,0,NEC Nijmegen,Attack - Centre-Forward,"1,84 m",Venezuela,ve,https://www.transfermarkt.us/christian-santos/profil/spieler/50487,https://img.a.transfermarkt.technology/portrait/small/50487-1447762362.jpg?lm=1,N/A,24.03.1988,Puerto Ordaz,Anzoátegui FC
34,Oussama Tannane,أسامة طناني,28,7,12,2.390,N/A,Tannane,14,8,1,NEC Nijmegen,Midfield - Attacking Midfield,"1,74 m",Morocco,ma,https://www.transfermarkt.us/oussama-tannane/profil/spieler/235540,https://img.a.transfermarkt.technology/portrait/small/235540-1739290145.jpg?lm=1,N/A,23.03.1994,Tétouan,Umm Salal SC
35,John Goossens,Unknown,78,17,12,5.151,N/A,Goossens,-,8,1,NEC Nijmegen,Midfield - Defensive Midfield,"1,74 m",Netherlands,nl,https://www.transfermarkt.us/john-goossens/profil/spieler/35527,https://img.a.transfermarkt.technology/portrait/small/35527-1489574301.JPG?lm=1,N/A,25.07.1988,Heemstede,Retired
36,Souffian El Karouani,Unknown,114,6,12,9.741,N/A,El Karouani,21,17,1,NEC Nijmegen,Defender - Left-Back,"1,78 m",Morocco,ma,https://www.transfermarkt.us/souffian-el-karouani/profil/spieler/541134,https://img.a.transfermarkt.technology/portrait/small/541134-1723460557.jpg?lm=1,N/A,19.10.2000,’s-Hertogenbosch,FC Utrecht
37,Chris Geutjes,Unknown,116,33,12,9.976,N/A,Geutjes,Unknown,0,0,NEC Nijmegen,Attack - Centre-Forward,Unknown,Netherlands,nl,https://www.transfermarkt.us/chris-geutjes/profil/spieler/621182,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,18.03.1941,Renkum,Retired
38,Chris Kronshorst,Christiaan Adrianus Kronshorst,77,6,12,6.650,N/A,Kronshorst,Unknown,1,0,NEC Nijmegen,Midfield - Central Midfield,Unknown,Netherlands,nl,https://www.transfermarkt.us/chris-kronshorst/profil/spieler/322146,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,04.12.1946,Delft,Retired
39,Bart Latuheru,Barnabas Anthony Peter Latuheru,142,10,12,11.903,N/A,Latuheru,-,18,1,NEC Nijmegen,Attack - Right Winger,Unknown,Netherlands,nl,https://www.transfermarkt.us/bart-latuheru/profil/spieler/148272,https://img.a.transfermarkt.technology/portrait/small/148272-1519126182.jpg?lm=1,N/A,08.11.1965,Capelle aan den IJssel,Retired
40,Ad Mellaard,Adri Mellaard,278,11,11,24.161,N/A,Mellaard,Unknown,2,0,NEC Nijmegen,Defender - Left-Back,Unknown,Netherlands,nl,https://www.transfermarkt.us/ad-mellaard/profil/spieler/242698,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,19.11.1942,Stad aan 't Haringvliet,Retired
41,Søren Rieks,Søren Krukow Rieks,62,10,11,5.086,N/A,Rieks,-,11,0,NEC Nijmegen,Attack - Left Winger,"1,84 m",Denmark,dk,https://www.transfermarkt.us/soren-rieks/profil/spieler/44471,https://img.a.transfermarkt.technology/portrait/small/44471-1548405718.jpg?lm=1,N/A,07.04.1987,Esbjerg,Retired
