rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Rick Hoogendorp,Unknown,237,107,20,19.419,N/A,Hoogendorp,Unknown,21,1,RKC Waalwijk,Attack - Centre-Forward,"1,81 m",Netherlands,nl,https://www.transfermarkt.us/rick-hoogendorp/profil/spieler/4508,https://img.a.transfermarkt.technology/portrait/small/4508-1677875115.jpg?lm=1,N/A,12.01.1975,Blerick,Retired
2,Fred Benson,Fredua Buadee Benson Erchiah,155,61,29,11.010,N/A,Benson,-,21,1,RKC Waalwijk,Attack - Centre-Forward,"1,77 m",Netherlands,nl,https://www.transfermarkt.us/fred-benson/profil/spieler/30473,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.04.1984,Accra,Retired
3,Marco Boogers,Unknown,120,48,1,10.157,N/A,Boogers,Unknown,15,1,RKC Waalwijk,Attack - Centre-Forward,"1,85 m",Netherlands,nl,https://www.transfermarkt.us/marco-boogers/profil/spieler/206493,https://img.a.transfermarkt.technology/portrait/small/s_206493_123_2012_1.jpg?lm=1,N/A,12.01.1967,Dordrecht,Retired
4,André Hoekstra,Unknown,143,43,6,11.404,N/A,Hoekstra,-,1,0,RKC Waalwijk,Midfield - Right Midfield,Unknown,Netherlands,nl,https://www.transfermarkt.us/andre-hoekstra/profil/spieler/152294,https://img.a.transfermarkt.technology/portrait/small/s_152294_123_2012_1.jpg?lm=1,N/A,05.04.1962,Baarn,Retired
5,Harry Decheiver,Unknown,66,35,1,5.490,N/A,Decheiver,Unknown,2,0,RKC Waalwijk,Attack - Centre-Forward,,Netherlands,nl,https://www.transfermarkt.us/harry-decheiver/profil/spieler/13980,https://img.a.transfermarkt.technology/portrait/small/13980-1461223665.jpg?lm=1,N/A,08.03.1970,Deventer,Retired
6,Marcel Brands,Unknown,245,35,8,21.842,N/A,Brands,Unknown,8,1,RKC Waalwijk,Midfield - Central Midfield,Unknown,Netherlands,nl,https://www.transfermarkt.us/marcel-brands/profil/spieler/186321,https://img.a.transfermarkt.technology/portrait/small/s_186321_123_2012_1.jpg?lm=1,N/A,16.03.1962,Den Bosch,Retired
7,Michiel Kramer,Unknown,103,31,7,6.477,N/A,Kramer,Unknown,22,1,RKC Waalwijk,Attack - Centre-Forward,"1,96 m",Netherlands,nl,https://www.transfermarkt.us/michiel-kramer/profil/spieler/56523,https://img.a.transfermarkt.technology/portrait/small/56523-1669890260.jpg?lm=1,N/A,03.12.1988,Rotterdam,RKC Waalwijk
8,Derk Boerrigter,Unknown,70,29,21,5.964,N/A,Boerrigter,-,12,0,RKC Waalwijk,Attack - Left Winger,"1,88 m",Netherlands,nl,https://www.transfermarkt.us/derk-boerrigter/profil/spieler/30668,https://img.a.transfermarkt.technology/portrait/small/s_30668_610_2012_2.jpg?lm=1,N/A,16.10.1986,Oldenzaal,Retired
9,Pieter Langedijk,Unknown,56,27,13,4.817,N/A,Langedijk,-,8,0,RKC Waalwijk,Attack - Left Winger,"1,80 m",Netherlands,nl,https://www.transfermarkt.us/pieter-langedijk/profil/spieler/248617,https://img.a.transfermarkt.technology/portrait/small/248617-1492675043.jpg?lm=1,N/A,10.02.1994,Maassluis,Excelsior Maassluis
10,Yuri Cornelisse,Unknown,163,27,23,12.693,N/A,Cornelisse,Unknown,9,0,RKC Waalwijk,Midfield - Right Midfield,"1,84 m",Netherlands,nl,https://www.transfermarkt.us/yuri-cornelisse/profil/spieler/4507,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,08.05.1975,Alkmaar,Retired
