rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Eddy Bosman,Unknown,267,83,21,22.694,N/A,Bosman,-,12,0,SC Heerenveen,Midfield - Central Midfield,Unknown,Netherlands,nl,https://www.transfermarkt.us/eddy-bosman/profil/spieler/335797,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,28.02.1955,Tjalleberd,Retired
2,Gerald Sibon,Unknown,181,67,27,12.126,N/A,Sibon,-,18,0,SC Heerenveen,Attack - Centre-Forward,,Netherlands,nl,https://www.transfermarkt.us/gerald-sibon/profil/spieler/4559,https://img.a.transfermarkt.technology/portrait/small/4559-1464623452.jpg?lm=1,N/A,19.04.1974,Emmen,Retired
3,Thomas Haan,Unknown,194,64,41,16.969,N/A,Haan,Unknown,2,0,SC Heerenveen,Midfield,Unknown,Netherlands,nl,https://www.transfermarkt.us/thomas-haan/profil/spieler/314630,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,18.11.1945,Oude Pekela,Retired
4,Jeffrey Talan,Jeffrey Dennis Talan,208,55,20,14.551,N/A,Talan,-,9,1,SC Heerenveen,Attack - Right Winger,"1,76 m",Netherlands,nl,https://www.transfermarkt.us/jeffrey-talan/profil/spieler/4412,https://img.a.transfermarkt.technology/portrait/small/4412-1613576333.jpg?lm=1,N/A,29.09.1971,Katwijk,Retired
5,Henk Veerman,Hendrik Andreas Jacobus Veerman,165,43,17,8.487,N/A,Veerman,Unknown,11,1,SC Heerenveen,Attack - Centre-Forward,"2,01 m",Netherlands,nl,https://www.transfermarkt.us/henk-veerman/profil/spieler/271743,https://img.a.transfermarkt.technology/portrait/small/271743-1726674249.jpg?lm=1,N/A,26.02.1991,Volendam,FC Volendam
6,Danijel Pranjic,Danijel Pranjić,168,41,43,14.676,N/A,Pranjic,3,8,0,SC Heerenveen,Defender - Left-Back,"1,72 m",Croatia,hr,https://www.transfermarkt.us/danijel-pranjic/profil/spieler/25617,https://img.a.transfermarkt.technology/portrait/small/25617-1508507466.jpg?lm=1,N/A,02.12.1981,Našice,Retired
7,Jan Schulting,Unknown,183,40,34,12.825,N/A,Schulting,Unknown,1,0,SC Heerenveen,Attack - Left Winger,Unknown,Netherlands,nl,https://www.transfermarkt.us/jan-schulting/profil/spieler/362028,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.01.1956,Nij Beets,Retired
8,Henk Prinsen,Unknown,221,38,40,17.155,N/A,Prinsen,Unknown,2,0,SC Heerenveen,Attack - Left Winger,Unknown,Netherlands,nl,https://www.transfermarkt.us/henk-prinsen/profil/spieler/314636,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.03.1944,Unknown,Retired
9,Henk Zoetendal,Unknown,203,37,26,18.288,N/A,Zoetendal,-,1,0,SC Heerenveen,Midfield - Right Midfield,"1,90 m",Netherlands,nl,https://www.transfermarkt.us/henk-zoetendal/profil/spieler/188583,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,11.08.1941,Joure,---
10,Boy Nijgh,Unknown,131,35,22,11.340,N/A,Nijgh,Unknown,6,1,SC Heerenveen,Attack - Centre-Forward,Unknown,Netherlands,nl,https://www.transfermarkt.us/boy-nijgh/profil/spieler/330499,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.10.1955,Haarlem,---
11,Mika Väyrynen,Unknown,188,32,15,14.220,N/A,Väyrynen,-,35,0,SC Heerenveen,Midfield - Central Midfield,"1,81 m",Finland,fi,https://www.transfermarkt.us/mika-vayrynen/profil/spieler/4405,https://img.a.transfermarkt.technology/portrait/small/s_4405_1008_2013_10_08_1.jpg?lm=1,N/A,28.12.1981,Eskilstuna,Retired
12,Cees Kist,Unknown,227,32,28,17.890,N/A,Kist,Unknown,0,0,SC Heerenveen,Midfield - Central Midfield,Unknown,Netherlands,nl,https://www.transfermarkt.us/cees-kist/profil/spieler/600879,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,03.10.1947,Unknown,Retired
13,Pelle van Amersfoort,Petrus Benjamin van Amersfoort,159,28,12,8.976,N/A,van Amersfoort,-,12,0,SC Heerenveen,Attack - Centre-Forward,"1,95 m",Netherlands,nl,https://www.transfermarkt.us/pelle-van-amersfoort/profil/spieler/262613,https://img.a.transfermarkt.technology/portrait/small/262613-1727116606.jpg?lm=1,N/A,01.04.1996,Beverwijk,Al-Shahania SC
14,Mika Nurmela,Unknown,155,28,31,12.961,N/A,Nurmela,-,14,0,SC Heerenveen,Midfield - Right Midfield,,Finland,fi,https://www.transfermarkt.us/mika-nurmela/profil/spieler/4409,https://img.a.transfermarkt.technology/portrait/small/s_4409_7008_2013_10_01_1.jpg?lm=1,N/A,26.12.1971,Oulu,Retired
15,Romano Denneboom,Unknown,132,28,13,7.098,N/A,Denneboom,-,9,1,SC Heerenveen,Attack - Right Winger,,Netherlands,nl,https://www.transfermarkt.us/romano-denneboom/profil/spieler/4166,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,29.01.1981,Schiedam,Retired
16,Lee-Roy Echteld,Unknown,136,28,13,10.114,N/A,Echteld,Unknown,13,2,SC Heerenveen,Midfield - Attacking Midfield,"1,89 m",Netherlands,nl,https://www.transfermarkt.us/lee-roy-echteld/profil/spieler/114366,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,30.09.1968,Amsterdam,Retired
17,Roy Beerens,Roy Johannes Hendricus Beerens,143,27,41,10.580,N/A,Beerens,-,8,0,SC Heerenveen,Attack - Right Winger,,Netherlands,nl,https://www.transfermarkt.us/roy-beerens/profil/spieler/25427,https://img.a.transfermarkt.technology/portrait/small/25427-1471012088.jpg?lm=1,N/A,22.12.1987,Bladel,Retired
18,Piet Boskma,Unknown,272,27,6,22.389,N/A,Boskma,Unknown,7,0,SC Heerenveen,Defender - Centre-Back,Unknown,Netherlands,nl,https://www.transfermarkt.us/piet-boskma/profil/spieler/362004,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,22.10.1952,Unknown,Retired
19,Teun Kist,Unknown,265,26,32,23.246,N/A,Kist,Unknown,7,0,SC Heerenveen,Defender,Unknown,Netherlands,nl,https://www.transfermarkt.us/teun-kist/profil/spieler/243387,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.07.1950,Unknown,Retired
20,Luciano Slagveer,Unknown,136,25,16,8.322,N/A,Slagveer,-,5,0,SC Heerenveen,Attack - Right Winger,"1,79 m",Suriname,sr,https://www.transfermarkt.us/luciano-slagveer/profil/spieler/187298,https://img.a.transfermarkt.technology/portrait/small/187298-1592154690.jpg?lm=1,N/A,05.10.1993,Rotterdam,TOP Oss
21,Dirk Visser,Unknown,268,23,14,23.026,N/A,Visser,Unknown,8,0,SC Heerenveen,Defender - Sweeper,Unknown,Netherlands,nl,https://www.transfermarkt.us/dirk-visser/profil/spieler/362030,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.02.1952,Unknown,Retired
22,Johan Hansma,Unknown,270,21,7,23.340,N/A,Hansma,Unknown,34,0,SC Heerenveen,Defender - Centre-Back,"1,83 m",Netherlands,nl,https://www.transfermarkt.us/johan-hansma/profil/spieler/4395,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,11.06.1969,Marknesse,Retired
23,Daniel Jensen,Unknown,141,20,10,10.684,N/A,Jensen,-,8,0,SC Heerenveen,Midfield - Central Midfield,,Denmark,dk,https://www.transfermarkt.us/daniel-jensen/profil/spieler/4403,https://img.a.transfermarkt.technology/portrait/small/4403-1493294727.jpg?lm=1,N/A,25.06.1979,Kopenhagen,Retired
24,Jan de Visser,Unknown,238,19,16,21.106,N/A,de Visser,Unknown,21,0,SC Heerenveen,Midfield - Left Midfield,Unknown,Netherlands,nl,https://www.transfermarkt.us/jan-de-visser/profil/spieler/117298,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.01.1968,Hoorn,Retired
25,Gérard de Nooijer,Unknown,138,18,8,11.132,N/A,de Nooijer,Unknown,13,1,SC Heerenveen,Defender - Centre-Back,"1,84 m",Netherlands,nl,https://www.transfermarkt.us/gerard-de-nooijer/profil/spieler/4398,https://img.a.transfermarkt.technology/portrait/small/s_4398_123_2012_1.jpg?lm=1,N/A,04.04.1969,Oost-Souburg,Retired
26,Bert Gotink,Unknown,134,17,12,10.225,N/A,Gotink,Unknown,4,0,SC Heerenveen,Midfield - Left Midfield,Unknown,Netherlands,nl,https://www.transfermarkt.us/bert-gotink/profil/spieler/243382,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.10.1960,Unknown,Retired
27,Ruud Wierts,Rudolf Adrianus Andrea Johannes Elisabeth Marie Wierts,140,17,16,11.157,N/A,Wierts,Unknown,1,0,SC Heerenveen,Midfield - Left Midfield,Unknown,Netherlands,nl,https://www.transfermarkt.us/ruud-wierts/profil/spieler/223926,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.11.1950,Den Bosch,Retired
28,Petter Hansson,Unknown,200,16,8,17.759,N/A,Hansson,-,18,1,SC Heerenveen,Defender - Centre-Back,"1,86 m",Sweden,se,https://www.transfermarkt.us/petter-hansson/profil/spieler/6854,https://img.a.transfermarkt.technology/portrait/small/6854-1719164119.jpg?lm=1,N/A,14.12.1976,Söderhamn,Retired
29,Morten Thorsby,Unknown,130,13,8,8.192,N/A,Thorsby,8,18,2,SC Heerenveen,Midfield - Central Midfield,"1,88 m",Norway,no,https://www.transfermarkt.us/morten-thorsby/profil/spieler/226524,https://img.a.transfermarkt.technology/portrait/small/226524-1725529624.jpg?lm=1,N/A,05.05.1996,Oslo,Genoa CFC
30,Michel Breuer,Unknown,297,11,10,25.148,N/A,Breuer,Unknown,34,1,SC Heerenveen,Defender - Centre-Back,"1,83 m",Netherlands,nl,https://www.transfermarkt.us/michel-breuer/profil/spieler/24498,https://img.a.transfermarkt.technology/portrait/small/s_24498_467_2013_07_10_1.jpg?lm=1,N/A,25.05.1980,Gouda,Retired
31,Wiebe de Jong,Unknown,271,9,25,24.478,N/A,de Jong,Unknown,2,0,SC Heerenveen,Defender - Right-Back,Unknown,Netherlands,nl,https://www.transfermarkt.us/wiebe-de-jong/profil/spieler/600877,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.09.1944,Unknown,Retired
32,Marco Roelofsen,Unknown,136,8,3,10.627,N/A,Roelofsen,-,7,0,SC Heerenveen,Midfield - Central Midfield,,Netherlands,nl,https://www.transfermarkt.us/marco-roelofsen/profil/spieler/7298,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,03.10.1968,Harderwijk,Retired
