rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Henk 'Charly' Bosveld,Hendrik Willem Bosveld,233,103,70,20.396,N/A,Bosveld,-,2,0,Sparta Rotterdam,Midfield - Central Midfield,"1,86 m",Netherlands,nl,https://www.transfermarkt.us/henk-charly-bosveld/profil/spieler/151785,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.07.1941,Velp,---
2,Nol Heijerman,Arnold Heijerman,260,73,61,22.005,N/A,Heijerman,-,4,0,Sparta Rotterdam,Attack - Right Winger,"1,80 m",Netherlands,nl,https://www.transfermarkt.us/nol-heijerman/profil/spieler/232737,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,10.10.1940,Rotterdam,---
3,Jan Klijnjan,Johannes Theunis Klijnjan,171,66,50,14.786,N/A,Klijnjan,-,0,1,Sparta Rotterdam,Attack - Centre-Forward,"1,76 m",Netherlands,nl,https://www.transfermarkt.us/jan-klijnjan/profil/spieler/152448,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.02.1945,Papendrecht,---
4,Jörgen Kristensen,Jørgen Kristensen,137,19,45,12.008,N/A,Kristensen,-,0,0,Sparta Rotterdam,Attack - Left Winger,Unknown,Denmark,dk,https://www.transfermarkt.us/jorgen-kristensen/profil/spieler/97609,https://img.a.transfermarkt.technology/portrait/small/s_97609_123_2012_1.jpg?lm=1,N/A,12.12.1946,Hedehusene,Retired
5,Louis van Gaal,Aloysius Paulus Maria van Gaal,222,21,43,19.369,N/A,van Gaal,Unknown,6,0,Sparta Rotterdam,Midfield - Central Midfield,"1,87 m",Netherlands,nl,https://www.transfermarkt.us/louis-van-gaal/profil/spieler/150899,https://img.a.transfermarkt.technology/portrait/small/150899-1487243620.jpg?lm=1,N/A,08.08.1951,Amsterdam,Retired
6,Thomas Verhaar,Unknown,129,41,42,9.049,N/A,Verhaar,Unknown,9,0,Sparta Rotterdam,Attack - Right Winger,"1,80 m",Netherlands,nl,https://www.transfermarkt.us/thomas-verhaar/profil/spieler/77147,https://img.a.transfermarkt.technology/portrait/small/77147-1490863223.jpg?lm=1,N/A,08.03.1988,Rotterdam,Retired
7,Jan van der Veen,Unknown,299,13,39,25.696,N/A,van der Veen,-,7,0,Sparta Rotterdam,Midfield,"1,80 m",Netherlands,nl,https://www.transfermarkt.us/jan-van-der-veen/profil/spieler/257214,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,06.07.1948,Meppel,Retired
8,Arie van Staveren,Adri van Staveren,253,51,38,20.787,N/A,van Staveren,Unknown,0,0,Sparta Rotterdam,Attack - Left Winger,Unknown,Netherlands,nl,https://www.transfermarkt.us/arie-van-staveren/profil/spieler/243512,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.04.1953,Warmond,Retired
9,Hans Venneker,Unknown,261,57,38,22.868,N/A,Venneker,-,1,0,Sparta Rotterdam,Defender - Right-Back,Unknown,Netherlands,nl,https://www.transfermarkt.us/hans-venneker/profil/spieler/154239,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.03.1945,Rotterdam,Retired
10,Bert Jansen,Lambertus Jansen,321,15,35,28.061,N/A,Jansen,Unknown,5,0,Sparta Rotterdam,Defender - Right-Back,Unknown,Netherlands,nl,https://www.transfermarkt.us/bert-jansen/profil/spieler/242710,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.02.1951,Leiden,---
11,René van der Gijp,Unknown,111,34,27,8.674,N/A,van der Gijp,-,4,0,Sparta Rotterdam,Attack - Right Winger,"1,86 m",Netherlands,nl,https://www.transfermarkt.us/rene-van-der-gijp/profil/spieler/151477,https://img.a.transfermarkt.technology/portrait/small/s_151477_123_2012_1.jpg?lm=1,N/A,04.04.1961,Dordrecht,Retired
12,Janusz Kowalik,Janusz Antoni Kowalik,142,78,27,11.893,N/A,Kowalik,-,0,0,Sparta Rotterdam,Attack - Centre-Forward,,Poland,pl,https://www.transfermarkt.us/janusz-kowalik/profil/spieler/257208,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.03.1944,Nowy Sacz,Retired
13,Iliass Bel Hassani,إلياس بلحساني,85,21,27,6.344,N/A,Bel Hassani,16,9,0,Sparta Rotterdam,Midfield - Attacking Midfield,"1,75 m",Morocco,ma,https://www.transfermarkt.us/iliass-bel-hassani/profil/spieler/160431,https://img.a.transfermarkt.technology/portrait/small/160431-1695640569.png?lm=1,N/A,16.09.1992,Rotterdam,Without Club
14,Ronald Lengkeek,Unknown,216,82,24,17.345,N/A,Lengkeek,-,11,0,Sparta Rotterdam,Attack - Centre-Forward,Unknown,Netherlands,nl,https://www.transfermarkt.us/ronald-lengkeek/profil/spieler/242331,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,14.09.1960,Rotterdam,Retired
15,Geert Meijer,Unknown,121,12,24,9.626,N/A,Meijer,Unknown,1,0,Sparta Rotterdam,Attack - Left Winger,"1,86 m",Netherlands,nl,https://www.transfermarkt.us/geert-meijer/profil/spieler/145560,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.03.1951,Sellingen,Retired
16,Arjan van der Laan,Unknown,228,58,23,18.766,N/A,van der Laan,Unknown,1,0,Sparta Rotterdam,Midfield - Attacking Midfield,"1,85 m",Netherlands,nl,https://www.transfermarkt.us/arjan-van-der-laan/profil/spieler/12110,https://img.a.transfermarkt.technology/portrait/small/s_12110_123_2012_1.jpg?lm=1,N/A,10.11.1969,Nieuwkoop,Retired
17,Stef Walbeek,Stephanus Walbeek,218,25,20,18.657,N/A,Walbeek,-,2,0,Sparta Rotterdam,Midfield - Central Midfield,"1,81 m",Netherlands,nl,https://www.transfermarkt.us/stef-walbeek/profil/spieler/104349,https://img.a.transfermarkt.technology/portrait/small/104349-1740489464.png?lm=1,N/A,06.05.1948,Unknown,Retired
18,Loris Brogno,Unknown,88,27,20,6.166,N/A,Brogno,Unknown,15,0,Sparta Rotterdam,Attack - Right Winger,"1,78 m",Belgium,be,https://www.transfermarkt.us/loris-brogno/profil/spieler/182420,https://img.a.transfermarkt.technology/portrait/small/182420-1681281661.png?lm=1,N/A,18.09.1992,Charleroi,Renaissance AEC Mons
19,Jo van Zoest,Johannes van Zoest,138,24,20,9.976,N/A,van Zoest,Unknown,0,0,Sparta Rotterdam,Attack - Right Winger,Unknown,Netherlands,nl,https://www.transfermarkt.us/jo-van-zoest/profil/spieler/243514,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,31.07.1955,Unknown,Retired
20,Michel Valke,Machiel Valke,221,22,19,19.301,N/A,Valke,-,4,0,Sparta Rotterdam,Midfield - Left Midfield,"1,74 m",Netherlands,nl,https://www.transfermarkt.us/michel-valke/profil/spieler/150920,https://img.a.transfermarkt.technology/portrait/small/s_150920_123_2012_1.jpg?lm=1,N/A,24.08.1959,Zwijndrecht,Retired
