name,club,periods
Cor van der Gijp,Feyenoord Rotterdam,1955-1964
Ove Kindvall,Feyenoord Rotterdam,1966-1971
Dirk Kuyt,Feyenoord Rotterdam,"2003-2006, 2015-2017"
Willem van Hanegem,Feyenoord Rotterdam,"1968-1976, 1981-1983"
Henk Schouten,Feyenoord Rotterdam,1955-1963
Jon Dahl Tomasson,Feyenoord Rotterdam,"1998-2002, 2008-2011"
Peter Houtman,Feyenoord Rotterdam,"1976-1977, 1978-1979, 1982-1985, 1988-1989"
Steven Berghuis,Feyenoord Rotterdam,"2016-2017, 2017-2021"
Coen Moulijn,Feyenoord Rotterdam,1955-1972
Theo de Jong,Feyenoord Rotterdam,1972-1977
André Hoekstra,Feyenoord Rotterdam,1982-1988
Pierre van Hooijdonk,Feyenoord Rotterdam,"2001-2003, 2006-2007"
Lex Schoenmaker,Feyenoord Rotterdam,1971-1975
Henk Wery,Feyenoord Rotterdam,1968-1974
Jens Toornstra,Feyenoord Rotterdam,2014-2022
Santiago Gimenez,Feyenoord Rotterdam,2022-2025
Willi Kreuz,Feyenoord Rotterdam,1974-1978
József Kiprich,Feyenoord Rotterdam,1989-1995
Piet Kruiver,Feyenoord Rotterdam,1962-1966
Rinus Bennaars,Feyenoord Rotterdam,1959-1964
Pétur Pétursson,Feyenoord Rotterdam,"1978-1981, 1984-1985"
Dick Schneider,Feyenoord Rotterdam,"1970-1978, 1978-1978"
Ruud Geels,Feyenoord Rotterdam,1966-1970
Nicolai Jørgensen,Feyenoord Rotterdam,2016-2021
Regi Blinker,Feyenoord Rotterdam,"1986-1988, 1989-1996"
Mario Been,Feyenoord Rotterdam,1982-1988
Gaston Taument,Feyenoord Rotterdam,1990-1997
Graziano Pellè,Feyenoord Rotterdam,"2012-2013, 2013-2014"
Wim Jansen,Feyenoord Rotterdam,1965-1980
Frans Bouwmeester sr.,Feyenoord Rotterdam,1960-1966
Julio Cruz,Feyenoord Rotterdam,1998-2000
Roy Makaay,Feyenoord Rotterdam,2007-2010
Peter Ressel,Feyenoord Rotterdam,1972-1975
Toon Meerman,Feyenoord Rotterdam,1953-1960
Jörgen Kristensen,Feyenoord Rotterdam,1972-1975
Nico Jansen,Feyenoord Rotterdam,1975-1978
Robin van Persie,Feyenoord Rotterdam,"2001-2004, 2018-2019"
Bonaventure Kalou,Feyenoord Rotterdam,1997-2003
Franz Hasil,Feyenoord Rotterdam,1969-1973
Tonny Vilhena,Feyenoord Rotterdam,2012-2019
Ruud Gullit,Feyenoord Rotterdam,1982-1985
Paul Bosvelt,Feyenoord Rotterdam,1997-2003
Salomon Kalou,Feyenoord Rotterdam,"2003-2004, 2004-2006"
Henrik Larsson,Feyenoord Rotterdam,1993-1997
Jan Peters,Feyenoord Rotterdam,1979-1981
Thomas Buffel,Feyenoord Rotterdam,"1999-2000, 2002-2005"
Giovanni van Bronckhorst,Feyenoord Rotterdam,"1993-1994, 1994-1998, 2007-2010"
Kees Rijvers,Feyenoord Rotterdam,1957-1960
Beertje Kreijermaat,Feyenoord Rotterdam,1959-1967
Jean-Paul van Gastel,Feyenoord Rotterdam,1995-2002
Lex Immers,Feyenoord Rotterdam,"2012-2016, 2016-2016"
Luis Sinisterra,Feyenoord Rotterdam,2018-2022
Andrey Zhelyazkov,Feyenoord Rotterdam,1981-1984
Henk Groot,Feyenoord Rotterdam,1963-1965
Rob Witschge,Feyenoord Rotterdam,1990-1996
René Hofman,Feyenoord Rotterdam,1986-1989
Igor Paixão,Feyenoord Rotterdam,2022-2025
Orkun Kökçü,Feyenoord Rotterdam,2018-2023
Harry Bild,Feyenoord Rotterdam,1965-1968
