name,club,periods
Eddy Bosman,SC Heerenveen,"1973-1976, 1977-1983, 1985-1987"
Gerald Sibon,SC Heerenveen,"2003-2004, 2007-2010, 2011-2012"
Thomas Haan,SC Heerenveen,1968-1974
Jeffrey Talan,SC Heerenveen,1995-2003
Henk Veerman,SC Heerenveen,"2015-2018, 2020-2022"
Danijel Pranjic,SC Heerenveen,2005-2009
Jan Schulting,SC Heerenveen,"1978-1983, 1984-1988"
Henk Prinsen,SC Heerenveen,1966-1974
Henk Zoetendal,SC Heerenveen,"1967-1972, 1973-1974"
Boy Nijgh,SC Heerenveen,"1980-1981, 1981-1984"
Mika Väyrynen,SC Heerenveen,"2001-2005, 2008-2011"
Cees Kist,SC Heerenveen,1966-1975
Pelle van Amersfoort,SC Heerenveen,"2014-2015, 2016-2019, 2023-2024"
Mika Nurmela,SC Heerenveen,1999-2003
Romano Denneboom,SC Heerenveen,"1998-2004, 2004-2004"
Lee-Roy Echteld,SC Heerenveen,1992-1997
Roy Beerens,SC Heerenveen,2007-2011
Piet Boskma,SC Heerenveen,1975-1985
Teun Kist,SC Heerenveen,"1970-1975, 1981-1987"
Luciano Slagveer,SC Heerenveen,2011-2017
Dirk Visser,SC Heerenveen,1974-1982
Johan Hansma,SC Heerenveen,1994-2004
Daniel Jensen,SC Heerenveen,1998-2003
Jan de Visser,SC Heerenveen,1991-1999
Gérard de Nooijer,SC Heerenveen,1998-2003
Ruud Wierts,SC Heerenveen,1971-1975
Petter Hansson,SC Heerenveen,2002-2007
Michel Breuer,SC Heerenveen,2004-2012
Wiebe de Jong,SC Heerenveen,1962-1975
Marco Roelofsen,SC Heerenveen,1991-1996
Hans Zwart,SC Heerenveen,1961-1972
Reinder Dolstra,SC Heerenveen,1976-1984
Arkadiusz Radomski,SC Heerenveen,1997-2005
Tom Sier,SC Heerenveen,1994-1997
Michael Dingsdag,SC Heerenveen,2006-2010
Ronny Venema,SC Heerenveen,1999-2004
John van Wensveen,SC Heerenveen,1970-1976
Pelé van Anholt,SC Heerenveen,2011-2016
Joop Braber,SC Heerenveen,1978-1985
Berend Negerman,SC Heerenveen,1975-1980
Azing Griever,SC Heerenveen,1970-1975
Rinie Jurna,SC Heerenveen,1978-1984
Erwin Mulder,SC Heerenveen,"2015-2017, 2020-2022"
Tieme Klompe,SC Heerenveen,1996-2004
Gerrit Weide,SC Heerenveen,1968-1975
Brian Vandenbussche,SC Heerenveen,2004-2014
Hiddo Reijs,SC Heerenveen,"1975-1982, 1984-1986"
Hans Vonk,SC Heerenveen,"1996-2004, 2009-2009"
