rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Peter Houtman,Petrus Johannes Houtman,200,129,22,17.041,"1977-1978, 1979-1982, 1985-1987",Houtman,-,2,1,FC Groningen,Attack - Centre-Forward,Unknown,Netherlands,nl,https://www.transfermarkt.us/peter-houtman/profil/spieler/152368,https://img.a.transfermarkt.technology/portrait/small/s_152368_123_2013_09_05_1.jpg?lm=1,,04.06.1957,Rotterdam,Retired
2,Eddy Bakker,Unknown,207,69,26,16.372,1976-1982,Bakker,Unknown,3,0,FC Groningen,Attack - Right Winger,Unknown,Netherlands,nl,https://www.transfermarkt.us/eddy-bakker/profil/spieler/361915,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,02.05.1954,Unknown,Retired
3,Piet Fransen,Unknown,418,69,19,36.0,,Fransen,-,2,0,FC Groningen,Midfield - Left Midfield,Unknown,Netherlands,nl,https://www.transfermarkt.us/piet-fransen/profil/spieler/152046,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,05.07.1936,Groningen,---
4,Rikkert La Crois,Unknown,180,67,0,16.035,,La Crois,-,0,0,FC Groningen,Attack - Centre-Forward,Unknown,Netherlands,nl,https://www.transfermarkt.us/rikkert-la-crois/profil/spieler/239531,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,24.01.1934,Groningen,---
5,Harris Huizingh,Unknown,296,63,10,24.82,"1983-1986, 1990-1999",Huizingh,Unknown,38,1,FC Groningen,Attack - Centre-Forward,Unknown,Netherlands,nl,https://www.transfermarkt.us/harris-huizingh/profil/spieler/148759,https://img.a.transfermarkt.technology/portrait/small/148759-1726744257.jpg?lm=1,,10.02.1963,Ter Apel,Retired
6,Michael de Leeuw,Michael Jeroen Maarten Michiel de Leeuw,170,60,8,12.302,"2012-2016, 2021-2022",de Leeuw,Unknown,23,3,FC Groningen,Attack - Centre-Forward,"1,78 m",Netherlands,nl,https://www.transfermarkt.us/michael-de-leeuw/profil/spieler/110906,https://img.a.transfermarkt.technology/portrait/small/110906-1697280682.jpg?lm=1,,07.10.1986,Goirle,SC Cambuur Leeuwarden
7,Henny Meijer,Henny Ingemar Meijer,169,58,3,15.068,1988-1993,Meijer,-,5,0,FC Groningen,Attack - Centre-Forward,Unknown,Netherlands,nl,https://www.transfermarkt.us/henny-meijer/profil/spieler/149165,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,17.02.1962,Paramaribo,Retired
8,Mariano Bombarda,Unknown,126,55,11,9.784,"1994-1997, 1997-1998",Bombarda,Unknown,4,1,FC Groningen,Attack - Centre-Forward,"1,80 m",Spain,es,https://www.transfermarkt.us/mariano-bombarda/profil/spieler/8020,https://img.a.transfermarkt.technology/portrait/small/8020-1740480170.jpg?lm=1,,10.09.1972,Cádiz,Retired
9,Bjarne Jensen,Unknown,206,52,15,17.695,,Jensen,Unknown,1,0,FC Groningen,Attack - Centre-Forward,Unknown,Denmark,dk,https://www.transfermarkt.us/bjarne-jensen/profil/spieler/324067,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,11.09.1944,Unknown,Retired
10,Martin Drent,Unknown,179,51,19,11.227,"1991-1992, 1999-2005",Drent,Unknown,11,0,FC Groningen,Attack - Centre-Forward,"1,93 m",Netherlands,nl,https://www.transfermarkt.us/martin-drent/profil/spieler/4646,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,31.03.1970,Emmen,Retired
11,René Eijkelkamp,Unknown,126,50,4,10.913,1986-1990,Eijkelkamp,-,6,0,FC Groningen,Attack - Centre-Forward,,Netherlands,nl,https://www.transfermarkt.us/rene-eijkelkamp/profil/spieler/15295,https://img.a.transfermarkt.technology/portrait/small/15295-1491916579.jpg?lm=1,,06.04.1964,Dalfsen,Retired
12,Erik Nevland,Unknown,110,47,10,8.581,2004-2008,Nevland,36,12,0,FC Groningen,Attack - Centre-Forward,"1,78 m",Norway,no,https://www.transfermarkt.us/erik-nevland/profil/spieler/13711,https://img.a.transfermarkt.technology/portrait/small/13711-1736853225.jpg?lm=1,,10.11.1977,Stavanger,Retired
13,Tim Matavz,Tim Matavž,101,46,12,6.164,"2007-2008, 2008-2011",Matavz,11,5,0,FC Groningen,Attack - Centre-Forward,"1,88 m",Slovenia,si,https://www.transfermarkt.us/tim-matavz/profil/spieler/50303,https://img.a.transfermarkt.technology/portrait/small/50303-1697525254.JPG?lm=1,,13.01.1989,Sempeter pri Gorici,ND Gorica
14,Jos Roossien,Unknown,335,45,9,27.889,1983-1994,Roossien,-,21,1,FC Groningen,Midfield - Left Midfield,Unknown,Netherlands,nl,https://www.transfermarkt.us/jos-roossien/profil/spieler/197363,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,16.11.1960,Groningen,Retired
15,Marcus Berg,Bengt Erik Marcus Berg,69,44,11,5.729,2007-2009,Berg,9,10,1,FC Groningen,Attack - Centre-Forward,"1,84 m",Sweden,se,https://www.transfermarkt.us/marcus-berg/profil/spieler/30418,https://img.a.transfermarkt.technology/portrait/small/30418-1574609686.png?lm=1,,17.08.1986,Torsby,Retired
16,Jan van Dijk,Johannes Hermannus van Dijk,492,44,43,41.512,"1975-1979, 1979-1992",van Dijk,-,35,1,FC Groningen,Midfield - Right Midfield,,Netherlands,nl,https://www.transfermarkt.us/jan-van-dijk/profil/spieler/197369,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,10.12.1956,Schalkhaar,Retired
