rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Henk 'Charly' Bosveld,Hendrik Willem Bosveld,233,103,70,20.396,"1964-1968, 1969-1973",Bosveld,-,2,0,Sparta Rotterdam,Midfield - Central Midfield,"1,86 m",Netherlands,nl,https://www.transfermarkt.us/henk-charly-bosveld/profil/spieler/151785,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,10.07.1941,Velp,---
2,Danny Koevermans,Unknown,130,84,12,10.215,,Koevermans,24,5,0,Sparta Rotterdam,Attack - Centre-Forward,"1,91 m",Netherlands,nl,https://www.transfermarkt.us/danny-koevermans/profil/spieler/19319,https://img.a.transfermarkt.technology/portrait/small/s_19319_123_2014_03_20_1.jpg?lm=1,,01.11.1978,Schiedam,Retired
3,Ronald Lengkeek,Unknown,216,82,24,17.345,,Lengkeek,-,11,0,Sparta Rotterdam,Attack - Centre-Forward,Unknown,Netherlands,nl,https://www.transfermarkt.us/ronald-lengkeek/profil/spieler/242331,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,14.09.1960,Rotterdam,Retired
4,Janusz Kowalik,Janusz Antoni Kowalik,142,78,27,11.893,1969-1974,Kowalik,-,0,0,Sparta Rotterdam,Attack - Centre-Forward,,Poland,pl,https://www.transfermarkt.us/janusz-kowalik/profil/spieler/257208,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,26.03.1944,Nowy Sacz,Retired
5,Tonny van Ede,Unknown,251,77,5,22.485,1946-1964,van Ede,-,0,0,Sparta Rotterdam,Attack - Right Winger,Unknown,Netherlands,nl,https://www.transfermarkt.us/tonny-van-ede/profil/spieler/152009,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,22.12.1924,Rotterdam,---
6,Dennis de Nooijer,Unknown,298,76,15,22.903,,de Nooijer,Unknown,8,1,Sparta Rotterdam,Attack - Centre-Forward,"1,84 m",Netherlands,nl,https://www.transfermarkt.us/dennis-de-nooijer/profil/spieler/4156,https://img.a.transfermarkt.technology/portrait/small/s_4156_123_2012_1.jpg?lm=1,,04.04.1969,Oost-Souburg,Retired
7,Nol Heijerman,Arnold Heijerman,260,73,61,22.005,1967-1975,Heijerman,-,4,0,Sparta Rotterdam,Attack - Right Winger,"1,80 m",Netherlands,nl,https://www.transfermarkt.us/nol-heijerman/profil/spieler/232737,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,10.10.1940,Rotterdam,---
8,Piet van Miert,Unknown,141,69,0,12.52,1960-1965,van Miert,-,0,0,Sparta Rotterdam,Attack - Centre-Forward,Unknown,Netherlands,nl,https://www.transfermarkt.us/piet-van-miert/profil/spieler/279811,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,30.12.1938,Delft,Retired
9,Jan Klijnjan,Johannes Theunis Klijnjan,171,66,50,14.786,1968-1973,Klijnjan,-,0,1,Sparta Rotterdam,Attack - Centre-Forward,"1,76 m",Netherlands,nl,https://www.transfermarkt.us/jan-klijnjan/profil/spieler/152448,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,26.02.1945,Papendrecht,---
10,Ricky van den Bergh,Unknown,134,64,4,9.267,,van den Bergh,Unknown,26,1,Sparta Rotterdam,Midfield - Attacking Midfield,"1,76 m",Netherlands,nl,https://www.transfermarkt.us/ricky-van-den-bergh/profil/spieler/19328,https://img.a.transfermarkt.technology/portrait/small/19328-1719298507.jpg?lm=1,,17.11.1980,Den Haag,Retired
11,Piet de Vries,Unknown,238,62,0,21.105,1956-1965,de Vries,-,0,0,Sparta Rotterdam,Attack,Unknown,Netherlands,nl,https://www.transfermarkt.us/piet-de-vries/profil/spieler/154265,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,06.03.1939,Rotterdam,Retired
12,Arjan van der Laan,Unknown,228,58,23,18.766,,van der Laan,Unknown,1,0,Sparta Rotterdam,Midfield - Attacking Midfield,"1,85 m",Netherlands,nl,https://www.transfermarkt.us/arjan-van-der-laan/profil/spieler/12110,https://img.a.transfermarkt.technology/portrait/small/s_12110_123_2012_1.jpg?lm=1,,10.11.1969,Nieuwkoop,Retired
13,Tinus Bosselaar,Martinus Bosselaar,261,58,7,23.475,"1953-1954, 1956-1966",Bosselaar,-,0,0,Sparta Rotterdam,Attack - Left Winger,Unknown,Netherlands,nl,https://www.transfermarkt.us/tinus-bosselaar/profil/spieler/151784,https://img.a.transfermarkt.technology/portrait/small/151784-1694424606.jpg?lm=1,,16.01.1936,Rotterdam,---
14,Hans Venneker,Unknown,261,57,38,22.868,1968-1975,Venneker,-,1,0,Sparta Rotterdam,Defender - Right-Back,Unknown,Netherlands,nl,https://www.transfermarkt.us/hans-venneker/profil/spieler/154239,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,05.03.1945,Rotterdam,Retired
15,Wout Holverda,Unknown,141,56,13,10.985,,Holverda,-,5,0,Sparta Rotterdam,Attack - Left Winger,Unknown,Netherlands,nl,https://www.transfermarkt.us/wout-holverda/profil/spieler/217842,https://img.a.transfermarkt.technology/portrait/small/217842-1709552746.jpg?lm=1,,22.04.1958,Leiden,---
16,Joop Daniëls,Jozeph Daniëls,109,54,0,9.66,1954-1962,Daniëls,Unknown,0,0,Sparta Rotterdam,Attack - Left Winger,Unknown,Netherlands,nl,https://www.transfermarkt.us/joop-daniels/profil/spieler/239510,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,25.08.1931,Rotterdam,---
17,Johan Voskamp,Unknown,95,54,11,6.134,,Voskamp,Unknown,15,1,Sparta Rotterdam,Attack - Centre-Forward,"1,93 m",Netherlands,nl,https://www.transfermarkt.us/johan-voskamp/profil/spieler/43766,https://img.a.transfermarkt.technology/portrait/small/s_43766_759_2012_1.jpg?lm=1,,15.10.1984,De Lier,VV LYRA
18,Ron van den Berg,Unknown,331,52,10,27.221,,van den Berg,Unknown,23,1,Sparta Rotterdam,Attack,Unknown,Netherlands,nl,https://www.transfermarkt.us/ron-van-den-berg/profil/spieler/226291,https://img.a.transfermarkt.technology/portrait/small/s_226291_123_2012_1.jpg?lm=1,,15.08.1960,Unknown,Retired
19,Arie van Staveren,Adri van Staveren,253,51,38,20.787,1970-2025,van Staveren,Unknown,0,0,Sparta Rotterdam,Attack - Left Winger,Unknown,Netherlands,nl,https://www.transfermarkt.us/arie-van-staveren/profil/spieler/243512,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,01.04.1953,Warmond,Retired
20,Ali Elkhattabi,علي الخطّابي‎,98,47,7,7.524,,Elkhattabi,-,1,0,Sparta Rotterdam,Attack - Centre-Forward,"1,70 m",Morocco,ma,https://www.transfermarkt.us/ali-elkhattabi/profil/spieler/4554,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,17.01.1977,Schiedam,Retired
21,Edwin Vurens,Unknown,173,41,1,14.497,,Vurens,-,11,0,Sparta Rotterdam,Attack - Centre-Forward,"1,88 m",Netherlands,nl,https://www.transfermarkt.us/edwin-vurens/profil/spieler/154259,https://img.a.transfermarkt.technology/portrait/small/s_154259_123_2012_1.jpg?lm=1,,06.06.1968,Stompwijk,Retired
