rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Ukra,Unknown,205,16,36,12.833,N/A,Ukra,17,28,0,Rio Ave FC,Attack - Right Winger,"1,76 m",Portugal,pt,https://www.transfermarkt.us/ukra/profil/spieler/55994,https://img.a.transfermarkt.technology/portrait/small/55994-1676556461.jpg?lm=1,N/A,16.03.1988,Vila Nova de Famalicão,Retired
2,Diego Lopes,Diego Hipólito da Silva Lopes,201,25,26,13.455,N/A,Lopes,Unknown,41,1,Rio Ave FC,Midfield - Attacking Midfield,"1,71 m",Brazil,br,https://www.transfermarkt.us/diego-lopes/profil/spieler/131933,https://img.a.transfermarkt.technology/portrait/small/131933-1676530014.jpg?lm=1,N/A,03.05.1994,São Paulo,Without Club
3,Tarantini,Unknown,443,38,21,34.004,N/A,Tarantini,Unknown,104,3,Rio Ave FC,Midfield - Central Midfield,"1,88 m",Portugal,pt,https://www.transfermarkt.us/tarantini/profil/spieler/34077,https://img.a.transfermarkt.technology/portrait/small/34077-1532678744.jpg?lm=1,N/A,07.10.1983,Gestaçô,Retired
4,Gelson,Unknown,84,20,17,5.162,N/A,Unknown,Unknown,5,1,Rio Ave FC,Unknown,Unknown,Angola,ao,https://www.transfermarkt.us/gelson/profil/spieler/407907,https://img.a.transfermarkt.technology/portrait/small/407907-1740662598.jpg?lm=1,N/A,13.07.1996,Unknown,Al-Wakrah SC
5,Yazalde,Unknown,137,27,14,9.056,N/A,Yazalde,18,9,0,Rio Ave FC,Attack - Centre-Forward,"1,83 m",Portugal,pt,https://www.transfermarkt.us/yazalde/profil/spieler/56014,https://img.a.transfermarkt.technology/portrait/small/56014-1510672719.jpg?lm=1,N/A,21.09.1988,Vila do Conde,Without Club
6,Costinha,Unknown,121,11,14,9.908,N/A,Costinha,2,15,0,Rio Ave FC,Defender - Right-Back,"1,81 m",Portugal,pt,https://www.transfermarkt.us/costinha/profil/spieler/539252,https://img.a.transfermarkt.technology/portrait/small/539252-1728417625.png?lm=1,N/A,26.03.2000,Unknown,Olympiacos Piraeus
7,Carlos Mané,Carlos Manuel Cardoso Mané,80,7,13,5.033,N/A,Mané,11,2,0,Rio Ave FC,Attack - Left Winger,"1,73 m",Guinea-Bissau,gw,https://www.transfermarkt.us/carlos-mane/profil/spieler/182711,https://img.a.transfermarkt.technology/portrait/small/182711-1694080053.png?lm=1,N/A,11.03.1994,Lisboa,Kayserispor
8,Hélder Guedes,Hélder Tiago Pinto Moura Guedes,104,29,13,7.017,N/A,Guedes,19,11,0,Rio Ave FC,Attack - Centre-Forward,"1,84 m",Portugal,pt,https://www.transfermarkt.us/helder-guedes/profil/spieler/36923,https://img.a.transfermarkt.technology/portrait/small/36923-1478771034.jpg?lm=1,N/A,07.05.1987,Penafiel,Retired
9,Chico Geraldes,Unknown,77,5,13,5.326,N/A,Chico Geraldes,17,15,1,Rio Ave FC,Midfield - Attacking Midfield,"1,75 m",Portugal,pt,https://www.transfermarkt.us/chico-geraldes/profil/spieler/257456,https://img.a.transfermarkt.technology/portrait/small/257456-1548509858.jpg?lm=1,N/A,18.04.1995,Lisboa,Wellington Phoenix
10,Fábio Ronaldo,Fábio Ronaldo Costa Conceição,104,6,12,5.958,N/A,Ronaldo,Unknown,8,0,Rio Ave FC,Attack - Right Winger,"1,78 m",Portugal,pt,https://www.transfermarkt.us/fabio-ronaldo/profil/spieler/742506,https://img.a.transfermarkt.technology/portrait/small/742506-1737125531.jpg?lm=1,N/A,28.04.2001,Vila Nova de Gaia,CF Estrela Amadora
11,Guga,Unknown,115,6,12,9.377,N/A,Guga,8,15,0,Rio Ave FC,Midfield - Central Midfield,"1,68 m",Portugal,pt,https://www.transfermarkt.us/guga/profil/spieler/258034,https://img.a.transfermarkt.technology/portrait/small/258034-1676547385.jpg?lm=1,N/A,18.07.1997,Faro,Beijing Guoan
12,Matheus Reis,Unknown,66,1,11,5.356,N/A,Matheus Reis,Unknown,17,1,Rio Ave FC,Defender - Left-Back,"1,84 m",Brazil,br,https://www.transfermarkt.us/matheus-reis/profil/spieler/379249,https://img.a.transfermarkt.technology/portrait/small/379249-1666100890.jpg?lm=1,N/A,18.02.1995,São João da Boa Vista,Sporting CP
13,Gabrielzinho,Unknown,124,12,11,6.407,N/A,Gabrielzinho,Unknown,12,0,Rio Ave FC,Attack - Left Winger,"1,71 m",Brazil,br,https://www.transfermarkt.us/gabrielzinho/profil/spieler/523850,https://img.a.transfermarkt.technology/portrait/small/523850-1634133748.jpg?lm=1,N/A,29.03.1996,Araçatuba,Shanghai Port
14,Nuno Santos,Nuno Miguel Gomes dos Santos,78,10,11,4.451,N/A,Santos,23,6,1,Rio Ave FC,Midfield - Left Midfield,"1,77 m",Portugal,pt,https://www.transfermarkt.us/nuno-santos/profil/spieler/290391,https://img.a.transfermarkt.technology/portrait/small/290391-1602775224.jpg?lm=1,N/A,13.02.1995,Trofa,Sporting CP
15,Renan Bressan,"Renan Bardini Bressan , Рэнан Бардзіні Брэсан",68,8,10,3.684,N/A,Bressan,10,15,0,Rio Ave FC,Midfield - Attacking Midfield,"1,82 m",Belarus,by,https://www.transfermarkt.us/renan-bressan/profil/spieler/66008,https://img.a.transfermarkt.technology/portrait/small/66008-1537969132.png?lm=1,N/A,03.11.1988,Tubarão,Retired
16,Héldon,Unknown,60,7,10,4.156,N/A,Héldon,10,7,0,Rio Ave FC,Attack - Left Winger,"1,74 m",Cape Verde,unknown,https://www.transfermarkt.us/heldon/profil/spieler/90660,https://img.a.transfermarkt.technology/portrait/small/90660-1478771318.jpg?lm=1,N/A,14.11.1988,Ilha do Sal,Académico do Aeroporto
17,Pedro Amaral,Pedro Miguel Gaspar Amaral,94,1,10,6.733,N/A,Amaral,13,22,0,Rio Ave FC,Defender - Left-Back,"1,78 m",Portugal,pt,https://www.transfermarkt.us/pedro-amaral/profil/spieler/319623,https://img.a.transfermarkt.technology/portrait/small/319623-1724848201.jpg?lm=1,N/A,25.08.1997,Lourel,Estoril Praia
18,Lionn,Unknown,182,3,10,15.010,N/A,Lionn,Unknown,36,1,Rio Ave FC,Defender - Right-Back,"1,84 m",Portugal,pt,https://www.transfermarkt.us/lionn/profil/spieler/75116,https://img.a.transfermarkt.technology/portrait/small/75116-1537969640.png?lm=1,N/A,29.01.1989,Fortaleza,Without Club
19,Edimar,Unknown,98,5,9,8.618,N/A,Edimar,Unknown,22,0,Rio Ave FC,Defender - Left-Back,"1,80 m",Brazil,br,https://www.transfermarkt.us/edimar/profil/spieler/74314,https://img.a.transfermarkt.technology/portrait/small/74314-1442912976.png?lm=1,N/A,21.05.1986,Cachoeiro de Itapemirim,Without Club
20,Bruno Gama,Bruno Alexandre Vilela Gama,75,9,9,5.933,N/A,Gama,-,10,0,Rio Ave FC,Attack - Left Winger,"1,75 m",Portugal,pt,https://www.transfermarkt.us/bruno-gama/profil/spieler/15568,https://img.a.transfermarkt.technology/portrait/small/15568-1694865159.jpg?lm=1,N/A,15.11.1987,Vila Verde,AEK Larnaca
21,Rúben Ribeiro,Rúben Tiago Rodrigues Ribeiro,73,7,8,5.321,N/A,Ribeiro,Unknown,16,0,Rio Ave FC,Midfield - Attacking Midfield,"1,75 m",Portugal,pt,https://www.transfermarkt.us/ruben-ribeiro/profil/spieler/52480,https://img.a.transfermarkt.technology/portrait/small/52480-1669648544.png?lm=1,N/A,01.08.1987,Porto,Without Club
22,Vítor Gomes,Vítor Hugo Gomes da Silva,231,7,7,14.318,N/A,Gomes,15,44,1,Rio Ave FC,Midfield - Defensive Midfield,"1,82 m",Portugal,pt,https://www.transfermarkt.us/vitor-gomes/profil/spieler/38780,https://img.a.transfermarkt.technology/portrait/small/38780-1737124853.jpg?lm=1,N/A,25.12.1987,Vila do Conde,Rio Ave FC
23,Fábio Coentrão,Fábio Alexandre da Silva Coentrão,82,10,7,6.280,N/A,Coentrão,5,25,1,Rio Ave FC,Defender - Left-Back,"1,79 m",Portugal,pt,https://www.transfermarkt.us/fabio-coentrao/profil/spieler/33648,https://img.a.transfermarkt.technology/portrait/small/33648-1548174347.jpg?lm=1,N/A,11.03.1988,Vila do Conde,Retired
24,Sávio,Unknown,49,0,7,2.456,N/A,Sávio,Unknown,4,0,Rio Ave FC,Defender - Left-Back,"1,73 m",Brazil,br,https://www.transfermarkt.us/savio/profil/spieler/607093,https://img.a.transfermarkt.technology/portrait/small/607093-1676543356.jpg?lm=1,N/A,26.05.1995,Araraquara,Clube do Remo (PA)
25,Joca,Unknown,82,7,7,4.888,N/A,Joca,-,5,0,Rio Ave FC,Midfield - Attacking Midfield,"1,68 m",Portugal,pt,https://www.transfermarkt.us/joca/profil/spieler/340491,https://img.a.transfermarkt.technology/portrait/small/340491-1676548686.jpg?lm=1,N/A,30.01.1996,Braga,Genclerbirligi Ankara
26,Gil Dias,Gil Bastião Dias,39,8,7,2.974,N/A,Dias,11,4,0,Rio Ave FC,Attack - Right Winger,"1,86 m",Portugal,pt,https://www.transfermarkt.us/gil-dias/profil/spieler/329723,https://img.a.transfermarkt.technology/portrait/small/329723-1709021301.png?lm=1,N/A,28.09.1996,Gafanha da Nazaré,FC Famalicão
