name,club,periods
André André,Vitória Guimarães SC,"2012-2015, 2018-2022, 2022-2024"
Nuno Assis,Vitória Guimarães SC,"2001-2005, 2008-2010, 2011-2012"
Carlos Fangueiro,Vitória Guimarães SC,"1997-1998, 1999-1999, 2000-2004"
Romeu Almeida,Vitória Guimarães SC,2001-2005
Tiago Silva,Vitória Guimarães SC,2021-2025
Rochinha,Vitória Guimarães SC,2019-2022
Tiago Targino,Vitória Guimarães SC,"2004-2008, 2008-2008, 2009-2012, 2012-2012"
Yves Desmarets,Vitória Guimarães SC,2006-2010
Cléber,Vitória Guimarães SC,2001-2006
Flávio Meireles,Vitória Guimarães SC,"1995-1996, 2003-2011"
Moreno,Vitória Guimarães SC,"2003-2004, 2004-2010, 2013-2018"
Pedro Mendes,Vitória Guimarães SC,"1998-1998, 1999-2003, 2011-2012"
Tomás Händel,Vitória Guimarães SC,2021-2025
João Alves,Vitória Guimarães SC,2007-2012
Josué Sá,Vitória Guimarães SC,2013-2017
Alex,Vitória Guimarães SC,"2004-2005, 2009-2013"
Bruno Gaspar,Vitória Guimarães SC,"2014-2015, 2015-2017, 2022-2025"
Pedro Henrique,Vitória Guimarães SC,"2015-2018, 2018-2020, 2021-2021, 2022-2022"
Rogério Matias,Vitória Guimarães SC,2000-2006
Jorge Fernandes,Vitória Guimarães SC,2020-2025
Jérôme Palatsi,Vitória Guimarães SC,2001-2005
Falaye Sacko,Vitória Guimarães SC,"2018-2022, 2022-2022, 2023-2023"
Bruno Varela,Vitória Guimarães SC,2020-2025
Nilson,Vitória Guimarães SC,2005-2012
Douglas Jesus,Vitória Guimarães SC,2011-2020
