rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Joeano,Unknown,66,45,0,4.999,2011-2013,Joeano,Unknown,5,1,FC Arouca,Attack - Centre-Forward,"1,81 m",Brazil,br,https://www.transfermarkt.us/joeano/profil/spieler/17292,https://img.a.transfermarkt.technology/portrait/small/s_17292_2425_2014_01_30_1.jpg?lm=1,,12.08.1979,Fortaleza,Retired
2,Rafa Mujica,Rafael Sebastián Mujica García,68,37,5,5.117,2022-2024,Mujica,-,5,1,FC Arouca,Attack - Centre-Forward,"1,83 m",Spain,es,https://www.transfermarkt.us/rafa-mujica/profil/spieler/361504,https://img.a.transfermarkt.technology/portrait/small/361504-1725787628.jpg?lm=1,,29.10.1998,Las Palmas de Gran Canaria,Al-Sadd SC
3,Roberto,Unknown,111,27,9,8.476,"2013-2014, 2014-2016, 2017-2017, 2017-2018",Roberto,Unknown,21,1,FC Arouca,Attack - Centre-Forward,"1,80 m",Portugal,pt,https://www.transfermarkt.us/roberto/profil/spieler/194330,https://img.a.transfermarkt.technology/portrait/small/194330-1550245053.jpg?lm=1,,28.11.1988,Porto,CD Tondela
3,Roberto,Unknown,111,27,9,8.476,2011-2012,Roberto,Unknown,21,1,FC Arouca,Attack - Centre-Forward,"1,80 m",Portugal,pt,https://www.transfermarkt.us/roberto/profil/spieler/194330,https://img.a.transfermarkt.technology/portrait/small/194330-1550245053.jpg?lm=1,,28.11.1988,Porto,CD Tondela
4,André Bukia,André Watshini Bukia,171,23,11,11.509,"2017-2018, 2018-2019, 2019-2023, 2023-2024",Bukia,13,22,0,FC Arouca,Attack - Right Winger,"1,73 m",DR Congo,unknown,https://www.transfermarkt.us/andre-bukia/profil/spieler/343289,https://img.a.transfermarkt.technology/portrait/small/343289-1564086279.png?lm=1,,03.03.1995,Kinshasa,FC Alverca
5,Cristo,Unknown,44,18,11,3.589,2023-2024,Cristo,-,3,0,FC Arouca,Attack - Second Striker,"1,78 m",Spain,es,https://www.transfermarkt.us/cristo/profil/spieler/339707,https://img.a.transfermarkt.technology/portrait/small/339707-1727947495.png?lm=1,,24.10.1997,Santa Cruz de Tenerife,Al-Sadd SC
6,André Silva,Unknown,67,17,5,5.368,2019-2022,André Silva,Unknown,11,1,FC Arouca,Attack - Centre-Forward,"1,81 m",Brazil,br,https://www.transfermarkt.us/andre-silva/profil/spieler/565232,https://img.a.transfermarkt.technology/portrait/small/565232-1695208367.jpg?lm=1,,03.06.1997,Taboão da Serra,São Paulo Futebol Clube
7,Oday Dabbagh,Oday Ibrahim Mohammad Dabbagh - عدي ابراهيم محمد الدباغ‎,45,15,1,2.018,2021-2023,Dabbagh,9,4,0,FC Arouca,Attack - Centre-Forward,"1,83 m",Palestine,unknown,https://www.transfermarkt.us/oday-dabbagh/profil/spieler/561217,https://img.a.transfermarkt.technology/portrait/small/561217-1693901384.jpg?lm=1,,03.12.1998,al-Quds,Aberdeen FC
8,David Simão,David Martins Simão,210,14,22,16.518,"2013-2016, 2022-2025",Simão,11,69,2,FC Arouca,Midfield - Central Midfield,"1,83 m",Portugal,pt,https://www.transfermarkt.us/david-simao/profil/spieler/70359,https://img.a.transfermarkt.technology/portrait/small/70359-1655553351.png?lm=1,,15.05.1990,Versailles,FC Arouca
9,Kiko,Unknown,62,14,0,5.107,2010-2012,Kiko,Unknown,12,1,FC Arouca,Defender - Centre-Back,"1,83 m",Brazil,br,https://www.transfermarkt.us/kiko/profil/spieler/56843,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,24.08.1978,Pernambuco,Retired
