name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Miodrag Jovanovic,Retired,https://www.transfermarkt.us/miodrag-jovanovic/profil/spieler/15491,https://img.a.transfermarkt.technology/portrait/small/15491-1674738833.jpg?lm=1,Jovanovic,Unknown,Serbia,rs,FC Khimki,Unknown,Unknown,Defender - Centre-Back,"1,86 m",24.03.1977,240,13,1,1,45,2,0,11,54,19.273
Roman Berezovskiy,Retired,https://www.transfermarkt.us/roman-berezovskiy/profil/spieler/15670,https://img.a.transfermarkt.technology/portrait/small/15670-1555870266.png?lm=1,Berezovskiy,1,Armenia,am,FC Khimki,Yerevan,Ռոման Անատոլիի Բերեզովսկի,Goalkeeper,"1,88 m",05.08.1974,177,0,0,0,4,0,1,0,1,15.886
Andrey Tikhonov,Retired,https://www.transfermarkt.us/andrey-tikhonov/profil/spieler/25044,https://img.a.transfermarkt.technology/portrait/small/25044-1603880968.jpg?lm=1,Tikhonov,-,Russia,unknown,FC Khimki,"Kaliningrad, Moskau Oblast",Тихонов Андрей Валерьевич,Midfield - Attacking Midfield,"1,77 m",16.10.1970,151,47,53,0,18,0,0,3,20,13.273
Nikolay Tyunin,Retired,https://www.transfermarkt.us/nikolay-tyunin/profil/spieler/90187,https://img.a.transfermarkt.technology/portrait/small/90187-1553900583.png?lm=1,Tyunin,Unknown,Russia,unknown,FC Khimki,"Vilyuchinsk, Kamchatka",Тюнин Николай Викторович,Midfield - Defensive Midfield,"1,77 m",06.01.1987,145,12,2,0,23,4,0,17,28,11.424
Aleksandr Filin,FC Khimki,https://www.transfermarkt.us/aleksandr-filin/profil/spieler/301037,https://img.a.transfermarkt.technology/portrait/small/301037-1733828965.png?lm=1,Filin,Unknown,Russia,unknown,FC Khimki,"Simferopol, Krym",Филин Александр Васильевич,Defender - Centre-Back,"1,85 m",25.06.1996,138,2,0,1,24,1,1,6,9,11.799
Egor Danilkin,Torpedo Moscow,https://www.transfermarkt.us/egor-danilkin/profil/spieler/260229,https://img.a.transfermarkt.technology/portrait/small/260229-1720980938.png?lm=1,Danilkin,Unknown,Russia,unknown,FC Khimki,Vladimir,Данилкин Егор Романович,Defender - Centre-Back,"1,85 m",01.08.1995,131,3,3,0,17,1,0,11,8,10.850
Aleksandr Shvetsov,Retired,https://www.transfermarkt.us/aleksandr-shvetsov/profil/spieler/38701,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Shvetsov,Unknown,Russia,unknown,FC Khimki,Moskau,Швецов Александр Васильевич,Midfield - Defensive Midfield,"1,81 m",17.12.1980,125,13,0,0,28,0,1,26,32,8.705
Sergiy Shcheglov,Retired,https://www.transfermarkt.us/sergiy-shcheglov/profil/spieler/49624,https://img.a.transfermarkt.technology/portrait/small/49624-1713874502.png?lm=1,Shcheglov,Unknown,Russia,unknown,FC Khimki,Donetsk,Щеглов Сергей Евгеньевич,Attack - Left Winger,"1,76 m",26.11.1976,120,9,1,0,17,1,0,14,8,9.817
Aleksey Shumskikh,Rotor Volgograd,https://www.transfermarkt.us/aleksey-shumskikh/profil/spieler/72166,https://img.a.transfermarkt.technology/portrait/small/72166-1626695549.png?lm=1,Shumskikh,-,Russia,unknown,FC Khimki,Barnaul,Шумских Алексей Алексеевич,Defender - Centre-Back,"1,89 m",01.07.1990,116,4,3,0,16,3,0,8,6,9.724
Arshak Koryan,Rodina Moscow,https://www.transfermarkt.us/arshak-koryan/profil/spieler/214252,https://img.a.transfermarkt.technology/portrait/small/214252-1720981404.png?lm=1,Koryan,10,Armenia,am,FC Khimki,"Sochi, Krasnodar Region",Корян Аршак Рафаэльевич,Attack - Right Winger,"1,69 m",17.06.1995,112,19,21,0,9,0,0,32,56,6.958
