name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Sergey Petrov,FC Krasnodar,https://www.transfermarkt.us/sergey-petrov/profil/spieler/102581,https://img.a.transfermarkt.technology/portrait/small/102581-1721724365.png?lm=1,Petrov,13,Russia,unknown,FC Krasnodar,St. Petersburg,Петров Сергей Андреевич,Defender - Right-Back,"1,75 m",02.01.1991,315,15,22,0,31,2,2,39,56,24.546
Yuriy Gazinskiy,FC Krasnodar,https://www.transfermarkt.us/yuriy-gazinskiy/profil/spieler/159957,https://img.a.transfermarkt.technology/portrait/small/159957-1721636107.png?lm=1,Gazinskiy,8,Russia,unknown,FC Krasnodar,"Komsomoljsk-na-Amure, Khabarovsk Region",Газинский Юрий Александрович,Midfield - Central Midfield,"1,84 m",20.07.1989,288,15,30,1,53,1,0,48,88,21.190
Aleksandr Martynovich,Kairat Almaty,https://www.transfermarkt.us/aleksandr-martynovich/profil/spieler/59352,https://img.a.transfermarkt.technology/portrait/small/59352-1740483522.png?lm=1,Martynovich,3,Belarus,by,FC Krasnodar,Minsk,Мартынович Александр Владимирович,Defender - Centre-Back,"1,92 m",26.08.1987,269,6,7,0,39,5,1,14,6,23.048
Joãozinho,Brasiliense FC (DF),https://www.transfermarkt.us/joaozinho/profil/spieler/73783,https://img.a.transfermarkt.technology/portrait/small/73783-1607083520.png?lm=1,Joãozinho,Unknown,Russia,unknown,FC Krasnodar,Umbauba,Жоао Натаилтон Рамос дос Сантос,Attack - Left Winger,"1,65 m",25.12.1988,217,39,60,0,15,0,1,52,44,15.252
Mauricio Pereyra,Club Nacional,https://www.transfermarkt.us/mauricio-pereyra/profil/spieler/102452,https://img.a.transfermarkt.technology/portrait/small/102452-1719947405.png?lm=1,Pereyra,-,Uruguay,uy,FC Krasnodar,Montevideo,Mauricio Ernesto Pereyra Antonini,Midfield - Attacking Midfield,"1,70 m",15.03.1990,201,29,33,0,40,0,1,30,118,13.931
Cristian Ramírez,Ferencvárosi TC,https://www.transfermarkt.us/cristian-ramirez/profil/spieler/189485,https://img.a.transfermarkt.technology/portrait/small/189485-1574609256.png?lm=1,Ramírez,-,Ecuador,ec,FC Krasnodar,Santo Domingo,Cristian Leonel Ramírez Zambrano,Defender - Left-Back,"1,72 m",12.08.1994,187,3,15,0,30,2,1,21,23,14.913
Andreas Granqvist,Retired,https://www.transfermarkt.us/andreas-granqvist/profil/spieler/29213,https://img.a.transfermarkt.technology/portrait/small/29213-1464870138.jpg?lm=1,Granqvist,4,Sweden,se,FC Krasnodar,Helsingborg,Unknown,Defender - Centre-Back,"1,92 m",16.04.1985,181,10,7,1,34,0,2,1,3,16.126
Matvey Safonov,Paris Saint-Germain,https://www.transfermarkt.us/matvey-safonov/profil/spieler/318470,https://img.a.transfermarkt.technology/portrait/small/318470-1732658603.jpg?lm=1,Safonov,1,Russia,unknown,FC Krasnodar,Krasnodar,Сафонов Матвей Евгеньевич,Goalkeeper,"1,92 m",25.02.1999,175,0,1,0,6,0,1,0,1,15.663
Ari,Retired,https://www.transfermarkt.us/aritm/profil/spieler/38539,https://img.a.transfermarkt.technology/portrait/small/38539-1574609704.png?lm=1,Ari,6,Russia,unknown,FC Krasnodar,Fortaleza,Арикленес да Силва Феррейра,Attack - Centre-Forward,"1,80 m",11.12.1985,172,54,37,0,29,1,1,45,70,11.140
Wanderson,Retired,https://www.transfermarkt.us/wanderson/profil/spieler/56643,https://img.a.transfermarkt.technology/portrait/small/56643-1555868181.png?lm=1,Wanderson,Unknown,Brazil,br,FC Krasnodar,Baturite,Unknown,Attack - Centre-Forward,"1,80 m",18.02.1986,155,49,25,0,12,0,0,54,47,9.375
Viktor Claesson,FC Copenhagen,https://www.transfermarkt.us/viktor-claesson/profil/spieler/116598,https://img.a.transfermarkt.technology/portrait/small/116598-1701290255.jpg?lm=1,Claesson,7,Sweden,se,FC Krasnodar,Värnamo,Viktor Johan Anton Claesson,Attack - Centre-Forward,"1,83 m",02.01.1992,147,43,31,0,14,0,0,13,48,11.671
Pavel Mamaev,Retired,https://www.transfermarkt.us/pavel-mamaev/profil/spieler/38802,https://img.a.transfermarkt.technology/portrait/small/38802-1606809580.png?lm=1,Mamaev,10,Russia,unknown,FC Krasnodar,Moskau,Мамаев Павел Константинович,Midfield - Central Midfield,"1,78 m",17.09.1988,146,35,30,0,18,0,0,24,61,10.617
Eduard Spertsyan,FC Krasnodar,https://www.transfermarkt.us/eduard-spertsyan/profil/spieler/515744,https://img.a.transfermarkt.technology/portrait/small/515744-1721724398.png?lm=1,Unknown,Unknown,Armenia,am,FC Krasnodar,Unknown,Unknown,Unknown,Unknown,07.06.2000,134,39,28,0,22,0,1,19,40,10.272
Wanderson,Cruzeiro Esporte Clube,https://www.transfermarkt.us/wanderson/profil/spieler/236202,https://img.a.transfermarkt.technology/portrait/small/236202-1574609625.png?lm=1,Wanderson,Unknown,Brazil,br,FC Krasnodar,São Luís,Unknown,Attack - Left Winger,"1,75 m",07.10.1994,130,16,21,0,12,0,0,27,50,9.309
Charles Kaboré,Retired,https://www.transfermarkt.us/charles-kabore/profil/spieler/57402,https://img.a.transfermarkt.technology/portrait/small/57402-1605115844.png?lm=1,Kaboré,18,Burkina Faso,bf,FC Krasnodar,Bobo-Dioulasso,Unknown,Midfield - Defensive Midfield,"1,81 m",09.02.1988,124,2,6,0,31,6,2,4,23,10.271
