name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Sergey Ryzhikov,Retired,https://www.transfermarkt.us/sergey-ryzhikov/profil/spieler/25035,https://img.a.transfermarkt.technology/portrait/small/25035-1603487105.png?lm=1,Ryzhikov,16,Russia,unknown,Rubin Kazan,"Shebekino, Belgorod Oblast",Рыжиков Сергей Викторович,Goalkeeper,"1,92 m",19.09.1980,359,0,2,1,26,0,3,2,2,32.175
Gökdeniz Karadeniz,Retired,https://www.transfermarkt.us/gokdeniz-karadeniz/profil/spieler/6871,https://img.a.transfermarkt.technology/portrait/small/6871-1489393452.jpg?lm=1,Karadeniz,10,Türkiye,tr,Rubin Kazan,Giresun,Unknown,Attack - Left Winger,"1,68 m",11.01.1980,300,52,56,0,42,1,0,55,118,21.669
Roman Sharonov,Retired,https://www.transfermarkt.us/roman-sharonov/profil/spieler/15872,https://img.a.transfermarkt.technology/portrait/small/15872-1636382992.png?lm=1,Sharonov,3,Russia,unknown,Rubin Kazan,Moskau,Шаронов Роман Сергеевич,Defender - Centre-Back,"1,84 m",08.09.1976,297,12,3,2,64,2,0,21,24,24.621
César Navas,Retired,https://www.transfermarkt.us/cesar-navas/profil/spieler/29056,https://img.a.transfermarkt.technology/portrait/small/29056-1548619903.png?lm=1,Navas,-,Spain,es,Rubin Kazan,Móstoles,César González Navas,Defender - Centre-Back,"1,97 m",14.02.1980,255,4,4,0,59,1,2,5,3,22.607
Sergey Kharlamov,Retired,https://www.transfermarkt.us/sergey-kharlamov/profil/spieler/15864,https://img.a.transfermarkt.technology/portrait/small/15864-1664354146.png?lm=1,Kharlamov,Unknown,Russia,unknown,Rubin Kazan,Kazan,Харламов Сергей Сергеевич,Defender - Centre-Back,"1,84 m",22.06.1973,212,2,1,0,24,1,0,7,17,18.265
Aleksandr Ryazantsev,Retired,https://www.transfermarkt.us/aleksandr-ryazantsev/profil/spieler/7252,https://img.a.transfermarkt.technology/portrait/small/7252-1626695758.png?lm=1,Ryazantsev,5,Russia,unknown,Rubin Kazan,Moskau,Рязанцев Александр Александрович,Midfield - Central Midfield,"1,79 m",05.09.1986,208,28,26,0,21,0,2,36,61,15.150
Oleg Kuzmin,Retired,https://www.transfermarkt.us/oleg-kuzmin/profil/spieler/38799,https://img.a.transfermarkt.technology/portrait/small/38799-1554140456.png?lm=1,Kuzmin,2,Russia,unknown,Rubin Kazan,Moskau,Кузьмин Олег Александрович,Defender - Right-Back,"1,75 m",09.05.1981,203,7,19,0,63,4,0,12,14,17.058
MacBeth Sibaya,Retired,https://www.transfermarkt.us/macbeth-sibaya/profil/spieler/15873,https://img.a.transfermarkt.technology/portrait/small/15873-1416991923.jpg?lm=1,Sibaya,6,South Africa,za,Rubin Kazan,"Durban, KwaZulu-Natal",Ntuthuko MacBeth-Mao Sibaya,Midfield - Defensive Midfield,"1,77 m",25.11.1977,182,3,7,0,34,1,2,18,16,14.759
Cristian Ansaldi,Retired,https://www.transfermarkt.us/cristian-ansaldi/profil/spieler/55854,https://img.a.transfermarkt.technology/portrait/small/55854-1632474398.jpg?lm=1,Ansaldi,3,Argentina,ar,Rubin Kazan,Rosario,Cristian Daniel Ansaldi,Defender - Left-Back,"1,81 m",20.09.1986,170,3,18,0,38,2,0,9,12,14.458
Mikhail Sinev,Retired,https://www.transfermarkt.us/mikhail-sinev/profil/spieler/15875,https://img.a.transfermarkt.technology/portrait/small/15875-1637090255.png?lm=1,Sinev,-,Russia,unknown,Rubin Kazan,Moskau,Синёв Михаил Юрьевич,Defender - Centre-Back,"1,80 m",21.06.1972,159,0,0,0,27,0,0,3,9,13.770
