rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Abakar Gadzhiev,Гаджиев Абакар Гаджиявович,112,28,22,6.977,N/A,Gadzhiev,Unknown,24,0,Dinamo Makhachkala,Midfield - Attacking Midfield,"1,80 m",Russia,unknown,https://www.transfermarkt.us/abakar-gadzhiev/profil/spieler/867082,https://img.a.transfermarkt.technology/portrait/small/867082-1740767364.png?lm=1,N/A,31.12.2003,Makhachkala,Dinamo Makhachkala
2,Zalimkhan Yusupov,Юсупов Залимхан Рашидович,145,14,13,10.934,N/A,Yusupov,Unknown,42,0,Dinamo Makhachkala,Midfield - Central Midfield,"1,74 m",Russia,unknown,https://www.transfermarkt.us/zalimkhan-yusupov/profil/spieler/600463,https://img.a.transfermarkt.technology/portrait/small/600463-1567527439.png?lm=1,N/A,27.01.1998,"Kayakent, Dagestan Republic",Chernomorets Novorossijsk
3,Razhab Magomedov,Магомедов Ражаб Мутаалимович,91,14,7,5.046,N/A,Magomedov,Unknown,4,0,Dinamo Makhachkala,Midfield - Attacking Midfield,"1,80 m",Russia,unknown,https://www.transfermarkt.us/razhab-magomedov/profil/spieler/622454,https://img.a.transfermarkt.technology/portrait/small/622454-1740767321.png?lm=1,N/A,03.10.2000,"Oktyabrskoe, Dagestan Region",Dinamo Makhachkala
4,Ramazan Abduragimov,Абдурагимов Рамазан Мурадович,98,10,8,6.282,N/A,Abduragimov,Unknown,15,0,Dinamo Makhachkala,Midfield - Central Midfield,"1,72 m",Russia,unknown,https://www.transfermarkt.us/ramazan-abduragimov/profil/spieler/690122,https://img.a.transfermarkt.technology/portrait/small/690122-1568696280.png?lm=1,N/A,10.01.1998,Makhachkala,Without Club
5,Serder Serderov,Сердеров Сердер Мукаилович,49,10,3,2.532,N/A,Serderov,10,4,0,Dinamo Makhachkala,Attack - Centre-Forward,"1,77 m",Russia,unknown,https://www.transfermarkt.us/serder-serderov/profil/spieler/129103,https://img.a.transfermarkt.technology/portrait/small/129103-1740767457.png?lm=1,N/A,10.03.1994,Makhachkala,Dinamo Makhachkala
6,Nikita Glushkov,Глушков Никита Сергеевич,117,9,6,9.617,N/A,Glushkov,15,15,1,Dinamo Makhachkala,Midfield - Attacking Midfield,"1,76 m",Russia,unknown,https://www.transfermarkt.us/nikita-glushkov/profil/spieler/480139,https://img.a.transfermarkt.technology/portrait/small/480139-1740767275.png?lm=1,N/A,19.03.1999,"Koltushi, Vsevolozhsky District, Leningrad Oblast",Dinamo Makhachkala
7,Gamid Agalarov,Агаларов Гамид Русланович,22,9,3,1.430,N/A,Agalarov,11,3,0,Dinamo Makhachkala,Attack - Centre-Forward,"1,81 m",Russia,unknown,https://www.transfermarkt.us/gamid-agalarov/profil/spieler/567023,https://img.a.transfermarkt.technology/portrait/small/567023-1740767410.png?lm=1,N/A,16.07.2000,Makhachkala,Dinamo Makhachkala
8,Magomed Abakarov,Абакаров Магомед Пайзуллаевич,40,9,7,2.279,N/A,Abakarov,Unknown,5,0,Dinamo Makhachkala,Attack - Centre-Forward,"1,80 m",Russia,unknown,https://www.transfermarkt.us/magomed-abakarov/profil/spieler/751971,https://img.a.transfermarkt.technology/portrait/small/751971-1740891926.png?lm=1,N/A,09.10.2000,Makhachkala,Mashuk-KMV Pyatigorsk
9,Karim Giraev,Гираев Карим Магомедович,30,8,6,2.312,N/A,Giraev,Unknown,4,0,Dinamo Makhachkala,Attack - Centre-Forward,"1,90 m",Russia,unknown,https://www.transfermarkt.us/karim-giraev/profil/spieler/603294,https://img.a.transfermarkt.technology/portrait/small/603294-1740911122.png?lm=1,N/A,14.06.1997,Makhachkala,FC Murom
10,Dzhamal Dibirgadzhiev,Дибиргаджиев Джамал Усумиевич,32,8,1,2.277,N/A,Dibirgadzhiev,Unknown,5,0,Dinamo Makhachkala,Attack - Centre-Forward,"1,92 m",Russia,unknown,https://www.transfermarkt.us/dzhamal-dibirgadzhiev/profil/spieler/375756,https://img.a.transfermarkt.technology/portrait/small/375756-1626022350.png?lm=1,N/A,02.08.1996,Makhachkala,Amkar Perm
11,Egas Cacintura,Egas Palanga dos Santos Cacintura,56,7,11,4.719,N/A,Cacintura,Unknown,9,0,Dinamo Makhachkala,Midfield - Attacking Midfield,"1,74 m",Angola,ao,https://www.transfermarkt.us/egas-cacintura/profil/spieler/911400,https://img.a.transfermarkt.technology/portrait/small/911400-1740767203.png?lm=1,N/A,29.10.1997,Namibe,Dinamo Makhachkala
12,Timur Melekestsev,Мелекесцев Тимур Давидович,21,7,4,1.014,N/A,Melekestsev,15,-1,0,Dinamo Makhachkala,Attack - Centre-Forward,"1,90 m",Russia,unknown,https://www.transfermarkt.us/timur-melekestsev/profil/spieler/520070,https://img.a.transfermarkt.technology/portrait/small/520070-1683303826.png?lm=1,N/A,03.07.2001,"Novoaleksandrovsk, Stavropol Region",Forte Taganrog
13,Soslan Kagermazov,Кагермазов Сослан Русланович,122,6,10,9.185,N/A,Kagermazov,Unknown,23,1,Dinamo Makhachkala,Defender - Right-Back,"1,85 m",Russia,unknown,https://www.transfermarkt.us/soslan-kagermazov/profil/spieler/438306,https://img.a.transfermarkt.technology/portrait/small/438306-1740766940.png?lm=1,N/A,20.08.1996,"Nartkala, Kabardino-Balkaria Republic",Dinamo Makhachkala
14,Rustam Khalimbekov,Халимбеков Рустам Арсланович,82,6,3,6.956,N/A,Khalimbekov,Unknown,12,0,Dinamo Makhachkala,Defender - Centre-Back,"1,81 m",Russia,unknown,https://www.transfermarkt.us/rustam-khalimbekov/profil/spieler/449179,https://img.a.transfermarkt.technology/portrait/small/449179-1567527037.png?lm=1,N/A,11.07.1996,Makhachkala,Merani Martvili
15,Kamil Ibragimov,Ибрагимов Камиль Ибрагимович,81,5,2,5.772,N/A,Ibragimov,3,16,2,Dinamo Makhachkala,Defender - Centre-Back,"1,87 m",Russia,unknown,https://www.transfermarkt.us/kamil-ibragimov/profil/spieler/600547,https://img.a.transfermarkt.technology/portrait/small/600547-1724381853.png?lm=1,N/A,27.03.1997,"Khasavyurt, Dagestan Republic",Chaika Peschanokopskoe
16,Shamil Isaev,Исаев Шамиль Магомедович,67,4,1,1.976,N/A,Isaev,Unknown,7,0,Dinamo Makhachkala,Midfield - Attacking Midfield,"1,69 m",Russia,unknown,https://www.transfermarkt.us/shamil-isaev/profil/spieler/800154,https://img.a.transfermarkt.technology/portrait/small/800154-1651488103.png?lm=1,N/A,08.09.2003,Makhachkala,FC Ufa
17,Rasul Gitinov,Гитинов Расул Дарбишевич,53,4,0,4.084,N/A,Gitinov,Unknown,7,0,Dinamo Makhachkala,Defender - Centre-Back,"1,84 m",Russia,unknown,https://www.transfermarkt.us/rasul-gitinov/profil/spieler/296310,https://img.a.transfermarkt.technology/portrait/small/296310-1583793387.png?lm=1,N/A,14.08.1989,"Kizilyurt, Dagestan Republic",Retired
18,Arsen Vagidov,Вагидов Арсен Мирзалиевич,29,4,3,903.000,N/A,Vagidov,Unknown,4,1,Dinamo Makhachkala,Attack - Centre-Forward,"1,86 m",Russia,unknown,https://www.transfermarkt.us/arsen-vagidov/profil/spieler/296332,https://img.a.transfermarkt.technology/portrait/small/296332-1597336553.png?lm=1,N/A,16.12.1994,"Chakhchakh-Kazmalyar, Dagestan Republic",Without Club
19,Idar Shumakhov,Шумахов Идар Артурович,93,4,2,7.994,N/A,Shumakhov,Unknown,7,0,Dinamo Makhachkala,Defender - Centre-Back,"1,85 m",Russia,unknown,https://www.transfermarkt.us/idar-shumakhov/profil/spieler/702149,https://img.a.transfermarkt.technology/portrait/small/702149-1740766586.png?lm=1,N/A,05.06.1999,Nalchik,Dinamo Makhachkala
20,Anvar Gazimagomedov,Газимагомедов Анвар Анасович,23,3,1,1.635,N/A,Gazimagomedov,Unknown,7,0,Dinamo Makhachkala,Midfield - Left Midfield,"1,74 m",Russia,unknown,https://www.transfermarkt.us/anvar-gazimagomedov/profil/spieler/296308,https://img.a.transfermarkt.technology/portrait/small/296308-1547415269.png?lm=1,N/A,11.05.1988,Makhachkala,Retired
21,Tagir Musalov,Мусалов Тагир Ахмедович,28,3,0,1.879,N/A,Musalov,Unknown,0,0,Dinamo Makhachkala,Attack - Right Winger,"1,83 m",Russia,unknown,https://www.transfermarkt.us/tagir-musalov/profil/spieler/302134,https://img.a.transfermarkt.technology/portrait/small/302134-1568696303.png?lm=1,N/A,09.02.1994,"Khushtada, Dagestan Republic",Retired
22,Rustam Isaev,Исаев Рустам Арифович,28,3,2,2.452,N/A,Isaev,Unknown,1,0,Dinamo Makhachkala,Defender - Right-Back,"1,78 m",Russia,unknown,https://www.transfermarkt.us/rustam-isaev/profil/spieler/686217,https://img.a.transfermarkt.technology/portrait/small/686217-1743142303.png?lm=1,N/A,02.06.1998,Makhachkala,Legion Makhachkala
23,Oleg Krasilnichenko,Красильниченко Олег Сергеевич,63,3,6,5.273,N/A,Krasilnichenko,19,12,0,Dinamo Makhachkala,Defender - Left-Back,"1,75 m",Russia,unknown,https://www.transfermarkt.us/oleg-krasilnichenko/profil/spieler/281544,https://img.a.transfermarkt.technology/portrait/small/281544-1740644495.png?lm=1,N/A,21.01.1997,"Krymsk, Krasnodar Region",Volga Uljanovsk
24,Chingiz Agabalaev,Агабалаев Чингиз Маратович,20,3,0,556.000,N/A,Agabalaev,Unknown,2,0,Dinamo Makhachkala,Attack - Left Winger,"1,68 m",Russia,unknown,https://www.transfermarkt.us/chingiz-agabalaev/profil/spieler/515075,https://img.a.transfermarkt.technology/portrait/small/515075-1568178770.png?lm=1,N/A,29.01.1997,Makhachkala,Anzhi Makhachkala
25,Devid Bigulaev,Бигулаев Дэвид Сосланович,17,3,2,622.000,N/A,Bigulaev,Unknown,2,0,Dinamo Makhachkala,Attack - Right Winger,"1,89 m",Russia,unknown,https://www.transfermarkt.us/devid-bigulaev/profil/spieler/685994,https://img.a.transfermarkt.technology/portrait/small/685994-1651487611.png?lm=1,N/A,05.06.2001,Vladikavkaz,Without Club
26,Amirkhan Temukov,Темуков Амирхан Аскерович,22,3,2,1.857,N/A,Temukov,Unknown,6,2,Dinamo Makhachkala,Midfield - Central Midfield,"1,78 m",Russia,unknown,https://www.transfermarkt.us/amirkhan-temukov/profil/spieler/686218,https://img.a.transfermarkt.technology/portrait/small/686218-1568696260.png?lm=1,N/A,17.11.1998,"Khasavyurt, Dagestan Region",Without Club
27,Yarakhmed Makhmudov,Махмудов Ярахмед Тофикович,48,3,2,2.866,N/A,Makhmudov,Unknown,5,0,Dinamo Makhachkala,Defender - Right-Back,"1,79 m",Russia,unknown,https://www.transfermarkt.us/yarakhmed-makhmudov/profil/spieler/654593,https://img.a.transfermarkt.technology/portrait/small/654593-1651487867.png?lm=1,N/A,21.11.1999,"Yarag-Kazmalyar, Dagestan Region",Without Club
28,Mutalip Alibekov,Алибеков Муталип Омарович,104,3,4,9.088,N/A,Alibekov,-,18,1,Dinamo Makhachkala,Defender - Centre-Back,"1,80 m",Russia,unknown,https://www.transfermarkt.us/mutalip-alibekov/profil/spieler/334425,https://img.a.transfermarkt.technology/portrait/small/334425-1740766718.png?lm=1,N/A,18.06.1997,Makhachkala,Dinamo Makhachkala
29,Saminu Abdullahi,Saminu Kwari Abdullahi,19,2,3,1.158,N/A,Abdullahi,Unknown,2,0,Dinamo Makhachkala,Midfield - Defensive Midfield,"1,79 m",Nigeria,ng,https://www.transfermarkt.us/saminu-abdullahi/profil/spieler/693647,https://img.a.transfermarkt.technology/portrait/small/693647-1634838042.png?lm=1,N/A,03.01.2001,Jos,FC Juárez
30,Jan Dapo,Unknown,21,2,0,1.066,N/A,Unknown,Unknown,2,0,Dinamo Makhachkala,Unknown,Unknown,Slovenia,si,https://www.transfermarkt.us/jan-dapo/profil/spieler/874950,https://img.a.transfermarkt.technology/portrait/small/874950-1740766882.png?lm=1,N/A,17.09.2002,Unknown,Dinamo Makhachkala
31,Dzhamalutdin Dzhabrailov,Джабраилов Джамалутдин Ильясович,13,2,0,260.000,N/A,Dzhabrailov,Unknown,0,0,Dinamo Makhachkala,Attack - Left Winger,"1,73 m",Russia,unknown,https://www.transfermarkt.us/dzhamalutdin-dzhabrailov/profil/spieler/654258,https://img.a.transfermarkt.technology/portrait/small/654258-1553699710.png?lm=1,N/A,08.06.2001,Makhachkala,Without Club
32,Vladimir Kovacevic,Владимир Ковачевић,47,2,2,4.133,N/A,Kovacevic,-,7,0,Dinamo Makhachkala,Defender - Centre-Back,"1,89 m",Serbia,rs,https://www.transfermarkt.us/vladimir-kovacevic/profil/spieler/94317,https://img.a.transfermarkt.technology/portrait/small/94317-1717583797.png?lm=1,N/A,11.11.1992,Odžaci,Sokol Saratov
33,Mohamed Azzi,محمد عزي,3,2,0,223.000,N/A,Azzi,4,1,0,Dinamo Makhachkala,Defender - Right-Back,"1,77 m",Algeria,dz,https://www.transfermarkt.us/mohamed-azzi/profil/spieler/863190,https://img.a.transfermarkt.technology/portrait/small/863190-1739979706.png?lm=1,N/A,11.05.2002,Ouargla,Dinamo Makhachkala
34,Israpil Abdulaev,Абдулаев Исрапил Шарипович,37,2,1,937.000,N/A,Abdulaev,Unknown,4,1,Dinamo Makhachkala,Midfield - Right Midfield,"1,67 m",Russia,unknown,https://www.transfermarkt.us/israpil-abdulaev/profil/spieler/686531,https://img.a.transfermarkt.technology/portrait/small/686531-1665324808.png?lm=1,N/A,20.06.1997,Makhachkala,Anzhi Makhachkala
35,Mohammadjavad Hosseinnejad,محمدجواد حسین نژاد محله کلایی,20,1,3,747.000,N/A,Hosseinnejad,8,1,0,Dinamo Makhachkala,Midfield - Attacking Midfield,"1,78 m",Iran,ir,https://www.transfermarkt.us/mohammadjavad-hosseinnejad/profil/spieler/1030739,https://img.a.transfermarkt.technology/portrait/small/1030739-1723194314.png?lm=1,N/A,26.06.2003,"Juybar, Mazandaran",Dinamo Makhachkala
36,Shamil Gadzhiev,Гаджиев Шамиль Гаджиевич,2,1,0,10.000,N/A,Gadzhiev,Unknown,0,0,Dinamo Makhachkala,Midfield - Attacking Midfield,"1,85 m",Russia,unknown,https://www.transfermarkt.us/shamil-gadzhiev/profil/spieler/926945,https://img.a.transfermarkt.technology/portrait/small/926945-1690398540.png?lm=1,N/A,26.07.2005,Moskau,Dinamo-2 Makhachkala
37,Amin Sulebanov,Сулебанов Амин Шамильевич,11,1,0,545.000,N/A,Sulebanov,Unknown,1,0,Dinamo Makhachkala,Defender - Right-Back,"1,73 m",Russia,unknown,https://www.transfermarkt.us/amin-sulebanov/profil/spieler/746471,https://img.a.transfermarkt.technology/portrait/small/746471-1636208733.png?lm=1,N/A,26.01.2001,Makhachkala,FC Tver
38,Soslan Lysenko,Лысенко Сослан Вячеславович,19,1,2,551.000,N/A,Lysenko,11,2,0,Dinamo Makhachkala,Attack - Left Winger,"1,72 m",Russia,unknown,https://www.transfermarkt.us/soslan-lysenko/profil/spieler/606834,https://img.a.transfermarkt.technology/portrait/small/606834-1597943862.png?lm=1,N/A,16.03.2000,Vladikavkaz,Spartak Nalchik
39,Houssem Mrezigue,حسام الدين مريزيق - Houssem Eddine Mrezigue,17,1,1,1.155,N/A,Mrezigue,14,2,1,Dinamo Makhachkala,Midfield - Defensive Midfield,"1,83 m",Algeria,dz,https://www.transfermarkt.us/houssem-mrezigue/profil/spieler/842780,https://img.a.transfermarkt.technology/portrait/small/842780-1722439208.png?lm=1,N/A,23.03.2000,Ain Arnat,Dinamo Makhachkala
40,Mikhail Kostyukov,Костюков Михаил Александрович,16,1,1,523.000,N/A,Kostyukov,Unknown,1,0,Dinamo Makhachkala,Attack - Centre-Forward,"1,82 m",Russia,unknown,https://www.transfermarkt.us/mikhail-kostyukov/profil/spieler/275159,https://img.a.transfermarkt.technology/portrait/small/275159-1615825415.png?lm=1,N/A,09.08.1991,Nizhniy Novgorod,Volna Kovernino
41,Magomed Nasibov,Насибов Магомед Залумханович,11,1,0,169.000,N/A,Nasibov,Unknown,1,0,Dinamo Makhachkala,Attack - Left Winger,"1,83 m",Russia,unknown,https://www.transfermarkt.us/magomed-nasibov/profil/spieler/866819,https://img.a.transfermarkt.technology/portrait/small/866819-1740638582.png?lm=1,N/A,25.07.2004,Unknown,Veles Moscow
42,Alimkhan Zaynivov,Зайнивов Алимхан Магомедзагирович,14,1,0,280.000,N/A,Zaynivov,Unknown,0,0,Dinamo Makhachkala,Midfield - Central Midfield,"1,81 m",Russia,unknown,https://www.transfermarkt.us/alimkhan-zaynivov/profil/spieler/1115341,https://img.a.transfermarkt.technology/portrait/small/1115341-1677859344.png?lm=1,N/A,04.01.2005,Unknown,Dinamo-2 Makhachkala
