rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Andrey Tikhonov,Тихонов Андрей Валерьевич,151,47,53,13.273,N/A,Tikhonov,-,18,0,FC Khimki,Midfield - Attacking Midfield,"1,77 m",Russia,unknown,https://www.transfermarkt.us/andrey-tikhonov/profil/spieler/25044,https://img.a.transfermarkt.technology/portrait/small/25044-1603880968.jpg?lm=1,N/A,16.10.1970,"Kaliningrad, Moskau Oblast",Retired
2,Aleksandr Rudenko,Руденко Александр Александрович,100,24,10,6.144,N/A,Rudenko,11,15,0,FC Khimki,Attack - Left Winger,"1,73 m",Russia,unknown,https://www.transfermarkt.us/aleksandr-rudenko/profil/spieler/318468,https://img.a.transfermarkt.technology/portrait/small/318468-1657902651.png?lm=1,N/A,15.03.1999,"Darjevka, Rostov Oblast",FC Khimki
3,Aleksandr Antipenko,Антипенко Александр Валерьевич,112,21,7,6.943,N/A,Antipenko,-,10,0,FC Khimki,Attack - Centre-Forward,"1,96 m",Russia,unknown,https://www.transfermarkt.us/aleksandr-antipenko/profil/spieler/38753,https://img.a.transfermarkt.technology/portrait/small/38753-1555664198.png?lm=1,N/A,27.05.1982,Komsomoljsk-na-Amure,Retired
4,Ilya Kukharchuk,Кухарчук Илья Владимирович,100,20,14,6.000,N/A,Kukharchuk,21,12,0,FC Khimki,Attack - Right Winger,"1,87 m",Russia,unknown,https://www.transfermarkt.us/ilya-kukharchuk/profil/spieler/104700,https://img.a.transfermarkt.technology/portrait/small/104700-1722315067.png?lm=1,N/A,02.08.1990,Kostroma,Rotor Volgograd
5,Arshak Koryan,Корян Аршак Рафаэльевич,112,19,21,6.958,N/A,Koryan,10,9,0,FC Khimki,Attack - Right Winger,"1,69 m",Armenia,am,https://www.transfermarkt.us/arshak-koryan/profil/spieler/214252,https://img.a.transfermarkt.technology/portrait/small/214252-1720981404.png?lm=1,N/A,17.06.1995,"Sochi, Krasnodar Region",Rodina Moscow
6,Mikhail Petrusev,Петрусёв Михаил Витальевич,110,17,7,5.748,N/A,Petrusev,11,11,0,FC Khimki,Attack - Left Winger,"1,75 m",Russia,unknown,https://www.transfermarkt.us/mikhail-petrusev/profil/spieler/197145,https://img.a.transfermarkt.technology/portrait/small/197145-1636036811.png?lm=1,N/A,21.11.1994,"Anastasino, Smolensk Region",Retired
7,Butta Magomedov,Магомедов Бутта Гаджиевич,100,13,12,5.416,N/A,Magomedov,Unknown,7,1,FC Khimki,Midfield - Attacking Midfield,"1,76 m",Russia,unknown,https://www.transfermarkt.us/butta-magomedov/profil/spieler/395163,https://img.a.transfermarkt.technology/portrait/small/395163-1657902470.png?lm=1,N/A,25.12.1997,Makhachkala,FC Khimki
8,Miodrag Jovanovic,Unknown,240,13,1,19.273,N/A,Jovanovic,Unknown,45,0,FC Khimki,Defender - Centre-Back,"1,86 m",Serbia,rs,https://www.transfermarkt.us/miodrag-jovanovic/profil/spieler/15491,https://img.a.transfermarkt.technology/portrait/small/15491-1674738833.jpg?lm=1,N/A,24.03.1977,Unknown,Retired
9,Aleksandr Shvetsov,Швецов Александр Васильевич,125,13,0,8.705,N/A,Shvetsov,Unknown,28,1,FC Khimki,Midfield - Defensive Midfield,"1,81 m",Russia,unknown,https://www.transfermarkt.us/aleksandr-shvetsov/profil/spieler/38701,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,17.12.1980,Moskau,Retired
10,Nikolay Tyunin,Тюнин Николай Викторович,145,12,2,11.424,N/A,Tyunin,Unknown,23,0,FC Khimki,Midfield - Defensive Midfield,"1,77 m",Russia,unknown,https://www.transfermarkt.us/nikolay-tyunin/profil/spieler/90187,https://img.a.transfermarkt.technology/portrait/small/90187-1553900583.png?lm=1,N/A,06.01.1987,"Vilyuchinsk, Kamchatka",Retired
