rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Timofey Kalachev,Калачёв Тимофей Сергеевич,295,24,74,22.490,N/A,Kalachev,23,86,1,FC Rostov,Midfield - Right Midfield,"1,72 m",Belarus,by,https://www.transfermarkt.us/timofey-kalachev/profil/spieler/44318,https://img.a.transfermarkt.technology/portrait/small/44318-1557398445.png?lm=1,N/A,01.05.1981,Mogilev,Retired
2,Dmitriy Poloz,Полоз Дмитрий Дмитриевич,242,58,29,15.137,N/A,Poloz,23,15,0,FC Rostov,Attack - Left Winger,"1,83 m",Russia,unknown,https://www.transfermarkt.us/dmitriy-poloz/profil/spieler/98539,https://img.a.transfermarkt.technology/portrait/small/98539-1696080431.png?lm=1,N/A,12.07.1991,Stavropol,Krasnoe Znamya Noginsk
3,Vladyslav Prudius,Прудіус Владислав Миколайович,148,6,28,9.538,N/A,Prudius,-,17,1,FC Rostov,Midfield - Attacking Midfield,"1,70 m",Ukraine,ua,https://www.transfermarkt.us/vladyslav-prudius/profil/spieler/430990,https://img.a.transfermarkt.technology/portrait/small/430990-1591300464.jpg?lm=1,N/A,22.06.1973,"Romny, Sumy Oblast",Retired
4,Mikhail Osinov,Осинов Михаил Святославович,259,58,26,22.092,N/A,Osinov,13,44,0,FC Rostov,Midfield - Defensive Midfield,"1,80 m",Russia,unknown,https://www.transfermarkt.us/mikhail-osinov/profil/spieler/25088,https://img.a.transfermarkt.technology/portrait/small/25088-1637067974.png?lm=1,N/A,08.10.1975,"Arti, Sverdlovsk Region",Retired
5,Alexandru Gatcan,Alexandru Gaţcan,315,24,25,27.097,N/A,Gatcan,8,99,1,FC Rostov,Midfield - Defensive Midfield,"1,86 m",Moldova,md,https://www.transfermarkt.us/alexandru-gatcan/profil/spieler/5245,https://img.a.transfermarkt.technology/portrait/small/5245-1609137366.png?lm=1,N/A,27.03.1984,Chişinău,Retired
6,Nikolay Komlichenko,Комличенко Николай Николаевич,118,33,24,7.580,N/A,Komlichenko,16,16,0,FC Rostov,Attack - Centre-Forward,"1,90 m",Russia,unknown,https://www.transfermarkt.us/nikolay-komlichenko/profil/spieler/300538,https://img.a.transfermarkt.technology/portrait/small/300538-1721923239.png?lm=1,N/A,29.06.1995,"Plastunovskaya, Krasnodar Region",FC Rostov
7,Dmitriy Loskov,Лоськов Дмитрий Вячеславович,125,26,24,9.272,N/A,Loskov,20,14,0,FC Rostov,Midfield - Attacking Midfield,"1,78 m",Russia,unknown,https://www.transfermarkt.us/dmitriy-loskov/profil/spieler/9646,https://img.a.transfermarkt.technology/portrait/small/9646-1511274801.jpg?lm=1,N/A,12.02.1974,Kurgan,Retired
8,Khoren Bayramyan,Байрамян Хорен Робертович,234,11,20,13.763,N/A,Bayramyan,7,40,0,FC Rostov,Midfield - Attacking Midfield,"1,69 m",Armenia,am,https://www.transfermarkt.us/khoren-bayramyan/profil/spieler/189715,https://img.a.transfermarkt.technology/portrait/small/189715-1721923090.png?lm=1,N/A,07.01.1992,"Koti, Tavush Province",FC Rostov
9,Danil Glebov,Глебов Данил Александрович,191,12,17,15.107,N/A,Glebov,21,29,2,FC Rostov,Midfield - Defensive Midfield,"1,78 m",Russia,unknown,https://www.transfermarkt.us/danil-glebov/profil/spieler/570423,https://img.a.transfermarkt.technology/portrait/small/570423-1721922832.png?lm=1,N/A,03.11.1999,Tomsk,Dynamo Moscow
10,Aleksandr Bukharov,Бухаров Александр Евгеньевич,99,18,17,5.325,N/A,Bukharov,19,18,0,FC Rostov,Attack - Centre-Forward,"1,93 m",Russia,unknown,https://www.transfermarkt.us/aleksandr-bukharov/profil/spieler/45491,https://img.a.transfermarkt.technology/portrait/small/45491-1548620689.png?lm=1,N/A,12.03.1985,Naberezhnye Chelny,Retired
