name,club,periods
Aleksandr Kerzhakov,Zenit St. Petersburg,"2001-2007, 2010-2016, 2016-2017"
Artem Dzyuba,Zenit St. Petersburg,"2015-2018, 2018-2022"
Vladimir Kulik,Zenit St. Petersburg,1991-1997
Yuriy Zheludkov,Zenit St. Petersburg,1991-1991
Vladimir Klementjev,Zenit St. Petersburg,
Andrey Arshavin,Zenit St. Petersburg,"2000-2009, 2012-2012, 2013-2015"
Vladimir Kazachenok,Zenit St. Petersburg,
Hulk,Zenit St. Petersburg,2012-2016
Sardar Azmoun,Zenit St. Petersburg,2019-2022
Ivan Komarov,Zenit St. Petersburg,
Sergey Dmitriev,Zenit St. Petersburg,1995-1997
Fridrikh Maryutin,Zenit St. Petersburg,
Aleksandr Ivanov,Zenit St. Petersburg,
Anatoliy Korotkov,Zenit St. Petersburg,
Igor Zazulin,Zenit St. Petersburg,1992-2000
Boris Chukhlov,Zenit St. Petersburg,
Roman Shirokov,Zenit St. Petersburg,"2008-2014, 2014-2014"
Oleksandr Spivak,Zenit St. Petersburg,2000-2008
Yuriy Gerasimov,Zenit St. Petersburg,
Malcom,Zenit St. Petersburg,2019-2023
Aleksandr Erokhin,Zenit St. Petersburg,2017-2025
Pavel Sadyrin,Zenit St. Petersburg,
Gennadiy Popovych,Zenit St. Petersburg,1997-2002
Pavel Pogrebnyak,Zenit St. Petersburg,2007-2009
Mateo Cassierra,Zenit St. Petersburg,2022-2025
Konstantin Zyryanov,Zenit St. Petersburg,2007-2014
Nikolay Ryazanov,Zenit St. Petersburg,
Vadim Khrapovitskiy,Zenit St. Petersburg,
Aleksandr Panov,Zenit St. Petersburg,"1994-1995, 1995-1996, 1996-2000, 2006-2007, 2007-2008"
Stanislav Zavidonov,Zenit St. Petersburg,
Viktor Smagin,Zenit St. Petersburg,
Vyacheslav Melnikov,Zenit St. Petersburg,
Aleksandr Kokorin,Zenit St. Petersburg,"2016-2020, 2020-2020"
Georgiy Khromchenkov,Zenit St. Petersburg,
Nikolay Smirnov,Zenit St. Petersburg,
Oleg Shatov,Zenit St. Petersburg,"2013-2018, 2018-2020"
Andrey Mostovoy,Zenit St. Petersburg,"2019-2019, 2020-2025"
Ivan Sergeev,Zenit St. Petersburg,2022-2024
Aleksandr Gorshkov,Zenit St. Petersburg,"1997-2002, 2004-2009"
Fatih Tekke,Zenit St. Petersburg,2006-2010
Igor Denisov,Zenit St. Petersburg,2003-2013
Vladimir Goncharov,Zenit St. Petersburg,
Salomón Rondón,Zenit St. Petersburg,2014-2015
Anatoliy Zinchenko,Zenit St. Petersburg,
Aleksandr Markin,Zenit St. Petersburg,
Anatoliy Vasiljev,Zenit St. Petersburg,
Sergey Varfolomeev,Zenit St. Petersburg,1990-1995
Viktor Faizulin,Zenit St. Petersburg,2008-2018
Oleg Dmitriev,Zenit St. Petersburg,1990-1999
Sebastián Driussi,Zenit St. Petersburg,2017-2021
Vladimir Bystrov,Zenit St. Petersburg,"2003-2005, 2009-2014, 2014-2014"
Gennadiy Unanov,Zenit St. Petersburg,
Andrey Redkous,Zenit St. Petersburg,
Boris Koch,Zenit St. Petersburg,
Oleg Morozov,Zenit St. Petersburg,
Daler Kuzyaev,Zenit St. Petersburg,2017-2023
Axel Witsel,Zenit St. Petersburg,2012-2017
Aleksey Larionov,Zenit St. Petersburg,
Valentin Tsaritsyn,Zenit St. Petersburg,
Arkadiy Afanasjev,Zenit St. Petersburg,
Danko Lazovic,Zenit St. Petersburg,"2010-2013, 2013-2014"
Wendel,Zenit St. Petersburg,2020-2025
Claudinho,Zenit St. Petersburg,2021-2025
Domenico Criscito,Zenit St. Petersburg,2011-2018
Valentin Shelagin,Zenit St. Petersburg,
Georgiy Vyun,Zenit St. Petersburg,
Nikolay Larionov,Zenit St. Petersburg,1991-1992
Boris Chuchelov,Zenit St. Petersburg,
Anatoliy Tymoshchuk,Zenit St. Petersburg,"2007-2009, 2013-2015"
Petr Katrovskiy,Zenit St. Petersburg,
Aleksandr Bukharov,Zenit St. Petersburg,"2010-2014, 2014-2014"
Giuliano,Zenit St. Petersburg,2016-2017
Vyacheslav Krotkov,Zenit St. Petersburg,
Aleksandr Nikolaev,Zenit St. Petersburg,
Vladislav Radimov,Zenit St. Petersburg,2003-2009
Gennadiy Bondarenko,Zenit St. Petersburg,
Dmitriy Radchenko,Zenit St. Petersburg,
Boris Levin-Kogan,Zenit St. Petersburg,
Lazar Kravets,Zenit St. Petersburg,
Robert Mak,Zenit St. Petersburg,"2016-2017, 2018-2020"
Sergey Salnikov,Zenit St. Petersburg,
Gustavo Mantuan,Zenit St. Petersburg,"2022-2023, 2023-2025"
Aleksey Sutormin,Zenit St. Petersburg,"2019-2024, 2024-2024, 2025-2025"
Yuriy Volodin,Zenit St. Petersburg,
Aleksandr Anyukov,Zenit St. Petersburg,"2005-2019, 2020-2020"
Aleksey Stepanov,Zenit St. Petersburg,
Valentin Gusev,Zenit St. Petersburg,
Sergey Semak,Zenit St. Petersburg,2010-2013
Igor Danilov,Zenit St. Petersburg,1996-1997
Roman Maksymyuk,Zenit St. Petersburg,1998-2000
Boris Ivin,Zenit St. Petersburg,
Viktor Bodrov,Zenit St. Petersburg,
Aleksandr Orlov,Zenit St. Petersburg,
Branislav Ivanovic,Zenit St. Petersburg,2017-2020
Viktor Zhilin,Zenit St. Petersburg,
Emiliano Rigoni,Zenit St. Petersburg,"2017-2018, 2018-2019, 2020-2020"
Szabolcs Huszti,Zenit St. Petersburg,2009-2012
Mikhail Ivanov,Zenit St. Petersburg,
