rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Sergey Solovjev,Сергей Александрович Соловьёв,230,149,0,19.888,1940-1953,Solovjev,Unknown,0,0,Dynamo Moscow,Attack - Centre-Forward,"1,75 m",Russia,unknown,https://www.transfermarkt.us/sergey-solovjev/profil/spieler/769410,https://img.a.transfermarkt.technology/portrait/small/769410-1611763903.jpg?lm=1,,09.03.1915,Sokol,---
2,Konstantin Beskov,Константин Иванович Бесков,224,113,0,19.401,1941-1955,Beskov,-,0,0,Dynamo Moscow,Attack - Right Winger,,Russia,unknown,https://www.transfermarkt.us/konstantin-beskov/profil/spieler/665151,https://img.a.transfermarkt.technology/portrait/small/665151-1634582757.jpg?lm=1,,18.11.1920,Moskau,---
3,Valeriy Gazzaev,Газзаев Валерий Георгиевич,237,87,9,21.025,1979-1986,Gazzaev,-,17,1,Dynamo Moscow,Attack - Centre-Forward,,Russia,unknown,https://www.transfermarkt.us/valeriy-gazzaev/profil/spieler/130428,https://img.a.transfermarkt.technology/portrait/small/130428-1700749193.jpg?lm=1,,07.08.1954,Vladikavkaz,Retired
4,Vasiliy Trofimov,Трофимов Василий Дмитриевич,232,74,0,20.172,1938-1954,Trofimov,-,0,0,Dynamo Moscow,Attack - Right Winger,"1,61 m",Russia,unknown,https://www.transfermarkt.us/vasiliy-trofimov/profil/spieler/754792,https://img.a.transfermarkt.technology/portrait/small/754792-1584905696.jpg?lm=1,,07.01.1919,"Kostino, Moskovskaya Oblast",---
5,Igor Chislenko,Численко Игорь Леонидович,250,73,0,21.408,1959-1971,Chislenko,-,0,3,Dynamo Moscow,Attack - Right Winger,"1,71 m",Russia,unknown,https://www.transfermarkt.us/igor-chislenko/profil/spieler/216051,https://img.a.transfermarkt.technology/portrait/small/216051-1710689324.png?lm=1,,04.01.1939,Moskau,---
6,Gennadiy Evryuzhikhin,Еврюжихин Геннадий Егорович,334,63,6,28.068,1966-1977,Evryuzhikhin,-,0,0,Dynamo Moscow,Attack - Right Winger,"1,70 m",Russia,unknown,https://www.transfermarkt.us/gennadiy-evryuzhikhin/profil/spieler/215958,https://img.a.transfermarkt.technology/portrait/small/215958-1581446430.jpg?lm=1,,04.02.1944,Kazan,---
7,Mikhail Semichastnyi,Семичастный Михаил Васильевич,229,59,0,20.471,1936-1951,Semichastnyi,Unknown,0,0,Dynamo Moscow,Attack - Right Winger,,Russia,unknown,https://www.transfermarkt.us/mikhail-semichastnyi/profil/spieler/665389,https://img.a.transfermarkt.technology/portrait/small/665389-1638829613.jpg?lm=1,,22.11.1910,"Perlovka, Moskau Region",---
8,Andrey Kobelev,Кобелев Андрей Николаевич,311,58,44,23.904,"1985-1992, 1995-1999, 2002-2003",Kobelev,8,31,2,Dynamo Moscow,Midfield - Central Midfield,,Russia,unknown,https://www.transfermarkt.us/andrey-kobelev/profil/spieler/67111,https://img.a.transfermarkt.technology/portrait/small/67111-1553651550.jpg?lm=1,,22.10.1968,Moskau,Retired
9,Valeriy Maslov,Маслов Валерий Павлович,351,54,1,31.65,1961-1972,Maslov,-,0,2,Dynamo Moscow,Midfield - Central Midfield,"1,72 m",Russia,unknown,https://www.transfermarkt.us/valeriy-maslov/profil/spieler/291681,https://img.a.transfermarkt.technology/portrait/small/291681-1553704958.jpg?lm=1,,28.04.1940,"Ust-Bolsheretsk, Khabarovsk Krai",---
10,Aleksandr Minaev,Минаев Александр Алексеевич,256,28,3,22.0,1976-1985,Minaev,-,5,0,Dynamo Moscow,Midfield - Central Midfield,"1,75 m",Russia,unknown,https://www.transfermarkt.us/aleksandr-minaev/profil/spieler/286952,https://img.a.transfermarkt.technology/portrait/small/286952-1613666732.jpg?lm=1,,11.08.1954,"Zheleznodorozhny, Moskau Region",---
11,Aleksandr Makhovikov,Александр Фёдорович Маховиков,363,26,0,31.357,1971-1984,Makhovikov,-,6,1,Dynamo Moscow,Defender - Left-Back,"1,75 m",Russia,unknown,https://www.transfermarkt.us/aleksandr-makhovikov/profil/spieler/246741,https://img.a.transfermarkt.technology/portrait/small/246741-1613666126.jpg?lm=1,,12.04.1951,Moskau,Retired
12,Aleksey Petrushin,Петрушин Алексей Алексеевич,304,24,2,24.298,1970-1981,Petrushin,-,3,0,Dynamo Moscow,Midfield - Defensive Midfield,,Russia,unknown,https://www.transfermarkt.us/aleksey-petrushin/profil/spieler/561463,https://img.a.transfermarkt.technology/portrait/small/561463-1638376925.jpg?lm=1,,29.01.1952,"Lyubertsy, Moskau Region",Retired
13,Leandro Fernández,Leandro Sébastian Fernández,235,16,9,20.429,2006-2014,Fernández,5,54,5,Dynamo Moscow,Defender - Centre-Back,"1,79 m",Argentina,ar,https://www.transfermarkt.us/leandro-fernandez/profil/spieler/26462,https://img.a.transfermarkt.technology/portrait/small/26462-1667550976.jpg?lm=1,,30.01.1983,Rosario,Retired
14,Viktor Anichkin,Аничкин Виктор Иванович,322,15,0,28.256,,Anichkin,-,0,1,Dynamo Moscow,Defender - Centre-Back,"1,78 m",Russia,unknown,https://www.transfermarkt.us/viktor-anichkin/profil/spieler/216050,https://img.a.transfermarkt.technology/portrait/small/216050-1634579213.jpg?lm=1,,08.12.1941,Sverdlovsk,---
15,Vsevolod Blinkov,Блинков Всеволод Константинович,232,13,0,20.644,1940-1954,Blinkov,Unknown,0,0,Dynamo Moscow,Midfield,,Russia,unknown,https://www.transfermarkt.us/vsevolod-blinkov/profil/spieler/730504,https://img.a.transfermarkt.technology/portrait/small/730504-1674561468.jpg?lm=1,,10.12.1918,Novosibirsk,---
