rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Aleksandr Minaev,Минаев Александр Алексеевич,271,62,0,22.771,"1983-1990, 1990-1991",Minaev,Unknown,8,0,Fakel Voronezh,Defender - Centre-Back,"1,78 m",Russia,unknown,https://www.transfermarkt.us/aleksandr-minaev/profil/spieler/491630,https://img.a.transfermarkt.technology/portrait/small/491630-1694433994.jpg?lm=1,,20.08.1958,"Ignashino, Amur Region",---
2,Viktor Pimushin,Пимушин Виктор Юрьевич,188,61,0,15.946,"1981-1986, 1988-1990",Pimushin,Unknown,2,0,Fakel Voronezh,Attack - Centre-Forward,,Russia,unknown,https://www.transfermarkt.us/viktor-pimushin/profil/spieler/520234,https://img.a.transfermarkt.technology/portrait/small/520234-1673624248.jpg?lm=1,,29.04.1955,"Dzerzhinskiy, Moskau Oblast",Retired
3,Valeriy Shmarov,Шмаров Валерий Валентинович,208,48,8,14.716,"1982-1984, 1986-1987, 1997-2002",Shmarov,-,13,0,Fakel Voronezh,Midfield - Attacking Midfield,,Russia,unknown,https://www.transfermarkt.us/valeriy-shmarov/profil/spieler/17278,https://img.a.transfermarkt.technology/portrait/small/17278-1514904587.jpg?lm=1,,23.02.1965,Voronezh,Retired
4,Mikhail Biryukov,Бирюков Михаил Петрович,141,44,7,9.378,"2014-2017, 2018-2019",Biryukov,Unknown,8,1,Fakel Voronezh,Attack - Centre-Forward,"1,81 m",Russia,unknown,https://www.transfermarkt.us/mikhail-biryukov/profil/spieler/238751,https://img.a.transfermarkt.technology/portrait/small/238751-1569595844.png?lm=1,,15.03.1987,"Krivyanskaya, Rostov Region",Retired
5,Maksim Maksimov,Максимов Максим Сергеевич,121,39,5,6.257,2020-2024,Maksimov,Unknown,15,0,Fakel Voronezh,Attack - Centre-Forward,"1,90 m",Russia,unknown,https://www.transfermarkt.us/maksim-maksimov/profil/spieler/316296,https://img.a.transfermarkt.technology/portrait/small/316296-1720981430.png?lm=1,,04.11.1995,Voronezh,Torpedo Moscow
6,Gennadiy Semin,Сёмин Геннадий Владимирович,269,36,15,21.208,1992-2001,Semin,Unknown,25,0,Fakel Voronezh,Attack - Left Winger,"1,79 m",Russia,unknown,https://www.transfermarkt.us/gennadiy-semin/profil/spieler/89028,https://img.a.transfermarkt.technology/portrait/small/89028-1676206715.jpg?lm=1,,04.12.1967,Moskau,---
7,Oleg Yelyshev,Елышев Олег Вячеславович,120,27,4,8.965,1989-2005,Yelyshev,Unknown,15,0,Fakel Voronezh,Midfield - Right Midfield,"1,81 m",Russia,unknown,https://www.transfermarkt.us/oleg-yelyshev/profil/spieler/168697,https://img.a.transfermarkt.technology/portrait/small/168697-1591309105.jpg?lm=1,,30.05.1971,Kaliningrad,Retired
8,Aleksandr Stepin,Стёпин Александр Валерьевич,220,26,5,15.325,"1992-1998, 1998-2001",Stepin,Unknown,18,0,Fakel Voronezh,Midfield,"1,79 m",Russia,unknown,https://www.transfermarkt.us/aleksandr-stepin/profil/spieler/524512,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,07.02.1972,Bryansk,Retired
9,Oganez Mkhitaryan,Мхитарян Оганез Арменакович,326,23,0,23.767,"1980-1990, 1990-1995",Mkhitaryan,Unknown,4,0,Fakel Voronezh,Midfield,"1,72 m",Russia,unknown,https://www.transfermarkt.us/oganez-mkhitaryan/profil/spieler/780250,https://img.a.transfermarkt.technology/portrait/small/780250-1700809325.jpeg?lm=1,,26.08.1962,Tiflis,Retired
10,Vyacheslav Murashkintsev,Вячеслав Юрьевич Мурашкинцев,197,23,0,15.788,1980-1987,Murashkintsev,Unknown,4,0,Fakel Voronezh,Midfield,"1,74 m",Russia,unknown,https://www.transfermarkt.us/vyacheslav-murashkintsev/profil/spieler/797293,https://img.a.transfermarkt.technology/portrait/small/797293-1700751428.jpg?lm=1,,18.03.1957,Moskau,Retired
11,Roman Akbashev,Акбашев Роман Радикович,120,22,22,9.448,"2020-2023, 2024-2024",Akbashev,Unknown,34,0,Fakel Voronezh,Midfield - Attacking Midfield,"1,77 m",Russia,unknown,https://www.transfermarkt.us/roman-akbashev/profil/spieler/86097,https://img.a.transfermarkt.technology/portrait/small/86097-1609698639.png?lm=1,,01.11.1991,"Sterlitamak, Bashkortostan",Chernomorets Novorossijsk
12,Igor Lyakhov,Игорь Владимирович Ляхов,92,22,0,6.646,1990-1996,Lyakhov,Unknown,1,0,Fakel Voronezh,Attack,"1,77 m",Russia,unknown,https://www.transfermarkt.us/igor-lyakhov/profil/spieler/782380,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,13.12.1968,Voronezh,Retired
13,Vadim Sosulin,Сосулин Вадим Викторович,232,21,0,18.198,"1986-1992, 1995-1996",Sosulin,Unknown,13,0,Fakel Voronezh,Defender,,Russia,unknown,https://www.transfermarkt.us/vadim-sosulin/profil/spieler/520229,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,18.03.1963,Barnaul,Retired
14,Gennadiy Smirnov,Смирнов Геннадий Михайлович,57,20,0,4.489,"1980-1984, 1988-1988",Smirnov,Unknown,2,0,Fakel Voronezh,Attack - Centre-Forward,"1,78 m",Russia,unknown,https://www.transfermarkt.us/gennadiy-smirnov/profil/spieler/797307,https://img.a.transfermarkt.technology/portrait/small/797307-1735850755.jpg?lm=1,,16.01.1955,Saratov,---
15,Anton Shipilov,Шипилов Антон Владимирович,143,20,1,10.082,,Shipilov,-,13,0,Fakel Voronezh,Midfield,"1,82 m",Russia,unknown,https://www.transfermarkt.us/anton-shipilov/profil/spieler/524519,https://img.a.transfermarkt.technology/portrait/small/524519-1637084524.jpg?lm=1,,07.03.1973,Voronezh,Retired
16,Aleksandr Ovsyannikov,Овсянников Александр Владимирович,64,20,2,3.237,"1995-1998, 1999-2000, 2002-2002",Ovsyannikov,Unknown,4,0,Fakel Voronezh,Attack,"1,78 m",Russia,unknown,https://www.transfermarkt.us/aleksandr-ovsyannikov/profil/spieler/524523,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,08.08.1974,Voronezh,Retired
17,Vladimir Zinich,Зинич Владимир Николаевич,68,20,0,4.1,1994-1999,Zinich,Unknown,4,0,Fakel Voronezh,Attack - Centre-Forward,"1,80 m",Russia,unknown,https://www.transfermarkt.us/vladimir-zinich/profil/spieler/524525,https://img.a.transfermarkt.technology/portrait/small/524525-1676208558.jpg?lm=1,,27.09.1968,Kirov Oblast,Retired
18,Igor Degtyarev,Дегтярёв Игорь Владимирович,217,19,8,15.369,1999-2007,Degtyarev,Unknown,9,0,Fakel Voronezh,Midfield,"1,76 m",Russia,unknown,https://www.transfermarkt.us/igor-degtyarev/profil/spieler/524498,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,,22.08.1976,Orenburg,Retired
19,Aleksandr Shchegolev,Щёголев Александр Евгеньевич,343,18,2,28.925,"1998-2000, 2001-2006",Shchegolev,Unknown,41,1,Fakel Voronezh,Defender - Right-Back,,Russia,unknown,https://www.transfermarkt.us/aleksandr-shchegolev/profil/spieler/88152,https://img.a.transfermarkt.technology/portrait/small/88152-1675075805.png?lm=1,,01.04.1972,Voronezh,Retired
