rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Gökdeniz Karadeniz,Unknown,300,52,56,21.669,2008-2018,Karadeniz,10,42,0,Rubin Kazan,Attack - Left Winger,"1,68 m",Türkiye,tr,https://www.transfermarkt.us/gokdeniz-karadeniz/profil/spieler/6871,https://img.a.transfermarkt.technology/portrait/small/6871-1489393452.jpg?lm=1,,11.01.1980,Giresun,Retired
2,Alejandro Domínguez,Alejandro Damián Domínguez,107,43,25,7.058,"2004-2007, 2009-2010",Domínguez,20,20,0,Rubin Kazan,Midfield - Attacking Midfield,"1,75 m",Argentina,ar,https://www.transfermarkt.us/alejandro-dominguez/profil/spieler/18958,https://img.a.transfermarkt.technology/portrait/small/s_18958_367_2012_10_24_1.jpg?lm=1,,10.06.1981,Lanús,Retired
3,Aleksandr Bukharov,Бухаров Александр Евгеньевич,110,37,15,6.183,"2005-2010, 2018-2019",Bukharov,19,11,0,Rubin Kazan,Attack - Centre-Forward,"1,93 m",Russia,unknown,https://www.transfermarkt.us/aleksandr-bukharov/profil/spieler/45491,https://img.a.transfermarkt.technology/portrait/small/45491-1548620689.png?lm=1,,12.03.1985,Naberezhnye Chelny,Retired
4,Oleg Nechaev,Нечаев Олег Михайлович,155,36,7,10.73,"1988-1993, 1999-2001, 2002-2004",Nechaev,Unknown,2,0,Rubin Kazan,Attack - Centre-Forward,"1,82 m",Russia,unknown,https://www.transfermarkt.us/oleg-nechaev/profil/spieler/15868,https://img.a.transfermarkt.technology/portrait/small/15868-1671441956.png?lm=1,,05.03.1971,"Konstantinovka, Tatarstan Republic",Retired
5,Bibras Natcho,ביברס נאתכו,147,31,34,12.32,2010-2014,Natcho,6,13,0,Rubin Kazan,Midfield - Central Midfield,"1,77 m",Israel,il,https://www.transfermarkt.us/bibras-natcho/profil/spieler/56976,https://img.a.transfermarkt.technology/portrait/small/56976-1490619275.jpg?lm=1,,18.02.1988,Kfar Kama,FK Partizan Belgrade
6,Christian Noboa,Christian Fernando Noboa Tello,159,29,19,13.054,"2007-2012, 2018-2018",Noboa,6,26,0,Rubin Kazan,Midfield - Central Midfield,"1,82 m",Ecuador,ec,https://www.transfermarkt.us/christian-noboa/profil/spieler/45858,https://img.a.transfermarkt.technology/portrait/small/45858-1718915849.jpg?lm=1,,09.04.1985,Guayaquil,CS Emelec
7,Aleksandr Ryazantsev,Рязанцев Александр Александрович,208,28,26,15.15,2006-2014,Ryazantsev,5,21,2,Rubin Kazan,Midfield - Central Midfield,"1,79 m",Russia,unknown,https://www.transfermarkt.us/aleksandr-ryazantsev/profil/spieler/7252,https://img.a.transfermarkt.technology/portrait/small/7252-1626695758.png?lm=1,,05.09.1986,Moskau,Retired
8,Denis Boyarintsev,Бояринцев Денис Константинович,121,27,19,10.16,2001-2005,Boyarintsev,-,15,0,Rubin Kazan,Midfield - Right Midfield,"1,74 m",Russia,unknown,https://www.transfermarkt.us/denis-boyarintsev/profil/spieler/15854,https://img.a.transfermarkt.technology/portrait/small/15854-1636112636.png?lm=1,,06.02.1978,Moskau,Retired
9,Salomón Rondón,José Salomón Rondón Giménez,56,24,3,4.255,2012-2014,Rondón,9,8,0,Rubin Kazan,Attack - Centre-Forward,"1,89 m",Venezuela,ve,https://www.transfermarkt.us/salomon-rondon/profil/spieler/80197,https://img.a.transfermarkt.technology/portrait/small/80197-1719230840.jpg?lm=1,,16.09.1989,Caracas,CF Pachuca
10,David Chaladze,Unknown,49,23,3,3.232,,Chaladze,-,5,0,Rubin Kazan,Attack - Centre-Forward,"1,86 m",Georgia,ge,https://www.transfermarkt.us/david-chaladze/profil/spieler/15856,https://img.a.transfermarkt.technology/portrait/small/15856-1668786888.png?lm=1,,22.01.1976,Unknown,Retired
