name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Mohammed Al-Kuwaykibi,Al-Taawoun FC,https://www.transfermarkt.us/mohammed-al-kuwaykibi/profil/spieler/264888,https://img.a.transfermarkt.technology/portrait/small/264888-1685658275.jpg?lm=1,Al-Kuwaykibi,10,Saudi Arabia,sa,Al-Ettifaq FC,Sakakah,"Mohammed Marzoq Al-Kuwaykibi, محمد الكويكبي",Attack - Right Winger,"1,69 m",02.12.1994,189,38,27,0,19,0,1,20,66,14.987
Sayyaf Al-Bishi,Retired,https://www.transfermarkt.us/sayyaf-al-bishi/profil/spieler/153242,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Al-Bishi,Unknown,Saudi Arabia,sa,Al-Ettifaq FC,Unknown,سياف البيشي,Defender - Centre-Back,"1,78 m",18.06.1980,185,4,2,1,12,0,0,1,8,16.480
Ali Abdullah Hazazi,Al-Qadsiah FC,https://www.transfermarkt.us/ali-abdullah-hazazi/profil/spieler/153172,https://img.a.transfermarkt.technology/portrait/small/153172-1685658459.jpg?lm=1,Hazazi,6,Saudi Arabia,sa,Al-Ettifaq FC,Unknown,علي عبدالله هزازي,Midfield - Central Midfield,"1,85 m",18.02.1994,162,5,6,0,19,2,1,25,64,11.813
Saleh Bashir,Retired,https://www.transfermarkt.us/saleh-bashir/profil/spieler/107304,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Bashir,9,Saudi Arabia,sa,Al-Ettifaq FC,Dammam,"Saleh Bashir Al-Dosari, صالح بشير الدوسري",Attack - Centre-Forward,"1,78 m",09.04.1982,145,47,14,0,13,1,1,51,25,9.055
Jamaan Al-Jamaan,Retired,https://www.transfermarkt.us/jamaan-al-jamaan/profil/spieler/153250,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Al-Jamaan,5,Saudi Arabia,sa,Al-Ettifaq FC,Unknown,Jamaan M. A. Al-Jamaan,Defender - Centre-Back,"1,76 m",11.09.1981,144,2,1,0,8,1,0,14,10,11.789
Youssef Al-Salem,---,https://www.transfermarkt.us/youssef-al-salem/profil/spieler/153244,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Al-Salem,16,Saudi Arabia,sa,Al-Ettifaq FC,Khobar,يوسف منصور السالم,Attack - Centre-Forward,"1,79 m",04.05.1985,136,52,8,0,12,0,0,23,43,10.189
Filip Kiss,Al-Orooba FC,https://www.transfermarkt.us/filip-kiss/profil/spieler/90360,https://img.a.transfermarkt.technology/portrait/small/s_90360_603_2013_04_17_1.jpg?lm=1,Kiss,13,Slovakia,sk,Al-Ettifaq FC,Dunajská Streda,Unknown,Midfield - Defensive Midfield,"1,86 m",13.10.1990,135,29,4,0,28,0,1,4,9,11.785
Ibrahim Al-Mugneam,Retired,https://www.transfermarkt.us/ibrahim-al-mugneam/profil/spieler/153253,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Al-Mugneam,Unknown,Saudi Arabia,sa,Al-Ettifaq FC,Unknown,إبراهيم المغنم,Midfield - Right Midfield,"1,80 m",17.04.1982,125,8,2,0,8,0,0,44,40,7.091
Hazaa Al-Hazaa,Without Club,https://www.transfermarkt.us/hazaa-al-hazaa/profil/spieler/270375,https://img.a.transfermarkt.technology/portrait/small/270375-1680720026.jpg?lm=1,Al-Hazaa,-,Saudi Arabia,sa,Al-Ettifaq FC,Dammam,Hazaa Ibrahim Al-Hazaa هزاع إبراهيم الهزاع,Attack - Centre-Forward,"1,75 m",08.08.1991,120,30,8,0,6,0,0,65,38,5.278
Abdullah Al-Khateeb,Al-Ettifaq FC,https://www.transfermarkt.us/abdullah-al-khateeb/profil/spieler/462162,https://img.a.transfermarkt.technology/portrait/small/462162-1685659994.jpg?lm=1,Al-Khateeb,4,Saudi Arabia,sa,Al-Ettifaq FC,Jeddah,"Abdullah Ahmed Al-Khateeb, عبد الله الخطيب",Defender - Centre-Back,"1,86 m",12.03.1995,116,1,1,2,17,0,0,25,14,8.510
Ibrahim Mohannashi,Al-Qadsiah FC,https://www.transfermarkt.us/ibrahim-mohannashi/profil/spieler/593334,https://img.a.transfermarkt.technology/portrait/small/593334-1698419762.jpeg?lm=1,Mohannashi,20,Saudi Arabia,sa,Al-Ettifaq FC,Unknown,Unknown,Midfield - Defensive Midfield,"1,71 m",18.11.1999,111,3,1,0,20,1,0,40,38,6.392
Raïs M'Bolhi,Without Club,https://www.transfermarkt.us/rais-mbolhi/profil/spieler/33465,https://img.a.transfermarkt.technology/portrait/small/33465-1450292325.jpg?lm=1,M'Bolhi,23,Algeria,dz,Al-Ettifaq FC,Paris,رايس وهاب مبولحي,Goalkeeper,"1,90 m",25.04.1986,110,0,0,0,14,0,1,0,1,9.897
Hamad Al-Hamad,Al-Thoqbah Club,https://www.transfermarkt.us/hamad-al-hamad/profil/spieler/153249,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Al-Hamad,18,Saudi Arabia,sa,Al-Ettifaq FC,Dammam,"Hamad Muhanna Hamad Al-Hamad, حمد الحمد",Attack - Right Winger,"1,64 m",26.08.1987,108,20,10,0,6,0,0,31,49,6.601
Yahya Al-Shehri,Al-Riyadh SC,https://www.transfermarkt.us/yahya-al-shehri/profil/spieler/150788,https://img.a.transfermarkt.technology/portrait/small/150788-1681073978.png?lm=1,Al-Shehri,8,Saudi Arabia,sa,Al-Ettifaq FC,Dammam,Yahya Sulaiman Ali Al-Shehri - يحيى سليمان علي الشهري,Midfield - Attacking Midfield,"1,65 m",26.06.1990,106,11,15,0,13,0,0,11,37,8.382
Hamed Al-Ghamdi,Al-Ittihad Club,https://www.transfermarkt.us/hamed-al-ghamdi/profil/spieler/593337,https://img.a.transfermarkt.technology/portrait/small/593337-1685658336.jpg?lm=1,Al-Ghamdi,19,Saudi Arabia,sa,Al-Ettifaq FC,Dammam,حامد الغامدي,Midfield - Central Midfield,"1,62 m",02.04.1999,102,8,7,0,8,0,0,71,21,3.322
Sultan Al-Bargan,---,https://www.transfermarkt.us/sultan-al-bargan/profil/spieler/153247,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Al-Bargan,8,Saudi Arabia,sa,Al-Ettifaq FC,Riyadh,سلطان البرقان,Midfield - Defensive Midfield,"1,79 m",15.02.1983,99,0,5,0,12,0,0,7,26,7.979
Walid Al-Raja,Retired,https://www.transfermarkt.us/walid-al-raja/profil/spieler/153255,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Al-Raja,Unknown,Saudi Arabia,sa,Al-Ettifaq FC,Unknown,Unknown,Defender - Left-Back,"1,73 m",04.11.1981,95,1,1,0,9,0,1,6,6,8.063
Hussein Al-Nagai,Retired,https://www.transfermarkt.us/hussein-al-nagai/profil/spieler/153254,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Al-Nagai,Unknown,Saudi Arabia,sa,Al-Ettifaq FC,Unknown,Unknown,Midfield,"1,81 m",11.03.1982,87,3,11,0,7,0,0,35,23,4.794
Naïm Sliti,Al-Shamal SC,https://www.transfermarkt.us/naim-sliti/profil/spieler/184491,https://img.a.transfermarkt.technology/portrait/small/184491-1685660468.jpg?lm=1,Unknown,Unknown,Tunisia,tn,Al-Ettifaq FC,Unknown,Unknown,Unknown,Unknown,27.07.1992,86,23,15,0,5,0,1,14,36,6.319
Saeed Al-Rubaie,Al-Okhdood Club,https://www.transfermarkt.us/saeed-al-rubaie/profil/spieler/213257,https://img.a.transfermarkt.technology/portrait/small/213257-1716118140.png?lm=1,Al-Rubaie,27,Saudi Arabia,sa,Al-Ettifaq FC,Najran,"Saeed Awadh Al-Rubaie Al-Yami, سعيد الربيعي",Defender - Centre-Back,"1,80 m",04.06.1994,85,8,2,1,24,1,1,7,8,6.832
Hassan Kadesh,Al-Ittihad Club,https://www.transfermarkt.us/hassan-kadesh/profil/spieler/260859,https://img.a.transfermarkt.technology/portrait/small/260859-1703280060.png?lm=1,Kadesh,-,Saudi Arabia,sa,Al-Ettifaq FC,Dammam,"Hassan Kadesh Mahboob, حسن كادش محبوب",Defender - Left-Back,"1,79 m",26.09.1992,84,1,6,2,6,0,0,4,2,7.297
Rashed Al-Raheeb,Retired,https://www.transfermarkt.us/rashed-al-raheeb/profil/spieler/93466,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Al-Raheeb,-,Saudi Arabia,sa,Al-Ettifaq FC,Jeddah,راشد عبدالرحمن الرهيب,Defender - Right-Back,"1,77 m",03.02.1984,80,5,1,0,5,0,0,1,4,7.058
Abdulmuttaleb Al-Traidi,Retired,https://www.transfermarkt.us/abdulmuttaleb-al-traidi/profil/spieler/153246,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Al-Traidi,Unknown,Saudi Arabia,sa,Al-Ettifaq FC,Unknown,عبدالمطلب الطريدي,Defender - Right-Back,"1,68 m",15.05.1982,77,2,6,0,4,0,0,10,3,6.250
