name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Mohammed Noor,Retired,https://www.transfermarkt.us/mohammed-noor/profil/spieler/25688,https://img.a.transfermarkt.technology/portrait/small/25688-1641392783.jpg?lm=1,Noor,-,Saudi Arabia,sa,Al-Ittihad Club,Mecca,"Mohammed Noor Al-Hawsawi, محمد نور",Midfield - Attacking Midfield,"1,81 m",26.02.1978,304,79,73,1,28,2,2,35,50,24.630
Hamad Al-Montashari,Retired,https://www.transfermarkt.us/hamad-al-montashari/profil/spieler/31662,https://img.a.transfermarkt.technology/portrait/small/31662-1641392694.jpg?lm=1,Al-Montashari,-,Saudi Arabia,sa,Al-Ittihad Club,Jeddah,حمد المُنتشري,Defender - Centre-Back,"1,80 m",22.06.1982,284,14,10,0,20,2,4,7,7,25.081
Fahad Al-Muwallad,Al-Shabab FC,https://www.transfermarkt.us/fahad-al-muwallad/profil/spieler/193153,https://img.a.transfermarkt.technology/portrait/small/193153-1685911928.jpg?lm=1,Al-Muwallad,-,Saudi Arabia,sa,Al-Ittihad Club,Jeddah,فهد المولد,Attack - Right Winger,"1,67 m",14.09.1994,245,76,44,0,33,1,2,43,37,19.010
Saud Kariri,Retired,https://www.transfermarkt.us/saud-kariri/profil/spieler/31673,https://img.a.transfermarkt.technology/portrait/small/31673-1484820824.jpg?lm=1,Kariri,14,Saudi Arabia,sa,Al-Ittihad Club,Jeddah,سعود كريري‎,Midfield - Defensive Midfield,"1,84 m",08.07.1980,240,12,4,0,30,2,1,14,13,20.762
Manaf Abushgeer,Retired,https://www.transfermarkt.us/manaf-abushgeer/profil/spieler/126377,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Abushgeer,-,Saudi Arabia,sa,Al-Ittihad Club,Riyadh,مناف عيد أبوشقير,Midfield - Left Midfield,"1,65 m",05.02.1980,225,18,26,0,7,0,0,34,71,16.728
Mabrouk Zaid,Retired,https://www.transfermarkt.us/mabrouk-zaid/profil/spieler/31668,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Zaid,21,Saudi Arabia,sa,Al-Ittihad Club,Riyadh,"Mabrouk Zaid M. Zaid, مبروك زايد المالكي",Goalkeeper,"1,85 m",11.02.1979,224,2,0,0,4,0,2,2,4,20.144
Romarinho,Al-Rayyan SC,https://www.transfermarkt.us/romarinho/profil/spieler/193925,https://img.a.transfermarkt.technology/portrait/small/193925-1740677001.png?lm=1,Romarinho,Unknown,Brazil,br,Al-Ittihad Club,Palestina,Unknown,Attack - Centre-Forward,"1,76 m",12.12.1990,213,93,30,0,16,0,0,12,95,17.237
Saleh Al-Saqri,Retired,https://www.transfermarkt.us/saleh-al-saqri/profil/spieler/6577,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Al-Saqri,13,Saudi Arabia,sa,Al-Ittihad Club,Unknown,Saleh Fahad Al-Saqri,Defender - Left-Back,"1,80 m",23.01.1979,210,20,26,2,18,0,3,24,27,16.744
Osama Al-Harbi,Retired,https://www.transfermarkt.us/osama-al-harbi/profil/spieler/45132,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Al-Harbi,5,Saudi Arabia,sa,Al-Ittihad Club,Jeddah,"Osama Mabrook Awad Al-Muwallad Al-Harbi, اسامة المولد",Defender - Centre-Back,"1,81 m",16.05.1984,196,27,2,0,36,2,2,10,18,16.527
Ahmed Asiri,Al-Riyadh SC,https://www.transfermarkt.us/ahmed-asiri/profil/spieler/209499,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Asiri,13,Saudi Arabia,sa,Al-Ittihad Club,Jeddah,أحمد عسيري,Defender - Centre-Back,"1,79 m",14.11.1991,192,9,3,0,26,2,1,9,7,16.756
