name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Hussain Al-Zabdani,Al-Okhdood Club,https://www.transfermarkt.us/hussain-al-zabdani/profil/spieler/965992,https://img.a.transfermarkt.technology/portrait/small/965992-1716063071.png?lm=1,Al-Zabdani,Unknown,Saudi Arabia,sa,Al-Okhdood Club,Unknown,حسين حسن الزبداني,Defender - Right-Back,"1,83 m",15.04.1995,79,1,8,1,9,0,2,14,4,5.924
Eid Al-Muwallad,Al-Ahli SFC,https://www.transfermarkt.us/eid-al-muwallad/profil/spieler/1130616,https://img.a.transfermarkt.technology/portrait/small/1130616-1716063721.png?lm=1,Al-Muwallad,25,Saudi Arabia,sa,Al-Okhdood Club,Jeddah,"Eid bin Mohammed bin Saeed Al-Muwallad, عيد محمد المولد",Midfield - Defensive Midfield,"1,81 m",14.12.2001,71,2,1,0,16,0,1,8,21,5.300
Saleh Al-Harthi,Al-Okhdood Club,https://www.transfermarkt.us/saleh-al-harthi/profil/spieler/950528,https://img.a.transfermarkt.technology/portrait/small/950528-1716119373.png?lm=1,Al-Harthi,Unknown,Saudi Arabia,sa,Al-Okhdood Club,Unknown,صالح مساعد الحارثي,Attack - Left Winger,"1,67 m",10.08.1995,64,3,1,0,9,0,0,38,26,2.601
Paulo Vítor,Al-Okhdood Club,https://www.transfermarkt.us/paulo-vitor/profil/spieler/419120,https://img.a.transfermarkt.technology/portrait/small/419120-1716062701.png?lm=1,Vítor,Unknown,Brazil,br,Al-Okhdood Club,São João de Meriti (RJ),Paulo Vítor Fagundes dos Anjos,Goalkeeper,"1,95 m",21.11.1988,57,0,1,0,7,0,1,0,0,5.130
Abdulaziz Al-Hatila,Al-Okhdood Club,https://www.transfermarkt.us/abdulaziz-al-hatila/profil/spieler/1169198,https://img.a.transfermarkt.technology/portrait/small/1169198-1716063314.png?lm=1,Al-Hatila,Unknown,Saudi Arabia,sa,Al-Okhdood Club,Unknown,"Abdulaziz Saleh Al-Hatila, عبدالعزيز صالح آل هتيلة",Midfield - Attacking Midfield,"1,75 m",17.05.1998,52,3,2,0,1,0,0,37,9,1.583
Mohammed Al-Jahif,Al-Okhdood Club,https://www.transfermarkt.us/mohammed-al-jahif/profil/spieler/965864,https://img.a.transfermarkt.technology/portrait/small/965864-1716062866.png?lm=1,Al-Jahif,Unknown,Saudi Arabia,sa,Al-Okhdood Club,Unknown,"Mohamed bin Nayef Al-Jahif, محمد نايف آل جحيف",Midfield - Attacking Midfield,Unknown,29.11.1998,52,1,0,0,2,0,0,44,5,1.268
Juan Sebastián Pedroza,Al-Okhdood Club,https://www.transfermarkt.us/juan-sebastian-pedroza/profil/spieler/677706,https://img.a.transfermarkt.technology/portrait/small/677706-1716118662.png?lm=1,Pedroza,13,Colombia,co,Al-Okhdood Club,Melgar,Juan Sebastián Pedroza Perdomo,Midfield - Defensive Midfield,"1,76 m",08.04.1999,50,2,3,0,11,0,0,1,11,4.251
Saviour Godwin,Al-Okhdood Club,https://www.transfermarkt.us/saviour-godwin/profil/spieler/295327,https://img.a.transfermarkt.technology/portrait/small/295327-1716063806.png?lm=1,Godwin,-,Nigeria,ng,Al-Okhdood Club,Jos,Saviour Amunde Godwin,Attack - Left Winger,"1,73 m",22.08.1996,50,10,2,0,7,0,0,3,25,3.940
Awadh Khamis,Al-Okhdood Club,https://www.transfermarkt.us/awadh-khamis/profil/spieler/265939,https://img.a.transfermarkt.technology/portrait/small/265939-1716063165.png?lm=1,Khamis,-,Saudi Arabia,sa,Al-Okhdood Club,Unknown,"Awadh bin Khamis bin Bakhit Al-Faraj, عوض خميس آل فرج",Defender - Left-Back,"1,72 m",15.07.1988,49,0,1,0,8,0,0,10,16,3.470
Saeed Al-Rubaie,Al-Okhdood Club,https://www.transfermarkt.us/saeed-al-rubaie/profil/spieler/213257,https://img.a.transfermarkt.technology/portrait/small/213257-1716118140.png?lm=1,Al-Rubaie,27,Saudi Arabia,sa,Al-Okhdood Club,Najran,"Saeed Awadh Al-Rubaie Al-Yami, سعيد الربيعي",Defender - Centre-Back,"1,80 m",04.06.1994,45,3,0,0,12,2,0,0,4,3.921
