name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Hamed Al-Maghati,Al-Orobah FC,https://www.transfermarkt.us/hamed-al-maghati/profil/spieler/364452,https://img.a.transfermarkt.technology/portrait/small/364452-1693744508.jpg?lm=1,Al-Maghati,Unknown,Saudi Arabia,sa,Al-Orobah FC,Unknown,"Hamed Talab Mirdas Al-Maghati, حامد طلب المقاطي",Defender - Left-Back,"1,75 m",15.07.1993,86,0,4,1,12,0,1,7,14,7.033
Fawaz Fallatah,Without Club,https://www.transfermarkt.us/fawaz-fallatah/profil/spieler/222435,https://img.a.transfermarkt.technology/portrait/small/222435-1693744135.jpg?lm=1,Fallatah,Unknown,Saudi Arabia,sa,Al-Orobah FC,Unknown,فواز فلاتة,Defender - Centre-Back,"1,78 m",08.03.1989,58,1,0,0,10,0,0,4,5,4.839
Ziyad Al-Hunaiti,Al-Orobah FC,https://www.transfermarkt.us/ziyad-al-hunaiti/profil/spieler/1162363,https://img.a.transfermarkt.technology/portrait/small/1162363-1693744103.jpg?lm=1,Al-Hunaiti,Unknown,Saudi Arabia,sa,Al-Orobah FC,Unknown,زياد محمد الحنيطي,Defender - Centre-Back,"1,82 m",04.04.1997,58,2,0,1,16,0,0,2,9,4.730
Rafi Al-Ruwaili,Al-Orobah FC,https://www.transfermarkt.us/rafi-al-ruwaili/profil/spieler/264892,https://img.a.transfermarkt.technology/portrait/small/264892-1693743601.jpg?lm=1,Al-Ruwaili,Unknown,Saudi Arabia,sa,Al-Orobah FC,Unknown,رافع محمد الرويلي,Goalkeeper,"1,75 m",05.07.1990,49,0,1,0,3,0,0,3,1,4.217
Fahad Al-Rashidi,Al-Orobah FC,https://www.transfermarkt.us/fahad-al-rashidi/profil/spieler/343287,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Al-Rashidi,Unknown,Saudi Arabia,sa,Al-Orobah FC,Unknown,فهد الرشيدي,Midfield - Central Midfield,"1,73 m",08.06.1991,49,0,3,0,7,0,0,4,15,3.858
Tiago Bezerra,Al-Ula FC,https://www.transfermarkt.us/tiago-bezerra/profil/spieler/75207,https://img.a.transfermarkt.technology/portrait/small/75207-1693744818.jpg?lm=1,Tiago Bezerra,Unknown,Brazil,br,Al-Orobah FC,Brasilia,Tiago Queiroz Bezerra,Attack - Centre-Forward,"1,78 m",17.02.1987,45,29,2,0,9,1,0,2,20,3.799
Fahad Aqeel Al-Zubaidi,Al-Orobah FC,https://www.transfermarkt.us/fahad-aqeel-al-zubaidi/profil/spieler/1145037,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Al-Zubaidi,Unknown,Saudi Arabia,sa,Al-Orobah FC,Unknown,Fahad Aqeel Muhammad Al-Khamjan Al-Zubaidi,Attack - Right Winger,Unknown,13.01.2002,42,5,0,0,5,0,0,23,15,1.875
Mashari Jadie Al-Anazi,Al-Gottah FC,https://www.transfermarkt.us/mashari-jadie-al-anazi/profil/spieler/264882,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Al-Anazi,Unknown,Saudi Arabia,sa,Al-Orobah FC,Unknown,مشاري جديع العنزي,Attack - Centre-Forward,"1,74 m",22.07.1989,40,7,2,0,1,0,0,19,13,2.095
Abdulrahman Al-Anazi,Al-Orobah FC,https://www.transfermarkt.us/abdulrahman-al-anazi/profil/spieler/1188908,https://img.a.transfermarkt.technology/portrait/small/1188908-1697280938.png?lm=1,Al-Anazi,Unknown,Saudi Arabia,sa,Al-Orobah FC,Turaif,"Abdulrahman bin Ahmed bin Daghman Al-Ashja'i Al-Anazi, عبدالرحمن أحمد العنزي",Defender - Left-Back,"1,70 m",14.06.1998,36,0,5,0,4,0,0,6,13,2.592
Connor Pain,Al-Bukiryah FC,https://www.transfermarkt.us/connor-pain/profil/spieler/257682,https://img.a.transfermarkt.technology/portrait/small/257682-1693744745.jpg?lm=1,Pain,26,Australia,au,Al-Orobah FC,Hong Kong,Connor Thomas Pain,Attack - Left Winger,"1,75 m",11.11.1993,34,4,10,0,3,0,0,1,17,2.945
Dziugas Bartkus,Al-Bukiryah FC,https://www.transfermarkt.us/dziugas-bartkus/profil/spieler/120029,https://img.a.transfermarkt.technology/portrait/small/120029-1693743925.jpg?lm=1,Bartkus,12,Lithuania,lt,Al-Orobah FC,Kaunas,Džiugas Bartkus,Goalkeeper,"1,91 m",07.11.1989,33,0,0,0,3,0,0,0,1,2.968
Mounir El Allouchi,Al-Zulfi SFC,https://www.transfermarkt.us/mounir-el-allouchi/profil/spieler/273588,https://img.a.transfermarkt.technology/portrait/small/273588-1565340362.jpg?lm=1,El Allouchi,Unknown,Netherlands,nl,Al-Orobah FC,Roosendaal,Unknown,Midfield - Attacking Midfield,"1,72 m",27.09.1994,33,7,7,0,3,0,0,1,7,2.879
Vurnon Anita,FC Volendam,https://www.transfermarkt.us/vurnon-anita/profil/spieler/30670,https://img.a.transfermarkt.technology/portrait/small/30670-1737713076.png?lm=1,Anita,-,Curacao,unknown,Al-Orobah FC,Willemstad,Vurnon San Benito Anita,Midfield - Defensive Midfield,"1,69 m",04.04.1989,33,2,2,0,4,0,1,1,4,2.846
Béni Nkololo,CFR Cluj,https://www.transfermarkt.us/beni-nkololo/profil/spieler/435208,https://img.a.transfermarkt.technology/portrait/small/435208-1732178691.png?lm=1,Nkololo,Unknown,France,fr,Al-Orobah FC,Rennes,Unknown,Attack - Right Winger,"1,86 m",06.11.1996,33,5,5,0,3,0,0,4,14,2.515
Mohamed Al-Sufyani,Al-Ain SFC,https://www.transfermarkt.us/mohamed-al-sufyani/profil/spieler/1162360,https://img.a.transfermarkt.technology/portrait/small/1162360-1693744637.jpg?lm=1,Al-Sufyani,Unknown,Saudi Arabia,sa,Al-Orobah FC,Unknown,محمد مستور السفياني,Midfield - Attacking Midfield,"1,73 m",26.01.1999,30,0,0,0,7,0,0,14,10,1.432
Philipe Maia,Al-Adalah FC,https://www.transfermarkt.us/philipe-maia/profil/spieler/349814,https://img.a.transfermarkt.technology/portrait/small/349814-1693303466.jpg?lm=1,Maia,Unknown,Brazil,br,Al-Orobah FC,Brasília,Philipe Maia de Freitas,Defender - Centre-Back,"1,85 m",11.07.1995,29,3,0,0,10,0,0,0,0,2.610
Musharraf Al-Ruwaili,Al-Gottah FC,https://www.transfermarkt.us/musharraf-al-ruwaili/profil/spieler/264891,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Al-Ruwaili,Unknown,Saudi Arabia,sa,Al-Orobah FC,Unknown,Unknown,Midfield,Unknown,10.10.1985,29,0,0,0,4,0,0,8,4,2.027
Rayllan,Al-Qalah Club,https://www.transfermarkt.us/rayllan/profil/spieler/349817,https://img.a.transfermarkt.technology/portrait/small/349817-1682784639.jpeg?lm=1,Rayllan,Unknown,Brazil,br,Al-Orobah FC,Imperatriz,Unknown,Attack - Left Winger,"1,65 m",12.04.1989,28,3,6,0,2,0,0,8,8,1.956
Ahmed Karenshi,Al-Faisaly FC,https://www.transfermarkt.us/ahmed-karenshi/profil/spieler/267970,https://img.a.transfermarkt.technology/portrait/small/267970-1693744609.jpg?lm=1,Karenshi,Unknown,Saudi Arabia,sa,Al-Orobah FC,Unknown,أحمد محمد كرنشي,Midfield - Central Midfield,"1,70 m",19.08.1988,28,0,1,0,4,0,0,7,13,1.886
Matheus Duarte,Ho Chi Minh City FC,https://www.transfermarkt.us/matheus-duarte/profil/spieler/690708,https://img.a.transfermarkt.technology/portrait/small/690708-1693744070.jpg?lm=1,Matheus Duarte,Unknown,Brazil,br,Al-Orobah FC,Rio de Janeiro,Unknown,Defender - Centre-Back,"1,87 m",12.05.1995,27,3,0,0,3,0,1,1,2,2.305
Mohammed Al-Zubaidi,Al-Taraji Club,https://www.transfermarkt.us/mohammed-al-zubaidi/profil/spieler/487473,https://img.a.transfermarkt.technology/portrait/small/487473-1703726248.jpg?lm=1,Al-Zubaidi,-,Saudi Arabia,sa,Al-Orobah FC,Unknown,محمد الزبيدي,Defender - Left-Back,"1,73 m",25.08.1997,27,0,2,0,5,0,0,2,8,2.235
Maher Hawsawi,Al-Jeel Club,https://www.transfermarkt.us/maher-hawsawi/profil/spieler/315627,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Hawsawi,Unknown,Saudi Arabia,sa,Al-Orobah FC,Unknown,ماهر مختار آدم هوساوي,Attack - Centre-Forward,"1,72 m",04.11.1992,27,1,2,0,3,0,0,15,9,1.280
Sulaiman Al-Nakhli,Al-Arabi SC,https://www.transfermarkt.us/sulaiman-al-nakhli/profil/spieler/1176152,https://img.a.transfermarkt.technology/portrait/small/1176152-1693744474.jpg?lm=1,Al-Nakhli,Unknown,Saudi Arabia,sa,Al-Orobah FC,Unknown,"Sulaiman Hassan Al-Nakhli, سليمان حسن النخلي",Midfield - Defensive Midfield,"1,75 m",01.08.1995,27,0,0,0,2,0,0,15,8,932
Fahad Al-Dossari,Al-Diraiyah FC,https://www.transfermarkt.us/fahad-al-dossari/profil/spieler/901085,https://img.a.transfermarkt.technology/portrait/small/901085-1685659564.jpg?lm=1,Al-Dossari,-,Saudi Arabia,sa,Al-Orobah FC,Dammam,"Fahad Khalid Ali Al-Wadaani Al-Dossari, فهد خالد الدوسري",Attack - Right Winger,"1,76 m",01.01.2002,27,3,0,0,4,0,0,24,3,402
Gaëtan Coucke,Al-Orobah FC,https://www.transfermarkt.us/gaetan-coucke/profil/spieler/338651,https://img.a.transfermarkt.technology/portrait/small/338651-1710924593.jpg?lm=1,Coucke,12,Belgium,be,Al-Orobah FC,Tongeren,Unknown,Goalkeeper,"1,87 m",03.11.1998,25,0,0,0,1,0,0,0,1,2.233
Moussa Narry,Without Club,https://www.transfermarkt.us/moussa-narry/profil/spieler/63476,https://img.a.transfermarkt.technology/portrait/small/s_63476_1164_2010_2.jpg?lm=1,Narry,11,Ghana,gh,Al-Orobah FC,Maradi,Unknown,Midfield - Defensive Midfield,"1,80 m",19.04.1986,24,0,0,0,6,0,0,0,1,2.151
Karlo Muhar,Al-Orobah FC,https://www.transfermarkt.us/karlo-muhar/profil/spieler/388042,https://img.a.transfermarkt.technology/portrait/small/388042-1661770172.jpg?lm=1,Muhar,Unknown,Croatia,hr,Al-Orobah FC,Zagreb,Unknown,Midfield - Defensive Midfield,"1,90 m",17.01.1996,24,0,1,0,8,0,0,1,1,2.089
Abdulrahman Al-Khaibary,Al-Hazem SC,https://www.transfermarkt.us/abdulrahman-al-khaibary/profil/spieler/358832,https://img.a.transfermarkt.technology/portrait/small/358832-1728572382.png?lm=1,Al-Khaibary,Unknown,Saudi Arabia,sa,Al-Orobah FC,Unknown,عبدالرحمن محمد يونس الخيبري,Midfield - Defensive Midfield,"1,83 m",03.02.1988,23,0,0,0,7,0,1,0,5,2.029
Mostafa Matar,Safa Beirut SC,https://www.transfermarkt.us/mostafa-matar/profil/spieler/480546,https://img.a.transfermarkt.technology/portrait/small/480546-1705083193.jpg?lm=1,Matar,-,Lebanon,lb,Al-Orobah FC,Miniyeh,"Mostafa Ali Matar, مصطفى مطر",Goalkeeper,"1,86 m",10.09.1995,23,0,0,0,2,0,0,0,2,2.010
Mousa Al-Shamri,Without Club,https://www.transfermarkt.us/mousa-al-shamri/profil/spieler/141978,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Al-Shamri,Unknown,Saudi Arabia,sa,Al-Orobah FC,Unknown,موسى الشمري,Attack,"1,75 m",15.05.1986,23,6,1,0,3,0,0,5,8,1.529
Mohammed Al-Kuwaykibi,Al-Taawoun FC,https://www.transfermarkt.us/mohammed-al-kuwaykibi/profil/spieler/264888,https://img.a.transfermarkt.technology/portrait/small/264888-1685658275.jpg?lm=1,Al-Kuwaykibi,10,Saudi Arabia,sa,Al-Orobah FC,Sakakah,"Mohammed Marzoq Al-Kuwaykibi, محمد الكويكبي",Attack - Right Winger,"1,69 m",02.12.1994,23,1,1,0,2,0,0,10,7,1.369
Musaed Neda,Retired,https://www.transfermarkt.us/musaed-neda/profil/spieler/166330,https://img.a.transfermarkt.technology/portrait/small/166330-1656924526.png?lm=1,Neda,13,Kuwait,kw,Al-Orobah FC,Kuwait City,"Musaed Neda Al-Enazi, مساعد ندا فليحان العنزي",Defender - Centre-Back,"1,80 m",08.07.1983,22,5,0,0,5,0,0,0,0,1.980
Husein Al-Shuwaish,Al-Orobah FC,https://www.transfermarkt.us/husein-al-shuwaish/profil/spieler/185538,https://img.a.transfermarkt.technology/portrait/small/185538-1697280715.png?lm=1,Al-Shuwaish,Unknown,Saudi Arabia,sa,Al-Orobah FC,Unknown,حسين الشويش,Defender - Centre-Back,"1,85 m",07.11.1988,22,0,1,0,3,0,0,2,5,1.696
Bandar Darwish,Al-Wehda FC,https://www.transfermarkt.us/bandar-darwish/profil/spieler/1162365,https://img.a.transfermarkt.technology/portrait/small/1162365-1693744374.jpg?lm=1,Darwish,Unknown,Saudi Arabia,sa,Al-Orobah FC,Unknown,Bandar Darwish W. Ahmed,Defender - Right-Back,"1,71 m",04.10.2001,22,0,2,0,2,0,0,5,4,1.520
Adeeb Al-Haizan,Al-Qalah Club,https://www.transfermarkt.us/adeeb-al-haizan/profil/spieler/969746,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Al-Haizan,Unknown,Saudi Arabia,sa,Al-Orobah FC,Unknown,Adeeb Mamdouh Samhan Al-Haizan,Attack - Centre-Forward,"1,80 m",30.05.2001,22,3,0,0,2,0,0,12,6,981
Ismaël Kandouss,Al-Orobah FC,https://www.transfermarkt.us/ismael-kandouss/profil/spieler/575594,https://img.a.transfermarkt.technology/portrait/small/575594-1642262315.jpg?lm=1,Kandouss,25,Morocco,ma,Al-Orobah FC,Lille,Unknown,Defender - Centre-Back,"1,92 m",12.11.1997,21,1,0,0,2,0,0,0,1,1.845
Jóhann Berg Gudmundsson,Al-Orobah FC,https://www.transfermarkt.us/johann-berg-gudmundsson/profil/spieler/89231,https://img.a.transfermarkt.technology/portrait/small/89231-1700647824.jpg?lm=1,Gudmundsson,-,Iceland,is,Al-Orobah FC,Reykjavík,Jóhann Berg Guðmundsson,Attack - Right Winger,"1,86 m",27.10.1990,21,4,4,0,7,0,0,0,8,1.705
Ibrahim Al-Harbi,Al-Jandal SC,https://www.transfermarkt.us/ibrahim-al-harbi/profil/spieler/921071,https://img.a.transfermarkt.technology/portrait/small/921071-1699271761.jpg?lm=1,Al-Harbi,Unknown,Saudi Arabia,sa,Al-Orobah FC,Unknown,"Ibrahim Marshad Al-Harbi, إبراهيم مرشد الحربي",Midfield - Attacking Midfield,"1,69 m",26.07.1995,21,2,1,0,0,0,0,9,11,1.116
Abdulmalek Al-Shammari,Al-Orobah FC,https://www.transfermarkt.us/abdulmalek-al-shammari/profil/spieler/452889,https://img.a.transfermarkt.technology/portrait/small/452889-1681076471.png?lm=1,Al-Shammari,Unknown,Saudi Arabia,sa,Al-Orobah FC,Unknown,عبدالملك الشمري,Defender - Left-Back,"1,77 m",16.08.1995,21,0,0,0,1,0,1,11,5,1.062
Ali Al-Khaibari,Without Club,https://www.transfermarkt.us/ali-al-khaibari/profil/spieler/324634,https://img.a.transfermarkt.technology/portrait/small/324634-1703721845.png?lm=1,Al-Khaibari,Unknown,Saudi Arabia,sa,Al-Orobah FC,Sakakah,Ali Nasser Al-Khaibari علي الخيبري,Defender - Centre-Back,"1,81 m",25.02.1990,20,0,0,0,1,0,0,0,0,1.800
Khalid Al-Dawsari,Retired,https://www.transfermarkt.us/khalid-al-dawsari/profil/spieler/264883,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Al-Dawsari,Unknown,Saudi Arabia,sa,Al-Orobah FC,Unknown,خالد الدوسري,Defender - Centre-Back,"1,79 m",24.05.1986,20,0,1,0,2,0,0,0,1,1.790
Cristian Tello,Al-Orobah FC,https://www.transfermarkt.us/cristian-tello/profil/spieler/141834,https://img.a.transfermarkt.technology/portrait/small/141834-1716742330.png?lm=1,Tello,16,Spain,es,Al-Orobah FC,Sabadell,Cristian Tello Herrera,Attack - Left Winger,"1,78 m",11.08.1991,20,5,2,0,1,0,0,4,10,1.349
Diego Silva,Al-Zulfi SFC,https://www.transfermarkt.us/diego-silva/profil/spieler/644907,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Diego Silva,Unknown,Brazil,br,Al-Orobah FC,Unknown,Unknown,Midfield - Defensive Midfield,"1,72 m",27.06.1993,20,1,0,0,1,0,0,7,6,1.148
Hamdan Al-Ruwaili,Without Club,https://www.transfermarkt.us/hamdan-al-ruwaili/profil/spieler/364115,https://img.a.transfermarkt.technology/portrait/small/364115-1693744287.jpg?lm=1,Al-Ruwaili,Unknown,Saudi Arabia,sa,Al-Orobah FC,Unknown,حمدان أل رويلي,Defender - Right-Back,"1,72 m",14.03.1995,20,0,0,0,2,0,0,8,6,1.081
Abdulrahman Al-Dhaferi,Without Club,https://www.transfermarkt.us/abdulrahman-al-dhaferi/profil/spieler/31402,https://img.a.transfermarkt.technology/portrait/small/31402-1706463226.JPG?lm=1,Al-Dhaferi,Unknown,Kuwait,kw,Al-Orobah FC,Unknown,عبدالرحمن بن راضي بن هادي السويط,Midfield - Central Midfield,"1,71 m",07.07.1997,20,0,1,0,1,0,1,11,9,743
Abdallah Deeb,Retired,https://www.transfermarkt.us/abdallah-deeb/profil/spieler/69289,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Deeb,14,Jordan,jo,Al-Orobah FC,Unknown,Abdallah Khaled Deeb Salim Al-Mahsiri,Attack - Right Winger,"1,84 m",10.03.1987,19,3,1,0,2,0,0,0,11,1.618
Ibrahim Salah,Retired,https://www.transfermarkt.us/ibrahim-salah/profil/spieler/105957,https://img.a.transfermarkt.technology/portrait/small/s_105957_39536_2012_1.jpg?lm=1,Salah,5,Egypt,eg,Al-Orobah FC,Mansoura,ابراهيم صلاح,Midfield - Defensive Midfield,"1,76 m",01.04.1987,19,1,1,0,2,0,0,0,7,1.601
Ibrahim Al-Zubaidi,Al-Orobah FC,https://www.transfermarkt.us/ibrahim-al-zubaidi/profil/spieler/153841,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Al-Zubaidi,Unknown,Saudi Arabia,sa,Al-Orobah FC,Mecca,ابراهيم سالم علي الزبيدي,Defender - Left-Back,"1,72 m",10.04.1989,19,0,0,0,5,0,0,2,8,1.384
Nawaf Al-Mutairi,Al-Jabalain FC,https://www.transfermarkt.us/nawaf-al-mutairi/profil/spieler/1144637,https://img.a.transfermarkt.technology/portrait/small/1144637-1693744205.jpg?lm=1,Al-Mutairi,23,Saudi Arabia,sa,Al-Orobah FC,Unknown,Nawaf Abdullah S. Al-Mutairi,Defender - Left-Back,"1,72 m",30.11.2001,19,0,0,0,2,0,0,8,7,902
Abdulrahman Al-Shammari,Unknown,https://www.transfermarkt.us/abdulrahman-al-shammari/profil/spieler/343310,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Al-Shammari,Unknown,Saudi Arabia,sa,Al-Orobah FC,Unknown,عبدالرحمن الحسن الشمري,Defender - Right-Back,"1,72 m",22.02.1989,18,0,2,0,5,0,0,1,0,1.531
Abdulaziz Falath,Unknown,https://www.transfermarkt.us/abdulaziz-falath/profil/spieler/159694,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Falath,Unknown,Saudi Arabia,sa,Al-Orobah FC,Unknown,Unknown,Midfield - Right Midfield,Unknown,12.03.1986,18,2,1,0,4,0,0,0,10,1.521
Fahad Al-Taleb,Al-Najma SC,https://www.transfermarkt.us/fahad-al-taleb/profil/spieler/1317910,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Al-Taleb,Unknown,Saudi Arabia,sa,Al-Orobah FC,Unknown,فهد بن عبدالعزيز الطالب,Midfield - Attacking Midfield,Unknown,29.08.2003,18,1,2,0,2,0,0,7,9,943
Mohammed Al-Qarni,Al-Orobah FC,https://www.transfermarkt.us/mohammed-al-qarni/profil/spieler/164592,https://img.a.transfermarkt.technology/portrait/small/164592-1685529376.JPG?lm=1,Al-Qarni,-,Saudi Arabia,sa,Al-Orobah FC,Unknown,محمد القرني‎,Midfield - Defensive Midfield,"1,73 m",24.11.1989,18,0,0,0,4,0,0,9,3,907
Waleed Al-Gizani,Retired,https://www.transfermarkt.us/waleed-al-gizani/profil/spieler/153630,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Al-Gizani,-,Saudi Arabia,sa,Al-Orobah FC,Jeddah,Waleed Khaled Abd Rabo Al-Gizani,Attack - Centre-Forward,"1,80 m",26.02.1981,18,3,0,0,1,0,0,10,1,852
Ahmed Mashqi,Al-Shaeib FC,https://www.transfermarkt.us/ahmed-mashqi/profil/spieler/343309,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Mashqi,Unknown,Saudi Arabia,sa,Al-Orobah FC,Unknown,أحمد حسين مشقي,Defender - Right-Back,"1,69 m",20.07.1993,17,0,0,0,2,0,0,1,6,1.330
