name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Léandre Tawamba,Al-Tai FC,https://www.transfermarkt.us/leandre-tawamba/profil/spieler/242564,https://img.a.transfermarkt.technology/portrait/small/242564-1716117469.png?lm=1,Tawamba,9,Cameroon,cm,Al-Taawoun FC,Yaoundé,Léandre Gaël Tawamba Kana,Attack - Centre-Forward,"1,89 m",20.12.1989,158,82,19,0,20,1,0,5,37,13.474
Jehad Al-Hussien,Retired,https://www.transfermarkt.us/jehad-al-hussien/profil/spieler/63842,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Al-Hussien,7,Syria,sy,Al-Taawoun FC,Ḥimṣ,جهاد الحسين,Midfield - Attacking Midfield,"1,68 m",30.07.1984,149,16,43,0,7,0,0,21,52,11.208
Sandro Manoel,Without Club,https://www.transfermarkt.us/sandro-manoel/profil/spieler/70119,https://img.a.transfermarkt.technology/portrait/small/s_70119_609_2010_1.jpg?lm=1,Sandro Manoel,Unknown,Brazil,br,Al-Taawoun FC,Recife,Unknown,Midfield - Defensive Midfield,"1,80 m",23.07.1988,142,9,12,0,17,1,2,5,25,11.910
Cédric Amissi,Without Club,https://www.transfermarkt.us/cedric-amissi/profil/spieler/166359,https://img.a.transfermarkt.technology/portrait/small/166359-1561368277.png?lm=1,Amissi,17,Burundi,bi,Al-Taawoun FC,Bujumbura,Unknown,Midfield - Defensive Midfield,"1,73 m",20.03.1990,140,19,11,0,36,3,1,5,21,12.016
Cássio,Retired,https://www.transfermarkt.us/cassio/profil/spieler/53841,https://img.a.transfermarkt.technology/portrait/small/53841-1478770931.jpg?lm=1,Cássio,Unknown,Brazil,br,Al-Taawoun FC,Rio de Janeiro,Unknown,Goalkeeper,"1,84 m",12.08.1980,136,0,2,1,8,0,0,0,0,12.300
Ricardo Machado,Florgrade FC,https://www.transfermarkt.us/ricardo-machado/profil/spieler/164198,https://img.a.transfermarkt.technology/portrait/small/164198-1722937763.jpg?lm=1,Machado,Unknown,Portugal,pt,Al-Taawoun FC,Sandim,Ricardo Jorge Tavares Machado,Defender - Centre-Back,"1,90 m",13.09.1988,134,10,1,3,15,0,0,8,6,11.312
Aschraf El Mahdioui,Al-Taawoun FC,https://www.transfermarkt.us/aschraf-el-mahdioui/profil/spieler/295764,https://img.a.transfermarkt.technology/portrait/small/295764-1685908972.JPG?lm=1,El Mahdioui,Unknown,Netherlands,nl,Al-Taawoun FC,Amsterdam,Unknown,Midfield - Defensive Midfield,"1,85 m",24.05.1996,118,7,7,0,18,0,0,0,12,10.471
Rayan Al-Mousa,Jeddah SC,https://www.transfermarkt.us/rayan-al-mousa/profil/spieler/153212,https://img.a.transfermarkt.technology/portrait/small/153212-1680214884.JPG?lm=1,Al-Mousa,Unknown,Saudi Arabia,sa,Al-Taawoun FC,Mecca,ريان الموسى,Midfield - Defensive Midfield,"1,74 m",24.07.1994,113,0,6,2,29,0,2,36,32,6.658
Naif Mousa,Unknown,https://www.transfermarkt.us/naif-mousa/profil/spieler/153316,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Mousa,Unknown,Saudi Arabia,sa,Al-Taawoun FC,Unknown,Unknown,Defender - Left-Back,"1,66 m",21.11.1986,110,12,5,0,18,0,0,28,29,7.438
Talal Al-Absi,Without Club,https://www.transfermarkt.us/talal-al-absi/profil/spieler/265069,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Al-Absi,-,Saudi Arabia,sa,Al-Taawoun FC,Unknown,طلال العبسي,Defender - Centre-Back,"1,80 m",22.02.1993,105,5,0,1,14,1,0,2,6,9.135
