rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Élton,Unknown,140,53,35,11.548,N/A,Élton,Unknown,11,1,Al-Fateh SC,Midfield - Attacking Midfield,"1,54 m",Brazil,br,https://www.transfermarkt.us/elton/profil/spieler/48669,https://img.a.transfermarkt.technology/portrait/small/48669-1483630868.jpg?lm=1,N/A,07.04.1986,Palmeira dos Índios,Retired
2,Mourad Batna,مراد باتنا,117,45,30,10.036,N/A,Batna,16,19,0,Al-Fateh SC,Attack - Right Winger,"1,84 m",Morocco,ma,https://www.transfermarkt.us/mourad-batna/profil/spieler/234975,https://img.a.transfermarkt.technology/portrait/small/234975-1716740496.png?lm=1,N/A,27.06.1990,Agadir,Al-Fateh SC
3,Sofiane Bendebka,سفيان بن دبكة,148,34,21,12.653,N/A,Bendebka,14,15,1,Al-Fateh SC,Midfield - Central Midfield,"1,80 m",Algeria,dz,https://www.transfermarkt.us/sofiane-bendebka/profil/spieler/248250,https://img.a.transfermarkt.technology/portrait/small/248250-1716740679.png?lm=1,N/A,09.08.1992,El Magharia,Al-Fateh SC
4,Tawfiq Buhumaid,توفيق بو حيمد,202,10,18,14.188,N/A,Buhumaid,Unknown,33,1,Al-Fateh SC,Defender - Left-Back,"1,73 m",Saudi Arabia,sa,https://www.transfermarkt.us/tawfiq-buhumaid/profil/spieler/185540,https://img.a.transfermarkt.technology/portrait/small/185540-1716742308.png?lm=1,N/A,29.10.1987,Unknown,Al-Adalah FC
5,Hamdan Al-Hamdan,حمدان الحمدان,224,42,17,17.546,N/A,Al-Hamdan,11,12,1,Al-Fateh SC,Midfield - Attacking Midfield,"1,76 m",Saudi Arabia,sa,https://www.transfermarkt.us/hamdan-al-hamdan/profil/spieler/153523,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.08.1985,Unknown,Retired
6,Christian Cueva,Christian Alberto Cueva Bravo,51,16,16,4.120,N/A,Cueva,10,6,1,Al-Fateh SC,Midfield - Attacking Midfield,"1,69 m",Peru,pe,https://www.transfermarkt.us/christian-cueva/profil/spieler/95280,https://img.a.transfermarkt.technology/portrait/small/95280-1718677887.jpg?lm=1,N/A,23.11.1991,Trujillo,Club Cienciano
7,Rabea Al-Sofiani,ربيع السفياني,108,17,15,7.076,N/A,Al-Sofiani,9,1,1,Al-Fateh SC,Attack - Centre-Forward,"1,81 m",Saudi Arabia,sa,https://www.transfermarkt.us/rabea-al-sofiani/profil/spieler/153584,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.01.1987,Unknown,Unknown
8,Ali Al-Zaqan,علي الزقعان,120,19,13,7.758,N/A,Al-Zaqan,-,20,0,Al-Fateh SC,Attack - Right Winger,"1,76 m",Saudi Arabia,sa,https://www.transfermarkt.us/ali-al-zaqan/profil/spieler/229866,https://img.a.transfermarkt.technology/portrait/small/229866-1680718307.jpg?lm=1,N/A,01.11.1991,Unknown,Al-Arabi SC
9,Hussain Al-Moqahwi,حسين المقهوي,125,11,12,7.561,N/A,Al-Moqahwi,16,7,0,Al-Fateh SC,Midfield - Central Midfield,"1,73 m",Saudi Arabia,sa,https://www.transfermarkt.us/hussain-al-moqahwi/profil/spieler/159675,https://img.a.transfermarkt.technology/portrait/small/159675-1680950005.JPG?lm=1,N/A,30.06.1988,Hofuf,Al-Ula FC
10,Lucas Zelarayán,Unknown,43,9,11,3.850,N/A,Unknown,Unknown,5,0,Al-Fateh SC,Unknown,Unknown,Armenia,am,https://www.transfermarkt.us/lucas-zelarayan/profil/spieler/230030,https://img.a.transfermarkt.technology/portrait/small/230030-1716741658.png?lm=1,N/A,20.06.1992,Unknown,Club Atlético Belgrano
11,Doris Fuakuputu,Doris Salomo Fuakuputu,144,64,10,12.552,N/A,Fuakuputu,-,10,0,Al-Fateh SC,Attack - Centre-Forward,"1,76 m",DR Congo,unknown,https://www.transfermarkt.us/doris-fuakuputu/profil/spieler/159626,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,18.09.1984,Unknown,Retired
12,Firas Al-Buraikan,فراس طارق ناصر البريكان,65,33,9,5.123,N/A,Al-Buraikan,9,5,0,Al-Fateh SC,Attack - Centre-Forward,"1,81 m",Saudi Arabia,sa,https://www.transfermarkt.us/firas-al-buraikan/profil/spieler/631922,https://img.a.transfermarkt.technology/portrait/small/631922-1716741082.png?lm=1,N/A,14.05.2000,Riyadh,Al-Ahli SFC
13,Abdulaziz Abushqra,عبدالعزيز يوسف بوشقراء,123,3,8,9.620,N/A,Abushqra,Unknown,9,0,Al-Fateh SC,Defender - Right-Back,"1,79 m",Saudi Arabia,sa,https://www.transfermarkt.us/abdulaziz-abushqra/profil/spieler/185543,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,23.11.1981,Unknown,Retired
14,Ahmad Boabeed,أحمد بوعبيد,74,21,8,4.303,N/A,Boabeed,Unknown,10,0,Al-Fateh SC,Attack - Left Winger,"1,79 m",Saudi Arabia,sa,https://www.transfermarkt.us/ahmad-boabeed/profil/spieler/153539,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.09.1985,Unknown,Without Club
15,Gustav Wikheim,Gustav Mendonça Wikheim,47,6,7,3.259,N/A,Wikheim,16,4,0,Al-Fateh SC,Attack - Left Winger,"1,82 m",Norway,no,https://www.transfermarkt.us/gustav-wikheim/profil/spieler/180767,https://img.a.transfermarkt.technology/portrait/small/180767-1519043192.jpg?lm=1,N/A,18.03.1993,Drammen,FC Nordsjaelland
16,Cristian Tello,Cristian Tello Herrera,47,16,7,3.871,N/A,Tello,16,5,0,Al-Fateh SC,Attack - Left Winger,"1,78 m",Spain,es,https://www.transfermarkt.us/cristian-tello/profil/spieler/141834,https://img.a.transfermarkt.technology/portrait/small/141834-1716742330.png?lm=1,N/A,11.08.1991,Sabadell,Al-Orobah FC
17,Sandro Manoel,Unknown,40,2,6,3.561,N/A,Sandro Manoel,Unknown,4,0,Al-Fateh SC,Midfield - Defensive Midfield,"1,80 m",Brazil,br,https://www.transfermarkt.us/sandro-manoel/profil/spieler/70119,https://img.a.transfermarkt.technology/portrait/small/s_70119_609_2010_1.jpg?lm=1,N/A,23.07.1988,Recife,Without Club
18,Matías Aguirregaray,Matías Aguirregaray Guruceaga,51,3,6,4.194,N/A,Aguirregaray,13,8,1,Al-Fateh SC,Defender - Right-Back,"1,74 m",Uruguay,uy,https://www.transfermarkt.us/matias-aguirregaray/profil/spieler/74232,https://img.a.transfermarkt.technology/portrait/small/74232-1721060434.jpg?lm=1,N/A,01.04.1989,Porto Alegre,Montevideo Wanderers
19,Faysal Seef,Unknown,38,1,5,3.110,N/A,Seef,Unknown,8,0,Al-Fateh SC,Midfield,Unknown,Saudi Arabia,sa,https://www.transfermarkt.us/faysal-seef/profil/spieler/153583,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,16.06.1978,Unknown,Retired
