rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Bismark,Unknown,77,30,9,6.288,N/A,Bismark,Unknown,9,0,Al-Qadsiah FC,Midfield - Attacking Midfield,"1,69 m",Brazil,br,https://www.transfermarkt.us/bismark/profil/spieler/207506,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,12.07.1993,Barbalha,ABC Futebol Clube (RN)
2,Mbaye Diagne,Unknown,33,26,3,2.695,N/A,Diagne,9,0,0,Al-Qadsiah FC,Attack - Centre-Forward,"1,91 m",Senegal,sn,https://www.transfermarkt.us/mbaye-diagne/profil/spieler/271966,https://img.a.transfermarkt.technology/portrait/small/271966-1698422415.JPG?lm=1,N/A,28.10.1991,Dakar,NEOM SC
3,Yasser Al-Qahtani,ياسر سعيد القحطاني‎,36,20,7,2.922,N/A,Al-Qahtani,20,1,0,Al-Qadsiah FC,Attack - Centre-Forward,"1,76 m",Saudi Arabia,sa,https://www.transfermarkt.us/yasser-al-qahtani/profil/spieler/31676,https://img.a.transfermarkt.technology/portrait/small/31676-1641392816.jpg?lm=1,N/A,10.10.1982,Khobar,Retired
4,Julián Quiñones,Julián Andrés Quiñones Quiñones,25,20,7,2.189,N/A,Quiñones,7,6,1,Al-Qadsiah FC,Attack - Centre-Forward,"1,80 m",Mexico,mx,https://www.transfermarkt.us/julian-quinones/profil/spieler/416090,https://img.a.transfermarkt.technology/portrait/small/416090-1719229425.jpg?lm=1,N/A,24.03.1997,Magüí Payán,Al-Qadsiah FC
5,Hassan Al-Omari,"Hassan Mohammed Hassan Al-Omari, حسن محمد حسم العمري",97,19,6,5.834,N/A,Al-Omari,Unknown,19,1,Al-Qadsiah FC,Attack - Left Winger,"1,68 m",Saudi Arabia,sa,https://www.transfermarkt.us/hassan-al-omari/profil/spieler/264832,https://img.a.transfermarkt.technology/portrait/small/264832-1685910138.JPG?lm=1,N/A,21.04.1994,Dhahran,Al-Tai FC
6,Luciano Vietto,Luciano Darío Vietto,33,17,10,2.894,N/A,Vietto,9,4,0,Al-Qadsiah FC,Attack - Centre-Forward,"1,73 m",Argentina,ar,https://www.transfermarkt.us/luciano-vietto/profil/spieler/214316,https://img.a.transfermarkt.technology/portrait/small/214316-1698422207.jpeg?lm=1,N/A,05.12.1993,Balnearía,Racing Club
7,Élton,Unknown,65,15,9,5.641,N/A,Élton,Unknown,6,0,Al-Qadsiah FC,Midfield - Attacking Midfield,"1,54 m",Brazil,br,https://www.transfermarkt.us/elton/profil/spieler/48669,https://img.a.transfermarkt.technology/portrait/small/48669-1483630868.jpg?lm=1,N/A,07.04.1986,Palmeira dos Índios,Retired
8,Pierre-Emerick Aubameyang,Pierre-Emerick Emiliano François Aubameyang,25,13,2,2.223,N/A,Aubameyang,-,1,1,Al-Qadsiah FC,Attack - Centre-Forward,"1,87 m",Gabon,ga,https://www.transfermarkt.us/pierre-emerick-aubameyang/profil/spieler/58864,https://img.a.transfermarkt.technology/portrait/small/58864-1676029326.png?lm=1,N/A,18.06.1989,Laval,Al-Qadsiah FC
9,Nasigba John Jumbo,Unknown,26,12,1,2.071,N/A,Jumbo,Unknown,4,1,Al-Qadsiah FC,Attack - Centre-Forward,"1,82 m",Nigeria,ng,https://www.transfermarkt.us/nasigba-john-jumbo/profil/spieler/103462,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.12.1988,Port Harcourt,Unknown
10,Youssef Al-Salem,يوسف منصور السالم,30,11,3,2.364,N/A,Al-Salem,16,0,0,Al-Qadsiah FC,Attack - Centre-Forward,"1,79 m",Saudi Arabia,sa,https://www.transfermarkt.us/youssef-al-salem/profil/spieler/153244,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,04.05.1985,Khobar,---
11,Haroune Camara,هارون كمارا,39,11,5,2.507,N/A,Camara,14,5,0,Al-Qadsiah FC,Attack - Centre-Forward,"1,88 m",Saudi Arabia,sa,https://www.transfermarkt.us/haroune-camara/profil/spieler/31406,https://img.a.transfermarkt.technology/portrait/small/31406-1703280105.png?lm=1,N/A,01.01.1998,Unknown,Al-Shabab FC
12,Saleh Al-Qanbar,Unknown,26,9,3,1.767,N/A,Al-Qanbar,Unknown,0,0,Al-Qadsiah FC,Attack,Unknown,Saudi Arabia,sa,https://www.transfermarkt.us/saleh-al-qanbar/profil/spieler/1236709,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,00.00.0000,Unknown,Retired
13,Juan Comínges,Juan Elías Comínges Magorya,26,9,4,1.925,N/A,Comínges,17,2,1,Al-Qadsiah FC,Midfield - Left Midfield,"1,87 m",Peru,pe,https://www.transfermarkt.us/juan-cominges/profil/spieler/30566,https://img.a.transfermarkt.technology/portrait/small/30566-1729261566.JPG?lm=1,N/A,01.10.1983,Callao,Retired
14,Hadj Bouguèche,حاج بوقاش,17,9,2,1.397,N/A,Bouguèche,-,2,1,Al-Qadsiah FC,Attack - Centre-Forward,"1,74 m",Algeria,dz,https://www.transfermarkt.us/hadj-bougueche/profil/spieler/185508,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,07.12.1983,Arzew,Retired
15,Uche Agba,Uchenna Agba,24,9,2,1.965,N/A,Agba,Unknown,1,0,Al-Qadsiah FC,Attack - Centre-Forward,"1,78 m",Nigeria,ng,https://www.transfermarkt.us/uche-agba/profil/spieler/143633,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,24.06.1986,Lagos,Without Club
16,Simon Msuva,Unknown,28,8,0,2.020,N/A,Unknown,Unknown,2,0,Al-Qadsiah FC,Unknown,Unknown,Tanzania,tz,https://www.transfermarkt.us/simon-msuva/profil/spieler/292358,https://img.a.transfermarkt.technology/portrait/small/292358-1705688032.jpg?lm=1,N/A,02.10.1993,Unknown,Al-Talaba SC
17,Stanley Ohawuchi,Stanley Nka Ohawuchi,55,8,15,4.509,N/A,Ohawuchi,-,7,1,Al-Qadsiah FC,Attack - Centre-Forward,"1,79 m",Nigeria,ng,https://www.transfermarkt.us/stanley-ohawuchi/profil/spieler/127775,https://img.a.transfermarkt.technology/portrait/small/127775-1645283064.jpg?lm=1,N/A,27.05.1990,Port Harcourt,Mus Spor Kulübü
18,Abdulmohsin Fallatah,"Abdulmohsen bin Yaseen bin Mohammed Fallatah, عبدالمحسن فلاته",68,8,0,5.685,N/A,Fallatah,Unknown,7,0,Al-Qadsiah FC,Defender - Centre-Back,"1,75 m",Saudi Arabia,sa,https://www.transfermarkt.us/abdulmohsin-fallatah/profil/spieler/271842,https://img.a.transfermarkt.technology/portrait/small/271842-1680719108.jpg?lm=1,N/A,14.06.1994,Mecca,Without Club
19,Saleh Al-Ghuwainem,صالح الغوينم,32,7,1,1.881,N/A,Al-Ghuwainem,Unknown,1,0,Al-Qadsiah FC,Midfield - Right Midfield,Unknown,Saudi Arabia,sa,https://www.transfermarkt.us/saleh-al-ghuwainem/profil/spieler/1094105,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.04.1986,Unknown,Retired
20,Danilo Asprilla,Danilo Moreno Asprilla,18,7,2,1.426,N/A,Asprilla,Unknown,5,0,Al-Qadsiah FC,Attack - Right Winger,"1,77 m",Colombia,co,https://www.transfermarkt.us/danilo-asprilla/profil/spieler/184997,https://img.a.transfermarkt.technology/portrait/small/184997-1691069071.png?lm=1,N/A,12.01.1989,Chigorodó,Al-Safa FC
21,Turki Al-Ammar,"Turki Marwan Saad Al-Ammar, تركي مروان سعد العمار",52,7,8,2.847,N/A,Al-Ammar,10,6,0,Al-Qadsiah FC,Attack - Left Winger,"1,78 m",Saudi Arabia,sa,https://www.transfermarkt.us/turki-al-ammar/profil/spieler/31671,https://img.a.transfermarkt.technology/portrait/small/31671-1698420599.jpeg?lm=1,N/A,24.09.1999,Riyadh,Al-Qadsiah FC
22,Andria,Unknown,30,7,1,1.939,N/A,Unknown,Unknown,2,0,Al-Qadsiah FC,Unknown,Unknown,Madagascar,mg,https://www.transfermarkt.us/andria/profil/spieler/171194,https://img.a.transfermarkt.technology/portrait/small/171194-1493923797.png?lm=1,N/A,06.07.1989,Unknown,Al-Rawdah SC
