rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Craig Goodwin,Craig Alexander Goodwin,81,15,17,6.387,N/A,Goodwin,-,9,0,Al-Wehda FC,Attack - Left Winger,"1,83 m",Australia,au,https://www.transfermarkt.us/craig-goodwin/profil/spieler/214798,https://img.a.transfermarkt.technology/portrait/small/214798-1668506102.jpg?lm=1,N/A,16.12.1991,Adelaide,Al-Wehda FC
2,Fayçal Fajr,فيصل فجر,67,8,16,6.007,N/A,Fajr,11,7,0,Al-Wehda FC,Midfield - Central Midfield,"1,79 m",Morocco,ma,https://www.transfermarkt.us/faycal-fajr/profil/spieler/174344,https://img.a.transfermarkt.technology/portrait/small/174344-1685533158.JPG?lm=1,N/A,01.08.1988,Rouen,Al-Taawoun FC
3,Anselmo,Unknown,142,24,12,12.173,N/A,Anselmo,-,39,0,Al-Wehda FC,Midfield - Defensive Midfield,"1,82 m",Brazil,br,https://www.transfermarkt.us/anselmo/profil/spieler/114341,https://img.a.transfermarkt.technology/portrait/small/114341-1685528539.JPG?lm=1,N/A,20.02.1989,São Paulo,Johor Darul Ta'zim
4,Youssef Kaddioui Idrissi,يوسف القديوي,28,10,10,2.208,N/A,Kaddioui Idrissi,13,6,0,Al-Wehda FC,Attack - Right Winger,"1,79 m",Morocco,ma,https://www.transfermarkt.us/youssef-kaddioui-idrissi/profil/spieler/147272,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,28.09.1984,El Jadida,Retired
5,Waleed Mahboob,وليد محبوب,92,1,10,7.614,N/A,Mahboob,Unknown,13,0,Al-Wehda FC,Midfield - Right Midfield,"1,74 m",Saudi Arabia,sa,https://www.transfermarkt.us/waleed-mahboob/profil/spieler/153396,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.12.1985,Unknown,Unknown
6,Waleed Bakshween,"Waleed Rashid Bakshween, وليد ياخشوين",164,0,9,12.454,N/A,Bakshween,17,44,1,Al-Wehda FC,Midfield - Defensive Midfield,"1,76 m",Saudi Arabia,sa,https://www.transfermarkt.us/waleed-bakshween/profil/spieler/147869,https://img.a.transfermarkt.technology/portrait/small/147869-1685529629.JPG?lm=1,N/A,12.11.1989,Jeddah,Al-Wehda FC
7,Majed Al-Hazzani,Unknown,114,5,9,6.612,N/A,Al-Hazzani,Unknown,11,0,Al-Wehda FC,Midfield,Unknown,Saudi Arabia,sa,https://www.transfermarkt.us/majed-al-hazzani/profil/spieler/153357,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,23.01.1983,Unknown,Unknown
8,Youssoufou Niakaté,Unknown,55,29,9,4.685,N/A,Unknown,Unknown,10,0,Al-Wehda FC,Unknown,Unknown,Mali,ml,https://www.transfermarkt.us/youssoufou-niakate/profil/spieler/351990,https://img.a.transfermarkt.technology/portrait/small/351990-1685658971.jpg?lm=1,N/A,16.12.1992,Unknown,FC Baniyas
9,Rómulo Otero,Rómulo Otero Vásquez,27,6,7,2.199,N/A,Otero,20,4,0,Al-Wehda FC,Midfield - Attacking Midfield,"1,65 m",Venezuela,ve,https://www.transfermarkt.us/romulo-otero/profil/spieler/177680,https://img.a.transfermarkt.technology/portrait/small/177680-1706142832.jpg?lm=1,N/A,09.11.1992,"El Tigre, Anzoátegui",Club Nacional
10,Alaa Al-Kuwaikabi,علاء الكويكبي,50,6,7,3.157,N/A,Al-Kuwaikabi,-,1,2,Al-Wehda FC,Attack,Unknown,Saudi Arabia,sa,https://www.transfermarkt.us/alaa-al-kuwaikabi/profil/spieler/153359,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,30.08.1980,Unknown,Retired
11,Mukhtar Fallatah,مختار فلاته,80,30,7,5.281,N/A,Fallatah,20,10,0,Al-Wehda FC,Attack - Centre-Forward,"1,78 m",Saudi Arabia,sa,https://www.transfermarkt.us/mukhtar-fallatah/profil/spieler/153378,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.10.1987,Unknown,Retired
12,Adolfo Lima,Adolfo Justino Lima Camejo,44,4,7,3.638,N/A,Lima,Unknown,4,0,Al-Wehda FC,Midfield - Left Midfield,"1,76 m",Uruguay,uy,https://www.transfermarkt.us/adolfo-lima/profil/spieler/196209,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,24.07.1990,Melo,Melo Wanderers
