name,club,periods
Omar Al-Somah,Al-Ahli SFC,"2014-2022, 2023-2023"
Victor Simões,Al-Ahli SFC,"2010-2011, 2011-2014"
Taiseer Al-Jassam,Al-Ahli SFC,"2003-2007, 2007-2009, 2009-2018, 2019-2019"
Amad Al-Hosni,Al-Ahli SFC,2010-2013
Muhannad Assiri,Al-Ahli SFC,2014-2021
Djaniny,Al-Ahli SFC,2018-2020
Salman Al-Muwashar,Al-Ahli SFC,2014-2023
Malek Mouath,Al-Ahli SFC,"2004-2011, 2012-2012"
Hussain Al-Moqahwi,Al-Ahli SFC,2014-2022
Riyad Mahrez,Al-Ahli SFC,2023-2025
Talal Al-Meshal,Al-Ahli SFC,"1997-2006, 2007-2007"
Mustafa Mahdi Al-Bassas,Al-Ahli SFC,"2014-2018, 2018-2018, 2019-2020"
Ivan Toney,Al-Ahli SFC,2024-2025
Abdulfattah Asiri,Al-Ahli SFC,2016-2020
Giannis Fetfatzidis,Al-Ahli SFC,2015-2018
Firas Al-Buraikan,Al-Ahli SFC,2023-2025
Roberto Firmino,Al-Ahli SFC,2023-2025
Abdulrahim Jaizawi,Al-Ahli SFC,2008-2013
Abdulrahman Ghareeb,Al-Ahli SFC,2018-2022
Hassan Al-Raheb,Al-Ahli SFC,2008-2012
Mootaz Al-Mousa,Al-Ahli SFC,2006-2015
Bruno César,Al-Ahli SFC,"2013-2014, 2014-2015"
Haitham Asiri,Al-Ahli SFC,2020-2024
Marcinho,Al-Ahli SFC,2010-2011
Motaz Hawsawi,Al-Ahli SFC,2015-2022
Mansour Al-Harbi,Al-Ahli SFC,2007-2018
Franck Kessié,Al-Ahli SFC,2023-2025
Waleed Al-Gizani,Al-Ahli SFC,"2000-2007, 2007-2008"
Leonardo,Al-Ahli SFC,2017-2018
Obeid Al-Dosari,Al-Ahli SFC,1999-2005
Ibrahim Suwayed,Al-Ahli SFC,1995-2004
Islam Seraj,Al-Ahli SFC,"2015-2017, 2018-2018"
Gabri Veiga,Al-Ahli SFC,2023-2025
Saleh Al-Amri,Al-Ahli SFC,"2014-2016, 2017-2018"
Ryad Boudebouz,Al-Ahli SFC,2022-2023
Osama Hawsawi,Al-Ahli SFC,2012-2016
Mohammed Massad,Al-Ahli SFC,"2001-2013, 2013-2013"
Javier Toledo,Al-Ahli SFC,"2009-2010, 2010-2010"
Khaled Omar Gahwji,Al-Ahli SFC,1994-2004
Hussein Abdulghani,Al-Ahli SFC,"1995-2008, 2019-2020"
Luís Leal,Al-Ahli SFC,2013-2014
Mohammed Al-Fatil,Al-Ahli SFC,2011-2021
Márcio Mossoró,Al-Ahli SFC,2013-2014
Abdullah Al-Mogren,Al-Ahli SFC,2022-2023
Kim,Al-Ahli SFC,2003-2005
Ricardo Pérez,Al-Ahli SFC,1999-2000
Camacho,Al-Ahli SFC,2011-2012
Mohamed Barakat,Al-Ahli SFC,2002-2003
Aqel Al-Sahbi,Al-Ahli SFC,2012-2018
Bouchaib El Moubarki,Al-Ahli SFC,2003-2003
Hassan Al-Ali,Al-Ahli SFC,2020-2023
Momen Zakaria,Al-Ahli SFC,2018-2018
Ezgjan Alioski,Al-Ahli SFC,"2021-2022, 2023-2025"
Dejan Damjanović,Al-Ahli SFC,2006-2006
Ali Al-Abdali,Al-Ahli SFC,1996-2008
Youcef Belaïli,Al-Ahli SFC,2019-2020
Jairo Palomino,Al-Ahli SFC,"2011-2013, 2014-2015"
Roger Ibañez,Al-Ahli SFC,2023-2025
Abdulbasit Hindi,Al-Ahli SFC,2018-2024
Ziyad Al-Johani,Al-Ahli SFC,2020-2025
Sultan Al-Sawadi,Al-Ahli SFC,"2012-2014, 2015-2015, 2016-2016"
Sumayhan Al-Nabit,Al-Ahli SFC,2023-2025
Mohsen Al-Eisa,Al-Ahli SFC,2011-2015
Kamel Al-Mousa,Al-Ahli SFC,2010-2016
Eduardo,Al-Ahli SFC,2022-2022
Galeno,Al-Ahli SFC,2025-2025
Allan Saint-Maximin,Al-Ahli SFC,"2023-2024, 2025-2025"
Alexandru Mitriță,Al-Ahli SFC,2020-2021
Saad Abdulameer,Al-Ahli SFC,2017-2017
Val Baiano,Al-Ahli SFC,2007-2008
Khaled Badra,Al-Ahli SFC,"2003-2003, 2006-2008"
Marquinho,Al-Ahli SFC,2016-2016
Mohamad Amman,Al-Ahli SFC,"2011-2011, 2012-2017"
Mohammed Al-Majhad,Al-Ahli SFC,2019-2025
Sahib Al-Abdullah,Al-Ahli SFC,2004-2012
Ali Al-Asmari,Al-Ahli SFC,"2017-2018, 2019-2025"
Younis Mahmoud,Al-Ahli SFC,2013-2014
Bastos,Al-Ahli SFC,2022-2023
Driss Fettouhi,Al-Ahli SFC,"2020-2021, 2024-2025"
Diene Faye,Al-Ahli SFC,
Wanderson,Al-Ahli SFC,"2010-2011, 2011-2011"
Marko Marin,Al-Ahli SFC,"2020-2021, 2021-2021"
Hicham Faik,Al-Ahli SFC,2022-2023
Mostapha El Kabir,Al-Ahli SFC,2014-2015
Ahmad Darwish,Al-Ahli SFC,2006-2012
Claudemir,Al-Ahli SFC,2017-2018
Abdullah Hassoun,Al-Ahli SFC,"2018-2022, 2022-2022"
Bader Al-Kharashi,Al-Ahli SFC,2008-2010
Walid Jahdali,Al-Ahli SFC,
Essa Al-Mehyani,Al-Ahli SFC,2012-2013
Waleed Bakshween,Al-Ahli SFC,2008-2018
Khalid Massad,Al-Ahli SFC,1988-2001
Ali Awagi,Al-Ahli SFC,2016-2020
Abdelhak Ait Laarif,Al-Ahli SFC,2005-2006
Filip Bradaric,Al-Ahli SFC,2021-2022
Modou Barrow,Al-Ahli SFC,"2023-2023, 2024-2024"
Samuel Owusu,Al-Ahli SFC,2020-2021
Youcef Saïbi,Al-Ahli SFC,2009-2009
Abdullah Al-Waked,Al-Ahli SFC,2002-2003
