name,club,periods
Youssef Al-Salem,Al-Ettifaq FC,"2009-2013, 2016-2018"
Saleh Bashir,Al-Ettifaq FC,"2002-2013, 2014-2015"
Mohammed Al-Kuwaykibi,Al-Ettifaq FC,"2016-2024, 2024-2024"
Sebastián Tagliabúe,Al-Ettifaq FC,2010-2012
Hazaa Al-Hazaa,Al-Ettifaq FC,"2013-2014, 2014-2015, 2015-2022, 2022-2022"
Filip Kiss,Al-Ettifaq FC,2017-2022
Naïm Sliti,Al-Ettifaq FC,2019-2023
Moussa Dembélé,Al-Ettifaq FC,2023-2025
Prince Tagoe,Al-Ettifaq FC,"2007-2009, 2013-2013"
Hamad Al-Hamad,Al-Ettifaq FC,2011-2014
Abdulrahman Al-Qahtani,Al-Ettifaq FC,"2001-2007, 2008-2010"
Georginio Wijnaldum,Al-Ettifaq FC,2023-2025
Robin Quaison,Al-Ettifaq FC,2021-2024
Walid Azaro,Al-Ettifaq FC,"2020-2020, 2020-2022"
Yahya Al-Shehri,Al-Ettifaq FC,2009-2013
Mohamed Kanno,Al-Ettifaq FC,2013-2017
Karl Toko Ekambi,Al-Ettifaq FC,2024-2025
Youssoufou Niakaté,Al-Ettifaq FC,2022-2023
Vitinho,Al-Ettifaq FC,"2022-2024, 2024-2025"
Zamil Al-Sulim,Al-Ettifaq FC,"2016-2016, 2017-2017"
Abdullah Al-Salem,Al-Ettifaq FC,"2012-2013, 2020-2023"
Hamed Al-Ghamdi,Al-Ettifaq FC,"2019-2024, 2025-2025"
Ibrahim Al-Mugneam,Al-Ettifaq FC,
Saeed Al-Rubaie,Al-Ettifaq FC,"2015-2016, 2018-2022"
Souleymane Doukara,Al-Ettifaq FC,2019-2021
Saad Al-Salouli,Al-Ettifaq FC,2017-2022
Souza,Al-Ettifaq FC,2020-2022
Saleh Al-Amri,Al-Ettifaq FC,"2016-2017, 2019-2020"
Ali Al-Zaqan,Al-Ettifaq FC,"2016-2017, 2017-2017"
Ali Abdullah Hazazi,Al-Ettifaq FC,2017-2024
Salaheddine Aqqal,Al-Ettifaq FC,
Rashed Al-Raheeb,Al-Ettifaq FC,"2002-2009, 2010-2011, 2011-2011"
Abdulrahman Al-Oboud,Al-Ettifaq FC,"2017-2019, 2024-2024"
Ahmed Al-Mubarak,Al-Ettifaq FC,2011-2014
Demarai Gray,Al-Ettifaq FC,2023-2025
Sayyaf Al-Bishi,Al-Ettifaq FC,
Álvaro Medrán,Al-Ettifaq FC,2024-2025
Hasan Al-Habib,Al-Ettifaq FC,2015-2019
Ibrahim Mohannashi,Al-Ettifaq FC,2019-2023
Hussein Al-Nagai,Al-Ettifaq FC,
Ahmed Akash,Al-Ettifaq FC,
Sanousi Al-Hawsawi,Al-Ettifaq FC,2020-2023
Yahya Ateen,Al-Ettifaq FC,2013-2018
Hussein El Sayed,Al-Ettifaq FC,2018-2019
Jamaan Al-Jamaan,Al-Ettifaq FC,2008-2016
Abdulmuttaleb Al-Traidi,Al-Ettifaq FC,"2009-2012, 2014-2014"
Bruno Lazaroni,Al-Ettifaq FC,2010-2012
Abdullah Al-Saleh,Al-Ettifaq FC,2008-2022
Ahmed Al-Bahri,Al-Ettifaq FC,"2006-2007, 2010-2011, 2012-2012"
Abdullah Madu,Al-Ettifaq FC,"2024-2024, 2024-2025"
Carlos Santos,Al-Ettifaq FC,2011-2013
Abdullah Al-Khateeb,Al-Ettifaq FC,2019-2025
Majed Al-Amri,Al-Ettifaq FC,"2009-2009, 2012-2014"
Hassan Kadesh,Al-Ettifaq FC,2011-2017
Faisal Al-Dosari,Al-Ettifaq FC,2010-2011
Omar Al-Senin,Al-Ettifaq FC,2017-2020
Saleh Al-Qumayzi,Al-Ettifaq FC,2019-2021
Ahmed Al-Ghamdi,Al-Ettifaq FC,"2020-2024, 2024-2024"
Walid Al-Raja,Al-Ettifaq FC,
Saad Al-Yami,Al-Ettifaq FC,"2017-2020, 2021-2022"
Adnan Al-Salman,Al-Ettifaq FC,
Ali Al-Shehri,Al-Ettifaq FC,1999-2008
Sultan Al-Bargan,Al-Ettifaq FC,"2008-2009, 2009-2010, 2011-2014"
Marcel Tisserand,Al-Ettifaq FC,"2022-2024, 2024-2024, 2025-2025"
Paulo Victor,Al-Ettifaq FC,2022-2024
Radhi Al-Otaibi,Al-Ettifaq FC,2023-2025
Ahmed Al-Kassar,Al-Ettifaq FC,2015-2018
Faiz Al-Sobea,Al-Ettifaq FC,
Raïs M'Bolhi,Al-Ettifaq FC,2018-2022
Saeed Al-Mowalad,Al-Ettifaq FC,2021-2023
Mohammed Abdulrahman,Al-Ettifaq FC,2021-2025
Jack Hendry,Al-Ettifaq FC,2023-2025
Mubarak Al-Dossary,Al-Ettifaq FC,
