name,club,periods
Fashion Sakala,Al-Fayha FC,2023-2025
Danilo Asprilla,Al-Fayha FC,2017-2019
Ronnie Fernández,Al-Fayha FC,"2017-2019, 2019-2020, 2020-2020"
Anthony Nwakaeme,Al-Fayha FC,2022-2024
Sultan Mandash,Al-Fayha FC,2021-2024
Henry Onyekuru,Al-Fayha FC,2023-2025
Renzo López,Al-Fayha FC,2024-2025
Ramon Lopes,Al-Fayha FC,2021-2022
Malek Al-Abdulmenem,Al-Fayha FC,"2021-2022, 2022-2025"
Abdelhamid Sabiri,Al-Fayha FC,2023-2024
Samuel Owusu,Al-Fayha FC,"2019-2020, 2021-2022"
Nawaf Al-Sabhi,Al-Fayha FC,2018-2020
Abdullah Al-Salem,Al-Fayha FC,"2017-2019, 2019-2019"
Aleksandar Trajkovski,Al-Fayha FC,2022-2023
Paulinho Paula,Al-Fayha FC,2022-2023
Alejandro Pozuelo,Al-Fayha FC,2024-2025
Sami Al-Khaibari,Al-Fayha FC,2012-2025
Carlos Villanueva,Al-Fayha FC,2020-2020
Nawaf Al-Harthi,Al-Fayha FC,2023-2025
Víctor Ruiz,Al-Fayha FC,2022-2024
Nahir Besara,Al-Fayha FC,2019-2019
Ricardo Ryller,Al-Fayha FC,2021-2024
Panagiotis Tachtsidis,Al-Fayha FC,2021-2022
Amadou Moutari,Al-Fayha FC,2021-2022
Abdulkarim Al-Qahtani,Al-Fayha FC,2017-2020
Alexandros Tziolis,Al-Fayha FC,2017-2019
Makhir Al-Rashidi,Al-Fayha FC,2018-2025
John Jairo Ruiz,Al-Fayha FC,2017-2019
Mohammed Abusabaan,Al-Fayha FC,"2022-2023, 2024-2024"
Ahmed Bamsaud,Al-Fayha FC,"2017-2018, 2018-2022"
Saud Zaydan,Al-Fayha FC,2022-2025
Gegé,Al-Fayha FC,2017-2020
Hassan Muath,Al-Fayha FC,"2017-2018, 2018-2018"
Neto,Al-Fayha FC,2019-2020
Omar Al-Mazial,Al-Fayha FC,"2019-2019, 2019-2020, 2020-2020"
Hamad Al-Juahaim,Al-Fayha FC,2019-2021
Abdulrahman Al-Yami,Al-Fayha FC,2018-2019
Othman Al-Haj,Al-Fayha FC,2019-2020
Fahad Al-Juhani,Al-Fayha FC,2018-2018
Ima Andriatsima,Al-Fayha FC,2020-2020
Husein Al-Shuwaish,Al-Fayha FC,2021-2024
Chris Smalling,Al-Fayha FC,2024-2025
Khalid Kaabi,Al-Fayha FC,2022-2025
Faris Abdi,Al-Fayha FC,2024-2025
Majed Al-Najrani,Al-Fayha FC,2018-2019
Fawaz Al-Terais,Al-Fayha FC,2021-2022
Ali Al-Zaqan,Al-Fayha FC,2022-2023
Daifallah Al-Qarni,Al-Fayha FC,2017-2019
Abdulrahman Al-Barakah,Al-Fayha FC,2017-2020
Abdulah Al-Mutairi,Al-Fayha FC,2017-2021
Abdullah Kanno,Al-Fayha FC,2017-2020
Mohanad Al-Qaydhi,Al-Fayha FC,2022-2024
Tawfiq Buhumaid,Al-Fayha FC,2017-2019
Osama Al-Khalaf,Al-Fayha FC,2022-2024
Abdulrahman Al-Safari,Al-Fayha FC,2021-2024
Milan Pavkov,Al-Fayha FC,2022-2024
Arsénio,Al-Fayha FC,2019-2021
Vladimir Stojkovic,Al-Fayha FC,2021-2024
Ali Al-Jubaya,Al-Fayha FC,2023-2024
Sattam Al-Lehiyani,Al-Fayha FC,2024-2024
Aldry Contreras,Al-Fayha FC,2024-2025
Talal Majrashi,Al-Fayha FC,"2017-2018, 2018-2018, 2018-2019, 2020-2021"
Ahmad Al-Zain,Al-Fayha FC,2018-2018
Mohammed Qasem,Al-Fayha FC,2019-2019
John Boye,Al-Fayha FC,2021-2022
Sattam Al-Roqi,Al-Fayha FC,2025-2025
Gabriel Vareta,Al-Fayha FC,2025-2025
Iury Castilho,Al-Fayha FC,2019-2019
Seidu Yahaya,Al-Fayha FC,2019-2019
Abdulelah Al-Fahad,Al-Fayha FC,2015-2018
Ahmed Al-Kassar,Al-Fayha FC,2023-2024
Abduallah Al-Dossari,Al-Fayha FC,2020-2022
Ibrahim Al-Harbi,Al-Fayha FC,"2020-2022, 2022-2022"
Naldo,Al-Fayha FC,"2018-2019, 2019-2020"
Fernando Andrade,Al-Fayha FC,2021-2022
Hatem Bilal,Al-Fayha FC,"2017-2018, 2019-2019"
Sager Otayf,Al-Fayha FC,2021-2022
Abdulmalek Al-Shammari,Al-Fayha FC,2021-2022
Rayan Al-Bloushi,Al-Fayha FC,2021-2022
Kyriakos Papadopoulos,Al-Fayha FC,2021-2021
Radhi Al-Mutairi,Al-Fayha FC,"2012-2015, 2016-2017, 2018-2018, 2019-2019"
Abdullah Qaisy,Al-Fayha FC,2016-2017
Naif Kireiri,Al-Fayha FC,2018-2019
Abdulaziz Al-Mansour,Al-Fayha FC,"2016-2018, 2019-2020"
Saeed Mustafa,Al-Fayha FC,2016-2017
Abdulaziz Majrashi,Al-Fayha FC,"2015-2016, 2016-2017, 2018-2018, 2019-2019"
Hussam Majrashi,Al-Fayha FC,2024-2024
Redha Al-Abdullah,Al-Fayha FC,
Ali Al-Zubaidi,Al-Fayha FC,2021-2022
Abdulrahman Al-Anazi,Al-Fayha FC,"2023-2024, 2025-2025"
Amine Chermiti,Al-Fayha FC,2019-2019
Ali Al-Namer,Al-Fayha FC,2022-2023
Cristian Bonilla,Al-Fayha FC,2018-2019
Rakan Kaabi,Al-Fayha FC,2023-2025
Yousef Al-Harbi,Al-Fayha FC,2021-2022
Hassan Jafari,Al-Fayha FC,2017-2021
Bandar Nasser,Al-Fayha FC,2019-2023
Abdulhadi Al-Harajin,Al-Fayha FC,2024-2025
