name,club,periods
Mohammed Al-Sahlawi,Al-Nassr FC,2009-2019
Abderrazak Hamdallah,Al-Nassr FC,2018-2022
Cristiano Ronaldo,Al-Nassr FC,2023-2025
Talisca,Al-Nassr FC,2021-2025
Saad Al-Harthi,Al-Nassr FC,"2003-2006, 2006-2011"
Hassan Al-Raheb,Al-Nassr FC,2013-2018
Giuliano,Al-Nassr FC,2018-2020
Sadio Mané,Al-Nassr FC,2023-2025
Yahya Al-Shehri,Al-Nassr FC,"2013-2018, 2018-2021"
Adrian Mierzejewski,Al-Nassr FC,2014-2016
Rayan Belal,Al-Nassr FC,2009-2012
Sami Al-Najei,Al-Nassr FC,"2015-2019, 2019-2019, 2020-2025"
Abdalrahman Al-Bishi,Al-Nassr FC,2000-2009
Víctor Figueroa,Al-Nassr FC,2009-2011
Ayman Yahya,Al-Nassr FC,"2019-2022, 2022-2025"
Élton,Al-Nassr FC,2013-2014
Nordin Amrabat,Al-Nassr FC,2018-2021
Mohammed Al-Shahrani,Al-Nassr FC,"2010-2011, 2011-2011"
Petros,Al-Nassr FC,2018-2021
Rock Buskapa,Al-Nassr FC,2002-2003
Julio César Baldivieso,Al-Nassr FC,2001-2003
Carlos Tenorio,Al-Nassr FC,2002-2003
Abdulrahman Ghareeb,Al-Nassr FC,2022-2025
Omar Hawsawi,Al-Nassr FC,"2011-2012, 2012-2020"
Vincent Aboubakar,Al-Nassr FC,2021-2023
Sultan Al-Ghannam,Al-Nassr FC,2018-2025
Gonzalo Martínez,Al-Nassr FC,2020-2023
Rafael Bastos,Al-Nassr FC,2013-2014
Ahmed Musa,Al-Nassr FC,2018-2020
Otávio,Al-Nassr FC,2023-2025
Leonardo,Al-Nassr FC,2017-2018
Modibo Maïga,Al-Nassr FC,2015-2016
Ibrahim Ghaleb,Al-Nassr FC,2009-2019
Bader Al-Mutawa,Al-Nassr FC,2011-2011
Naif Ahmed Taib Hazazi,Al-Nassr FC,2015-2017
Khaled Al-Zylaeei,Al-Nassr FC,2009-2015
Khalid Al-Ghannam,Al-Nassr FC,"2020-2023, 2023-2024"
Hussein Abdulghani,Al-Nassr FC,2009-2017
Ahmed Al-Fraidi,Al-Nassr FC,2014-2019
Abdulelah Al-Amri,Al-Nassr FC,"2017-2018, 2019-2024, 2025-2025"
Abdulrahman Al-Qahtani,Al-Nassr FC,2010-2013
Bander Tamim Al-Dosari,Al-Nassr FC,2001-2007
Ibrahim Al-Harbi,Al-Nassr FC,1993-2006
Saud Hamoud,Al-Nassr FC,"2009-2015, 2015-2015"
Jaime Ayoví,Al-Nassr FC,2012-2013
Aymeric Laporte,Al-Nassr FC,2023-2025
Mohammed Fouzair,Al-Nassr FC,"2017-2018, 2018-2019, 2019-2019"
Fabián Estoyanoff,Al-Nassr FC,2015-2015
Abdulmajeed Al-Sulayhim,Al-Nassr FC,2020-2025
Ahmed Al-Mubarak,Al-Nassr FC,2006-2011
Jhon Durán,Al-Nassr FC,2025-2025
Víctor Ayala,Al-Nassr FC,2016-2017
Luiz Gustavo,Al-Nassr FC,2022-2023
Élton,Al-Nassr FC,2007-2009
Fahad Al-Mehallel,Al-Nassr FC,1999-2002
Fahad Al-Jumaiya,Al-Nassr FC,"2017-2020, 2021-2021"
Marcelo Brozović,Al-Nassr FC,2023-2025
Bader Al-Hagbani,Al-Nassr FC,
Hadj Bouguèche,Al-Nassr FC,2012-2012
Vinícius Reche,Al-Nassr FC,"2012-2013, 2017-2017"
Juan Pablo Pino,Al-Nassr FC,2011-2012
Doriva,Al-Nassr FC,1999-2000
Bruno Uvini,Al-Nassr FC,2016-2019
Mansour Al-Thagafi,Al-Nassr FC,"2001-2007, 2008-2010"
Marcelinho Carioca,Al-Nassr FC,2003-2004
Mohsin Al-Harthi,Al-Nassr FC,1998-2006
Hosny Abd Rabo,Al-Nassr FC,2012-2013
Abdulfattah Asiri,Al-Nassr FC,2020-2023
Junior Kabananga,Al-Nassr FC,"2018-2018, 2019-2019"
Faysal Seef,Al-Nassr FC,
Ovidiu Petre,Al-Nassr FC,2010-2011
Armando Wila,Al-Nassr FC,2015-2015
Mohamed Eid Al-Bishi,Al-Nassr FC,2010-2017
Jaloliddin Masharipov,Al-Nassr FC,"2021-2021, 2021-2023"
Pascal Feindouno,Al-Nassr FC,2010-2010
Amadou Fadel Keita,Al-Nassr FC,2002-2002
Mohammed Al-Fatil,Al-Nassr FC,2021-2025
Ahmad Abbas,Al-Nassr FC,"2008-2015, 2016-2016"
Saleh Al-Dawod,Al-Nassr FC,2000-2005
Firas Al-Buraikan,Al-Nassr FC,2018-2021
Abdulaziz Al-Janoubi,Al-Nassr FC,1997-2007
Amad Al-Hosni,Al-Nassr FC,2013-2014
Abdullah Madu,Al-Nassr FC,"2012-2024, 2024-2024"
Hicham Aboucherouane,Al-Nassr FC,
Abdulaziz Al-Jebreen,Al-Nassr FC,2014-2020
Marquinhos Gabriel,Al-Nassr FC,"2014-2015, 2015-2016"
Ivan Tomecak,Al-Nassr FC,2016-2017
Everton,Al-Nassr FC,2013-2014
Chun-soo Lee,Al-Nassr FC,2009-2010
Abdoh Otayf,Al-Nassr FC,2012-2014
Nawaf Al-Boushal,Al-Nassr FC,2023-2025
