name,club,periods
Tiago Bezerra,Al-Orobah FC,2022-2024
Mashari Jadie Al-Anazi,Al-Orobah FC,2021-2023
Mounir El Allouchi,Al-Orobah FC,2023-2024
Omar Al-Somah,Al-Orobah FC,2025-2025
Mousa Al-Shamri,Al-Orobah FC,"2013-2014, 2017-2025"
Béni Nkololo,Al-Orobah FC,2023-2024
Musaed Neda,Al-Orobah FC,2014-2015
Fahad Aqeel Al-Zubaidi,Al-Orobah FC,"2023-2024, 2024-2025"
Cristian Tello,Al-Orobah FC,2024-2025
Connor Pain,Al-Orobah FC,2023-2024
Jóhann Berg Gudmundsson,Al-Orobah FC,2024-2025
Matheus Duarte,Al-Orobah FC,2023-2024
Abdallah Deeb,Al-Orobah FC,2013-2014
Adeeb Al-Haizan,Al-Orobah FC,2022-2023
Waleed Al-Gizani,Al-Orobah FC,2014-2025
Charles Edoa,Al-Orobah FC,2013-2014
Fahad Al-Dossari,Al-Orobah FC,2023-2024
Rubin Hebaj,Al-Orobah FC,2024-2024
Rayllan,Al-Orobah FC,2021-2023
Philipe Maia,Al-Orobah FC,2021-2023
Vurnon Anita,Al-Orobah FC,2023-2024
Brad Young,Al-Orobah FC,2024-2025
Ibrahim Al-Harbi,Al-Orobah FC,2023-2024
Ziyad Al-Hunaiti,Al-Orobah FC,2022-2025
Abdulaziz Falath,Al-Orobah FC,2013-2025
Emmanuel Boateng,Al-Orobah FC,2024-2025
Emmanuel Banahene,Al-Orobah FC,2014-2015
Abdulrahim Al-Dabbas,Al-Orobah FC,
Jean Michaël Seri,Al-Orobah FC,2024-2025
Badr Bandar Al-Twalah,Al-Orobah FC,2017-2025
Ibrahim Salah,Al-Orobah FC,2013-2014
Diego Silva,Al-Orobah FC,2022-2023
Fawaz Fallatah,Al-Orobah FC,"2013-2015, 2021-2024"
Mohannad Abu Taha,Al-Orobah FC,2025-2025
Abdulelah Al-Nassar,Al-Orobah FC,2013-2015
Ismaël Kandouss,Al-Orobah FC,2024-2025
Ashraf Al-Shammari,Al-Orobah FC,2020-2025
Issiaka Eliassou,Al-Orobah FC,2013-2014
Mohammed Al-Kuwaykibi,Al-Orobah FC,2012-2016
Turki Al-Mutairi,Al-Orobah FC,2024-2024
Isaac Osae,Al-Orobah FC,2015-2016
Maher Hawsawi,Al-Orobah FC,2022-2023
Hassan Al-Salis,Al-Orobah FC,2024-2024
Fahad Al-Taleb,Al-Orobah FC,2022-2023
Adel Al-Sudani,Al-Orobah FC,"2017-2018, 2019-2020"
Ahmad Al-Hbeab,Al-Orobah FC,2024-2024
Hassan Abu Shaheen,Al-Orobah FC,2017-2019
Enad Al-Khalifa,Al-Orobah FC,2022-2023
Omar Abdullah Al-Sharari,Al-Orobah FC,2025-2025
Ziyad Al-Jari,Al-Orobah FC,2024-2024
Khodr Salameh,Al-Orobah FC,2015-2015
Osama Al-Khalaf,Al-Orobah FC,2025-2025
Ali Otayf,Al-Orobah FC,2014-2016
Naif Al-Balawi,Al-Orobah FC,2013-2013
Ahmed Al-Najei,Al-Orobah FC,2017-2018
Mohammed Barnawi,Al-Orobah FC,2024-2025
Milan Vusurovic,Al-Orobah FC,2022-2023
Talal Al-Showaiqi,Al-Orobah FC,2022-2023
Walid Jahdali,Al-Orobah FC,2014-2015
Mohammed Al-Shanqiti,Al-Orobah FC,2025-2025
Fahad Al-Muneef,Al-Orobah FC,2017-2018
Mohammed Bukhari,Al-Orobah FC,2017-2018
Matrouk Al-Shammari,Al-Orobah FC,2017-2018
Farraj Al-Rashid,Al-Orobah FC,"2024-2024, 2025-2025"
Abbas Shengeeti,Al-Orobah FC,"2013-2013, 2013-2014, 2015-2015"
Abdulhalim Al-Amoudi,Al-Orobah FC,
Ibrahim Hazzazi,Al-Orobah FC,2014-2015
Mohammed Al-Hazeem,Al-Orobah FC,
Majed Al-Ruwaili,Al-Orobah FC,2022-2023
Nawaf Al-Sehimai,Al-Orobah FC,2018-2019
Bandar Daghriri,Al-Orobah FC,2017-2018
Omar Al-Mazial,Al-Orobah FC,2015-2015
Hassan Al-Shamrani,Al-Orobah FC,2017-2018
Ahmed Israiwah,Al-Orobah FC,2016-2017
Hamad Al-Dwsari,Al-Orobah FC,2013-2018
Sattam Al-Fohaiqi,Al-Orobah FC,2015-2021
Ali Madhali,Al-Orobah FC,2014-2014
Abdulaziz Masnom,Al-Orobah FC,2024-2025
Bander Al-Enezi,Al-Orobah FC,2017-2019
Sultan Al-Yami,Al-Orobah FC,2014-2014
Khaled Hamdi,Al-Orobah FC,2016-2017
Moussa Yédan,Al-Orobah FC,2015-2015
Hamed Al-Maghati,Al-Orobah FC,2022-2025
Jean Bapidi,Al-Orobah FC,2014-2014
Abdo Al-Basisi,Al-Orobah FC,2013-2014
Abdulrahman Al-Dhaferi,Al-Orobah FC,2022-2023
Hamdan Al-Ruwaili,Al-Orobah FC,2022-2024
Khalid Al-Dawsari,Al-Orobah FC,
Ali Al-Khaibari,Al-Orobah FC,"2014-2014, 2021-2022"
Abdulmalek Al-Shammari,Al-Orobah FC,2024-2025
Bandar Darwish,Al-Orobah FC,2023-2024
Husein Al-Shuwaish,Al-Orobah FC,2024-2025
Mostafa Matar,Al-Orobah FC,2022-2023
