name,club,periods
Bismark,Al-Qadsiah FC,"2016-2017, 2017-2019, 2020-2020, 2020-2020"
Mbaye Diagne,Al-Qadsiah FC,2023-2024
Yasser Al-Qahtani,Al-Qadsiah FC,2000-2005
Julián Quiñones,Al-Qadsiah FC,2024-2025
Hassan Al-Omari,Al-Qadsiah FC,2014-2021
Luciano Vietto,Al-Qadsiah FC,2023-2024
Élton,Al-Qadsiah FC,2017-2019
Pierre-Emerick Aubameyang,Al-Qadsiah FC,2024-2025
Nasigba John Jumbo,Al-Qadsiah FC,2010-2011
Youssef Al-Salem,Al-Qadsiah FC,2004-2008
Haroune Camara,Al-Qadsiah FC,2018-2019
Juan Comínges,Al-Qadsiah FC,"2009-2010, 2011-2011"
Hadj Bouguèche,Al-Qadsiah FC,2011-2012
Uche Agba,Al-Qadsiah FC,2011-2012
Simon Msuva,Al-Qadsiah FC,2022-2023
Stanley Ohawuchi,Al-Qadsiah FC,"2017-2018, 2019-2021"
Abdulmohsin Fallatah,Al-Qadsiah FC,2016-2019
Saleh Al-Ghuwainem,Al-Qadsiah FC,"2002-2008, 2009-2010, 2011-2015"
Danilo Asprilla,Al-Qadsiah FC,2020-2021
Turki Al-Ammar,Al-Qadsiah FC,2023-2025
Andria,Al-Qadsiah FC,2020-2021
Abdulaziz Al-Othman,Al-Qadsiah FC,2022-2025
Saad Abdulameer,Al-Qadsiah FC,2015-2017
Karim Aribi,Al-Qadsiah FC,2023-2023
Saeed Al-Wadani,Al-Qadsiah FC,"2000-2003, 2006-2007"
Abdoh Hakami,Al-Qadsiah FC,2016-2025
Moïn Chaabani,Al-Qadsiah FC,2010-2011
Mazen Abusharara,Al-Qadsiah FC,"2014-2018, 2022-2023"
Talal Al-Khaibari,Al-Qadsiah FC,2010-2014
Walter Bwalya,Al-Qadsiah FC,2022-2023
Wellington,Al-Qadsiah FC,
Patrick Friday Eze,Al-Qadsiah FC,2016-2017
Jandson,Al-Qadsiah FC,2015-2016
Mohammad Kassas,Al-Qadsiah FC,2005-2006
Zé Augusto,Al-Qadsiah FC,2004-2006
Mohammed Al-Sahlawi,Al-Qadsiah FC,2005-2009
Ahmad Al-Zain,Al-Qadsiah FC,2018-2019
Ady,Al-Qadsiah FC,
Muteb Al-Najrani,Al-Qadsiah FC,2015-2017
Nelson Figueredo,Al-Qadsiah FC,2009-2011
Jorginho,Al-Qadsiah FC,"2018-2018, 2018-2019"
Nayef Hazazi,Al-Qadsiah FC,2014-2021
Fahad Al Dossari,Al-Qadsiah FC,2015-2017
Abdulrahman Al-Obaid,Al-Qadsiah FC,2015-2018
Saud Kariri,Al-Qadsiah FC,2000-2003
Fahad Al-Juhani,Al-Qadsiah FC,"2013-2013, 2016-2018, 2018-2018, 2019-2019"
Ahmed Al-Suwailh,Al-Qadsiah FC,2010-2011
Anderson,Al-Qadsiah FC,
Waleed Al-Shanqiti,Al-Qadsiah FC,"2017-2018, 2019-2019, 2020-2022"
Edo Ekhosuehi,Al-Qadsiah FC,2010-2011
Ibrahim Mohannashi,Al-Qadsiah FC,2023-2025
Ayman Al-Khulaif,Al-Qadsiah FC,2023-2024
Gilberto Macena,Al-Qadsiah FC,2016-2016
Cameron Puertas,Al-Qadsiah FC,2024-2025
Mubark Al-Asmari,Al-Qadsiah FC,2009-2012
Fahad Al-Sobaie,Al-Qadsiah FC,2009-2014
Saleh Al-Amri,Al-Qadsiah FC,2011-2014
Leke James,Al-Qadsiah FC,2021-2021
Mustapha Allaoui,Al-Qadsiah FC,
Mohammed Al-Saiari,Al-Qadsiah FC,2023-2024
André Carrillo,Al-Qadsiah FC,2023-2024
