name,club,periods
Nasser Al-Shamrani,Al-Shabab FC,"2006-2006, 2007-2013, 2017-2019"
Cristian Guanca,Al-Shabab FC,"2019-2021, 2022-2023, 2024-2024, 2024-2025"
Carlos Júnior,Al-Shabab FC,"2021-2024, 2025-2025"
Godwin Attram,Al-Shabab FC,"2003-2007, 2008-2010"
Hassan Muath,Al-Shabab FC,"2004-2017, 2018-2018, 2019-2020"
Mohamed Benyettou,Al-Shabab FC,2016-2018
Camacho,Al-Shabab FC,"2007-2011, 2012-2013"
Naji Majrashi,Al-Shabab FC,"2003-2011, 2011-2011"
Éver Banega,Al-Shabab FC,2020-2024
Abdoh Otayf,Al-Shabab FC,"2002-2011, 2014-2015"
Hattan Bahebri,Al-Shabab FC,"2016-2019, 2021-2024"
Rafinha,Al-Shabab FC,2013-2016
Abdulaziz Saran,Al-Shabab FC,
Sebá,Al-Shabab FC,2019-2022
Fisal Al-Sultan,Al-Shabab FC,"2009-2012, 2012-2012"
Ahmed Otaif,Al-Shabab FC,2001-2018
Muhannad Assiri,Al-Shabab FC,2013-2014
Fernando,Al-Shabab FC,2011-2014
Abdulmajeed Al-Sulayhim,Al-Shabab FC,2018-2020
Abdullah Ahmed Al-Asta,Al-Shabab FC,
Turki Al-Ammar,Al-Shabab FC,2017-2023
Abdulmajeed Al-Ruwaili,Al-Shabab FC,2012-2015
Khalid Kaabi,Al-Shabab FC,2017-2019
Saeed Al-Dosari,Al-Shabab FC,
Nashat Akram,Al-Shabab FC,2004-2007
Hussain Al-Qahtani,Al-Shabab FC,2020-2024
Musab Al-Juwayr,Al-Shabab FC,"2024-2024, 2024-2025"
Abdullah Shuhail,Al-Shabab FC,2005-2015
Abdullah Al-Hamdan,Al-Shabab FC,2018-2021
Moteb Al-Harbi,Al-Shabab FC,2021-2024
Bader Al-Sulaiteen,Al-Shabab FC,
Abdulmohsen Al-Dosari,Al-Shabab FC,1998-2009
Nawaf Al-Abed,Al-Shabab FC,2020-2023
Fahad Hamad,Al-Shabab FC,
Saleh Sadeeq,Al-Shabab FC,1997-2009
Faysal Al-Obayli,Al-Shabab FC,1998-2010
Mohammed Salem,Al-Shabab FC,2017-2021
Naif Al-Qadi,Al-Shabab FC,2007-2014
Ahmed Sharahili,Al-Shabab FC,2019-2022
Iago Santos,Al-Shabab FC,2022-2024
Zaid Al-Mowalad,Al-Shabab FC,2004-2012
Igor Lichnovsky,Al-Shabab FC,2020-2022
Majed Al-Marhoum,Al-Shabab FC,2008-2013
Abdulaziz Al-Bishi,Al-Shabab FC,"2013-2017, 2018-2018"
Sayyaf Al-Bishi,Al-Shabab FC,2012-2016
Abdulmalek Al-Khaibri,Al-Shabab FC,"2008-2016, 2019-2021"
Abdullah Al-Dosari,Al-Shabab FC,"2002-2008, 2009-2010"
Fawaz Al-Sqoor,Al-Shabab FC,2020-2024
Marcelo Tavares,Al-Shabab FC,2010-2012
Abdullah Al-Fahad,Al-Shabab FC,2016-2018
Omar Al-Ghamdi,Al-Shabab FC,2010-2015
Majed Al-Marshadi,Al-Shabab FC,2014-2016
Abdulwahab Jafar,Al-Shabab FC,2015-2018
Sanad Shrahilee,Al-Shabab FC,"2006-2012, 2016-2018"
Djamel Eddine Benlamri,Al-Shabab FC,2016-2020
Majed Omar Kanabah,Al-Shabab FC,2023-2025
Bader Al-Hagbani,Al-Shabab FC,2006-2010
Alfred N'Diaye,Al-Shabab FC,2019-2022
Saleh Al-Qumayzi,Al-Shabab FC,2015-2019
Walid Jahdali,Al-Shabab FC,2011-2014
Abdullah Al-Shamekh,Al-Shabab FC,2019-2022
Waleed Abdullah,Al-Shabab FC,2006-2017
Fahd Ghazi,Al-Shabab FC,2017-2020
Gustavo Cuéllar,Al-Shabab FC,2023-2025
Farouk Ben Mustapha,Al-Shabab FC,2017-2020
Seung-gyu Kim,Al-Shabab FC,2022-2025
Mansoor Al-Dossari,Al-Shabab FC,"2000-2008, 2009-2009"
Saeed Al-Harbi,Al-Shabab FC,2009-2009
Nawaf Al-Sadi,Al-Shabab FC,2023-2025
Youssef Al-Moina,Al-Shabab FC,
Mohammed Al-Owais,Al-Shabab FC,2014-2017
Rashed Al-Mugren,Al-Shabab FC,"1995-2006, 2007-2009"
Hassan Tambakti,Al-Shabab FC,"2018-2019, 2020-2023"
Nader Al-Sharari,Al-Shabab FC,2021-2025
