name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Paul McGowan,Annan Athletic FC,https://www.transfermarkt.us/paul-mcgowan/profil/spieler/43734,https://img.a.transfermarkt.technology/portrait/small/43734-1626167798.jpg?lm=1,McGowan,Unknown,Scotland,unknown,Dundee FC,Bellshill,Unknown,Midfield - Central Midfield,"1,71 m",07.10.1987,302,21,35,0,43,0,0,38,63,23.569
Barry Smith,Retired,https://www.transfermarkt.us/barry-smith/profil/spieler/12813,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Smith,-,Scotland,unknown,Dundee FC,Paisley,Barry Martin Smith,Defender - Right-Back,"1,78 m",19.02.1974,282,3,2,2,29,0,2,6,9,24.762
Cammy Kerr,Queen's Park FC,https://www.transfermarkt.us/cammy-kerr/profil/spieler/270596,https://img.a.transfermarkt.technology/portrait/small/270596-1626167680.jpg?lm=1,Kerr,Unknown,Scotland,unknown,Dundee FC,Dundee,Cameron Kerr,Defender - Right-Back,"1,80 m",10.09.1995,272,7,15,0,35,0,0,27,17,22.490
Rab Douglas,Retired,https://www.transfermarkt.us/rab-douglas/profil/spieler/9501,https://img.a.transfermarkt.technology/portrait/small/9501-1562082122.jpg?lm=1,Rab Douglas,-,Scotland,unknown,Dundee FC,Lanark,Unknown,Goalkeeper,"1,95 m",24.04.1972,239,0,2,0,7,0,2,1,3,21.363
Gavin Rae,Retired,https://www.transfermarkt.us/gavin-rae/profil/spieler/12812,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Rae,-,Scotland,unknown,Dundee FC,Aberdeen,Gavin Paul Rae,Midfield - Central Midfield,"1,80 m",28.11.1977,238,25,5,0,20,0,1,10,17,20.479
Gary Irvine,Without Club,https://www.transfermarkt.us/gary-irvine/profil/spieler/43260,https://img.a.transfermarkt.technology/portrait/small/s_43260_511_2014_03_12_1.jpg?lm=1,Irvine,-,Scotland,unknown,Dundee FC,Bellshill,Unknown,Defender - Right-Back,"1,78 m",17.03.1985,194,5,16,1,33,1,2,2,7,17.162
Jordan McGhee,Dundee FC,https://www.transfermarkt.us/jordan-mcghee/profil/spieler/193881,https://img.a.transfermarkt.technology/portrait/small/193881-1626167256.jpg?lm=1,McGhee,3,Scotland,unknown,Dundee FC,East Kilbride,Unknown,Defender - Centre-Back,"1,83 m",24.07.1996,194,21,6,0,26,0,0,13,32,16.103
Gary Harkins,Retired,https://www.transfermarkt.us/gary-harkins/profil/spieler/29414,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Harkins,Unknown,Scotland,unknown,Dundee FC,Greenock,Unknown,Midfield - Attacking Midfield,"1,88 m",02.01.1985,167,35,36,0,16,2,1,20,37,13.241
Steven Milne,Retired,https://www.transfermarkt.us/steven-milne/profil/spieler/12840,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Milne,Unknown,Scotland,unknown,Dundee FC,Dundee,Unknown,Attack - Centre-Forward,"1,71 m",05.05.1980,156,42,8,0,6,0,0,59,52,8.779
Fabián Caballero,---,https://www.transfermarkt.us/fabian-caballero/profil/spieler/12808,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Caballero,Unknown,Paraguay,py,Dundee FC,Misiones,Néstor Fabián Caballero,Attack - Centre-Forward,"1,78 m",31.01.1978,131,22,5,0,14,0,1,24,43,9.424
