name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Steven Pressley,Retired,https://www.transfermarkt.us/steven-pressley/profil/spieler/12604,https://img.a.transfermarkt.technology/portrait/small/12604-1416989669.jpg?lm=1,Pressley,4,Scotland,unknown,Heart of Midlothian FC,Elgin,Steven John Pressley,Defender - Centre-Back,"1,83 m",11.10.1973,332,24,3,2,46,2,1,1,12,29.425
Craig Gordon,Heart of Midlothian FC,https://www.transfermarkt.us/craig-gordon/profil/spieler/12589,https://img.a.transfermarkt.technology/portrait/small/12589-1716378382.jpg?lm=1,Gordon,-,Scotland,unknown,Heart of Midlothian FC,Edinburgh,Unknown,Goalkeeper,"1,93 m",31.12.1982,324,0,0,1,16,0,1,0,1,29.321
Andy Webster,Retired,https://www.transfermarkt.us/andy-webster/profil/spieler/12610,https://img.a.transfermarkt.technology/portrait/small/s_12610_43_2012_1.jpg?lm=1,Webster,-,Scotland,unknown,Heart of Midlothian FC,Dundee,Andrew Neil Webster,Defender - Centre-Back,"1,83 m",23.04.1982,271,14,7,2,36,1,2,7,14,23.502
Christophe Berra,Retired,https://www.transfermarkt.us/christophe-berra/profil/spieler/36602,https://img.a.transfermarkt.technology/portrait/small/s_36602_543_2013_03_05_1.jpg?lm=1,Berra,-,Scotland,unknown,Heart of Midlothian FC,Edinburgh,Christophe Didier Berra,Defender - Centre-Back,"1,90 m",31.01.1985,263,12,10,7,30,0,0,15,7,22.461
Robbie Neilson,Retired,https://www.transfermarkt.us/robbie-neilson/profil/spieler/12603,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Neilson,-,Scotland,unknown,Heart of Midlothian FC,Paisley,Robert Neilson,Defender - Right-Back,"1,83 m",19.06.1980,248,2,19,0,34,1,0,17,20,20.949
Jamie Walker,Bradford City,https://www.transfermarkt.us/jamie-walker/profil/spieler/72518,https://img.a.transfermarkt.technology/portrait/small/72518-1625562844.jpg?lm=1,Walker,-,Scotland,unknown,Heart of Midlothian FC,Edinburgh,James Walker,Midfield - Attacking Midfield,"1,75 m",25.06.1993,240,55,43,0,35,1,0,62,83,16.282
Marius Zaliukas,---,https://www.transfermarkt.us/marius-zaliukas/profil/spieler/42667,https://img.a.transfermarkt.technology/portrait/small/s_42667_399_2013_11_07_1.jpg?lm=1,Zaliukas,6,Lithuania,lt,Heart of Midlothian FC,Kursenai,Marius Žaliūkas,Defender - Centre-Back,"1,90 m",10.11.1983,222,15,11,5,41,2,6,8,26,18.643
Michael Smith,Yeovil Town,https://www.transfermarkt.us/michael-smith/profil/spieler/103934,https://img.a.transfermarkt.technology/portrait/small/103934-1598512161.jpg?lm=1,Smith,19,Northern Ireland,unknown,Heart of Midlothian FC,Ballyclare,Unknown,Defender - Right-Back,"1,80 m",04.09.1988,203,9,18,0,29,1,0,12,38,16.564
Steve Fulton,Retired,https://www.transfermarkt.us/steve-fulton/profil/spieler/12733,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Fulton,-,Scotland,unknown,Heart of Midlothian FC,Greenock,Stephen Fulton,Midfield - Left Midfield,"1,78 m",10.08.1970,183,16,29,0,20,0,0,22,38,14.628
Scott Severin,Retired,https://www.transfermarkt.us/scott-severin/profil/spieler/3780,https://img.a.transfermarkt.technology/portrait/small/s_3780_123_2014_02_19_1.jpg?lm=1,Severin,-,Scotland,unknown,Heart of Midlothian FC,Stirling,Scott Derek Severin,Midfield - Central Midfield,"1,80 m",15.02.1979,174,15,12,1,23,0,0,22,23,13.706
Andy Driver,Retired,https://www.transfermarkt.us/andy-driver/profil/spieler/42967,https://img.a.transfermarkt.technology/portrait/small/42967-1447922141.jpg?lm=1,Driver,-,Scotland,unknown,Heart of Midlothian FC,"Saddleworth, Oldham",Andrew David Driver,Midfield - Left Midfield,"1,75 m",20.11.1987,170,19,26,0,17,0,0,38,45,11.846
Thomas Flögel,Retired,https://www.transfermarkt.us/thomas-flogel/profil/spieler/2945,https://img.a.transfermarkt.technology/portrait/small/s_2945_123_2010_1.jpg?lm=1,Flögel,8,Austria,at,Heart of Midlothian FC,Wien,Unknown,Midfield - Central Midfield,"1,77 m",07.06.1971,164,12,10,0,15,1,1,31,26,11.945
John Souttar,Rangers FC,https://www.transfermarkt.us/john-souttar/profil/spieler/235767,https://img.a.transfermarkt.technology/portrait/small/235767-1709884351.jpg?lm=1,Souttar,-,Scotland,unknown,Heart of Midlothian FC,Aberdeen,Unknown,Defender - Centre-Back,"1,86 m",25.09.1996,162,6,5,0,25,0,0,5,9,14.011
Callum Paterson,Sheffield Wednesday,https://www.transfermarkt.us/callum-paterson/profil/spieler/169555,https://img.a.transfermarkt.technology/portrait/small/169555-1723553606.jpg?lm=1,Paterson,13,Scotland,unknown,Heart of Midlothian FC,London,Callum Thomas Owen Paterson,Attack - Centre-Forward,"1,83 m",13.10.1994,162,39,21,0,34,0,2,10,17,13.675
