name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Michael Gardyne,Montrose FC,https://www.transfermarkt.us/michael-gardyne/profil/spieler/43259,https://img.a.transfermarkt.technology/portrait/small/s_43259_2553_2014_03_12_1.jpg?lm=1,Gardyne,-,Scotland,unknown,Ross County FC,Dundee,Unknown,Attack - Left Winger,"1,71 m",23.01.1986,423,68,58,0,46,1,0,82,160,30.532
Scott Boyd,Retired,https://www.transfermarkt.us/scott-boyd/profil/spieler/22609,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Boyd,Unknown,Scotland,unknown,Ross County FC,Whitburn,Unknown,Defender - Centre-Back,"1,88 m",04.06.1986,282,11,10,2,37,0,1,10,11,24.700
Richard Brittain,Retired,https://www.transfermarkt.us/richard-brittain/profil/spieler/13938,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Brittain,Unknown,Scotland,unknown,Ross County FC,Bathgate,Unknown,Midfield - Right Midfield,"1,75 m",24.09.1983,269,50,40,0,44,1,1,7,27,23.383
Iain Vigurs,Banks O' Dee FC,https://www.transfermarkt.us/iain-vigurs/profil/spieler/59328,https://img.a.transfermarkt.technology/portrait/small/59328-1626340294.jpg?lm=1,Vigurs,-,Scotland,unknown,Ross County FC,Aberdeen,Iain Angus Vigurs,Midfield - Central Midfield,"1,80 m",07.05.1988,238,29,33,0,69,1,2,32,71,17.854
Marcus Fraser,St. Mirren FC,https://www.transfermarkt.us/marcus-fraser/profil/spieler/132203,https://img.a.transfermarkt.technology/portrait/small/132203-1625663545.jpg?lm=1,Fraser,14,Scotland,unknown,Ross County FC,Glasgow,Unknown,Defender - Right-Back,"1,82 m",23.06.1994,198,4,11,0,27,1,0,3,12,17.440
Jordan White,Ross County FC,https://www.transfermarkt.us/jordan-white/profil/spieler/124577,https://img.a.transfermarkt.technology/portrait/small/124577-1626339879.jpg?lm=1,White,Unknown,Scotland,unknown,Ross County FC,Bellshill,Jordan Neil White,Attack - Centre-Forward,"1,93 m",04.02.1992,182,39,21,0,24,0,0,48,50,12.491
Ross Laidlaw,Ross County FC,https://www.transfermarkt.us/ross-laidlaw/profil/spieler/150212,https://img.a.transfermarkt.technology/portrait/small/150212-1626338259.jpg?lm=1,Laidlaw,Unknown,Scotland,unknown,Ross County FC,Livingston,Unknown,Goalkeeper,"2,01 m",12.07.1992,176,0,0,0,3,0,0,0,1,15.915
Paul Lawson,Retired,https://www.transfermarkt.us/paul-lawson/profil/spieler/9502,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Lawson,-,Scotland,unknown,Ross County FC,Aberdeen,Paul William Lawson,Midfield - Defensive Midfield,"1,75 m",15.05.1984,161,15,10,0,24,1,0,14,43,12.972
Stuart Kettlewell,Retired,https://www.transfermarkt.us/stuart-kettlewell/profil/spieler/69429,https://img.a.transfermarkt.technology/portrait/small/s_69429_2759_2014_02_19_1.jpg?lm=1,Kettlewell,Unknown,Scotland,unknown,Ross County FC,Glasgow,Unknown,Midfield - Defensive Midfield,"1,83 m",04.06.1984,155,10,5,0,37,2,1,31,42,10.863
Connor Randall,Ross County FC,https://www.transfermarkt.us/connor-randall/profil/spieler/262545,https://img.a.transfermarkt.technology/portrait/small/262545-1626339018.jpg?lm=1,Randall,Unknown,England,unknown,Ross County FC,Kirkby,Connor Steven Randall,Defender - Right-Back,"1,80 m",21.10.1995,148,3,3,1,25,0,1,9,38,12.107
Scott Fox,Without Club,https://www.transfermarkt.us/scott-fox/profil/spieler/60923,https://img.a.transfermarkt.technology/portrait/small/60923-1624369012.jpg?lm=1,Fox,-,Scotland,unknown,Ross County FC,Bellshill,Unknown,Goalkeeper,"1,82 m",28.06.1987,147,0,2,0,3,0,0,1,6,13.023
Martin Scott,Retired,https://www.transfermarkt.us/martin-scott/profil/spieler/22613,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Scott,-,Scotland,unknown,Ross County FC,Livingston,Unknown,Attack - Centre-Forward,"1,81 m",15.02.1986,146,7,11,0,13,1,4,46,31,9.159
Keith Watson,Arbroath FC,https://www.transfermarkt.us/keith-watson/profil/spieler/27700,https://img.a.transfermarkt.technology/portrait/small/27700-1626339050.jpg?lm=1,Watson,Unknown,Scotland,unknown,Ross County FC,Livingston,Unknown,Defender - Centre-Back,"1,85 m",14.11.1989,142,3,3,0,22,0,0,31,10,10.883
Mark McCulloch,Retired,https://www.transfermarkt.us/mark-mcculloch/profil/spieler/14738,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,McCulloch,Unknown,Scotland,unknown,Ross County FC,Inverness,Unknown,Defender - Centre-Back,"1,80 m",19.05.1975,138,3,2,0,13,1,0,2,11,12.142
Don Cowie,Retired,https://www.transfermarkt.us/don-cowie/profil/spieler/14746,https://img.a.transfermarkt.technology/portrait/small/s_14746_603_2013_04_17_1.jpg?lm=1,Cowie,-,Scotland,unknown,Ross County FC,Inverness,Donald McCulloch Cowie,Midfield - Right Midfield,"1,76 m",15.02.1983,135,14,7,0,5,0,0,22,32,10.237
Scott Morrison,Retired,https://www.transfermarkt.us/scott-morrison/profil/spieler/12786,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Morrison,-,Scotland,unknown,Ross County FC,Aberdeen,Scott Alexander Morrison,Defender - Left-Back,"1,76 m",23.05.1984,133,10,17,0,8,0,0,16,13,10.549
Gary Miller,St Cadoc's YC,https://www.transfermarkt.us/gary-miller/profil/spieler/36637,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Miller,Unknown,Scotland,unknown,Ross County FC,Glasgow,Unknown,Midfield - Defensive Midfield,"1,83 m",15.04.1987,129,3,12,0,20,0,2,5,11,11.092
Billy McKay,Inverness Caledonian Thistle FC,https://www.transfermarkt.us/billy-mckay/profil/spieler/123294,https://img.a.transfermarkt.technology/portrait/small/s_123294_2451_2013_02_11_1.jpg?lm=1,McKay,9,Northern Ireland,unknown,Ross County FC,Corby,William Robert McKay,Attack - Centre-Forward,"1,75 m",22.10.1988,126,41,12,0,3,0,0,37,53,7.925
Steven Craig,Retired,https://www.transfermarkt.us/steven-craig/profil/spieler/12658,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Craig,Unknown,Scotland,unknown,Ross County FC,Blackburn,Unknown,Attack - Centre-Forward,"1,81 m",05.02.1981,125,33,8,0,11,0,2,50,33,7.135
Rocco Quinn,Retired,https://www.transfermarkt.us/rocco-quinn/profil/spieler/42611,https://img.a.transfermarkt.technology/portrait/small/s_42611_2759_2014_02_19_1.jpg?lm=1,Quinn,-,Scotland,unknown,Ross County FC,Hamilton,Unknown,Midfield - Central Midfield,"1,80 m",07.09.1986,124,12,9,0,22,0,1,37,29,8.010
Craig Curran,Retired,https://www.transfermarkt.us/craig-curran/profil/spieler/49551,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Curran,Unknown,England,unknown,Ross County FC,Liverpool,Craig Carl Curran,Attack - Centre-Forward,"1,75 m",23.08.1989,117,29,10,0,12,1,0,33,61,7.226
Alex Iacovitti,St. Mirren FC,https://www.transfermarkt.us/alex-iacovitti/profil/spieler/287051,https://img.a.transfermarkt.technology/portrait/small/287051-1626338800.jpg?lm=1,Iacovitti,-,Scotland,unknown,Ross County FC,Nottingham,Alexander Iacovitti,Defender - Centre-Back,"1,93 m",02.09.1997,116,12,2,2,12,0,0,3,12,9.942
Liam Boyce,Derry City,https://www.transfermarkt.us/liam-boyce/profil/spieler/117793,https://img.a.transfermarkt.technology/portrait/small/117793-1731012098.jpg?lm=1,Boyce,-,Northern Ireland,unknown,Ross County FC,Belfast,Unknown,Attack - Centre-Forward,"1,84 m",08.04.1991,115,55,20,0,13,0,1,24,29,8.281
Jordan Tillson,Bath City,https://www.transfermarkt.us/jordan-tillson/profil/spieler/251485,https://img.a.transfermarkt.technology/portrait/small/251485-1626339117.jpg?lm=1,Tillson,Unknown,England,unknown,Ross County FC,Bath,Jordan Roy Tillson,Midfield - Defensive Midfield,"1,83 m",05.03.1993,111,1,2,0,23,0,1,31,31,7.228
Sean Higgins,Retired,https://www.transfermarkt.us/sean-higgins/profil/spieler/14754,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Higgins,Unknown,Scotland,unknown,Ross County FC,Glasgow,Unknown,Attack - Centre-Forward,"1,75 m",29.10.1984,107,28,3,0,19,1,0,31,44,6.825
Alex Schalk,ADO Den Haag,https://www.transfermarkt.us/alex-schalk/profil/spieler/186228,https://img.a.transfermarkt.technology/portrait/small/186228-1704721873.jpg?lm=1,Schalk,-,Netherlands,nl,Ross County FC,Breda,Unknown,Attack - Centre-Forward,"1,71 m",07.08.1992,107,31,15,0,5,0,0,45,40,5.723
