name,club,periods
Henrik Larsson,Celtic FC,1997-2004
Leigh Griffiths,Celtic FC,"2014-2021, 2022-2022"
James Forrest,Celtic FC,2010-2025
John Hartson,Celtic FC,2001-2006
Kris Commons,Celtic FC,"2011-2016, 2017-2017"
Callum McGregor,Celtic FC,"2013-2013, 2014-2025"
Georgios Samaras,Celtic FC,"2008-2008, 2008-2014"
Stiliyan Petrov,Celtic FC,1999-2006
Shaun Maloney,Celtic FC,"2001-2007, 2008-2011"
Alan Thompson,Celtic FC,"2000-2007, 2007-2007"
Scott Brown,Celtic FC,2007-2021
Tom Rogic,Celtic FC,"2013-2014, 2014-2022"
Aiden McGeady,Celtic FC,2004-2010
Charlie Mulgrew,Celtic FC,"2005-2006, 2006-2006, 2010-2016"
Mikael Lustig,Celtic FC,2012-2019
Paul Lambert,Celtic FC,1997-2005
Nir Bitton,Celtic FC,2013-2022
Bobo Baldé,Celtic FC,2001-2009
Jackie McNamara,Celtic FC,1995-2005
Greg Taylor,Celtic FC,2019-2025
Emilio Izaguirre,Celtic FC,"2010-2017, 2018-2019"
Neil Lennon,Celtic FC,2000-2007
Craig Gordon,Celtic FC,2014-2020
Fraser Forster,Celtic FC,"2010-2011, 2011-2012, 2012-2014, 2019-2020"
Artur Boruc,Celtic FC,"2005-2006, 2006-2010"
