name,club,periods
Derek Riordan,Hibernian FC,"1999-2003, 2003-2006, 2008-2011"
Martin Boyle,Hibernian FC,"2015-2015, 2015-2022, 2022-2025"
Jason Cummings,Hibernian FC,2013-2017
Garry O'Connor,Hibernian FC,"2000-2006, 2011-2012"
Anthony Stokes,Hibernian FC,"2009-2010, 2016-2016, 2017-2018"
Steven Fletcher,Hibernian FC,2004-2009
Christian Doidge,Hibernian FC,"2019-2022, 2023-2024"
Kevin Nisbet,Hibernian FC,2020-2023
Leigh Griffiths,Hibernian FC,"2011-2012, 2012-2013"
Florian Kamberi,Hibernian FC,"2018-2018, 2018-2020, 2020-2020"
Paul Hanlon,Hibernian FC,"2007-2008, 2009-2024"
Mixu Paatelainen,Hibernian FC,"1998-2001, 2002-2003"
Colin Nish,Hibernian FC,2008-2011
Dean Shiels,Hibernian FC,2004-2009
Russell Latapy,Hibernian FC,1998-2001
Dominique Malonga,Hibernian FC,2014-2016
Tam McManus,Hibernian FC,"1997-2000, 2000-2001, 2001-2004, 2004-2005"
Élie Youan,Hibernian FC,"2022-2023, 2023-2025"
Stevie Mallan,Hibernian FC,"2018-2021, 2021-2021"
James Keatings,Hibernian FC,2015-2017
Josh Campbell,Hibernian FC,"2017-2019, 2019-2019, 2020-2020, 2021-2025"
John McGinn,Hibernian FC,2015-2018
Ivan Sproule,Hibernian FC,"2005-2007, 2011-2013"
Ian Murray,Hibernian FC,"1999-2005, 2008-2012"
Scott Allan,Hibernian FC,"2014-2015, 2018-2018, 2019-2021, 2021-2022"
Eoin Doyle,Hibernian FC,2012-2013
Scott Brown,Hibernian FC,2002-2007
David Gray,Hibernian FC,2014-2021
Abdessalam Benjelloun,Hibernian FC,"2006-2008, 2008-2009, 2009-2010"
Ryan Porteous,Hibernian FC,"2016-2016, 2017-2023"
David Zitelli,Hibernian FC,2000-2002
Oli Shaw,Hibernian FC,"2013-2016, 2017-2020"
Joe Newell,Hibernian FC,2019-2025
Grant Brebner,Hibernian FC,"1998-1998, 1999-2000, 2001-2004"
Liam Craig,Hibernian FC,2013-2015
Franck Sauzée,Hibernian FC,1999-2002
Merouane Zemmama,Hibernian FC,"2006-2008, 2009-2011"
Rob Jones,Hibernian FC,2006-2009
Daryl Horgan,Hibernian FC,2018-2020
Lewis Stevenson,Hibernian FC,2005-2024
Guillaume Beuzelin,Hibernian FC,2004-2008
Dirk Lehmann,Hibernian FC,1999-2001
Pat McGinlay,Hibernian FC,"1987-1994, 1994-2000"
David Wotherspoon,Hibernian FC,2007-2013
Scott Robertson,Hibernian FC,2013-2015
Steven Whittaker,Hibernian FC,"2000-2007, 2017-2020"
Liam Miller,Hibernian FC,2009-2011
Sam Stanton,Hibernian FC,"2011-2013, 2013-2016, 2016-2016, 2017-2017, 2018-2018"
Stuart Lovell,Hibernian FC,1998-2001
Darren McGregor,Hibernian FC,2015-2023
John O'Neil,Hibernian FC,2001-2003
Paul McGinn,Hibernian FC,2020-2022
Jordon Forster,Hibernian FC,"2010-2012, 2012-2012, 2013-2016, 2016-2017"
Gary Caldwell,Hibernian FC,"2002-2002, 2004-2006"
John Rankin,Hibernian FC,2008-2011
Efe Ambrose,Hibernian FC,"2017-2017, 2017-2019"
David Murphy,Hibernian FC,2004-2008
Ewan Henderson,Hibernian FC,"2022-2022, 2022-2023, 2024-2024"
Alen Orman,Hibernian FC,2001-2005
Lewis Miller,Hibernian FC,2022-2025
Danny Handling,Hibernian FC,"2010-2012, 2012-2017, 2017-2017"
Chris Cadden,Hibernian FC,2021-2025
Mathias Jack,Hibernian FC,1999-2003
Sol Bamba,Hibernian FC,2008-2011
Stephen Glass,Hibernian FC,"2003-2007, 2007-2007"
Liam Fontaine,Hibernian FC,2014-2018
Will Fish,Hibernian FC,"2022-2023, 2023-2024"
Dylan McGeouch,Hibernian FC,"2014-2015, 2015-2018"
Paul Fenwick,Hibernian FC,2000-2004
Dylan Levitt,Hibernian FC,2023-2025
Vykintas Slivka,Hibernian FC,2017-2020
Chris Hogg,Hibernian FC,2005-2011
Rocky Bushiri,Hibernian FC,"2022-2022, 2022-2025"
Kevin Thomson,Hibernian FC,"2001-2007, 2013-2014, 2016-2016"
Ulrik Laursen,Hibernian FC,2000-2002
Melker Hallberg,Hibernian FC,2019-2022
James McPake,Hibernian FC,"2012-2012, 2012-2014"
Michael Stewart,Hibernian FC,2005-2007
Alex Harris,Hibernian FC,"2011-2015, 2015-2015, 2016-2017"
Mathias Doumbé,Hibernian FC,2001-2004
Tom Taiwo,Hibernian FC,2012-2014
Jake Doyle-Hayes,Hibernian FC,2021-2025
Gary Smith,Hibernian FC,2000-2006
Fraser Fyvie,Hibernian FC,2015-2017
Jordan Obita,Hibernian FC,2023-2025
Danny Galbraith,Hibernian FC,2009-2013
Ryan McGivern,Hibernian FC,"2012-2013, 2013-2014"
Josh Doig,Hibernian FC,"2019-2020, 2020-2022"
Mark Oxley,Hibernian FC,"2014-2015, 2015-2016"
Zbigniew Malkowski,Hibernian FC,"2005-2007, 2007-2007, 2008-2008"
Jorge Claros,Hibernian FC,2012-2013
Ben Williams,Hibernian FC,2012-2014
Yves Makabu-Makalambay,Hibernian FC,2007-2010
Simon Brown,Hibernian FC,2004-2007
Graham Stack,Hibernian FC,2009-2012
David Marshall,Hibernian FC,2022-2024
Marvin Bartley,Hibernian FC,2015-2019
Nick Colgan,Hibernian FC,"1999-2003, 2004-2004"
Ofir Marciano,Hibernian FC,"2016-2017, 2017-2021"
Jarkko Wiss,Hibernian FC,2001-2004
