name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Koke,Atlético de Madrid,https://www.transfermarkt.us/koke/profil/spieler/74229,https://img.a.transfermarkt.technology/portrait/small/74229-1664970397.jpg?lm=1,Koke,8,Spain,es,Atlético de Madrid,Madrid,Unknown,Midfield - Central Midfield,"1,76 m",08.01.1992,672,48,119,1,114,2,0,87,176,51.703
Adelardo,Retired,https://www.transfermarkt.us/adelardo/profil/spieler/237247,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Adelardo,-,Spain,es,Atlético de Madrid,Badajoz,Unknown,Midfield - Central Midfield,"1,79 m",26.09.1939,500,98,0,0,5,0,1,5,37,43.665
Jan Oblak,Atlético de Madrid,https://www.transfermarkt.us/jan-oblak/profil/spieler/121483,https://img.a.transfermarkt.technology/portrait/small/121483-1719350076.jpg?lm=1,Oblak,1,Slovenia,si,Atlético de Madrid,Škofja Loka,Unknown,Goalkeeper,"1,88 m",07.01.1993,483,0,1,2,12,0,0,1,4,43.678
Ángel Correa,Atlético de Madrid,https://www.transfermarkt.us/angel-correa/profil/spieler/266807,https://img.a.transfermarkt.technology/portrait/small/266807-1701212448.jpg?lm=1,Correa,11,Argentina,ar,Atlético de Madrid,Rosario,Ángel Martín Correa Martínez,Attack - Right Winger,"1,71 m",09.03.1995,460,87,65,0,58,1,4,232,172,22.666
Tomás Reñones,Retired,https://www.transfermarkt.us/tomas-renones/profil/spieler/117607,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Reñones,-,Spain,es,Atlético de Madrid,Santiago de Compostela,Pedro Tomás Reñones Crego,Defender - Right-Back,"1,71 m",09.08.1960,459,2,1,0,76,4,6,20,18,39.222
Juan Carlos Aguilera,Retired,https://www.transfermarkt.us/juan-carlos-aguilera/profil/spieler/7370,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Aguilera,-,Spain,es,Atlético de Madrid,Madrid,Juan Carlos Aguilera Martín,Defender - Right-Back,"1,74 m",22.05.1969,456,35,20,3,74,1,2,116,130,30.089
Antoine Griezmann,Atlético de Madrid,https://www.transfermarkt.us/antoine-griezmann/profil/spieler/125781,https://img.a.transfermarkt.technology/portrait/small/125781-1719928503.jpg?lm=1,Griezmann,17,France,fr,Atlético de Madrid,Mâcon,Antoine Griezmann,Attack - Centre-Forward,"1,76 m",21.03.1991,431,197,91,0,51,0,2,49,169,33.126
Saúl Ñíguez,Sevilla FC,https://www.transfermarkt.us/saul-niguez/profil/spieler/148928,https://img.a.transfermarkt.technology/portrait/small/148928-1648555027.jpg?lm=1,Ñíguez,8,Spain,es,Atlético de Madrid,Elche,Saúl Ñíguez Esclapez,Midfield - Central Midfield,"1,84 m",21.11.1994,427,48,26,1,86,1,0,109,82,28.786
Gabi,Retired,https://www.transfermarkt.us/gabi/profil/spieler/22969,https://img.a.transfermarkt.technology/portrait/small/22969-1447152522.jpg?lm=1,Gabi,-,Spain,es,Atlético de Madrid,Madrid,Unknown,Midfield - Central Midfield,"1,81 m",10.07.1983,417,10,43,2,118,7,1,62,72,31.910
Enrique Collar,Retired,https://www.transfermarkt.us/enrique-collar/profil/spieler/238662,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Collar,-,Spain,es,Atlético de Madrid,S. Juan Aznalfarache,Enrique Collar Monterrubio,Attack,"1,65 m",02.11.1934,415,89,3,0,0,0,3,0,1,37.225
Fernando Torres,Retired,https://www.transfermarkt.us/fernando-torres/profil/spieler/7767,https://img.a.transfermarkt.technology/portrait/small/7767-1683642827.jpg?lm=1,Torres,9,Spain,es,Atlético de Madrid,Fuenlabrada (Madrid),Fernando José Torres Sanz,Attack - Centre-Forward,"1,86 m",20.03.1984,403,129,21,1,59,3,1,101,96,27.446
Diego Godín,Retired,https://www.transfermarkt.us/diego-godin/profil/spieler/54928,https://img.a.transfermarkt.technology/portrait/small/54928-1547721268.jpg?lm=1,Godín,3,Uruguay,uy,Atlético de Madrid,Rosario,Diego Roberto Godín Leal,Defender - Centre-Back,"1,87 m",16.02.1986,389,27,14,2,84,3,3,7,11,34.150
Juan Carlos Arteche,---,https://www.transfermarkt.us/juan-carlos-arteche/profil/spieler/121087,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Arteche,-,Spain,es,Atlético de Madrid,Maliaño,Juan Carlos Arteche Gómez,Defender - Centre-Back,"1,88 m",11.04.1957,376,26,0,3,69,3,4,6,9,33.233
Isacio Calleja,---,https://www.transfermarkt.us/isacio-calleja/profil/spieler/216078,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Calleja,-,Spain,es,Atlético de Madrid,Valle de Cerrato,Isacio Calleja García,Defender - Left-Back,Unknown,06.12.1936,373,6,0,3,0,0,1,0,11,33.181
Juanfran Torres,Retired,https://www.transfermarkt.us/juanfran-torres/profil/spieler/16635,https://img.a.transfermarkt.technology/portrait/small/16635-1447152729.jpg?lm=1,Torres,16,Spain,es,Atlético de Madrid,Crevillente,Juan Francisco Torres Belén,Defender - Right-Back,"1,81 m",09.01.1985,355,6,42,2,59,0,1,34,28,29.223
José María Giménez,Atlético de Madrid,https://www.transfermarkt.us/jose-maria-gimenez/profil/spieler/250845,https://img.a.transfermarkt.technology/portrait/small/250845-1664970029.jpg?lm=1,Giménez,19,Uruguay,uy,Atlético de Madrid,Toledo,José María Giménez de Vargas,Defender - Centre-Back,"1,85 m",20.01.1995,350,13,12,1,85,0,1,42,32,27.914
Filipe Luís,Retired,https://www.transfermarkt.us/filipe-luis/profil/spieler/21725,https://img.a.transfermarkt.technology/portrait/small/21725-1447152742.jpg?lm=1,Filipe Luís,6,Brazil,br,Atlético de Madrid,Jaraguá do Sul,Unknown,Defender - Left-Back,"1,82 m",09.08.1985,333,12,30,1,63,1,2,12,29,28.509
Luis Aragonés,---,https://www.transfermarkt.us/luis-aragones/profil/spieler/135744,https://img.a.transfermarkt.technology/portrait/small/135744-1476196738.jpg?lm=1,Aragonés,-,Spain,es,Atlético de Madrid,Madrid,José Luis Aragonés Suárez Martínez,Midfield - Central Midfield,N/A,28.07.1938,332,158,0,0,12,0,2,14,18,28.634
Quique Ramos,Retired,https://www.transfermarkt.us/quique-ramos/profil/spieler/121092,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Ramos,-,Spain,es,Atlético de Madrid,Madrid,Enrique Ramos González,Midfield - Defensive Midfield,"1,70 m",07.03.1956,331,30,1,0,31,0,1,14,25,28.249
Miguel Ángel Ruiz,Retired,https://www.transfermarkt.us/miguel-angel-ruiz/profil/spieler/121099,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Ruiz,Unknown,Spain,es,Atlético de Madrid,Toledo,Miguel Ángel Ruiz García,Defender - Centre-Back,"1,87 m",05.01.1955,330,22,0,2,19,1,0,23,17,27.907
Alberto Fernández,Retired,https://www.transfermarkt.us/alberto-fernandez/profil/spieler/244573,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Fernández,Unknown,Spain,es,Atlético de Madrid,Candás,Alberto Fernández Fernández,Midfield - Attacking Midfield,"1,76 m",19.11.1943,329,13,0,0,6,0,0,68,44,24.253
Raúl García,Retired,https://www.transfermarkt.us/raul-garcia/profil/spieler/34601,https://img.a.transfermarkt.technology/portrait/small/34601-1709676479.png?lm=1,García,7,Spain,es,Atlético de Madrid,Zizur Mayor,Raúl García Escudero,Midfield - Attacking Midfield,"1,84 m",11.07.1986,329,45,23,0,84,2,1,113,91,19.799
Toni Muñoz,Retired,https://www.transfermarkt.us/toni-munoz/profil/spieler/173136,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Muñoz,-,Spain,es,Atlético de Madrid,Córdoba,Antonio Muñoz Gómez,Defender - Left-Back,"1,74 m",04.02.1968,325,5,2,0,61,1,0,37,47,25.480
Juan Vizcaíno,Retired,https://www.transfermarkt.us/juan-vizcaino/profil/spieler/173141,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Vizcaíno,-,Spain,es,Atlético de Madrid,Pobla de Mafumet,Juan Vizcaíno Morcillo,Midfield - Defensive Midfield,"1,81 m",06.08.1966,316,23,2,0,51,2,2,35,44,24.839
