name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Javi Eraso,Retired,https://www.transfermarkt.us/javi-eraso/profil/spieler/156814,https://img.a.transfermarkt.technology/portrait/small/156814-1447151590.jpg?lm=1,Eraso,Unknown,Spain,es,CD Leganés,Pamplona,Javier Eraso Goñi,Midfield - Central Midfield,"1,80 m",22.03.1990,215,22,16,0,38,1,0,42,65,15.008
Martín Mantovani,Retired,https://www.transfermarkt.us/martin-mantovani/profil/spieler/73180,https://img.a.transfermarkt.technology/portrait/small/73180-1490621988.jpg?lm=1,Mantovani,Unknown,Argentina,ar,CD Leganés,San Miguel,Martín Maximiliano Mantovani,Defender - Centre-Back,"1,85 m",07.07.1984,168,12,1,0,44,4,1,11,9,14.206
Rubén Pérez,Panathinaikos FC,https://www.transfermarkt.us/ruben-perez/profil/spieler/113045,https://img.a.transfermarkt.technology/portrait/small/113045-1660812687.jpg?lm=1,Pérez,21,Spain,es,CD Leganés,Écija,Rubén Salvador Pérez del Mármol,Midfield - Defensive Midfield,"1,78 m",26.04.1989,165,1,2,0,53,1,3,15,24,13.159
Unai Bustinza,Without Club,https://www.transfermarkt.us/unai-bustinza/profil/spieler/156808,https://img.a.transfermarkt.technology/portrait/small/156808-1447152133.jpg?lm=1,Bustinza,Unknown,Spain,es,CD Leganés,Bilbao,Unai Bustinza Martínez,Defender - Centre-Back,"1,74 m",02.02.1992,161,2,6,0,38,4,0,20,25,12.245
Sergio González,CD Leganés,https://www.transfermarkt.us/sergio-gonzalez/profil/spieler/308989,https://img.a.transfermarkt.technology/portrait/small/308989-1701789701.jpg?lm=1,González,Unknown,Spain,es,CD Leganés,Madrid,Sergio González Poirrier,Defender - Centre-Back,"1,89 m",20.04.1992,157,12,4,2,24,0,2,11,11,13.290
Carlos Martínez,Retired,https://www.transfermarkt.us/carlos-martinez/profil/spieler/75832,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Martínez,Unknown,Spain,es,CD Leganés,Llerena,Carlos Martínez Fernández,Midfield - Left Midfield,"1,78 m",13.11.1980,155,22,6,0,23,0,0,27,49,10.999
Óscar Fernández,Retired,https://www.transfermarkt.us/oscar-fernandez/profil/spieler/253937,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Fernández,Unknown,Spain,es,CD Leganés,Madrid,Óscar Fulgencio Fernández Moraleda,Defender,"1,75 m",17.06.1971,148,2,0,1,46,2,0,20,21,11.463
Mario Fuentes,Retired,https://www.transfermarkt.us/mario-fuentes/profil/spieler/75824,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Fuentes,Unknown,Spain,es,CD Leganés,Madrid,Mario Fuentes Bargueño,Defender - Centre-Back,"1,89 m",10.07.1986,140,7,0,0,46,1,1,8,7,11.819
José Manuel Arnáiz,CA Osasuna,https://www.transfermarkt.us/jose-manuel-arnaiz/profil/spieler/364603,https://img.a.transfermarkt.technology/portrait/small/364603-1732219584.jpg?lm=1,Arnáiz,Unknown,Spain,es,CD Leganés,Talavera de la Reina,José Manuel Arnáiz Díaz,Attack - Left Winger,"1,73 m",15.04.1995,134,22,5,1,15,0,0,33,74,8.933
Iván Cuéllar,RCD Mallorca,https://www.transfermarkt.us/ivan-cuellar/profil/spieler/27493,https://img.a.transfermarkt.technology/portrait/small/27493-1664289273.jpg?lm=1,Cuéllar,-,Spain,es,CD Leganés,Mérida,Iván Cuéllar Sacristán,Goalkeeper,"1,87 m",27.05.1984,126,0,0,1,13,1,0,0,1,11.336
Julián Ronda,---,https://www.transfermarkt.us/julian-ronda/profil/spieler/253962,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Ronda,Unknown,Spain,es,CD Leganés,Carpentras,Julián Ronda Cañaveras,Defender,"1,76 m",07.06.1971,123,2,0,0,32,2,1,3,9,10.466
Kenneth Omeruo,Without Club,https://www.transfermarkt.us/kenneth-omeruo/profil/spieler/131708,https://img.a.transfermarkt.technology/portrait/small/131708-1727694705.jpg?lm=1,Omeruo,22,Nigeria,ng,CD Leganés,"Obuohia Okike, Abia State",Kenneth Josiah Omeruo,Defender - Centre-Back,"1,85 m",17.10.1993,123,5,2,0,31,1,0,6,18,10.087
