name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Raúl Tamudo,Retired,https://www.transfermarkt.us/raul-tamudo/profil/spieler/7899,https://img.a.transfermarkt.technology/portrait/small/s_7899_367_2013_04_03_1.jpg?lm=1,Tamudo,19,Spain,es,RCD Espanyol Barcelona,Santa Coloma de Gramanet,Raúl Tamudo Montero,Attack - Centre-Forward,"1,78 m",19.10.1977,385,140,19,0,72,3,1,55,132,28.525
Antonio Argilés,---,https://www.transfermarkt.us/antonio-argiles/profil/spieler/308886,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Argilés,-,Spain,es,RCD Espanyol Barcelona,Terrassa,Antonio Argilés Antón,Defender,N/A,13.12.1931,325,2,1,1,0,0,3,0,0,29.148
Mauricio Pochettino,Retired,https://www.transfermarkt.us/mauricio-pochettino/profil/spieler/4767,https://img.a.transfermarkt.technology/portrait/small/4767-1413446066.jpg?lm=1,Pochettino,5,Argentina,ar,RCD Espanyol Barcelona,Murphy,Mauricio Roberto Pochettino Trossero,Defender - Centre-Back,"1,82 m",02.03.1972,314,15,3,1,77,8,6,2,14,27.147
Manuel Zúñiga,Retired,https://www.transfermarkt.us/manuel-zuniga/profil/spieler/243964,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Zúñiga,-,Spain,es,RCD Espanyol Barcelona,Luciana,Manuel Zúñiga Fernández,Midfield - Right Midfield,N/A,29.06.1960,291,19,0,0,27,0,2,25,43,23.400
Moisés Arteaga,Retired,https://www.transfermarkt.us/moises-arteaga/profil/spieler/172663,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Moisés Arteaga,Unknown,Spain,es,RCD Espanyol Barcelona,Cádiz,Moisés García Fernández,Midfield - Central Midfield,Unknown,01.06.1969,291,36,1,0,47,6,2,44,52,21.818
Thomas N'Kono,Retired,https://www.transfermarkt.us/thomas-nkono/profil/spieler/102612,https://img.a.transfermarkt.technology/portrait/small/102612-1582538130.jpg?lm=1,N'Kono,-,Cameroon,cm,RCD Espanyol Barcelona,Dizangué,Unknown,Goalkeeper,"1,83 m",20.07.1955,288,0,0,0,20,0,0,0,0,26.040
José María,Retired,https://www.transfermarkt.us/jose-maria/profil/spieler/308900,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,José María,-,Spain,es,RCD Espanyol Barcelona,Pola de Siero,Unknown,Attack,"1,74 m",23.05.1942,285,49,0,0,5,0,3,1,19,24.824
Javi López,Adelaide United,https://www.transfermarkt.us/javi-lopez/profil/spieler/72310,https://img.a.transfermarkt.technology/portrait/small/72310-1447228662.jpg?lm=1,López,Unknown,Spain,es,RCD Espanyol Barcelona,Osuna,Javier López Rodriguez,Defender - Right-Back,"1,80 m",21.01.1986,282,3,8,2,63,4,3,30,38,22.360
Fernando Molinos,Retired,https://www.transfermarkt.us/fernando-molinos/profil/spieler/310557,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Molinos,Unknown,Spain,es,RCD Espanyol Barcelona,Soria,Fernando Molinos Granada,Midfield - Central Midfield,"1,77 m",01.08.1950,281,1,0,0,33,0,0,16,29,23.489
Rafa Marañón,Retired,https://www.transfermarkt.us/rafa-maranon/profil/spieler/135100,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Marañón,-,Spain,es,RCD Espanyol Barcelona,Olite,Rafael Carlos Marañón González,Attack - Centre-Forward,"1,74 m",23.07.1948,274,117,1,0,8,0,0,12,25,23.489
