name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Miguel Ángel Nadal,Retired,https://www.transfermarkt.us/miguel-angel-nadal/profil/spieler/7676,https://img.a.transfermarkt.technology/portrait/small/s_7676_123_2014_01_03_1.jpg?lm=1,Nadal,-,Spain,es,RCD Mallorca,Manacor,Miguel Ángel Nadal Homar,Defender - Centre-Back,"1,87 m",28.07.1966,305,29,2,0,31,0,2,18,15,25.743
Antonio Raíllo,RCD Mallorca,https://www.transfermarkt.us/antonio-raillo/profil/spieler/278296,https://img.a.transfermarkt.technology/portrait/small/278296-1447228780.jpg?lm=1,Raíllo,Unknown,Spain,es,RCD Mallorca,Córdoba,Antonio José Raíllo Arenas,Defender - Centre-Back,"1,87 m",08.10.1991,283,17,8,2,74,5,4,4,16,24.707
Paco Soler,Retired,https://www.transfermarkt.us/paco-soler/profil/spieler/7686,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Soler,-,Spain,es,RCD Mallorca,Palma de Mallorca,Francisco Manuel Soler Atencia,Midfield - Central Midfield,N/A,05.03.1970,282,10,0,0,30,1,0,84,54,18.255
Javier Olaizola,Retired,https://www.transfermarkt.us/javier-olaizola/profil/spieler/7677,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Olaizola,Unknown,Spain,es,RCD Mallorca,Donostia-San Sebastián,Javier Olaizola Rodríguez,Defender - Right-Back,"1,78 m",28.11.1969,275,1,3,0,60,3,1,12,21,23.696
Dani Rodríguez,RCD Mallorca,https://www.transfermarkt.us/dani-rodriguez/profil/spieler/139435,https://img.a.transfermarkt.technology/portrait/small/139435-1583332711.jpg?lm=1,Rodríguez,Unknown,Spain,es,RCD Mallorca,Betanzos,Daniel José Rodríguez Vázquez,Midfield - Attacking Midfield,"1,78 m",06.06.1988,271,32,38,0,52,0,0,42,123,19.776
Abdón Prats,RCD Mallorca,https://www.transfermarkt.us/abdon-prats/profil/spieler/177452,https://img.a.transfermarkt.technology/portrait/small/177452-1696950061.jpg?lm=1,Prats,Unknown,Spain,es,RCD Mallorca,Artà,Abdón Prats Bastidas,Attack - Centre-Forward,"1,81 m",07.12.1992,262,55,11,0,27,1,0,155,82,10.502
José Nunes,Retired,https://www.transfermarkt.us/jose-nunes/profil/spieler/14342,https://img.a.transfermarkt.technology/portrait/small/s_14342_237_2012_10_24_1.jpg?lm=1,José Nunes,15,Portugal,pt,RCD Mallorca,Castelo de Paiva,Unknown,Defender - Centre-Back,"1,85 m",07.03.1977,257,14,2,0,52,1,4,6,9,22.351
Ariel Ibagaza,Retired,https://www.transfermarkt.us/ariel-ibagaza/profil/spieler/7682,https://img.a.transfermarkt.technology/portrait/small/s_7682_683_2012_1.jpg?lm=1,Ibagaza,18,Argentina,ar,RCD Mallorca,Buenos Aires,Ariel Miguel Santiago Ibagaza,Midfield - Attacking Midfield,"1,66 m",27.10.1976,245,30,33,0,46,0,1,36,111,17.598
Víctor Casadesús,Without Club,https://www.transfermarkt.us/victor-casadesus/profil/spieler/35540,https://img.a.transfermarkt.technology/portrait/small/35540-1447314965.jpg?lm=1,Casadesús,-,Spain,es,RCD Mallorca,Algaida,Víctor Casadesús Castaño,Attack - Centre-Forward,"1,80 m",28.02.1985,236,46,23,0,34,1,0,70,93,14.693
Martin Valjent,RCD Mallorca,https://www.transfermarkt.us/martin-valjent/profil/spieler/277384,https://img.a.transfermarkt.technology/portrait/small/277384-1738232660.jpg?lm=1,Valjent,4,Slovakia,sk,RCD Mallorca,Dubnica nad Váhom,Unknown,Defender - Centre-Back,"1,87 m",11.12.1995,234,2,2,1,37,0,0,4,20,20.438
