rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Rubén Duarte,Rubén Duarte Sánchez,231,4,17,18.645,N/A,Duarte,-,61,1,Deportivo Alavés,Defender - Left-Back,"1,79 m",Spain,es,https://www.transfermarkt.us/ruben-duarte/profil/spieler/177046,https://img.a.transfermarkt.technology/portrait/small/177046-1647530148.jpg?lm=1,N/A,18.10.1995,Almería,UNAM Pumas
2,Luis Rioja,Luis Jesús Rioja González,189,22,17,13.453,N/A,Rioja,Unknown,20,1,Deportivo Alavés,Attack - Left Winger,"1,76 m",Spain,es,https://www.transfermarkt.us/luis-rioja/profil/spieler/278837,https://img.a.transfermarkt.technology/portrait/small/278837-1647530464.jpg?lm=1,N/A,16.10.1993,Sevilla,Valencia CF
3,Juli Cerdá,Julián Cerdá Vicente,76,10,16,5.455,N/A,Cerdá,Unknown,10,0,Deportivo Alavés,Attack - Second Striker,"1,70 m",Spain,es,https://www.transfermarkt.us/juli-cerda/profil/spieler/57792,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,09.08.1981,Alcoy,Retired
4,Guzmán Casaseca,Guzmán Casaseca Lozano,76,13,12,4.929,N/A,Casaseca,Unknown,8,1,Deportivo Alavés,Attack - Right Winger,"1,80 m",Spain,es,https://www.transfermarkt.us/guzman-casaseca/profil/spieler/57983,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.12.1984,Badajoz,Retired
5,Manu García,Manuel Alejandro García Sánchez,308,19,12,23.092,N/A,García,-,93,0,Deportivo Alavés,Midfield - Central Midfield,"1,83 m",Spain,es,https://www.transfermarkt.us/manu-garcia/profil/spieler/76273,https://img.a.transfermarkt.technology/portrait/small/76273-1490620442.jpg?lm=1,N/A,26.04.1986,Vitoria-Gasteiz,Retired
6,Toti,Unknown,70,12,12,4.771,N/A,Toti,Unknown,14,0,Deportivo Alavés,Midfield - Attacking Midfield,"1,76 m",Spain,es,https://www.transfermarkt.us/toti/profil/spieler/57930,https://img.a.transfermarkt.technology/portrait/small/57930-1487628656.jpg?lm=1,N/A,21.09.1987,Salamanca,Retired
7,Jony,Unknown,37,4,11,2.993,N/A,Jony,Unknown,3,0,Deportivo Alavés,Attack - Left Winger,"1,79 m",Spain,es,https://www.transfermarkt.us/jony/profil/spieler/228761,https://img.a.transfermarkt.technology/portrait/small/228761-1664288388.jpg?lm=1,N/A,09.07.1991,Cangas de Narcea,Without Club
8,Joselu,Unknown,113,36,11,9.160,N/A,Joselu,-,8,0,Deportivo Alavés,Attack - Centre-Forward,"1,91 m",Spain,es,https://www.transfermarkt.us/joselu/profil/spieler/81999,https://img.a.transfermarkt.technology/portrait/small/81999-1738110796.jpg?lm=1,N/A,27.03.1990,Stuttgart,Al-Gharafa SC
9,Ibai Gómez,Ibai Gómez Pérez,92,17,11,6.149,N/A,Gómez,Unknown,3,0,Deportivo Alavés,Attack - Left Winger,"1,78 m",Spain,es,https://www.transfermarkt.us/ibai-gomez/profil/spieler/127837,https://img.a.transfermarkt.technology/portrait/small/127837-1447151667.jpg?lm=1,N/A,11.11.1989,Bilbao,Retired
10,Ibon Begoña,Ibon Begoña Zubiaur,184,7,11,12.900,N/A,Begoña,Unknown,44,0,Deportivo Alavés,Defender - Left-Back,"1,81 m",Spain,es,https://www.transfermarkt.us/ibon-begona/profil/spieler/73098,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,17.11.1973,Bilbao,Retired
