rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Joaquín,Unknown,497,66,68,33.513,N/A,Joaquín,19,47,2,Real Betis Balompié,Attack - Right Winger,"1,81 m",Spain,es,https://www.transfermarkt.us/joaquin/profil/spieler/7663,https://img.a.transfermarkt.technology/portrait/small/7663-1650864280.jpg?lm=1,N/A,21.07.1981,El Puerto de Santa María,Retired
2,Rubén Castro,Rubén Castro Martín,289,148,36,23.772,N/A,Castro,-,23,0,Real Betis Balompié,Attack - Centre-Forward,"1,69 m",Spain,es,https://www.transfermarkt.us/ruben-castro/profil/spieler/25316,https://img.a.transfermarkt.technology/portrait/small/25316-1638441797.jpg?lm=1,N/A,27.06.1981,Las Palmas de Gran Canaria,Retired
3,Andrés Guardado,Unknown,218,5,17,13.438,N/A,Unknown,Unknown,44,0,Real Betis Balompié,Unknown,Unknown,Mexico,mx,https://www.transfermarkt.us/andres-guardado/profil/spieler/20506,https://img.a.transfermarkt.technology/portrait/small/20506-1660318679.jpeg?lm=1,N/A,28.09.1986,Unknown,Club León FC
4,Capi,Jesús Capitán Prada,277,19,15,18.087,N/A,Capi,-,58,0,Real Betis Balompié,Midfield - Attacking Midfield,"1,82 m",Spain,es,https://www.transfermarkt.us/capi/profil/spieler/7658,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.03.1977,Camas,Retired
5,Alfonso,Alfonso Pérez Muñoz,228,80,7,17.768,N/A,Alfonso,21,39,1,Real Betis Balompié,Attack - Centre-Forward,"1,78 m",Spain,es,https://www.transfermarkt.us/alfonso/profil/spieler/7933,https://img.a.transfermarkt.technology/portrait/small/7933-1492517153.jpg?lm=1,N/A,26.09.1972,Getafe,Retired
6,Arzu,Arturo García Muñoz,302,15,5,21.846,N/A,Arzu,-,48,1,Real Betis Balompié,Defender - Centre-Back,"1,84 m",Spain,es,https://www.transfermarkt.us/arzu/profil/spieler/7653,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,17.03.1981,Dos Hermanas,Retired
7,Juanito,Juan Gutiérrez Moreno,289,20,4,25.559,N/A,Juanito,-,47,1,Real Betis Balompié,Defender - Centre-Back,"1,83 m",Spain,es,https://www.transfermarkt.us/juanito/profil/spieler/7647,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,23.07.1976,Cádiz,Retired
8,Luis Fernández,Luis Fernández Gutiérrez,255,1,4,20.047,N/A,Fernández,Unknown,65,0,Real Betis Balompié,Defender - Left-Back,"1,72 m",Spain,es,https://www.transfermarkt.us/luis-fernandez/profil/spieler/7648,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,29.09.1972,Argomilla de Cayón,Retired
9,Juanjo Cañas,Juan José Cañas Gutiérrez,287,14,4,18.127,N/A,Cañas,Unknown,46,1,Real Betis Balompié,Midfield - Defensive Midfield,"1,79 m",Spain,es,https://www.transfermarkt.us/juanjo-canas/profil/spieler/7657,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,17.04.1972,Rota,Retired
10,Alexis Trujillo,Humberto Alexis Trujillo Oramas,245,29,2,19.363,N/A,Trujillo,Unknown,46,0,Real Betis Balompié,Midfield - Central Midfield,"1,74 m",Spain,es,https://www.transfermarkt.us/alexis-trujillo/profil/spieler/253525,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,30.07.1965,Las Palmas de Gran Canaria,Retired
11,Rafael Gordillo,Rafael Gordillo Vázquez,288,22,1,24.959,N/A,Gordillo,-,8,0,Real Betis Balompié,Defender - Left-Back,"1,80 m",Spain,es,https://www.transfermarkt.us/rafael-gordillo/profil/spieler/117603,https://img.a.transfermarkt.technology/portrait/small/117603-1538382026.jpg?lm=1,N/A,24.02.1957,Almendralejo,Retired
12,Diego Rodríguez,Diego Rodríguez Fernández,223,4,1,19.036,N/A,Rodríguez,-,24,5,Real Betis Balompié,Defender - Centre-Back,"1,83 m",Spain,es,https://www.transfermarkt.us/diego-rodriguez/profil/spieler/120628,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,20.04.1960,La Orotava,Retired
13,Poli Rincón,Hipólito Rincón Povedano,238,83,1,18.478,N/A,Rincón,16,31,5,Real Betis Balompié,Attack - Centre-Forward,"1,80 m",Spain,es,https://www.transfermarkt.us/poli-rincon/profil/spieler/117608,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,28.04.1957,Madrid,Retired
