name,club,periods
Jorge Molina,Getafe CF,2016-2020
Jaime Mata,Getafe CF,2018-2024
Ángel Rodríguez,Getafe CF,2017-2021
Manu del Moral,Getafe CF,2006-2011
Borja Mayoral,Getafe CF,"2022-2022, 2022-2025"
Enes Ünal,Getafe CF,"2020-2024, 2024-2024"
Roberto Soldado,Getafe CF,2008-2010
Dani Güiza,Getafe CF,"2005-2007, 2011-2012, 2013-2013"
Miku,Getafe CF,"2010-2012, 2013-2013"
Javi Casquero,Getafe CF,2006-2012
Pedro León,Getafe CF,"2009-2010, 2011-2013, 2013-2016"
Juan Albín,Getafe CF,2006-2011
Álvaro Vázquez,Getafe CF,"2012-2013, 2014-2016"
Diego Castro,Getafe CF,2011-2015
Adrián Colunga,Getafe CF,"2010-2012, 2012-2014"
Jaime Gavilán,Getafe CF,"2005-2006, 2008-2008, 2008-2014"
Ángel Lafita,Getafe CF,2012-2016
Sergio Pachón,Getafe CF,2004-2006
Pablo Sarabia,Getafe CF,2011-2016
Riki,Getafe CF,2004-2006
Mauro Arambarri,Getafe CF,"2017-2018, 2018-2025"
Ikechukwu Uche,Getafe CF,2007-2009
Mariano Pernía,Getafe CF,2004-2006
Veljko Paunovic,Getafe CF,2005-2007
Pedro Ríos,Getafe CF,2009-2012
Esteban Granero,Getafe CF,"2007-2008, 2008-2009"
Dani Parejo,Getafe CF,2009-2011
Maikel,Getafe CF,2000-2001
Mason Greenwood,Getafe CF,2023-2024
Alexis Ruano,Getafe CF,"2006-2007, 2012-2013, 2013-2016"
Ángel Vivar Dorado,Getafe CF,2002-2007
Stefan Scepovic,Getafe CF,"2015-2016, 2016-2017, 2018-2018"
Nemanja Maksimovic,Getafe CF,2018-2024
José Parrado,Getafe CF,1999-2001
Gică Craioveanu,Getafe CF,2002-2006
Rubén de la Red,Getafe CF,2007-2008
Francisco Portillo,Getafe CF,"2016-2017, 2017-2021"
Abdelaziz Barrada,Getafe CF,2010-2013
Munir El Haddadi,Getafe CF,2022-2023
Juanmi Latasa,Getafe CF,2022-2024
Pablo Hernández,Getafe CF,2007-2008
Míchel Carrilero,Getafe CF,2003-2005
Ciprian Marica,Getafe CF,2013-2014
Goran Stojiljkovic,Getafe CF,
Kaiku,Getafe CF,
Juan Cala,Getafe CF,2015-2018
Ilshat Faizulin,Getafe CF,2000-2001
Nacho,Getafe CF,"2006-2008, 2008-2008, 2009-2009"
Dani Pacheco,Getafe CF,"2016-2017, 2017-2018"
Carles Aleñá,Getafe CF,"2021-2021, 2021-2025, 2025-2025"
Cosmin Contra,Getafe CF,2005-2009
Braulio Nóbrega,Getafe CF,2007-2008
Nacho Sierra,Getafe CF,1997-1998
Nano Rivas,Getafe CF,2002-2005
Leandro Cabrera,Getafe CF,"2018-2018, 2018-2020"
Sergio Escudero,Getafe CF,"2013-2013, 2013-2015"
Pulido Senderos,Getafe CF,1998-2001
Óscar Rodríguez,Getafe CF,"2022-2022, 2023-2024"
Alejandro Faurlín,Getafe CF,2016-2017
Chuli,Getafe CF,"2017-2017, 2017-2018, 2018-2018, 2019-2019"
Karim Yoda,Getafe CF,"2014-2017, 2017-2017, 2018-2018"
Trigo,Getafe CF,2001-2002
Julián Romero,Getafe CF,1993-1996
Emiliano Velázquez,Getafe CF,2014-2016
Amath Ndiaye,Getafe CF,"2017-2020, 2021-2021"
Gastón Álvarez,Getafe CF,"2022-2023, 2023-2024"
Paco Alcácer,Getafe CF,2012-2013
Sandro Ramírez,Getafe CF,2021-2022
Lisandro López,Getafe CF,2013-2014
Markel Bergara,Getafe CF,"2017-2018, 2018-2020"
Damián Suárez,Getafe CF,2015-2024
Pablo Redondo,Getafe CF,2005-2008
Mario Cotelo,Getafe CF,2003-2009
Mehdi Lacen,Getafe CF,2011-2018
Marc Cucurella,Getafe CF,"2019-2020, 2020-2021"
Rafa López,Getafe CF,2008-2014
Daniel Alberto Díaz,Getafe CF,"2007-2012, 2016-2017"
Emiliano Buendía,Getafe CF,"2014-2017, 2018-2018"
Dimitri Foulquier,Getafe CF,2018-2019
Gabriel Vidal,Getafe CF,1998-2001
Juan Valera,Getafe CF,2011-2015
Sebas Martínez,Getafe CF,1984-1992
David Belenguer,Getafe CF,2004-2010
Adrián Sardinero,Getafe CF,"2009-2011, 2012-2012"
Juan Rodríguez,Getafe CF,2011-2016
Mané,Getafe CF,2009-2013
David Sousa,Getafe CF,"2006-2009, 2009-2009"
Álvaro Rodríguez,Getafe CF,2024-2025
Loïc Rémy,Getafe CF,2018-2018
Santiago Pozo,Getafe CF,
Kepa Blanco,Getafe CF,2007-2010
Christantus Uche,Getafe CF,2024-2025
Bertuğ Yıldırım,Getafe CF,2024-2025
Allan Nyom,Getafe CF,"2019-2022, 2024-2025"
Javier Arizmendi,Getafe CF,"2010-2011, 2011-2012, 2013-2013"
Kenedy,Getafe CF,2019-2020
Álvaro Jiménez,Getafe CF,"2016-2017, 2017-2018, 2019-2019, 2020-2020"
Rubén Pulido,Getafe CF,"2001-2002, 2004-2007"
Luis López,Getafe CF,
David Timor,Getafe CF,2019-2022
