name,club,periods
Rubén Castro,Real Betis Balompié,"2010-2017, 2017-2018"
Poli Rincón,Real Betis Balompié,1981-1990
Alfonso,Real Betis Balompié,"1995-2000, 2002-2003, 2003-2005"
Joaquín,Real Betis Balompié,"2000-2006, 2015-2023"
Julio Cardeñosa,Real Betis Balompié,1974-1985
Javier López,Real Betis Balompié,1970-1982
Alexis Trujillo,Real Betis Balompié,1993-2000
Joaquín Parra,Real Betis Balompié,1980-1987
Rafael Gordillo,Real Betis Balompié,"1976-1985, 1992-1995"
Juanito,Real Betis Balompié,2001-2009
Capi,Real Betis Balompié,"1999-1999, 2000-2010"
Antonio Benítez,Real Betis Balompié,1970-1983
Arzu,Real Betis Balompié,"2000-2001, 2002-2011"
Juanjo Cañas,Real Betis Balompié,1991-2006
David Rivas,Real Betis Balompié,1999-2010
Antonio Biosca,Real Betis Balompié,
Andrés Guardado,Real Betis Balompié,2017-2024
Diego Rodríguez,Real Betis Balompié,1982-1988
Alex,Real Betis Balompié,
Juan Merino,Real Betis Balompié,1990-2001
Francisco Bizcocho,Real Betis Balompié,
Toni Prats,Real Betis Balompié,1996-2005
Antolín Ortega,Real Betis Balompié,1978-1987
Luis Fernández,Real Betis Balompié,1996-2006
José Ramón Esnaola,Real Betis Balompié,1973-1985
