name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Marc Zellweger,Retired,https://www.transfermarkt.us/marc-zellweger/profil/spieler/1404,https://img.a.transfermarkt.technology/portrait/small/s_1404_123_2013_10_01_1.jpg?lm=1,Zellweger,-,Switzerland,ch,FC St. Gallen 1879,Winterthur,Unknown,Defender - Right-Back,N/A,17.10.1973,506,30,11,4,91,0,0,20,41,43.905
Daniel Lopar,Retired,https://www.transfermarkt.us/daniel-lopar/profil/spieler/4769,https://img.a.transfermarkt.technology/portrait/small/4769-1448892109.jpg?lm=1,Lopar,1,Switzerland,ch,FC St. Gallen 1879,Kreuzlingen,Unknown,Goalkeeper,"1,87 m",19.04.1985,299,0,2,0,8,0,0,2,0,26.871
Jörg Stiel,Retired,https://www.transfermarkt.us/jorg-stiel/profil/spieler/1367,https://img.a.transfermarkt.technology/portrait/small/s_1367_123_2013_10_10_1.jpg?lm=1,Stiel,1,Switzerland,ch,FC St. Gallen 1879,Baden,Unknown,Goalkeeper,"1,80 m",03.03.1968,297,0,0,0,14,0,1,0,1,26.730
Beat Rietmann,Retired,https://www.transfermarkt.us/beat-rietmann/profil/spieler/298505,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Rietmann,-,Switzerland,ch,FC St. Gallen 1879,St. Gallen,Unknown,Defender - Centre-Back,"1,88 m",24.10.1961,276,14,0,2,8,0,0,17,10,23.598
Ertan Irizik,Retired,https://www.transfermarkt.us/ertan-irizik/profil/spieler/326823,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Irizik,Unknown,Switzerland,ch,FC St. Gallen 1879,Unknown,Unknown,Defender,Unknown,01.12.1964,269,4,0,0,32,1,1,7,17,23.201
Urs Fischer,Retired,https://www.transfermarkt.us/urs-fischer/profil/spieler/4938,https://img.a.transfermarkt.technology/portrait/small/4938-1491381502.jpg?lm=1,Fischer,-,Switzerland,ch,FC St. Gallen 1879,Zürich,Unknown,Defender - Centre-Back,Unknown,20.02.1966,263,10,0,1,29,0,2,6,15,23.014
Kurt Brander,Retired,https://www.transfermarkt.us/kurt-brander/profil/spieler/642202,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Brander,Unknown,Switzerland,ch,FC St. Gallen 1879,St. Gallen,Unknown,Midfield,Unknown,06.01.1948,260,16,1,2,13,0,0,2,7,23.228
Martin Gisinger,Retired,https://www.transfermarkt.us/martin-gisinger/profil/spieler/135661,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Gisinger,-,Austria,at,FC St. Gallen 1879,Unknown,Unknown,Attack,Unknown,21.06.1955,250,53,0,0,28,0,0,6,10,22.080
Daniel Imhof,Retired,https://www.transfermarkt.us/daniel-imhof/profil/spieler/6663,https://img.a.transfermarkt.technology/portrait/small/q_R_s_6663_80_2009_1.jpg?lm=1,Imhof,8,Canada,ca,FC St. Gallen 1879,Wil,Unknown,Midfield - Defensive Midfield,N/A,22.11.1977,246,13,6,0,40,0,0,22,39,19.788
Sascha Müller,Retired,https://www.transfermarkt.us/sascha-muller/profil/spieler/117548,https://img.a.transfermarkt.technology/portrait/small/117548-1618842333.jpg?lm=1,Müller,-,Switzerland,ch,FC St. Gallen 1879,Volketswil,Unknown,Midfield - Right Midfield,"1,75 m",28.02.1970,244,19,2,0,29,1,1,68,52,16.458
Ivan Dal Santo,Retired,https://www.transfermarkt.us/ivan-dal-santo/profil/spieler/9968,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Dal Santo,Unknown,Switzerland,ch,FC St. Gallen 1879,Milano,Ivan Matteo Dal Santo,Defender - Left-Back,"1,76 m",12.01.1972,236,11,3,1,33,1,2,13,29,19.620
Jordi Quintillà,FC St. Gallen 1879,https://www.transfermarkt.us/jordi-quintilla/profil/spieler/166679,https://img.a.transfermarkt.technology/portrait/small/166679-1721332117.png?lm=1,Quintillà,Unknown,Spain,es,FC St. Gallen 1879,Lleida,Jordi Quintillà Guasch,Midfield - Defensive Midfield,"1,81 m",25.10.1993,232,23,30,1,51,1,1,6,29,19.831
Bruno Huwyler,Retired,https://www.transfermarkt.us/bruno-huwyler/profil/spieler/345790,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Huwyler,-,Switzerland,ch,FC St. Gallen 1879,Unknown,Unknown,Goalkeeper,Unknown,30.06.1957,224,0,0,0,2,0,0,0,1,20.177
Thomas Hengartner,Retired,https://www.transfermarkt.us/thomas-hengartner/profil/spieler/156261,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Hengartner,Unknown,Switzerland,ch,FC St. Gallen 1879,Unknown,Unknown,Defender,Unknown,22.03.1965,223,8,0,2,22,0,0,10,26,18.784
