name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Marc Schnyder,Retired,https://www.transfermarkt.us/marc-schnyder/profil/spieler/223080,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Schnyder,-,Switzerland,ch,Servette FC,Genf,Unknown,Midfield - Defensive Midfield,Unknown,25.09.1952,492,105,0,0,12,0,0,19,26,42.926
Gilbert Guyot,Retired,https://www.transfermarkt.us/gilbert-guyot/profil/spieler/295826,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Guyot,-,Switzerland,ch,Servette FC,Lausanne,Unknown,Defender - Sweeper,Unknown,04.07.1948,430,11,0,3,34,1,0,0,20,38.211
Valér Németh,Retired,https://www.transfermarkt.us/valer-nemeth/profil/spieler/305610,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Németh,Unknown,Switzerland,ch,Servette FC,Csorna,Valér Arpad Németh,Attack,Unknown,15.04.1938,406,79,1,0,6,0,0,35,5,34.536
Raymond Maffiolo,Retired,https://www.transfermarkt.us/raymond-maffiolo/profil/spieler/305602,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Maffiolo,-,Switzerland,ch,Servette FC,Genève,Raymond Antoine Maffiolo,Defender - Right-Back,Unknown,06.03.1938,358,9,0,2,4,0,0,0,5,32.061
Lionel Pizzinat,Retired,https://www.transfermarkt.us/lionel-pizzinat/profil/spieler/22122,https://img.a.transfermarkt.technology/portrait/small/s_22122_61_2013_03_19_1.jpg?lm=1,Pizzinat,-,Switzerland,ch,Servette FC,Vernier,Unknown,Midfield - Central Midfield,"1,83 m",09.08.1977,356,11,3,0,60,4,1,84,72,24.790
Eric Pédat,Retired,https://www.transfermarkt.us/eric-pedat/profil/spieler/110379,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Pédat,Unknown,Switzerland,ch,Servette FC,Genève,Unknown,Goalkeeper,"1,79 m",23.07.1967,298,0,0,0,6,0,0,0,2,26.775
José Sinval,Retired,https://www.transfermarkt.us/jose-sinval/profil/spieler/64826,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Sinval,Unknown,Brazil,br,Servette FC,Bebedouro,José Sinval de Campos,Midfield - Attacking Midfield,"1,71 m",06.04.1967,296,51,0,0,19,1,0,36,32,23.658
Tibert Pont,Retired,https://www.transfermarkt.us/tibert-pont/profil/spieler/4822,https://img.a.transfermarkt.technology/portrait/small/s_4822_61_2013_09_11_1.jpg?lm=1,Pont,-,Switzerland,ch,Servette FC,Genève,Unknown,Midfield - Defensive Midfield,"1,79 m",23.01.1984,295,33,3,0,38,1,0,77,81,19.693
Miroslav Stevanovic,Servette FC,https://www.transfermarkt.us/miroslav-stevanovic/profil/spieler/75816,https://img.a.transfermarkt.technology/portrait/small/75816-1697534750.jpg?lm=1,Stevanovic,20,Bosnia-Herzegovina,unknown,Servette FC,Zvornik,Miroslav Stevanović,Midfield - Right Midfield,"1,80 m",29.07.1990,293,64,98,0,19,1,2,15,47,25.020
Jérémy Frick,Servette FC,https://www.transfermarkt.us/jeremy-frick/profil/spieler/170344,https://img.a.transfermarkt.technology/portrait/small/s_170344_19429_2010_1.jpg?lm=1,Frick,21,Switzerland,ch,Servette FC,Genf,Unknown,Goalkeeper,"1,92 m",08.03.1993,291,0,1,3,17,0,4,1,3,26.134
Timothé Cognat,Servette FC,https://www.transfermarkt.us/timothe-cognat/profil/spieler/324796,https://img.a.transfermarkt.technology/portrait/small/324796-1676650207.jpg?lm=1,Cognat,-,France,fr,Servette FC,Arnas,Unknown,Midfield - Central Midfield,"1,73 m",25.01.1998,268,24,30,0,35,0,1,18,115,21.807
Lucien Favre,Retired,https://www.transfermarkt.us/lucien-favre/profil/spieler/104264,https://img.a.transfermarkt.technology/portrait/small/104264-1735131443.jpg?lm=1,Favre,-,Switzerland,ch,Servette FC,Saint-Barthélemy,Unknown,Midfield - Attacking Midfield,"1,78 m",02.11.1957,256,58,0,0,7,0,0,6,9,22.465
Anthony Sauthier,Yverdon Sport FC,https://www.transfermarkt.us/anthony-sauthier/profil/spieler/69899,https://img.a.transfermarkt.technology/portrait/small/69899-1738846062.jpg?lm=1,Sauthier,-,Switzerland,ch,Servette FC,Genf,Unknown,Defender - Right-Back,"1,85 m",05.02.1991,251,14,20,1,54,2,1,10,34,20.969
Lucio Bizzini,Retired,https://www.transfermarkt.us/lucio-bizzini/profil/spieler/249085,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Bizzini,-,Switzerland,ch,Servette FC,Biasca,Luciano Bizzini,Defender - Centre-Back,Unknown,18.08.1948,245,23,0,2,6,0,0,0,16,21.899
Umberto Barberis,Retired,https://www.transfermarkt.us/umberto-barberis/profil/spieler/223082,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Barberis,-,Switzerland,ch,Servette FC,Sion,Unknown,Midfield - Attacking Midfield,Unknown,05.06.1952,243,90,0,0,12,0,0,2,9,21.862
Jean-Luc Martin,---,https://www.transfermarkt.us/jean-luc-martin/profil/spieler/642403,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Martin,Unknown,Switzerland,ch,Servette FC,Genève,Unknown,Defender,Unknown,11.03.1947,243,3,0,1,14,0,0,34,10,19.363
Steve Rouiller,Servette FC,https://www.transfermarkt.us/steve-rouiller/profil/spieler/88404,https://img.a.transfermarkt.technology/portrait/small/88404-1606504231.jpg?lm=1,Rouiller,Unknown,Switzerland,ch,Servette FC,Monthey VS,Unknown,Defender - Centre-Back,"1,83 m",10.07.1990,240,20,5,4,37,0,2,11,15,20.567
Matias Vitkieviez,Retired,https://www.transfermarkt.us/matias-vitkieviez/profil/spieler/43561,https://img.a.transfermarkt.technology/portrait/small/43561-1620398963.jpg?lm=1,Vitkieviez,-,Switzerland,ch,Servette FC,Montevideo,Unknown,Attack - Right Winger,"1,78 m",16.05.1985,240,49,26,0,48,1,1,43,90,17.081
Franco Marchi,Retired,https://www.transfermarkt.us/franco-marchi/profil/spieler/655734,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Marchi,Unknown,Italy,it,Servette FC,Trento,Unknown,Midfield,Unknown,18.04.1946,237,7,0,1,7,0,0,27,53,18.791
Oscar Londono,Retired,https://www.transfermarkt.us/oscar-londono/profil/spieler/4813,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Londono,Unknown,Switzerland,ch,Servette FC,Bucaramanga,Unknown,Midfield - Right Midfield,N/A,07.02.1971,227,9,3,1,36,3,0,29,36,17.769
Marco Pascolo,Retired,https://www.transfermarkt.us/marco-pascolo/profil/spieler/4807,https://img.a.transfermarkt.technology/portrait/small/s_4807_123_2012_1.jpg?lm=1,Pascolo,-,Switzerland,ch,Servette FC,Sion,Unknown,Goalkeeper,"1,89 m",09.05.1966,223,0,1,0,8,0,1,1,0,20.053
Jacques Barlie,Retired,https://www.transfermarkt.us/jacques-barlie/profil/spieler/625216,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Barlie,-,Switzerland,ch,Servette FC,Genève,Jacques Edouard Barlie,Goalkeeper,Unknown,18.05.1941,222,1,0,0,1,0,0,3,6,19.703
Jacques Fatton,---,https://www.transfermarkt.us/jacques-fatton/profil/spieler/215426,https://img.a.transfermarkt.technology/portrait/small/215426-1735131169.jpg?lm=1,Fatton,-,Switzerland,ch,Servette FC,Exincourt,Unknown,Attack - Left Winger,"1,66 m",19.12.1925,222,170,0,0,0,0,0,5,4,19.563
Jean-Yves Valentini,---,https://www.transfermarkt.us/jean-yves-valentini/profil/spieler/297813,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Valentini,-,Switzerland,ch,Servette FC,Sierre,Unknown,Defender,Unknown,27.05.1950,220,3,0,0,11,0,1,4,10,19.405
Rainer Hasler,---,https://www.transfermarkt.us/rainer-hasler/profil/spieler/223079,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Hasler,Unknown,Liechtenstein,li,Servette FC,Vaduz,Unknown,Defender - Right-Back,Unknown,02.07.1958,216,2,0,1,7,0,0,0,15,19.298
Michel Decastel,Retired,https://www.transfermarkt.us/michel-decastel/profil/spieler/215286,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Decastel,-,Switzerland,ch,Servette FC,Genf,Unknown,Midfield - Defensive Midfield,N/A,22.10.1955,210,36,0,0,6,0,1,8,20,18.205
Claude Andrey,Retired,https://www.transfermarkt.us/claude-andrey/profil/spieler/301912,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Andrey,-,Switzerland,ch,Servette FC,Genf,Unknown,Attack,N/A,13.06.1951,210,49,0,0,11,0,0,5,21,18.177
Michel Desbiolles,Retired,https://www.transfermarkt.us/michel-desbiolles/profil/spieler/306504,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Desbiolles,-,Switzerland,ch,Servette FC,Chêne-Bougeries,Michel René Desbiolles,Attack,Unknown,24.08.1941,209,83,0,0,8,0,1,16,19,17.322
Aleksandar Bratic,Retired,https://www.transfermarkt.us/aleksandar-bratic/profil/spieler/4809,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Bratic,Unknown,Bosnia-Herzegovina,unknown,Servette FC,Trebinje,Aleksandar Bratić,Defender - Centre-Back,"1,92 m",04.04.1972,205,4,0,0,21,2,1,11,20,17.233
Alain Geiger,Retired,https://www.transfermarkt.us/alain-geiger/profil/spieler/101903,https://img.a.transfermarkt.technology/portrait/small/101903-1614109017.jpg?lm=1,Geiger,-,Switzerland,ch,Servette FC,Uvrier,Unknown,Defender - Centre-Back,"1,80 m",05.11.1960,204,24,0,0,4,0,0,0,7,18.404
Christopher Mfuyi,Without Club,https://www.transfermarkt.us/christopher-mfuyi/profil/spieler/64632,https://img.a.transfermarkt.technology/portrait/small/64632-1620397226.jpg?lm=1,Mfuyi,-,DR Congo,unknown,Servette FC,Genf,Christopher Nzay Mfuyi,Defender - Centre-Back,"1,87 m",03.07.1989,202,5,3,1,24,0,3,19,12,16.390
