rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Robert Hosp,Robert Karl Hosp,306,158,1,26.953,N/A,Hosp,-,1,0,FC Lausanne-Sport,Attack,"1,74 m",Switzerland,ch,https://www.transfermarkt.us/robert-hosp/profil/spieler/236145,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,13.12.1939,Basel,---
2,Pierre Kerkhoffs,Unknown,187,107,0,15.901,N/A,Kerkhoffs,-,0,0,FC Lausanne-Sport,Attack,"1,72 m",Netherlands,nl,https://www.transfermarkt.us/pierre-kerkhoffs/profil/spieler/152442,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.03.1936,Geleen,---
3,Steen Thychosen,Unknown,147,81,0,13.002,N/A,Thychosen,-,7,0,FC Lausanne-Sport,Attack - Centre-Forward,Unknown,Denmark,dk,https://www.transfermarkt.us/steen-thychosen/profil/spieler/97314,https://img.a.transfermarkt.technology/portrait/small/97314-1491838683.jpg?lm=1,N/A,22.09.1958,Vejle,Retired
4,Richard Dürr,Unknown,287,77,1,25.424,N/A,Dürr,-,10,0,FC Lausanne-Sport,Midfield,Unknown,Switzerland,ch,https://www.transfermarkt.us/richard-durr/profil/spieler/236129,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.12.1938,St. Gallen,---
5,Georges Vuilleumier,Unknown,298,76,0,25.926,N/A,Vuilleumier,-,9,1,FC Lausanne-Sport,Attack - Centre-Forward,"1,78 m",Switzerland,ch,https://www.transfermarkt.us/georges-vuilleumier/profil/spieler/236213,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.09.1944,Tramelan,---
6,Kurt Armbruster,Unknown,240,67,1,20.951,N/A,Armbruster,-,0,0,FC Lausanne-Sport,Midfield,"1,69 m",Switzerland,ch,https://www.transfermarkt.us/kurt-armbruster/profil/spieler/300830,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,16.09.1934,Zürich,---
7,Charly Hertig,Charles Hertig,279,62,0,24.639,N/A,Hertig,-,3,0,FC Lausanne-Sport,Defender - Centre-Back,Unknown,Switzerland,ch,https://www.transfermarkt.us/charly-hertig/profil/spieler/300854,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,22.10.1939,Genève,---
8,Norbert Eschmann,Unknown,160,61,1,14.215,N/A,Eschmann,-,0,0,FC Lausanne-Sport,Midfield,"1,72 m",Switzerland,ch,https://www.transfermarkt.us/norbert-eschmann/profil/spieler/237693,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,19.09.1933,Besançon,---
9,Stéphane Chapuisat,Unknown,160,60,0,13.595,N/A,Chapuisat,-,5,0,FC Lausanne-Sport,Attack - Centre-Forward,"1,81 m",Switzerland,ch,https://www.transfermarkt.us/stephane-chapuisat/profil/spieler/3501,https://img.a.transfermarkt.technology/portrait/small/3501-1457434534.jpg?lm=1,N/A,28.06.1969,Lausanne,Retired
10,Robert Kok,Unknown,147,59,1,12.864,N/A,Kok,-,6,0,FC Lausanne-Sport,Attack,"1,75 m",Netherlands,nl,https://www.transfermarkt.us/robert-kok/profil/spieler/156224,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.06.1957,Amsterdam,Retired
11,Pierre-André Schürmann,Unknown,224,53,0,19.678,N/A,Schürmann,Unknown,23,1,FC Lausanne-Sport,Midfield,Unknown,Switzerland,ch,https://www.transfermarkt.us/pierre-andre-schurmann/profil/spieler/508389,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.07.1960,Monthey,Retired
12,Miodrag Glisovic,Unknown,73,51,0,6.569,N/A,Glisovic,Unknown,0,0,FC Lausanne-Sport,Attack - Centre-Forward,Unknown,Switzerland,ch,https://www.transfermarkt.us/miodrag-glisovic/profil/spieler/656237,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,01.10.1925,Unknown,---
13,Pierre-André Zappella,Unknown,140,50,0,11.504,N/A,Zappella,-,4,1,FC Lausanne-Sport,Attack - Centre-Forward,Unknown,Switzerland,ch,https://www.transfermarkt.us/pierre-andre-zappella/profil/spieler/625474,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,25.10.1947,La Chaux-de-Fonds,---
14,Marcin Kuzba,Marcin Krzysztof Kuźba,90,48,0,7.318,N/A,Kuzba,-,8,1,FC Lausanne-Sport,Attack - Centre-Forward,"1,83 m",Poland,pl,https://www.transfermarkt.us/marcin-kuzba/profil/spieler/9700,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.04.1977,Tomaszow Mazowiecki,Retired
15,Jocelyn Roux,Unknown,119,48,7,7.109,N/A,Roux,-,17,0,FC Lausanne-Sport,Attack - Centre-Forward,"1,86 m",Switzerland,ch,https://www.transfermarkt.us/jocelyn-roux/profil/spieler/40809,https://img.a.transfermarkt.technology/portrait/small/40809-1480759079.jpg?lm=1,N/A,28.08.1986,Lausanne,Retired
16,Walter Pellegrini,Unknown,87,44,0,7.269,N/A,Pellegrini,Unknown,4,0,FC Lausanne-Sport,Attack,"1,78 m",Switzerland,ch,https://www.transfermarkt.us/walter-pellegrini/profil/spieler/555396,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,30.06.1959,Mendrisio,Retired
17,Marcel Vonlanden,Marcel Pius Vonlanden,169,43,0,14.967,N/A,Vonlanden,-,0,0,FC Lausanne-Sport,Attack,Unknown,Switzerland,ch,https://www.transfermarkt.us/marcel-vonlanden/profil/spieler/302508,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,08.09.1933,Zürich,Retired
18,René Maillard,René Ernest Maillard,131,43,0,11.670,N/A,Maillard,-,0,0,FC Lausanne-Sport,Attack - Centre-Forward,Unknown,Switzerland,ch,https://www.transfermarkt.us/rene-maillard/profil/spieler/292266,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,18.01.1923,Yverdon-les-Bains,---
19,Jean-Michel Guillaume,Unknown,142,41,0,11.266,N/A,Guillaume,Unknown,0,0,FC Lausanne-Sport,Midfield,Unknown,Switzerland,ch,https://www.transfermarkt.us/jean-michel-guillaume/profil/spieler/434737,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.01.1953,Unknown,Retired
20,Georges Diserens,Unknown,194,38,2,11.554,N/A,Diserens,Unknown,3,0,FC Lausanne-Sport,Attack,Unknown,Switzerland,ch,https://www.transfermarkt.us/georges-diserens/profil/spieler/434739,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,26.04.1955,Unknown,Retired
21,Pierre-Albert Chapuisat,Unknown,335,36,0,29.992,N/A,Chapuisat,-,34,2,FC Lausanne-Sport,Defender - Sweeper,,Switzerland,ch,https://www.transfermarkt.us/pierre-albert-chapuisat/profil/spieler/156160,https://img.a.transfermarkt.technology/portrait/small/156160-1614109393.jpg?lm=1,N/A,05.04.1948,Saint-Prex,Retired
22,Andi Zeqiri,Unknown,105,36,12,5.149,N/A,Zeqiri,11,15,0,FC Lausanne-Sport,Attack - Centre-Forward,"1,85 m",Switzerland,ch,https://www.transfermarkt.us/andi-zeqiri/profil/spieler/345468,https://img.a.transfermarkt.technology/portrait/small/345468-1714038450.png?lm=1,N/A,22.06.1999,Lausanne,Standard Liège
23,Aldin Turkes,Aldin Turkeš,68,34,7,4.550,N/A,Turkes,15,6,0,FC Lausanne-Sport,Attack - Centre-Forward,"1,93 m",Bosnia-Herzegovina,unknown,https://www.transfermarkt.us/aldin-turkes/profil/spieler/192655,https://img.a.transfermarkt.technology/portrait/small/192655-1726641333.jpg?lm=1,N/A,22.04.1996,Zug,FK Sarajevo
24,Stefan Rehn,Jan Stefan Rehn,190,34,1,15.993,N/A,Rehn,-,6,0,FC Lausanne-Sport,Midfield - Central Midfield,,Sweden,se,https://www.transfermarkt.us/stefan-rehn/profil/spieler/101105,https://img.a.transfermarkt.technology/portrait/small/101105-1479737871.jpg?lm=1,N/A,22.09.1966,Stockholm,Retired
25,Robert Lei-Ravello,Unknown,204,33,0,16.868,N/A,Lei-Ravello,-,24,0,FC Lausanne-Sport,Midfield - Central Midfield,Unknown,Switzerland,ch,https://www.transfermarkt.us/robert-lei-ravello/profil/spieler/215287,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,28.07.1960,Lausanne,Retired
26,Philippe Douglas,Unknown,211,33,0,12.068,N/A,Douglas,-,7,0,FC Lausanne-Sport,Midfield - Attacking Midfield,"1,78 m",Switzerland,ch,https://www.transfermarkt.us/philippe-douglas/profil/spieler/210383,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,21.04.1969,Lausanne,Retired
27,Léonard Thurre,Unknown,171,32,1,9.857,N/A,Thurre,-,18,2,FC Lausanne-Sport,Attack - Centre-Forward,"1,78 m",Switzerland,ch,https://www.transfermarkt.us/leonard-thurre/profil/spieler/4826,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,09.09.1977,Lausanne,Retired
28,Pierre-Albert Tachet,Unknown,168,31,0,12.170,N/A,Tachet,-,3,0,FC Lausanne-Sport,Attack,Unknown,Switzerland,ch,https://www.transfermarkt.us/pierre-albert-tachet/profil/spieler/582731,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,07.07.1959,Nyon,Retired
29,Fabio Celestini,Unknown,174,30,0,13.099,N/A,Celestini,-,25,1,FC Lausanne-Sport,Midfield - Defensive Midfield,"1,83 m",Switzerland,ch,https://www.transfermarkt.us/fabio-celestini/profil/spieler/6134,https://img.a.transfermarkt.technology/portrait/small/s_6134_527_2010_1.jpg?lm=1,N/A,31.10.1975,Lausanne,Retired
30,Alvyn Sanches,Alvyn Antonio Sanches,116,29,11,8.189,N/A,Sanches,10,17,1,FC Lausanne-Sport,Midfield - Central Midfield,"1,83 m",Switzerland,ch,https://www.transfermarkt.us/alvyn-sanches/profil/spieler/583058,https://img.a.transfermarkt.technology/portrait/small/583058-1651236137.png?lm=1,N/A,12.02.2003,Créteil,FC Lausanne-Sport
31,Brighton Labeau,Unknown,75,29,8,4.680,N/A,Unknown,Unknown,7,0,FC Lausanne-Sport,Unknown,Unknown,Martinique,mq,https://www.transfermarkt.us/brighton-labeau/profil/spieler/342227,https://img.a.transfermarkt.technology/portrait/small/342227-1727174955.png?lm=1,N/A,01.01.1996,Unknown,EA Guingamp
32,Jean-Pierre La Placa,Unknown,143,29,0,9.007,N/A,La Placa,-,4,0,FC Lausanne-Sport,Midfield - Attacking Midfield,"1,73 m",Switzerland,ch,https://www.transfermarkt.us/jean-pierre-la-placa/profil/spieler/12955,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.06.1973,Genf,Retired
33,Javier Mazzoni,Javier Gustavo Mazzoni,76,29,0,5.679,N/A,Mazzoni,Unknown,11,3,FC Lausanne-Sport,Attack - Centre-Forward,"1,81 m",Argentina,ar,https://www.transfermarkt.us/javier-mazzoni/profil/spieler/173703,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,04.02.1972,Don Bosco,Retired
34,Yves Mauron,Unknown,125,26,1,10.557,N/A,Mauron,-,3,0,FC Lausanne-Sport,Attack,"1,78 m",Switzerland,ch,https://www.transfermarkt.us/yves-mauron/profil/spieler/557788,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,11.11.1958,Onex,Retired
35,Peter Traber,Unknown,121,25,0,10.771,N/A,Traber,-,6,0,FC Lausanne-Sport,Attack - Left Winger,Unknown,Switzerland,ch,https://www.transfermarkt.us/peter-traber/profil/spieler/184852,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,11.10.1951,Langnau,Retired
36,Georges Bregy,Unknown,74,23,0,6.554,N/A,Bregy,6,5,0,FC Lausanne-Sport,Midfield - Central Midfield,,Switzerland,ch,https://www.transfermarkt.us/georges-bregy/profil/spieler/85512,https://img.a.transfermarkt.technology/portrait/small/85512-1528792879.jpg?lm=1,N/A,17.01.1958,Raron,Retired
37,Marcel Parietti,Unknown,277,23,0,23.944,N/A,Parietti,-,12,0,FC Lausanne-Sport,Midfield,Unknown,Switzerland,ch,https://www.transfermarkt.us/marcel-parietti/profil/spieler/434738,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.11.1952,Unknown,Retired
38,Yane Bugnard,Unknown,81,22,0,6.708,N/A,Bugnard,Unknown,18,2,FC Lausanne-Sport,Midfield - Central Midfield,"1,77 m",Switzerland,ch,https://www.transfermarkt.us/yane-bugnard/profil/spieler/20189,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,24.04.1974,Unknown,Retired
39,Gilbert Rey,Gilbert Philippe Rey,139,21,0,12.487,N/A,Rey,-,0,0,FC Lausanne-Sport,Attack,Unknown,Switzerland,ch,https://www.transfermarkt.us/gilbert-rey/profil/spieler/290509,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,30.10.1930,Carouge GE,Retired
40,Saso Udovic,Sašo Udovič,93,20,0,5.820,N/A,Udovic,-,3,0,FC Lausanne-Sport,Attack - Centre-Forward,"1,80 m",Slovenia,si,https://www.transfermarkt.us/saso-udovic/profil/spieler/111193,https://img.a.transfermarkt.technology/portrait/small/111193-1633102795.jpg?lm=1,N/A,12.12.1968,Ljubljana,Retired
41,Francesco Margiotta,Unknown,73,19,23,5.323,N/A,Margiotta,-,7,0,FC Lausanne-Sport,Attack - Centre-Forward,"1,77 m",Italy,it,https://www.transfermarkt.us/francesco-margiotta/profil/spieler/165891,https://img.a.transfermarkt.technology/portrait/small/165891-1728100492.png?lm=1,N/A,15.07.1993,Torino,FC Rànger's
42,Alexandre Pasche,Unknown,247,18,17,15.336,N/A,Pasche,10,45,0,FC Lausanne-Sport,Midfield - Central Midfield,"1,75 m",Switzerland,ch,https://www.transfermarkt.us/alexandre-pasche/profil/spieler/61487,https://img.a.transfermarkt.technology/portrait/small/61487-1739448920.jpg?lm=1,N/A,31.05.1991,Lausanne,FC Baden 1897
43,John Dario,Unknown,74,18,0,4.813,N/A,Dario,Unknown,2,1,FC Lausanne-Sport,Attack,Unknown,Italy,it,https://www.transfermarkt.us/john-dario/profil/spieler/557804,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,03.12.1963,Unknown,Retired
44,Stjepan Kukuruzovic,Unknown,160,18,35,12.100,N/A,Kukuruzovic,Unknown,11,0,FC Lausanne-Sport,Midfield - Central Midfield,"1,80 m",Croatia,hr,https://www.transfermarkt.us/stjepan-kukuruzovic/profil/spieler/68655,https://img.a.transfermarkt.technology/portrait/small/68655-1651736812.png?lm=1,N/A,07.06.1989,Thun,Without Club
