rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Goran Obradovic,Гopaн Oбpaдoвић,228,35,36,17.425,N/A,Obradovic,Unknown,35,1,FC Sion,Midfield - Attacking Midfield,"1,85 m",Serbia,rs,https://www.transfermarkt.us/goran-obradovic/profil/spieler/4825,https://img.a.transfermarkt.technology/portrait/small/s_4825_321_2010_3.jpg?lm=1,N/A,01.03.1976,Arandjelovac,Retired
2,Vilmos Vanczák,Unknown,296,41,13,25.631,N/A,Vanczák,3,75,1,FC Sion,Defender - Centre-Back,"1,88 m",Hungary,hu,https://www.transfermarkt.us/vilmos-vanczak/profil/spieler/22709,https://img.a.transfermarkt.technology/portrait/small/22709-1501445330.jpg?lm=1,N/A,20.06.1983,Miskolc,Retired
3,Arnaud Bühler,Unknown,240,15,11,19.802,N/A,Bühler,-,30,1,FC Sion,Defender - Centre-Back,"1,87 m",Switzerland,ch,https://www.transfermarkt.us/arnaud-buhler/profil/spieler/10058,https://img.a.transfermarkt.technology/portrait/small/10058-1480758433.jpg?lm=1,N/A,17.01.1985,Baulmes,Retired
4,Birama Ndoye,Unknown,240,10,2,18.871,N/A,Ndoye,-,26,3,FC Sion,Defender - Centre-Back,"1,87 m",Mauritania,mr,https://www.transfermarkt.us/birama-ndoye/profil/spieler/237903,https://img.a.transfermarkt.technology/portrait/small/237903-1532792309.jpg?lm=1,N/A,27.03.1994,Dakar,Without Club
5,René Quentin,René-Pierre Quentin,230,71,1,19.598,N/A,Quentin,-,0,0,FC Sion,Attack - Centre-Forward,Unknown,Switzerland,ch,https://www.transfermarkt.us/rene-quentin/profil/spieler/156183,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,05.08.1943,Monthey,Retired
6,Serge Trinchero,Unknown,200,17,0,17.281,N/A,Trinchero,-,7,0,FC Sion,Midfield,Unknown,Switzerland,ch,https://www.transfermarkt.us/serge-trinchero/profil/spieler/223081,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.08.1949,Biella,Retired
7,Edmond Isoz,Unknown,215,7,0,17.622,N/A,Isoz,Unknown,1,0,FC Sion,Defender,Unknown,Switzerland,ch,https://www.transfermarkt.us/edmond-isoz/profil/spieler/642191,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.11.1949,Château-d'Oex,Retired
8,Yvan Quentin,Unknown,218,5,0,18.361,N/A,Quentin,-,36,1,FC Sion,Defender - Left-Back,"1,76 m",Switzerland,ch,https://www.transfermarkt.us/yvan-quentin/profil/spieler/4941,https://img.a.transfermarkt.technology/portrait/small/4941-1618841813.jpg?lm=1,N/A,02.05.1970,Collombey-Muraz,Retired
9,Jean-Yves Valentini,Unknown,218,5,0,18.560,N/A,Valentini,-,20,2,FC Sion,Defender,Unknown,Switzerland,ch,https://www.transfermarkt.us/jean-yves-valentini/profil/spieler/297813,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,27.05.1950,Sierre,---
10,Michel Sauthier,Unknown,225,11,0,19.968,N/A,Sauthier,-,15,1,FC Sion,Defender,Unknown,Switzerland,ch,https://www.transfermarkt.us/michel-sauthier/profil/spieler/182672,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,17.02.1966,Sion,Retired
11,Jean-Claude Donzé,Jean-Claude Alfred Donzé,229,1,0,20.299,N/A,Donzé,Unknown,3,0,FC Sion,Goalkeeper,Unknown,Switzerland,ch,https://www.transfermarkt.us/jean-claude-donze/profil/spieler/642188,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,02.05.1948,Martigny,Retired
