rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Lukas Görtler,Unknown,200,36,39,16.516,N/A,Görtler,Unknown,66,1,FC St. Gallen 1879,Midfield - Right Midfield,"1,86 m",Germany,de,https://www.transfermarkt.us/lukas-gortler/profil/spieler/179638,https://img.a.transfermarkt.technology/portrait/small/179638-1721330878.png?lm=1,N/A,15.06.1994,Bamberg,FC St. Gallen 1879
2,Jordi Quintillà,Jordi Quintillà Guasch,232,23,30,19.831,N/A,Quintillà,Unknown,51,1,FC St. Gallen 1879,Midfield - Defensive Midfield,"1,81 m",Spain,es,https://www.transfermarkt.us/jordi-quintilla/profil/spieler/166679,https://img.a.transfermarkt.technology/portrait/small/166679-1721332117.png?lm=1,N/A,25.10.1993,Lleida,FC St. Gallen 1879
3,Víctor Ruiz,Víctor Ruiz Abril,142,21,28,8.929,N/A,Ruiz,Unknown,13,1,FC St. Gallen 1879,Midfield - Attacking Midfield,"1,73 m",Spain,es,https://www.transfermarkt.us/victor-ruiz/profil/spieler/336857,https://img.a.transfermarkt.technology/portrait/small/336857-1721332229.png?lm=1,N/A,02.11.1993,Valencia,Without Club
4,Christian Witzig,Unknown,115,17,26,8.022,N/A,Witzig,19,20,0,FC St. Gallen 1879,Midfield - Left Midfield,"1,78 m",Switzerland,ch,https://www.transfermarkt.us/christian-witzig/profil/spieler/507490,https://img.a.transfermarkt.technology/portrait/small/507490-1721333153.png?lm=1,N/A,09.01.2001,Münsterlingen TG,FC St. Gallen 1879
5,Marco Aratore,Marco Calogero Aratore,146,22,22,9.753,N/A,Aratore,16,12,0,FC St. Gallen 1879,Midfield - Left Midfield,"1,77 m",Switzerland,ch,https://www.transfermarkt.us/marco-aratore/profil/spieler/86788,https://img.a.transfermarkt.technology/portrait/small/86788-1629125167.jpg?lm=1,N/A,04.06.1991,Basel,Retired
6,Alex Tachie-Mensah,Alexander Tachie Mensah,193,80,20,15.567,N/A,Tachie-Mensah,12,38,0,FC St. Gallen 1879,Attack - Centre-Forward,"1,78 m",Ghana,gh,https://www.transfermarkt.us/alex-tachie-mensah/profil/spieler/6681,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,N/A,15.02.1977,Kumasi,Retired
7,Jérémy Guillemenot,Jérémy Bruno Guillemenot,153,37,19,9.146,N/A,Guillemenot,9,30,1,FC St. Gallen 1879,Attack - Centre-Forward,"1,84 m",Switzerland,ch,https://www.transfermarkt.us/jeremy-guillemenot/profil/spieler/290016,https://img.a.transfermarkt.technology/portrait/small/290016-1670354612.png?lm=1,N/A,06.01.1998,Genf,Servette FC
8,Tranquillo Barnetta,Unknown,136,26,18,9.771,N/A,Barnetta,7,21,0,FC St. Gallen 1879,Midfield - Attacking Midfield,,Switzerland,ch,https://www.transfermarkt.us/tranquillo-barnetta/profil/spieler/6645,https://img.a.transfermarkt.technology/portrait/small/6645-1464165604.jpg?lm=1,N/A,22.05.1985,St. Gallen,Retired
9,Sébastien Wüthrich,Unknown,53,6,18,3.186,N/A,Wüthrich,19,2,0,FC St. Gallen 1879,Midfield - Attacking Midfield,"1,81 m",Switzerland,ch,https://www.transfermarkt.us/sebastien-wuthrich/profil/spieler/52744,https://img.a.transfermarkt.technology/portrait/small/52744-1492527310.jpg?lm=1,N/A,29.05.1990,Neuchâtel,Retired
10,Yannis Tafer,يانيس تافر,141,28,17,8.142,N/A,Tafer,-,4,0,FC St. Gallen 1879,Midfield - Right Midfield,"1,81 m",Algeria,dz,https://www.transfermarkt.us/yannis-tafer/profil/spieler/74075,https://img.a.transfermarkt.technology/portrait/small/74075-1448892849.jpg?lm=1,N/A,11.02.1991,Grenoble,FC Allobroges Asafia
11,Chadrac Akolo,Unknown,108,34,16,5.970,N/A,Unknown,Unknown,5,0,FC St. Gallen 1879,Unknown,Unknown,DR Congo,unknown,https://www.transfermarkt.us/chadrac-akolo/profil/spieler/247459,https://img.a.transfermarkt.technology/portrait/small/247459-1721330505.png?lm=1,N/A,01.04.1995,Unknown,FC St. Gallen 1879
