rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Roberto Alves,Roberto Emanuel Oliveira Alves,117,25,27,8.742,N/A,Alves,-,15,1,FC Winterthur,Midfield - Attacking Midfield,"1,80 m",Switzerland,ch,https://www.transfermarkt.us/roberto-alves/profil/spieler/249983,https://img.a.transfermarkt.technology/portrait/small/249983-1668765970.png?lm=1,N/A,08.06.1997,Wetzikon ZH,Radomiak Radom
2,Luca Radice,Unknown,349,28,23,26.544,N/A,Radice,Unknown,37,0,FC Winterthur,Midfield - Left Midfield,"1,77 m",Italy,it,https://www.transfermarkt.us/luca-radice/profil/spieler/59241,https://img.a.transfermarkt.technology/portrait/small/59241-1669019660.jpg?lm=1,N/A,09.04.1987,Uster,Retired
3,Adrian Gantenbein,Adrian Tobias Gantenbein,119,4,22,7.893,N/A,Gantenbein,13,13,0,FC Winterthur,Defender - Right-Back,"1,83 m",Switzerland,ch,https://www.transfermarkt.us/adrian-gantenbein/profil/spieler/410870,https://img.a.transfermarkt.technology/portrait/small/410870-1730797704.jpg?lm=1,N/A,18.04.2001,Winterthur,FC Schalke 04
4,Roman Buess,Unknown,162,56,22,11.361,N/A,Buess,18,23,0,FC Winterthur,Attack - Centre-Forward,"1,83 m",Switzerland,ch,https://www.transfermarkt.us/roman-buess/profil/spieler/111430,https://img.a.transfermarkt.technology/portrait/small/111430-1689794498.jpg?lm=1,N/A,21.09.1992,Basel,FC Winterthur
5,Luka Sliskovic,Unknown,138,37,21,7.406,N/A,Sliskovic,-,16,0,FC Winterthur,Attack - Left Winger,"1,80 m",Switzerland,ch,https://www.transfermarkt.us/luka-sliskovic/profil/spieler/262270,https://img.a.transfermarkt.technology/portrait/small/262270-1724156949.png?lm=1,N/A,04.04.1995,Zofingen,SC Kriens
6,Patrick Bengondo,Patrick Alphonse Bengondo,220,85,21,16.986,N/A,Bengondo,-,32,1,FC Winterthur,Attack - Centre-Forward,"1,80 m",Cameroon,cm,https://www.transfermarkt.us/patrick-bengondo/profil/spieler/46917,https://img.a.transfermarkt.technology/portrait/small/46917-1647618654.jpg?lm=1,N/A,27.09.1981,Akonolinga,Retired
7,Davide Callà,Unknown,80,17,20,6.020,N/A,Callà,-,10,0,FC Winterthur,Midfield - Right Midfield,"1,76 m",Switzerland,ch,https://www.transfermarkt.us/davide-calla/profil/spieler/4774,https://img.a.transfermarkt.technology/portrait/small/4774-1473161793.jpg?lm=1,N/A,06.10.1984,Winterthur,Retired
8,Marco Aratore,Marco Calogero Aratore,54,19,16,4.787,N/A,Aratore,16,5,0,FC Winterthur,Midfield - Left Midfield,"1,77 m",Switzerland,ch,https://www.transfermarkt.us/marco-aratore/profil/spieler/86788,https://img.a.transfermarkt.technology/portrait/small/86788-1629125167.jpg?lm=1,N/A,04.06.1991,Basel,Retired
9,Tobias Schättin,Unknown,218,9,15,14.927,N/A,Schättin,-,28,2,FC Winterthur,Defender - Left-Back,"1,85 m",Switzerland,ch,https://www.transfermarkt.us/tobias-schattin/profil/spieler/237679,https://img.a.transfermarkt.technology/portrait/small/237679-1600722182.jpeg?lm=1,N/A,05.06.1997,Zürich,FC Winterthur
10,Carlos Silvio,Silvio Carlos de Oliveira,70,30,14,5.817,N/A,Silvio,Unknown,6,1,FC Winterthur,Attack - Centre-Forward,"1,83 m",Brazil,br,https://www.transfermarkt.us/carlos-silvio/profil/spieler/38192,https://img.a.transfermarkt.technology/portrait/small/38192-1437558780.jpg?lm=1,N/A,01.02.1985,Mandaguari,Retired
11,Samir Ramizi,Самир Рамизи,119,21,14,7.964,N/A,Ramizi,Unknown,27,1,FC Winterthur,Midfield - Left Midfield,"1,82 m",Serbia,rs,https://www.transfermarkt.us/samir-ramizi/profil/spieler/215837,https://img.a.transfermarkt.technology/portrait/small/215837-1548571082.png?lm=1,N/A,24.07.1991,Veliki Trnovac,Neuchâtel Xamax FCS
12,Sven Lüscher,Unknown,126,28,11,11.251,N/A,Lüscher,Unknown,30,0,FC Winterthur,Midfield - Attacking Midfield,"1,82 m",Switzerland,ch,https://www.transfermarkt.us/sven-luscher/profil/spieler/7144,https://img.a.transfermarkt.technology/portrait/small/s_7144_116_2013_10_31_1.jpg?lm=1,N/A,05.03.1984,Langenthal,Retired
13,Matteo Di Giusto,Matteo Emilio Di Giusto,109,20,10,7.836,N/A,Di Giusto,14,3,0,FC Winterthur,Midfield - Attacking Midfield,"1,68 m",Switzerland,ch,https://www.transfermarkt.us/matteo-di-giusto/profil/spieler/421823,https://img.a.transfermarkt.technology/portrait/small/421823-1648562418.jpg?lm=1,N/A,18.08.2000,Wetzikon,FC Winterthur
14,Sayfallah Ltaief,Unknown,127,18,10,6.490,N/A,Unknown,Unknown,20,0,FC Winterthur,Unknown,Unknown,Tunisia,tn,https://www.transfermarkt.us/sayfallah-ltaief/profil/spieler/388220,https://img.a.transfermarkt.technology/portrait/small/388220-1723459691.jpg?lm=1,N/A,22.04.2000,Unknown,Twente Enschede FC
