name,club,periods
Robert Hosp,FC Lausanne-Sport,1959-1967
Pierre Kerkhoffs,FC Lausanne-Sport,1964-1971
Steen Thychosen,FC Lausanne-Sport,1985-1988
Richard Dürr,FC Lausanne-Sport,1961-1971
Georges Vuilleumier,FC Lausanne-Sport,1966-1977
Kurt Armbruster,FC Lausanne-Sport,1960-1967
Charly Hertig,FC Lausanne-Sport,"1958-1966, 1967-1970"
Norbert Eschmann,FC Lausanne-Sport,"1951-1954, 1955-1957, 1963-1965"
Stéphane Chapuisat,FC Lausanne-Sport,"1987-1991, 2005-2006"
Robert Kok,FC Lausanne-Sport,1979-1984
Pierre-André Schürmann,FC Lausanne-Sport,1986-1992
Miodrag Glisovic,FC Lausanne-Sport,"1952-1954, 1961-1963"
Pierre-André Zappella,FC Lausanne-Sport,"1968-1972, 1974-1976"
Marcin Kuzba,FC Lausanne-Sport,1999-2002
Jocelyn Roux,FC Lausanne-Sport,"2010-2013, 2015-2016"
Walter Pellegrini,FC Lausanne-Sport,1982-1985
Marcel Vonlanden,FC Lausanne-Sport,"1954-1960, 1961-1962"
René Maillard,FC Lausanne-Sport,1943-1962
Pierre-Albert Chapuisat,FC Lausanne-Sport,"1964-1972, 1973-1976, 1980-1984"
Andi Zeqiri,FC Lausanne-Sport,"2015-2016, 2017-2020"
Aldin Turkes,FC Lausanne-Sport,2019-2023
Stefan Rehn,FC Lausanne-Sport,1995-2000
Robert Lei-Ravello,FC Lausanne-Sport,1978-1985
Philippe Douglas,FC Lausanne-Sport,"1987-1992, 1995-1999"
Léonard Thurre,FC Lausanne-Sport,"1994-1999, 2006-2008"
Pierre-Albert Tachet,FC Lausanne-Sport,1985-1988
Fabio Celestini,FC Lausanne-Sport,"1995-2000, 2010-2011"
Alvyn Sanches,FC Lausanne-Sport,2020-2025
Brighton Labeau,FC Lausanne-Sport,2022-2024
Jean-Pierre La Placa,FC Lausanne-Sport,1990-1995
Javier Mazzoni,FC Lausanne-Sport,1999-2000
Yves Mauron,FC Lausanne-Sport,1980-1984
Peter Traber,FC Lausanne-Sport,
Georges Bregy,FC Lausanne-Sport,1988-1990
Marcel Parietti,FC Lausanne-Sport,1972-1984
Yane Bugnard,FC Lausanne-Sport,2005-2008
Gilbert Rey,FC Lausanne-Sport,"1955-1956, 1961-1963"
Saso Udovic,FC Lausanne-Sport,"1996-1999, 2001-2002"
Francesco Margiotta,FC Lausanne-Sport,"2016-2018, 2018-2019"
Alexandre Pasche,FC Lausanne-Sport,"2007-2009, 2010-2012, 2015-2020"
Stjepan Kukuruzovic,FC Lausanne-Sport,2018-2024
Christophe Ohrel,FC Lausanne-Sport,"1987-1992, 1996-2001"
Frank Verlaat,FC Lausanne-Sport,1989-1992
Nicolas Marazzi,FC Lausanne-Sport,2008-2013
Matt Moussilou,FC Lausanne-Sport,2011-2013
Pavel Badea,FC Lausanne-Sport,1992-1996
Kaly Sène,FC Lausanne-Sport,2023-2025
Balthazar,FC Lausanne-Sport,2006-2009
Jean-Jacques Maurer,FC Lausanne-Sport,
Andres Gerber,FC Lausanne-Sport,1998-1999
Joël Geissmann,FC Lausanne-Sport,2017-2022
Philippe Hertig,FC Lausanne-Sport,1983-1988
Patrick Isabella,FC Lausanne-Sport,"1990-1994, 2003-2006"
Olivier Biaggi,FC Lausanne-Sport,1993-1996
Noë Dussenne,FC Lausanne-Sport,2023-2025
Roger Bocquet,FC Lausanne-Sport,1939-1954
Daniel Puce,FC Lausanne-Sport,1997-2001
Abdul Carrupt,FC Lausanne-Sport,2008-2011
Marc Hottiger,FC Lausanne-Sport,"1988-1992, 1997-1999"
Jürg Studer,FC Lausanne-Sport,1991-1993
Cameron Puertas,FC Lausanne-Sport,2018-2022
Maxime Dominguez,FC Lausanne-Sport,2016-2020
Guillaume Katz,FC Lausanne-Sport,2009-2015
Dominique Herr,FC Lausanne-Sport,1988-1992
René Regaméy,FC Lausanne-Sport,"1951-1953, 1958-1960"
Anton Weibel,FC Lausanne-Sport,1969-1970
Alexandre Comisetti,FC Lausanne-Sport,"1987-1991, 1993-1994, 2005-2006"
Nicolas Gétaz,FC Lausanne-Sport,"2009-2010, 2010-2011, 2012-2012, 2015-2021"
Ulrich Guggisberg,FC Lausanne-Sport,1972-1973
Gilbert Fesselet,FC Lausanne-Sport,1957-1961
Sébastien Méoli,FC Lausanne-Sport,"2000-2003, 2010-2010, 2010-2014"
Walter Fernandez,FC Lausanne-Sport,1983-1990
Claude Ryf,FC Lausanne-Sport,1978-1985
Jérôme Sonnerat,FC Lausanne-Sport,2007-2014
Reto Gertschen,FC Lausanne-Sport,1987-1990
Antoine Rey,FC Lausanne-Sport,2002-2010
Romain Dessarzin,FC Lausanne-Sport,2013-2016
Trae Coyle,FC Lausanne-Sport,2021-2025
Roger Reymond,FC Lausanne-Sport,1950-1957
Noah Loosli,FC Lausanne-Sport,2018-2021
Jacques Ducret,FC Lausanne-Sport,1970-1977
Xavier Margairaz,FC Lausanne-Sport,"2000-2003, 2015-2017"
Elton Monteiro,FC Lausanne-Sport,"2015-2019, 2019-2022"
Marcel Cornioley,FC Lausanne-Sport,1977-1978
Salim Khelifi,FC Lausanne-Sport,2011-2014
Oscar Londono,FC Lausanne-Sport,"1991-1994, 1996-2000"
Thomas Käslin,FC Lausanne-Sport,1994-2025
Jean-Michel Aeby,FC Lausanne-Sport,1988-1991
Erich Hänzi,FC Lausanne-Sport,1993-2000
Toichi Suzuki,FC Lausanne-Sport,2021-2024
Eric Polencent,FC Lausanne-Sport,
Nikola Boranijasevic,FC Lausanne-Sport,2019-2021
Remo Meyer,FC Lausanne-Sport,2000-2002
Antoine Bernede,FC Lausanne-Sport,"2023-2023, 2023-2025, 2025-2025"
