name,status,profile_url,image_url,jersey_name,jersey_number,nation,nation_code,club,place_of_birth,full_name,position,height,date_of_birth,appearances,goals,assists,own_goals,yellow_cards,second_yellow,red_cards,substituted_on,substituted_off,minutes_played
Mehmet Özdilek,Retired,https://www.transfermarkt.us/mehmet-ozdilek/profil/spieler/17126,https://img.a.transfermarkt.technology/portrait/small/17126-1598536714.jpg?lm=1,Özdilek,16,Türkiye,tr,Besiktas JK,Samsun,Unknown,Midfield - Attacking Midfield,N/A,01.04.1966,486,148,110,0,43,1,0,46,100,39.045
Necip Uysal,Besiktas JK,https://www.transfermarkt.us/necip-uysal/profil/spieler/77710,https://img.a.transfermarkt.technology/portrait/small/77710-1727357566.png?lm=1,Uysal,18,Türkiye,tr,Besiktas JK,Istanbul,Unknown,Defender - Centre-Back,"1,80 m",24.01.1991,461,6,19,2,78,6,3,167,80,27.915
İbrahim Üzülmez,Retired,https://www.transfermarkt.us/ibrahim-uzulmez/profil/spieler/6914,https://img.a.transfermarkt.technology/portrait/small/6914-1725528655.png?lm=1,Üzülmez,19,Türkiye,tr,Besiktas JK,Kocaeli,Unknown,Defender - Left-Back,"1,75 m",10.03.1974,405,12,40,0,45,1,3,28,63,33.503
Rıza Çalımbay,Retired,https://www.transfermarkt.us/riza-calimbay/profil/spieler/92274,https://img.a.transfermarkt.technology/portrait/small/92274-1741187695.jpg?lm=1,Çalımbay,-,Türkiye,tr,Besiktas JK,Sivas,Rıza Çalımbay,Midfield - Central Midfield,"1,72 m",02.02.1963,403,37,76,0,20,0,1,18,21,34.494
Gökhan Keskin,Retired,https://www.transfermarkt.us/gokhan-keskin/profil/spieler/92263,https://img.a.transfermarkt.technology/portrait/small/92263-1633779212.jpeg?lm=1,Keskin,4,Türkiye,tr,Besiktas JK,Istanbul,Unknown,Defender - Sweeper,"1,92 m",01.03.1966,363,12,21,1,35,0,0,10,23,31.471
Atiba Hutchinson,Retired,https://www.transfermarkt.us/atiba-hutchinson/profil/spieler/16101,https://img.a.transfermarkt.technology/portrait/small/16101-1667043797.png?lm=1,Hutchinson,13,Canada,ca,Besiktas JK,"Brampton, Ontario",Unknown,Midfield - Defensive Midfield,"1,87 m",08.02.1983,334,27,37,1,31,3,0,33,55,26.885
Recep Çetin,Retired,https://www.transfermarkt.us/recep-cetin/profil/spieler/92275,https://img.a.transfermarkt.technology/portrait/small/92275-1697809700.jpg?lm=1,Çetin,-,Türkiye,tr,Besiktas JK,Sakarya,Recep Çetin,Defender - Right-Back,"1,70 m",01.10.1965,333,4,11,2,61,3,2,7,27,28.643
İbrahim Toraman,Retired,https://www.transfermarkt.us/ibrahim-toraman/profil/spieler/7264,https://img.a.transfermarkt.technology/portrait/small/7264-1725542462.jpg?lm=1,Toraman,-,Türkiye,tr,Besiktas JK,Sivas,İbrahim Toraman,Defender - Centre-Back,"1,79 m",20.11.1981,325,23,13,2,62,4,6,12,22,27.664
Feyyaz Uçar,Retired,https://www.transfermarkt.us/feyyaz-ucar/profil/spieler/92239,https://img.a.transfermarkt.technology/portrait/small/92239-1741351463.jpg?lm=1,Uçar,-,Türkiye,tr,Besiktas JK,Istanbul,Feyyaz Uçar,Attack - Centre-Forward,"1,77 m",27.10.1963,311,179,42,0,12,0,2,14,42,26.147
Oğuzhan Özyakup,Retired,https://www.transfermarkt.us/oguzhan-ozyakup/profil/spieler/77966,https://img.a.transfermarkt.technology/portrait/small/77966-1724684546.jpg?lm=1,Özyakup,8,Türkiye,tr,Besiktas JK,Zaandam,Unknown,Midfield - Central Midfield,"1,80 m",23.09.1992,310,35,62,0,57,2,1,92,114,19.310
Tayfur Havutçu,Retired,https://www.transfermarkt.us/tayfur-havutcu/profil/spieler/6869,https://img.a.transfermarkt.technology/portrait/small/6869-1697902569.jpg?lm=1,Havutçu,-,Türkiye,tr,Besiktas JK,Hanau,Tayfur Havutçu,Midfield - Defensive Midfield,N/A,23.04.1970,309,27,20,0,48,0,2,13,19,26.286
Sergen Yalçın,Retired,https://www.transfermarkt.us/sergen-yalcin/profil/spieler/6904,https://img.a.transfermarkt.technology/portrait/small/6904-1731600152.jpg?lm=1,Yalçın,11,Türkiye,tr,Besiktas JK,Istanbul,Ali Rıza Sergen Yalçın,Midfield - Attacking Midfield,"1,81 m",05.11.1972,298,80,73,0,55,0,2,73,118,19.712
Metin Tekin,Retired,https://www.transfermarkt.us/metin-tekin/profil/spieler/92281,https://img.a.transfermarkt.technology/portrait/small/92281-1725528905.jpg?lm=1,Tekin,11,Türkiye,tr,Besiktas JK,Kocaeli,Unknown,Attack - Right Winger,N/A,08.05.1964,291,72,84,0,36,0,3,55,79,20.948
Ulvi Güveneroğlu,Retired,https://www.transfermarkt.us/ulvi-guveneroglu/profil/spieler/92278,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Güveneroğlu,-,Türkiye,tr,Besiktas JK,Elazig,Unknown,Defender - Centre-Back,Unknown,26.07.1960,290,11,7,2,14,0,0,0,15,25.619
Kadir Akbulut,Retired,https://www.transfermarkt.us/kadir-akbulut/profil/spieler/92271,https://img.a.transfermarkt.technology/portrait/small/92271-1742296459.jpg?lm=1,Akbulut,3,Türkiye,tr,Besiktas JK,Denizli,Unknown,Defender - Left-Back,Unknown,08.05.1960,288,5,19,0,35,2,1,9,20,24.823
Ali Gültiken,Retired,https://www.transfermarkt.us/ali-gultiken/profil/spieler/92276,https://img.a.transfermarkt.technology/portrait/small/92276-1741636516.jpg?lm=1,Gültiken,-,Türkiye,tr,Besiktas JK,Istanbul,Ali Kurtuluş Gültiken,Attack - Centre-Forward,"1,86 m",27.08.1965,273,102,39,0,8,0,1,44,38,20.719
Ricardo Quaresma,Retired,https://www.transfermarkt.us/ricardo-quaresma/profil/spieler/4188,https://img.a.transfermarkt.technology/portrait/small/4188-1730293194.jpg?lm=1,Quaresma,20,Portugal,pt,Besiktas JK,Lisboa,Ricardo Andrade Quaresma Bernardo,Attack - Right Winger,"1,75 m",26.09.1983,227,38,76,0,53,4,5,31,87,16.953
Cenk Tosun,Fenerbahce,https://www.transfermarkt.us/cenk-tosun/profil/spieler/45671,https://img.a.transfermarkt.technology/portrait/small/45671-1728392200.JPG?lm=1,Tosun,9,Türkiye,tr,Besiktas JK,Wetzlar,Unknown,Attack - Centre-Forward,"1,83 m",07.06.1991,227,96,30,0,19,1,0,100,67,12.520
Bobô,Retired,https://www.transfermarkt.us/bobo/profil/spieler/37944,https://img.a.transfermarkt.technology/portrait/small/37944-1646999123.jpg?lm=1,Bobô,-,Brazil,br,Besiktas JK,Gravatá,Unknown,Attack - Centre-Forward,"1,86 m",09.01.1985,222,94,36,0,14,0,1,56,54,15.383
Ertuğrul Sağlam,Retired,https://www.transfermarkt.us/ertugrul-saglam/profil/spieler/17125,https://img.a.transfermarkt.technology/portrait/small/17125-1727465617.jpeg?lm=1,Sağlam,-,Türkiye,tr,Besiktas JK,Zonguldak,Unknown,Attack - Centre-Forward,"1,84 m",19.11.1969,207,93,22,1,25,0,0,21,50,16.336
Tomas Sivok,Retired,https://www.transfermarkt.us/tomas-sivok/profil/spieler/26936,https://img.a.transfermarkt.technology/portrait/small/26936-1471100565.jpg?lm=1,Sivok,6,Czech Republic,cz,Besiktas JK,Pelhřimov,Tomáš Sivok,Defender - Centre-Back,"1,85 m",15.09.1983,203,19,5,1,49,2,1,4,13,17.582
Mutlu Topçu,Retired,https://www.transfermarkt.us/mutlu-topcu/profil/spieler/92282,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,Topçu,-,Türkiye,tr,Besiktas JK,Bursa,Unknown,Defender - Left-Back,Unknown,16.11.1970,203,1,11,0,10,0,0,51,24,14.029
Oktay Derelioğlu,Retired,https://www.transfermarkt.us/oktay-derelioglu/profil/spieler/4752,https://img.a.transfermarkt.technology/portrait/small/4752-1725971232.jpg?lm=1,Derelioğlu,11,Türkiye,tr,Besiktas JK,Istanbul,Oktay Derelioğlu,Attack - Centre-Forward,"1,79 m",17.12.1975,197,92,38,0,15,0,0,53,55,13.143
Alpay Özalan,Retired,https://www.transfermarkt.us/alpay-ozalan/profil/spieler/3504,https://img.a.transfermarkt.technology/portrait/small/3504-1598537408.jpg?lm=1,Özalan,4,Türkiye,tr,Besiktas JK,Izmir,Fehmi Alpay Özalan,Defender - Centre-Back,N/A,29.05.1973,194,13,11,0,35,3,2,5,20,16.738
