rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Üzeyir Ergün,Unknown,136,6,18,11.552,N/A,Ergün,Unknown,13,0,Bodrum FK,Defender - Right-Back,"1,78 m",Türkiye,tr,https://www.transfermarkt.us/uzeyir-ergun/profil/spieler/388368,https://img.a.transfermarkt.technology/portrait/small/388368-1671272229.png?lm=1,N/A,04.11.1992,Trabzon,Bodrum FK
2,Celal Dumanlı,Unknown,280,48,13,14.718,N/A,Dumanlı,Unknown,35,1,Bodrum FK,Attack - Centre-Forward,"1,89 m",Türkiye,tr,https://www.transfermarkt.us/celal-dumanli/profil/spieler/374578,https://img.a.transfermarkt.technology/portrait/small/374578-1671272534.png?lm=1,N/A,28.04.1994,Mugla,Bodrum FK
3,Kenan Özer,Unknown,75,23,13,5.065,N/A,Özer,14,15,0,Bodrum FK,Attack - Right Winger,"1,70 m",Türkiye,tr,https://www.transfermarkt.us/kenan-ozer/profil/spieler/38195,https://img.a.transfermarkt.technology/portrait/small/38195-1671272482.png?lm=1,N/A,16.08.1987,Nikosia,Magusa Türk Gücü
4,Gökdeniz Bayrakdar,Unknown,86,22,9,6.122,N/A,Bayrakdar,7,10,0,Bodrum FK,Attack - Right Winger,"1,81 m",Türkiye,tr,https://www.transfermarkt.us/gokdeniz-bayrakdar/profil/spieler/345105,https://img.a.transfermarkt.technology/portrait/small/345105-1717099642.png?lm=1,N/A,23.11.2001,Kocaeli,Bodrum FK
5,Burak Çoban,Unknown,39,3,9,2.846,N/A,Çoban,Unknown,4,0,Bodrum FK,Attack - Left Winger,"1,68 m",Türkiye,tr,https://www.transfermarkt.us/burak-coban/profil/spieler/241380,https://img.a.transfermarkt.technology/portrait/small/241380-1678274935.png?lm=1,N/A,07.11.1994,Heidenheim an der Brenz,Sakaryaspor
6,Ozan Sol,Unknown,74,45,8,5.285,N/A,Sol,Unknown,19,0,Bodrum FK,Attack - Left Winger,"1,78 m",Türkiye,tr,https://www.transfermarkt.us/ozan-sol/profil/spieler/251824,https://img.a.transfermarkt.technology/portrait/small/251824-1664104303.png?lm=1,N/A,13.06.1993,Mugla,Corum FK
7,Batuhan Ayvaz,Unknown,54,7,7,3.053,N/A,Ayvaz,Unknown,4,0,Bodrum FK,Midfield - Attacking Midfield,"1,74 m",Türkiye,tr,https://www.transfermarkt.us/batuhan-ayvaz/profil/spieler/539650,https://img.a.transfermarkt.technology/portrait/small/539650-1638060592.png?lm=1,N/A,11.11.1997,Samsun,Mazidagi Fosfat Spor
8,Samet Yalçın,Unknown,134,20,6,11.150,N/A,Yalçın,Unknown,25,0,Bodrum FK,Midfield - Central Midfield,"1,80 m",Türkiye,tr,https://www.transfermarkt.us/samet-yalcin/profil/spieler/355757,https://img.a.transfermarkt.technology/portrait/small/355757-1671272289.png?lm=1,N/A,03.03.1994,Istanbul,Kocaelispor
9,Oğuzhan Türk,Unknown,54,4,6,4.120,N/A,Türk,-,7,0,Bodrum FK,Midfield - Attacking Midfield,"1,74 m",Türkiye,tr,https://www.transfermarkt.us/oguzhan-turk/profil/spieler/24523,https://img.a.transfermarkt.technology/portrait/small/24523-1504306705.jpg?lm=1,N/A,17.05.1986,Kampen,Retired
10,Cenk Şen,Unknown,159,7,5,12.353,N/A,Şen,Unknown,16,0,Bodrum FK,Defender - Left-Back,"1,70 m",Türkiye,tr,https://www.transfermarkt.us/cenk-sen/profil/spieler/620076,https://img.a.transfermarkt.technology/portrait/small/620076-1715878143.png?lm=1,N/A,02.10.2000,Izmir,Bodrum FK
11,Musah Mohammed,Unknown,89,2,5,6.649,N/A,Mohammed,Unknown,23,1,Bodrum FK,Midfield - Defensive Midfield,"1,92 m",Ghana,gh,https://www.transfermarkt.us/musah-mohammed/profil/spieler/859182,https://img.a.transfermarkt.technology/portrait/small/859182-1673183271.png?lm=1,N/A,05.01.2002,Accra,Bodrum FK
12,George Pușcaș,George Alexandru Pușcaș,29,10,4,1.802,N/A,Pușcaș,9,0,0,Bodrum FK,Attack - Centre-Forward,"1,88 m",Romania,ro,https://www.transfermarkt.us/george-puscas/profil/spieler/208690,https://img.a.transfermarkt.technology/portrait/small/208690-1716545812.jpg?lm=1,N/A,08.04.1996,Marghita,Bodrum FK
13,Omar Imeri,Omar İmeri,59,1,4,2.643,N/A,Imeri,7,3,2,Bodrum FK,Attack - Right Winger,"1,75 m",Albania,al,https://www.transfermarkt.us/omar-imeri/profil/spieler/535537,https://img.a.transfermarkt.technology/portrait/small/535537-1671272447.png?lm=1,N/A,13.12.1999,Skopje,Batman Petrolspor
