rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Ahmed Kutucu,Unknown,42,23,11,3.336,N/A,Kutucu,11,9,0,Eyüpspor,Attack - Left Winger,"1,81 m",Türkiye,tr,https://www.transfermarkt.us/ahmed-kutucu/profil/spieler/452084,https://img.a.transfermarkt.technology/portrait/small/452084-1730285629.jpg?lm=1,N/A,01.03.2000,Gelsenkirchen,Galatasaray
2,Murat Uçar,Mehmet Murat Uçar,64,0,11,4.323,N/A,Uçar,Unknown,9,2,Eyüpspor,Defender - Right-Back,"1,69 m",Türkiye,tr,https://www.transfermarkt.us/murat-ucar/profil/spieler/292545,https://img.a.transfermarkt.technology/portrait/small/292545-1708030837.png?lm=1,N/A,01.08.1991,Mus,Amed SK
3,Caner Erkin,Unknown,46,8,9,3.275,N/A,Erkin,18,10,2,Eyüpspor,Defender - Left-Back,"1,81 m",Türkiye,tr,https://www.transfermarkt.us/caner-erkin/profil/spieler/39333,https://img.a.transfermarkt.technology/portrait/small/39333-1730286093.jpg?lm=1,N/A,04.10.1988,Balikesir,Eyüpspor
4,Pa Dibba,Pa Amat Dibba,62,13,9,3.917,N/A,Dibba,-,5,1,Eyüpspor,Attack - Centre-Forward,"1,78 m",The Gambia,unknown,https://www.transfermarkt.us/pa-dibba/profil/spieler/195554,https://img.a.transfermarkt.technology/portrait/small/195554-1663353122.png?lm=1,N/A,15.10.1987,Farafenni,IFK Haninge
5,Prince Ampem,Prince Obeng Ampem,58,13,9,4.229,N/A,Ampem,Unknown,9,0,Eyüpspor,Attack - Left Winger,"1,69 m",Ghana,gh,https://www.transfermarkt.us/prince-ampem/profil/spieler/562734,https://img.a.transfermarkt.technology/portrait/small/562734-1730285769.jpg?lm=1,N/A,13.04.1998,Sunyani,Eyüpspor
6,Cenk Ahmet Alkılıç,Cenk Ahmet Alkılıç,62,4,8,3.941,N/A,Alkılıç,15,4,0,Eyüpspor,Defender - Right-Back,"1,70 m",Türkiye,tr,https://www.transfermarkt.us/cenk-ahmet-alkilic/profil/spieler/68211,https://img.a.transfermarkt.technology/portrait/small/68211-1604435111.png?lm=1,N/A,09.12.1987,Izmir,Karsiyaka
7,Fredy,Unknown,24,2,8,1.803,N/A,Fredy,15,2,0,Eyüpspor,Midfield - Attacking Midfield,"1,70 m",Angola,ao,https://www.transfermarkt.us/fredy/profil/spieler/87854,https://img.a.transfermarkt.technology/portrait/small/87854-1665560587.png?lm=1,N/A,27.03.1990,Luanda,Bodrum FK
8,Muhammed Akarslan,Unknown,45,12,8,3.413,N/A,Akarslan,Unknown,13,1,Eyüpspor,Midfield - Central Midfield,"1,74 m",Türkiye,tr,https://www.transfermarkt.us/muhammed-akarslan/profil/spieler/282553,https://img.a.transfermarkt.technology/portrait/small/282553-1611354773.jpg?lm=1,N/A,02.04.1995,Adiyaman,Kahramanmaras Istiklal Spor
9,Okan Baydemir,Unknown,40,7,7,2.702,N/A,Baydemir,Unknown,7,0,Eyüpspor,Attack - Left Winger,"1,77 m",Türkiye,tr,https://www.transfermarkt.us/okan-baydemir/profil/spieler/293964,https://img.a.transfermarkt.technology/portrait/small/293964-1504298869.jpg?lm=1,N/A,26.03.1990,Kocaeli,Beykoz Ishakli Spor
10,Taşkın İlter,Unknown,120,6,7,8.056,N/A,İlter,21,19,0,Eyüpspor,Midfield - Defensive Midfield,"1,85 m",Azerbaijan,az,https://www.transfermarkt.us/taskin-ilter/profil/spieler/200082,https://img.a.transfermarkt.technology/portrait/small/200082-1730285702.jpg?lm=1,N/A,05.07.1994,Berlin,Eyüpspor
11,Recep Niyaz,Unknown,49,7,6,3.218,N/A,Niyaz,-,7,0,Eyüpspor,Midfield - Attacking Midfield,"1,65 m",Türkiye,tr,https://www.transfermarkt.us/recep-niyaz/profil/spieler/105653,https://img.a.transfermarkt.technology/portrait/small/105653-1730287071.jpg?lm=1,N/A,02.08.1995,Denizli,Eyüpspor
12,Timur Temeltaş,Unknown,58,12,6,3.764,N/A,Temeltaş,-,14,0,Eyüpspor,Midfield - Central Midfield,"1,76 m",Germany,de,https://www.transfermarkt.us/timur-temeltas/profil/spieler/85548,https://img.a.transfermarkt.technology/portrait/small/85548-1667085555.png?lm=1,N/A,13.01.1992,Frechen,VfL Sindorf
13,Ömer Bayram,Unknown,53,0,6,3.667,N/A,Bayram,16,8,0,Eyüpspor,Defender - Left-Back,"1,75 m",Türkiye,tr,https://www.transfermarkt.us/omer-bayram/profil/spieler/117586,https://img.a.transfermarkt.technology/portrait/small/117586-1663352472.png?lm=1,N/A,27.07.1991,Breda,Amed SK
14,Gianni Bruno,Unknown,48,21,6,2.670,N/A,Bruno,9,3,0,Eyüpspor,Attack - Centre-Forward,"1,80 m",Belgium,be,https://www.transfermarkt.us/gianni-bruno/profil/spieler/95604,https://img.a.transfermarkt.technology/portrait/small/95604-1730286119.jpg?lm=1,N/A,19.08.1991,Rocourt,Igdir FK
15,Güngör Kaya,Unknown,14,5,6,1.154,N/A,Kaya,Unknown,3,0,Eyüpspor,Attack - Centre-Forward,"1,76 m",Türkiye,tr,https://www.transfermarkt.us/gungor-kaya/profil/spieler/53635,https://img.a.transfermarkt.technology/portrait/small/53635-1504365486.jpg?lm=1,N/A,27.04.1990,Gelsenkirchen,SpVgg Horsthausen
