rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Hakan Şükür,Unknown,539,288,114,45.218,N/A,Şükür,9,44,0,Galatasaray,Attack - Centre-Forward,"1,91 m",Türkiye,tr,https://www.transfermarkt.us/hakan-sukur/profil/spieler/3363,https://img.a.transfermarkt.technology/portrait/small/3363-1461241499.jpg?lm=1,N/A,01.09.1971,Sakarya,Retired
2,Tanju Çolak,Tanju Çolak,150,137,25,13.057,N/A,Çolak,-,16,0,Galatasaray,Attack - Centre-Forward,"1,70 m",Türkiye,tr,https://www.transfermarkt.us/tanju-colak/profil/spieler/90976,https://img.a.transfermarkt.technology/portrait/small/90976-1728993693.jpg?lm=1,N/A,10.11.1963,Samsun,Retired
3,Arif Erdem,Unknown,485,133,126,30.278,N/A,Erdem,6,46,1,Galatasaray,Attack - Centre-Forward,,Türkiye,tr,https://www.transfermarkt.us/arif-erdem/profil/spieler/3377,https://img.a.transfermarkt.technology/portrait/small/3377-1595580738.jpg?lm=1,N/A,02.01.1972,Istanbul,Retired
4,Metin Oktay,Unknown,112,105,17,9.955,N/A,Oktay,-,0,0,Galatasaray,Attack - Centre-Forward,"1,77 m",Türkiye,tr,https://www.transfermarkt.us/metin-oktay/profil/spieler/91924,https://img.a.transfermarkt.technology/portrait/small/91924-1725533407.jpg?lm=1,N/A,02.02.1936,Izmir,---
5,Ümit Karan,Unknown,238,98,35,15.887,N/A,Karan,8,37,2,Galatasaray,Attack - Centre-Forward,"1,81 m",Türkiye,tr,https://www.transfermarkt.us/umit-karan/profil/spieler/3378,https://img.a.transfermarkt.technology/portrait/small/3378-1727768291.jpg?lm=1,N/A,01.10.1976,Berlin,Retired
6,Burak Yılmaz,Unknown,141,82,23,11.301,N/A,Yılmaz,17,22,1,Galatasaray,Attack - Centre-Forward,"1,88 m",Türkiye,tr,https://www.transfermarkt.us/burak-yilmaz/profil/spieler/34987,https://img.a.transfermarkt.technology/portrait/small/34987-1622122750.jpg?lm=1,N/A,15.07.1985,Antalya,Retired
7,Gheorghe Hagi,Unknown,192,72,63,14.983,N/A,Hagi,10,40,3,Galatasaray,Midfield - Attacking Midfield,"1,72 m",Romania,ro,https://www.transfermarkt.us/gheorghe-hagi/profil/spieler/7939,https://img.a.transfermarkt.technology/portrait/small/7939-1570438291.jpg?lm=1,N/A,05.02.1965,Săcele,Retired
8,Necati Ateş,Necati Ateş,140,66,22,9.991,N/A,Ateş,18,11,0,Galatasaray,Attack - Centre-Forward,"1,82 m",Türkiye,tr,https://www.transfermarkt.us/necati-ates/profil/spieler/6949,https://img.a.transfermarkt.technology/portrait/small/s_6949_825_2013_09_06_1.jpg?lm=1,N/A,03.01.1980,Izmir,Retired
9,Milan Baros,Milan Baroš,116,61,16,7.602,N/A,Baros,15,30,2,Galatasaray,Attack - Centre-Forward,"1,83 m",Czech Republic,cz,https://www.transfermarkt.us/milan-baros/profil/spieler/3216,https://img.a.transfermarkt.technology/portrait/small/3216-1578925365.jpg?lm=1,N/A,28.10.1981,Valašské Meziříčí,FK Vigantice
10,Mauro Icardi,Mauro Emanuel Icardi Rivero,87,61,22,6.995,N/A,Icardi,9,6,0,Galatasaray,Attack - Centre-Forward,"1,81 m",Argentina,ar,https://www.transfermarkt.us/mauro-icardi/profil/spieler/68863,https://img.a.transfermarkt.technology/portrait/small/68863-1671105169.png?lm=1,N/A,19.02.1993,Rosario,Galatasaray
11,Selçuk İnan,Selçuk İnan,331,59,64,26.070,N/A,İnan,8,51,1,Galatasaray,Midfield - Central Midfield,"1,82 m",Türkiye,tr,https://www.transfermarkt.us/selcuk-inan/profil/spieler/35026,https://img.a.transfermarkt.technology/portrait/small/35026-1572962501.jpg?lm=1,N/A,10.02.1985,Hatay,Retired
12,Uğur Tütüneker,Unknown,275,54,35,21.236,N/A,Tütüneker,15,23,2,Galatasaray,Midfield - Central Midfield,Unknown,Türkiye,tr,https://www.transfermarkt.us/ugur-tutuneker/profil/spieler/91668,https://img.a.transfermarkt.technology/portrait/small/91668-1739970991.jpg?lm=1,N/A,02.08.1963,Bursa,Retired
13,Bafétimbi Gomis,Bafétimbi Fredius Gomis,86,51,9,5.221,N/A,Gomis,18,7,1,Galatasaray,Attack - Centre-Forward,"1,84 m",France,fr,https://www.transfermarkt.us/bafetimbi-gomis/profil/spieler/22388,https://img.a.transfermarkt.technology/portrait/small/22388-1671109775.png?lm=1,N/A,06.08.1985,La Seyne-sur-Mer,Retired
14,Arda Turan,Unknown,240,49,74,17.414,N/A,Turan,10,41,2,Galatasaray,Attack - Left Winger,"1,77 m",Türkiye,tr,https://www.transfermarkt.us/arda-turan/profil/spieler/21369,https://img.a.transfermarkt.technology/portrait/small/21369-1515403225.jpg?lm=1,N/A,30.01.1987,Istanbul,Retired
15,Kerem Aktürkoğlu,Muhammed Kerem Aktürkoğlu,179,46,42,11.830,N/A,Aktürkoğlu,16,15,0,Galatasaray,Attack - Left Winger,"1,73 m",Türkiye,tr,https://www.transfermarkt.us/kerem-akturkoglu/profil/spieler/382528,https://img.a.transfermarkt.technology/portrait/small/382528-1737497647.jpg?lm=1,N/A,21.10.1998,Kocaeli,SL Benfica
16,Wesley Sneijder,Unknown,175,45,44,13.610,N/A,Sneijder,10,33,0,Galatasaray,Midfield - Attacking Midfield,"1,70 m",Netherlands,nl,https://www.transfermarkt.us/wesley-sneijder/profil/spieler/4673,https://img.a.transfermarkt.technology/portrait/small/4673-1684166804.jpg?lm=1,N/A,09.06.1984,Utrecht,Retired
