rank,name,full_name,appearances,goals,assists,minutes_played,period,jersey_name,jersey_number,yellow_cards,red_cards,club,position,height,nation,nation_code,profile_url,image_url,club_logo_url,date_of_birth,place_of_birth,status
1,Alexandru Maxim,Alexandru Iulian Maxim,180,50,40,14.152,N/A,Maxim,10,33,0,Gaziantep FK,Midfield - Attacking Midfield,"1,77 m",Romania,ro,https://www.transfermarkt.us/alexandru-maxim/profil/spieler/129513,https://img.a.transfermarkt.technology/portrait/small/129513-1725480429.jpg?lm=1,N/A,08.07.1990,Piatra Neamţ,Gaziantep FK
2,Furkan Soyalp,Unknown,141,10,18,6.740,N/A,Soyalp,11,21,0,Gaziantep FK,Midfield - Central Midfield,"1,75 m",Türkiye,tr,https://www.transfermarkt.us/furkan-soyalp/profil/spieler/221285,https://img.a.transfermarkt.technology/portrait/small/221285-1725460087.jpg?lm=1,N/A,12.06.1995,Ankara,Gaziantep FK
3,Gökhan Alsan,Unknown,101,21,15,8.220,N/A,Alsan,Unknown,29,0,Gaziantep FK,Midfield - Central Midfield,"1,68 m",Türkiye,tr,https://www.transfermarkt.us/gokhan-alsan/profil/spieler/144723,https://img.a.transfermarkt.technology/portrait/small/144723-1575385785.jpg?lm=1,N/A,01.04.1990,Trabzon,Sebat Gençlik Spor
4,Oğuz Ceylan,Unknown,102,1,11,7.826,N/A,Ceylan,Unknown,20,0,Gaziantep FK,Defender - Right-Back,"1,74 m",Türkiye,tr,https://www.transfermarkt.us/oguz-ceylan/profil/spieler/139316,https://img.a.transfermarkt.technology/portrait/small/139316-1696087176.png?lm=1,N/A,15.12.1990,Canakkale,Esenler Erokspor
5,Yonathan Del Valle,Yonathan Alexander del Valle Rodríguez,60,15,11,4.473,N/A,Del Valle,-,6,0,Gaziantep FK,Attack - Left Winger,"1,73 m",Venezuela,ve,https://www.transfermarkt.us/yonathan-del-valle/profil/spieler/72643,https://img.a.transfermarkt.technology/portrait/small/72643-1692780734.png?lm=1,N/A,28.05.1990,Guacara,Pendikspor
6,João Figueiredo,João Vitor Brandão Figueiredo,64,19,10,4.820,N/A,Figueiredo,Unknown,10,0,Gaziantep FK,Attack - Centre-Forward,"1,80 m",Brazil,br,https://www.transfermarkt.us/joao-figueiredo/profil/spieler/439343,https://img.a.transfermarkt.technology/portrait/small/439343-1739884982.JPG?lm=1,N/A,27.05.1996,São Paulo,Basaksehir FK
7,Lazar Markovic,Лазар Марковић,56,9,10,2.904,N/A,Markovic,21,11,0,Gaziantep FK,Attack - Right Winger,"1,75 m",Serbia,rs,https://www.transfermarkt.us/lazar-markovic/profil/spieler/144303,https://img.a.transfermarkt.technology/portrait/small/144303-1705937269.png?lm=1,N/A,02.03.1994,Čačak,FC Baniyas
8,Muhammet Reis,Unknown,48,14,9,3.908,N/A,Reis,16,4,0,Gaziantep FK,Midfield - Attacking Midfield,"1,80 m",Türkiye,tr,https://www.transfermarkt.us/muhammet-reis/profil/spieler/35043,https://img.a.transfermarkt.technology/portrait/small/35043-1666715649.png?lm=1,N/A,27.10.1984,Trabzon,Retired
9,Güray Vural,Unknown,66,6,9,4.382,N/A,Vural,13,7,1,Gaziantep FK,Defender - Left-Back,"1,77 m",Türkiye,tr,https://www.transfermarkt.us/guray-vural/profil/spieler/52281,https://img.a.transfermarkt.technology/portrait/small/52281-1726736583.jpg?lm=1,N/A,11.06.1988,Afyon,Antalyaspor
10,Erdem Uğurlu,Mehmet Erdem Uğurlu,80,4,9,6.688,N/A,Uğurlu,Unknown,21,0,Gaziantep FK,Defender - Left-Back,"1,77 m",Türkiye,tr,https://www.transfermarkt.us/erdem-ugurlu/profil/spieler/185883,https://img.a.transfermarkt.technology/portrait/small/185883-1666715570.png?lm=1,N/A,09.07.1988,Kirikkale,Bucaspor 1928
11,Ramazan Altıntepe,Unknown,153,23,8,12.551,N/A,Altıntepe,Unknown,29,0,Gaziantep FK,Midfield - Right Midfield,"1,75 m",Türkiye,tr,https://www.transfermarkt.us/ramazan-altintepe/profil/spieler/114125,https://img.a.transfermarkt.technology/portrait/small/114125-1463874164.jpg?lm=1,N/A,24.09.1981,Afyonkarahisar,Retired
12,Kenan Özer,Unknown,95,13,8,4.294,N/A,Özer,14,16,0,Gaziantep FK,Attack - Right Winger,"1,70 m",Türkiye,tr,https://www.transfermarkt.us/kenan-ozer/profil/spieler/38195,https://img.a.transfermarkt.technology/portrait/small/38195-1671272482.png?lm=1,N/A,16.08.1987,Nikosia,Magusa Türk Gücü
13,Muhammed Ertürk,Muhammed Himmet Ertürk,59,3,8,2.873,N/A,Ertürk,Unknown,7,0,Gaziantep FK,Attack - Right Winger,"1,68 m",Türkiye,tr,https://www.transfermarkt.us/muhammed-erturk/profil/spieler/203711,https://img.a.transfermarkt.technology/portrait/small/203711-1708203127.png?lm=1,N/A,03.01.1994,Aydin,Sakaryaspor
14,Olarenwaju Kayode,Tobi Olarenwaju Ayobami Kayode,29,10,7,2.349,N/A,Kayode,9,2,2,Gaziantep FK,Attack - Centre-Forward,"1,76 m",Nigeria,ng,https://www.transfermarkt.us/olarenwaju-kayode/profil/spieler/131694,https://img.a.transfermarkt.technology/portrait/small/131694-1633643572.png?lm=1,N/A,08.05.1993,Ibadan,Esenler Erokspor
15,Okan Derici,Unknown,43,2,7,2.250,N/A,Derici,10,4,0,Gaziantep FK,Midfield - Central Midfield,"1,77 m",Türkiye,tr,https://www.transfermarkt.us/okan-derici/profil/spieler/95089,https://img.a.transfermarkt.technology/portrait/small/95089-1660317075.png?lm=1,N/A,16.04.1993,Gießen,Kirklarelispor
16,Köksal Yedek,Unknown,32,4,7,2.501,N/A,Yedek,Unknown,3,0,Gaziantep FK,Midfield - Attacking Midfield,"1,80 m",Türkiye,tr,https://www.transfermarkt.us/koksal-yedek/profil/spieler/29412,https://img.a.transfermarkt.technology/portrait/small/29412-1698663362.png?lm=1,N/A,17.01.1985,Nevsehir,Istanbul Anadolu Spor Kulübü
